[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       12521 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       23778 ops,   11255 (avg:   11888) ops/sec, 434.60KB/sec (avg: 459.17KB/sec),  0.71 (avg:  0.67) msec latency[RUN #1 10%,   3 secs]  2 threads:       32033 ops,    8254 (avg:   10677) ops/sec, 318.70KB/sec (avg: 412.34KB/sec),  0.96 (avg:  0.74) msec latency[RUN #1 13%,   4 secs]  2 threads:       37768 ops,    5733 (avg:    9440) ops/sec, 221.45KB/sec (avg: 364.61KB/sec),  1.39 (avg:  0.84) msec latency[RUN #1 17%,   5 secs]  2 threads:       42994 ops,    5225 (avg:    8597) ops/sec, 201.81KB/sec (avg: 332.05KB/sec),  1.53 (avg:  0.93) msec latency[RUN #1 20%,   6 secs]  2 threads:       48312 ops,    5317 (avg:    8051) ops/sec, 205.38KB/sec (avg: 310.94KB/sec),  1.50 (avg:  0.99) msec latency[RUN #1 23%,   7 secs]  2 threads:       53468 ops,    5155 (avg:    7637) ops/sec, 199.10KB/sec (avg: 294.96KB/sec),  1.55 (avg:  1.04) msec latency[RUN #1 27%,   8 secs]  2 threads:       58796 ops,    5327 (avg:    7348) ops/sec, 205.68KB/sec (avg: 283.80KB/sec),  1.50 (avg:  1.08) msec latency[RUN #1 30%,   9 secs]  2 threads:       64398 ops,    5601 (avg:    7154) ops/sec, 216.30KB/sec (avg: 276.30KB/sec),  1.42 (avg:  1.11) msec latency[RUN #1 33%,  10 secs]  2 threads:       69905 ops,    5506 (avg:    6989) ops/sec, 212.63KB/sec (avg: 269.93KB/sec),  1.45 (avg:  1.14) msec latency[RUN #1 37%,  11 secs]  2 threads:       75481 ops,    5575 (avg:    6861) ops/sec, 215.35KB/sec (avg: 264.97KB/sec),  1.43 (avg:  1.16) msec latency[RUN #1 40%,  12 secs]  2 threads:       81074 ops,    5592 (avg:    6755) ops/sec, 215.95KB/sec (avg: 260.89KB/sec),  1.43 (avg:  1.18) msec latency[RUN #1 43%,  13 secs]  2 threads:       86410 ops,    5335 (avg:    6646) ops/sec, 206.05KB/sec (avg: 256.67KB/sec),  1.50 (avg:  1.20) msec latency[RUN #1 47%,  14 secs]  2 threads:       91669 ops,    5258 (avg:    6547) ops/sec, 203.10KB/sec (avg: 252.84KB/sec),  1.52 (avg:  1.22) msec latency[RUN #1 50%,  15 secs]  2 threads:       97145 ops,    5475 (avg:    6475) ops/sec, 211.46KB/sec (avg: 250.08KB/sec),  1.46 (avg:  1.23) msec latency[RUN #1 53%,  16 secs]  2 threads:      102595 ops,    5449 (avg:    6411) ops/sec, 210.42KB/sec (avg: 247.60KB/sec),  1.46 (avg:  1.24) msec latency[RUN #1 57%,  17 secs]  2 threads:      107782 ops,    5186 (avg:    6339) ops/sec, 200.20KB/sec (avg: 244.82KB/sec),  1.54 (avg:  1.26) msec latency[RUN #1 60%,  18 secs]  2 threads:      113024 ops,    5241 (avg:    6278) ops/sec, 202.37KB/sec (avg: 242.46KB/sec),  1.52 (avg:  1.27) msec latency[RUN #1 63%,  19 secs]  2 threads:      118533 ops,    5508 (avg:    6237) ops/sec, 212.71KB/sec (avg: 240.89KB/sec),  1.45 (avg:  1.28) msec latency[RUN #1 67%,  20 secs]  2 threads:      123933 ops,    5399 (avg:    6196) ops/sec, 208.51KB/sec (avg: 239.27KB/sec),  1.48 (avg:  1.29) msec latency[RUN #1 70%,  21 secs]  2 threads:      129317 ops,    5383 (avg:    6157) ops/sec, 207.95KB/sec (avg: 237.78KB/sec),  1.48 (avg:  1.29) msec latency[RUN #1 73%,  22 secs]  2 threads:      134683 ops,    5365 (avg:    6121) ops/sec, 207.18KB/sec (avg: 236.39KB/sec),  1.49 (avg:  1.30) msec latency[RUN #1 77%,  23 secs]  2 threads:      139964 ops,    5280 (avg:    6084) ops/sec, 203.92KB/sec (avg: 234.98KB/sec),  1.51 (avg:  1.31) msec latency[RUN #1 80%,  24 secs]  2 threads:      145074 ops,    5109 (avg:    6044) ops/sec, 197.36KB/sec (avg: 233.41KB/sec),  1.56 (avg:  1.32) msec latency[RUN #1 83%,  25 secs]  2 threads:      150555 ops,    5480 (avg:    6021) ops/sec, 211.62KB/sec (avg: 232.54KB/sec),  1.45 (avg:  1.32) msec latency[RUN #1 87%,  26 secs]  2 threads:      155938 ops,    5382 (avg:    5997) ops/sec, 207.79KB/sec (avg: 231.59KB/sec),  1.48 (avg:  1.33) msec latency[RUN #1 90%,  27 secs]  2 threads:      161438 ops,    5499 (avg:    5978) ops/sec, 212.45KB/sec (avg: 230.88KB/sec),  1.45 (avg:  1.33) msec latency[RUN #1 93%,  28 secs]  2 threads:      166798 ops,    5359 (avg:    5956) ops/sec, 206.91KB/sec (avg: 230.02KB/sec),  1.49 (avg:  1.34) msec latency[RUN #1 97%,  29 secs]  2 threads:      173432 ops,    6633 (avg:    5979) ops/sec, 256.17KB/sec (avg: 230.92KB/sec),  1.20 (avg:  1.33) msec latency[RUN #1 100%,  30 secs]  0 threads:      182484 ops,    6633 (avg:    6082) ops/sec, 256.17KB/sec (avg: 234.90KB/sec),  1.20 (avg:  1.31) msec latency

2         Threads
4         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         553.06          ---          ---      1.31700        41.00
Gets        5529.65       603.46      4926.20      1.30900       193.90
Totals      6082.71       603.46      4926.20      1.31000       234.90


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.092      0.00121
GET       0.110      0.00181
GET       0.120      0.00482
GET       0.130      0.00784
GET       0.140      0.01989
GET       0.150      0.03014
GET       0.160      0.03978
GET       0.170      0.04943
GET       0.180      0.06149
GET       0.190      0.07535
GET       0.200      0.08319
GET       0.210      0.09464
GET       0.220      0.10428
GET       0.230      0.11212
GET       0.240      0.12779
GET       0.250      0.13985
GET       0.260      0.15070
GET       0.270      0.16577
GET       0.280      0.17722
GET       0.290      0.19651
GET       0.300      0.21821
GET       0.310      0.23690
GET       0.320      0.26825
GET       0.330      0.29537
GET       0.340      0.31587
GET       0.350      0.34299
GET       0.360      0.36650
GET       0.370      0.38820
GET       0.380      0.42377
GET       0.390      0.44246
GET       0.400      0.45994
GET       0.410      0.47983
GET       0.420      0.49430
GET       0.430      0.50937
GET       0.440      0.53288
GET       0.450      0.56965
GET       0.460      0.62752
GET       0.470      0.71914
GET       0.480      0.86623
GET       0.490      1.04526
GET       0.500      1.27493
GET       0.510      1.59923
GET       0.520      1.93741
GET       0.530      2.39373
GET       0.540      2.91997
GET       0.550      3.47877
GET       0.560      3.97367
GET       0.570      4.49148
GET       0.580      4.98879
GET       0.590      5.44209
GET       0.600      5.91469
GET       0.610      6.34087
GET       0.620      6.73932
GET       0.630      7.15526
GET       0.640      7.59349
GET       0.650      8.04138
GET       0.660      8.51699
GET       0.670      9.00526
GET       0.680      9.58033
GET       0.690     10.14455
GET       0.700     10.70998
GET       0.710     11.22538
GET       0.720     11.75403
GET       0.730     12.25677
GET       0.740     12.73539
GET       0.750     13.18147
GET       0.760     13.60343
GET       0.770     13.99344
GET       0.780     14.37140
GET       0.790     14.73007
GET       0.800     15.10441
GET       0.810     15.47754
GET       0.820     15.86273
GET       0.830     16.24792
GET       0.840     16.60056
GET       0.850     16.96224
GET       0.860     17.32694
GET       0.870     17.66692
GET       0.880     17.97856
GET       0.890     18.27153
GET       0.900     18.55303
GET       0.910     18.84419
GET       0.920     19.10882
GET       0.930     19.38068
GET       0.940     19.67605
GET       0.950     19.95575
GET       0.960     20.22280
GET       0.970     20.49707
GET       0.980     20.74663
GET       0.990     21.02271
GET       1.000     22.48270
GET       1.100     25.39604
GET       1.200     30.44149
GET       1.300     43.86348
GET       1.400     64.64628
GET       1.500     82.54346
GET       1.600     92.02553
GET       1.700     95.42051
GET       1.800     96.38560
GET       1.900     96.79309
GET       2.000     97.04265
GET       2.100     97.20963
GET       2.200     97.31331
GET       2.300     97.37721
GET       2.400     97.46040
GET       2.500     97.63340
GET       2.600     98.03969
GET       2.700     98.54785
GET       2.800     99.01924
GET       2.900     99.43879
GET       3.000     99.72753
GET       3.100     99.89391
GET       3.200     99.95600
GET       3.300     99.98192
GET       3.400     99.99096
GET       3.500     99.99518
GET       3.600     99.99759
GET       3.700     99.99940
GET       3.800    100.00000
