[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       14922 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       29593 ops,   14669 (avg:   14796) ops/sec, 566.37KB/sec (avg: 571.41KB/sec),  0.54 (avg:  0.54) msec latency[RUN #1 10%,   3 secs]  2 threads:       44002 ops,   14407 (avg:   14666) ops/sec, 556.46KB/sec (avg: 566.43KB/sec),  0.55 (avg:  0.54) msec latency[RUN #1 13%,   4 secs]  2 threads:       53925 ops,    9922 (avg:   13480) ops/sec, 383.17KB/sec (avg: 520.61KB/sec),  0.80 (avg:  0.59) msec latency[RUN #1 17%,   5 secs]  2 threads:       59294 ops,    5368 (avg:   11857) ops/sec, 207.23KB/sec (avg: 457.93KB/sec),  1.48 (avg:  0.67) msec latency[RUN #1 20%,   6 secs]  2 threads:       64399 ops,    5103 (avg:   10732) ops/sec, 197.10KB/sec (avg: 414.46KB/sec),  1.56 (avg:  0.74) msec latency[RUN #1 23%,   7 secs]  2 threads:       69568 ops,    5168 (avg:    9937) ops/sec, 199.59KB/sec (avg: 383.76KB/sec),  1.54 (avg:  0.80) msec latency[RUN #1 27%,   8 secs]  2 threads:       74569 ops,    5000 (avg:    9320) ops/sec, 193.14KB/sec (avg: 359.93KB/sec),  1.59 (avg:  0.85) msec latency[RUN #1 30%,   9 secs]  2 threads:       82351 ops,    7781 (avg:    9149) ops/sec, 300.47KB/sec (avg: 353.33KB/sec),  1.02 (avg:  0.87) msec latency[RUN #1 33%,  10 secs]  2 threads:      106073 ops,   23719 (avg:   10606) ops/sec, 915.99KB/sec (avg: 409.59KB/sec),  0.33 (avg:  0.75) msec latency[RUN #1 37%,  11 secs]  2 threads:      128455 ops,   22379 (avg:   11676) ops/sec, 864.19KB/sec (avg: 450.92KB/sec),  0.35 (avg:  0.68) msec latency[RUN #1 40%,  12 secs]  2 threads:      142575 ops,   14118 (avg:   11880) ops/sec, 545.24KB/sec (avg: 458.78KB/sec),  0.57 (avg:  0.67) msec latency[RUN #1 43%,  13 secs]  2 threads:      164146 ops,   21568 (avg:   12625) ops/sec, 832.81KB/sec (avg: 487.55KB/sec),  0.37 (avg:  0.63) msec latency[RUN #1 47%,  14 secs]  2 threads:      177180 ops,   13032 (avg:   12654) ops/sec, 503.35KB/sec (avg: 488.68KB/sec),  0.61 (avg:  0.63) msec latency[RUN #1 50%,  15 secs]  2 threads:      191508 ops,   14326 (avg:   12765) ops/sec, 553.22KB/sec (avg: 492.98KB/sec),  0.55 (avg:  0.62) msec latency[RUN #1 53%,  16 secs]  2 threads:      205186 ops,   13676 (avg:   12822) ops/sec, 528.10KB/sec (avg: 495.18KB/sec),  0.58 (avg:  0.62) msec latency[RUN #1 57%,  17 secs]  2 threads:      218187 ops,   12999 (avg:   12833) ops/sec, 501.93KB/sec (avg: 495.58KB/sec),  0.61 (avg:  0.62) msec latency[RUN #1 60%,  18 secs]  2 threads:      231505 ops,   13316 (avg:   12860) ops/sec, 514.32KB/sec (avg: 496.62KB/sec),  0.60 (avg:  0.62) msec latency[RUN #1 63%,  19 secs]  2 threads:      244558 ops,   13051 (avg:   12870) ops/sec, 503.92KB/sec (avg: 497.00KB/sec),  0.61 (avg:  0.62) msec latency[RUN #1 67%,  20 secs]  2 threads:      255568 ops,   11008 (avg:   12777) ops/sec, 425.12KB/sec (avg: 493.41KB/sec),  0.72 (avg:  0.62) msec latency[RUN #1 70%,  21 secs]  2 threads:      270183 ops,   14613 (avg:   12864) ops/sec, 564.27KB/sec (avg: 496.78KB/sec),  0.54 (avg:  0.62) msec latency[RUN #1 73%,  22 secs]  2 threads:      277963 ops,    7779 (avg:   12633) ops/sec, 300.41KB/sec (avg: 487.86KB/sec),  1.02 (avg:  0.63) msec latency[RUN #1 77%,  23 secs]  2 threads:      285679 ops,    7715 (avg:   12419) ops/sec, 297.97KB/sec (avg: 479.60KB/sec),  1.03 (avg:  0.64) msec latency[RUN #1 80%,  24 secs]  2 threads:      297273 ops,   11592 (avg:   12385) ops/sec, 447.62KB/sec (avg: 478.27KB/sec),  0.68 (avg:  0.64) msec latency[RUN #1 83%,  25 secs]  2 threads:      311624 ops,   14349 (avg:   12463) ops/sec, 554.07KB/sec (avg: 481.30KB/sec),  0.55 (avg:  0.64) msec latency[RUN #1 87%,  26 secs]  2 threads:      325230 ops,   13604 (avg:   12507) ops/sec, 525.43KB/sec (avg: 483.00KB/sec),  0.58 (avg:  0.63) msec latency[RUN #1 90%,  27 secs]  2 threads:      335039 ops,    9808 (avg:   12407) ops/sec, 378.75KB/sec (avg: 479.14KB/sec),  0.82 (avg:  0.64) msec latency[RUN #1 93%,  28 secs]  2 threads:      348540 ops,   13499 (avg:   12446) ops/sec, 521.22KB/sec (avg: 480.64KB/sec),  0.59 (avg:  0.64) msec latency[RUN #1 97%,  29 secs]  2 threads:      361983 ops,   13441 (avg:   12480) ops/sec, 519.19KB/sec (avg: 481.97KB/sec),  0.59 (avg:  0.64) msec latency[RUN #1 100%,  30 secs]  0 threads:      378465 ops,   13441 (avg:   12615) ops/sec, 519.19KB/sec (avg: 487.17KB/sec),  0.59 (avg:  0.63) msec latency

2         Threads
4         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1147.00          ---          ---      0.63300        85.02
Gets       11468.48      2293.36      9175.11      0.62900       402.14
Totals     12615.47      2293.36      9175.11      0.62900       487.17


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.075      0.00029
GET       0.076      0.00058
GET       0.077      0.00087
GET       0.081      0.00116
GET       0.084      0.00174
GET       0.085      0.00203
GET       0.087      0.00233
GET       0.089      0.00262
GET       0.090      0.00291
GET       0.091      0.00349
GET       0.092      0.00378
GET       0.093      0.00523
GET       0.094      0.00581
GET       0.095      0.00727
GET       0.096      0.00930
GET       0.097      0.01104
GET       0.098      0.01366
GET       0.099      0.01453
GET       0.100      0.02354
GET       0.110      0.04273
GET       0.120      0.06888
GET       0.130      0.13225
GET       0.140      0.30896
GET       0.150      0.57636
GET       0.160      0.95305
GET       0.170      1.46895
GET       0.180      2.32114
GET       0.190      3.76800
GET       0.200      5.34246
GET       0.210      6.63034
GET       0.220      7.65604
GET       0.230      8.58177
GET       0.240      9.45605
GET       0.250     10.10594
GET       0.260     10.46926
GET       0.270     10.69422
GET       0.280     10.84071
GET       0.290     10.97935
GET       0.300     11.10898
GET       0.310     11.26419
GET       0.320     11.49380
GET       0.330     11.87107
GET       0.340     12.43667
GET       0.350     13.27898
GET       0.360     14.45612
GET       0.370     16.10702
GET       0.380     18.36422
GET       0.390     21.47418
GET       0.400     25.18725
GET       0.410     29.31392
GET       0.420     33.89865
GET       0.430     39.02487
GET       0.440     44.63908
GET       0.450     49.88243
GET       0.460     54.59621
GET       0.470     58.86995
GET       0.480     62.64493
GET       0.490     65.90836
GET       0.500     68.48963
GET       0.510     70.39427
GET       0.520     71.83474
GET       0.530     72.89358
GET       0.540     73.65508
GET       0.550     74.18581
GET       0.560     74.55174
GET       0.570     74.78630
GET       0.580     74.96534
GET       0.590     75.09730
GET       0.600     75.20920
GET       0.610     75.29843
GET       0.620     75.36382
GET       0.630     75.42399
GET       0.640     75.47020
GET       0.650     75.52281
GET       0.660     75.56902
GET       0.670     75.61378
GET       0.680     75.65506
GET       0.690     75.69865
GET       0.700     75.75097
GET       0.710     75.80794
GET       0.720     75.88031
GET       0.730     75.97245
GET       0.740     76.11370
GET       0.750     76.27589
GET       0.760     76.48254
GET       0.770     76.73105
GET       0.780     77.06326
GET       0.790     77.41437
GET       0.800     77.84657
GET       0.810     78.33486
GET       0.820     78.88535
GET       0.830     79.54717
GET       0.840     80.25461
GET       0.850     81.02367
GET       0.860     81.83168
GET       0.870     82.68445
GET       0.880     83.55786
GET       0.890     84.44551
GET       0.900     85.26253
GET       0.910     86.07199
GET       0.920     86.81955
GET       0.930     87.49938
GET       0.940     88.10103
GET       0.950     88.60415
GET       0.960     89.03635
GET       0.970     89.41129
GET       0.980     89.71676
GET       0.990     89.98648
GET       1.000     90.77299
GET       1.100     91.56385
GET       1.200     93.08250
GET       1.300     95.18507
GET       1.400     96.93450
GET       1.500     97.84860
GET       1.600     98.17355
GET       1.700     98.27731
GET       1.800     98.29853
GET       1.900     98.30550
GET       2.000     98.30841
GET       2.100     98.31800
GET       2.200     98.35491
GET       2.300     98.40985
GET       2.400     98.52960
GET       2.500     98.69236
GET       2.600     98.87867
GET       2.700     99.04695
GET       2.800     99.16438
GET       2.900     99.24256
GET       3.000     99.28471
GET       3.100     99.30563
GET       3.200     99.31552
GET       3.300     99.31755
GET       3.400     99.31784
GET       3.500     99.31813
GET       4.100     99.31842
GET       4.200     99.32220
GET       4.300     99.32801
GET       4.400     99.35592
GET       4.500     99.42916
GET       4.600     99.45561
GET       4.700     99.45881
GET       4.800     99.46346
GET       4.900     99.47973
GET       5.000     99.49717
GET       5.100     99.50241
GET       5.200     99.51171
GET       5.300     99.52537
GET       5.400     99.53990
GET       5.500     99.54484
GET       5.600     99.54717
GET       5.700     99.54833
GET       5.800     99.54949
GET       5.900     99.54978
GET       6.000     99.55007
GET       6.100     99.55065
GET       6.200     99.55153
GET       6.400     99.55298
GET       6.500     99.55385
GET       6.600     99.55414
GET       8.000     99.55501
GET       8.100     99.55559
GET       8.200     99.57274
GET       8.300     99.58233
GET       8.400     99.61896
GET       8.500     99.72621
GET       8.600     99.75411
GET       8.700     99.75760
GET       8.800     99.76196
GET       8.900     99.78346
GET       9.000     99.81050
GET       9.100     99.81660
GET       9.200     99.82183
GET       9.300     99.82387
GET       9.400     99.82561
GET       9.500     99.82764
GET       9.600     99.82997
GET       9.700     99.83055
GET      11.000     99.83229
GET      12.000     99.87938
GET      13.000     99.92443
GET      16.000     99.96803
GET      17.000     99.98663
GET      20.000     99.99767
GET      21.000    100.00000
