[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       15829 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:       33323 ops,   17491 (avg:   16662) ops/sec, 675.37KB/sec (avg: 643.49KB/sec),  0.45 (avg:  0.48) msec latency[RUN #1 10%,   3 secs]  2 threads:       46907 ops,   13582 (avg:   15635) ops/sec, 524.55KB/sec (avg: 603.84KB/sec),  0.58 (avg:  0.51) msec latency[RUN #1 13%,   4 secs]  2 threads:       56181 ops,    9272 (avg:   14044) ops/sec, 358.04KB/sec (avg: 542.38KB/sec),  0.86 (avg:  0.56) msec latency[RUN #1 17%,   5 secs]  2 threads:       61245 ops,    5063 (avg:   12248) ops/sec, 195.54KB/sec (avg: 473.01KB/sec),  1.57 (avg:  0.65) msec latency[RUN #1 20%,   6 secs]  2 threads:       66494 ops,    5248 (avg:   11081) ops/sec, 202.72KB/sec (avg: 427.96KB/sec),  1.52 (avg:  0.72) msec latency[RUN #1 23%,   7 secs]  2 threads:       71677 ops,    5182 (avg:   10238) ops/sec, 200.13KB/sec (avg: 395.41KB/sec),  1.54 (avg:  0.78) msec latency[RUN #1 27%,   8 secs]  2 threads:       76938 ops,    5260 (avg:    9616) ops/sec, 203.13KB/sec (avg: 371.38KB/sec),  1.51 (avg:  0.83) msec latency[RUN #1 30%,   9 secs]  2 threads:       83794 ops,    6855 (avg:    9309) ops/sec, 264.79KB/sec (avg: 359.53KB/sec),  1.16 (avg:  0.85) msec latency[RUN #1 33%,  10 secs]  2 threads:      105418 ops,   21620 (avg:   10540) ops/sec, 834.90KB/sec (avg: 407.07KB/sec),  0.36 (avg:  0.75) msec latency[RUN #1 37%,  11 secs]  2 threads:      126439 ops,   21018 (avg:   11493) ops/sec, 811.56KB/sec (avg: 443.85KB/sec),  0.38 (avg:  0.69) msec latency[RUN #1 40%,  12 secs]  2 threads:      139387 ops,   12946 (avg:   11614) ops/sec, 499.98KB/sec (avg: 448.52KB/sec),  0.61 (avg:  0.68) msec latency[RUN #1 43%,  13 secs]  2 threads:      158980 ops,   19591 (avg:   12228) ops/sec, 756.52KB/sec (avg: 472.22KB/sec),  0.40 (avg:  0.65) msec latency[RUN #1 47%,  14 secs]  2 threads:      170572 ops,   11590 (avg:   12182) ops/sec, 447.59KB/sec (avg: 470.46KB/sec),  0.69 (avg:  0.65) msec latency[RUN #1 50%,  15 secs]  2 threads:      184716 ops,   14142 (avg:   12313) ops/sec, 546.21KB/sec (avg: 475.51KB/sec),  0.56 (avg:  0.64) msec latency[RUN #1 53%,  16 secs]  2 threads:      197705 ops,   12987 (avg:   12355) ops/sec, 501.42KB/sec (avg: 477.13KB/sec),  0.61 (avg:  0.64) msec latency[RUN #1 57%,  17 secs]  2 threads:      209741 ops,   12033 (avg:   12336) ops/sec, 464.70KB/sec (avg: 476.40KB/sec),  0.66 (avg:  0.64) msec latency[RUN #1 60%,  18 secs]  2 threads:      221535 ops,   11792 (avg:   12306) ops/sec, 455.37KB/sec (avg: 475.23KB/sec),  0.67 (avg:  0.64) msec latency[RUN #1 63%,  19 secs]  2 threads:      232792 ops,   11255 (avg:   12251) ops/sec, 434.70KB/sec (avg: 473.09KB/sec),  0.71 (avg:  0.65) msec latency[RUN #1 67%,  20 secs]  2 threads:      243626 ops,   10833 (avg:   12180) ops/sec, 418.42KB/sec (avg: 470.36KB/sec),  0.73 (avg:  0.65) msec latency[RUN #1 70%,  21 secs]  2 threads:      254753 ops,   11125 (avg:   12129) ops/sec, 429.56KB/sec (avg: 468.42KB/sec),  0.71 (avg:  0.65) msec latency[RUN #1 73%,  22 secs]  2 threads:      261698 ops,    6944 (avg:   11894) ops/sec, 268.10KB/sec (avg: 459.31KB/sec),  1.15 (avg:  0.67) msec latency[RUN #1 77%,  23 secs]  2 threads:      268200 ops,    6501 (avg:   11659) ops/sec, 251.01KB/sec (avg: 450.26KB/sec),  1.22 (avg:  0.68) msec latency[RUN #1 80%,  24 secs]  2 threads:      279832 ops,   11630 (avg:   11658) ops/sec, 449.13KB/sec (avg: 450.21KB/sec),  0.68 (avg:  0.68) msec latency[RUN #1 83%,  25 secs]  2 threads:      292934 ops,   13100 (avg:   11716) ops/sec, 505.88KB/sec (avg: 452.44KB/sec),  0.61 (avg:  0.68) msec latency[RUN #1 87%,  26 secs]  2 threads:      305755 ops,   12819 (avg:   11758) ops/sec, 495.04KB/sec (avg: 454.08KB/sec),  0.62 (avg:  0.67) msec latency[RUN #1 90%,  27 secs]  2 threads:      314525 ops,    8769 (avg:   11647) ops/sec, 338.60KB/sec (avg: 449.80KB/sec),  0.91 (avg:  0.68) msec latency[RUN #1 93%,  28 secs]  2 threads:      327556 ops,   13029 (avg:   11697) ops/sec, 503.21KB/sec (avg: 451.71KB/sec),  0.61 (avg:  0.68) msec latency[RUN #1 97%,  29 secs]  2 threads:      341632 ops,   14074 (avg:   11779) ops/sec, 543.53KB/sec (avg: 454.87KB/sec),  0.56 (avg:  0.67) msec latency[RUN #1 100%,  30 secs]  0 threads:      357012 ops,   14074 (avg:   11900) ops/sec, 543.53KB/sec (avg: 459.55KB/sec),  0.56 (avg:  0.67) msec latency

2         Threads
4         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1081.96          ---          ---      0.66700        80.20
Gets       10818.42      2128.30      8690.12      0.66600       379.35
Totals     11900.38      2128.30      8690.12      0.66600       459.55


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.091      0.00062
GET       0.093      0.00092
GET       0.095      0.00123
GET       0.099      0.00154
GET       0.100      0.00308
GET       0.110      0.00770
GET       0.120      0.01571
GET       0.130      0.04283
GET       0.140      0.11832
GET       0.150      0.26652
GET       0.160      0.48867
GET       0.170      0.83161
GET       0.180      1.40224
GET       0.190      2.38081
GET       0.200      3.43611
GET       0.210      4.30222
GET       0.220      4.98347
GET       0.230      5.59169
GET       0.240      6.21778
GET       0.250      6.68242
GET       0.260      6.90950
GET       0.270      7.05031
GET       0.280      7.15261
GET       0.290      7.25860
GET       0.300      7.39047
GET       0.310      7.56055
GET       0.320      7.81968
GET       0.330      8.23748
GET       0.340      8.87991
GET       0.350      9.79963
GET       0.360     11.13655
GET       0.370     12.98247
GET       0.380     15.54569
GET       0.390     18.99782
GET       0.400     23.08775
GET       0.410     27.42819
GET       0.420     32.11217
GET       0.430     37.28605
GET       0.440     42.79147
GET       0.450     47.85721
GET       0.460     52.34399
GET       0.470     56.25460
GET       0.480     59.68209
GET       0.490     62.54510
GET       0.500     64.73827
GET       0.510     66.35896
GET       0.520     67.57171
GET       0.530     68.41533
GET       0.540     69.05806
GET       0.550     69.49343
GET       0.560     69.81233
GET       0.570     70.02585
GET       0.580     70.16820
GET       0.590     70.29576
GET       0.600     70.39128
GET       0.610     70.46461
GET       0.620     70.53732
GET       0.630     70.58878
GET       0.640     70.63900
GET       0.650     70.68245
GET       0.660     70.72435
GET       0.670     70.76718
GET       0.680     70.80723
GET       0.690     70.84544
GET       0.700     70.88888
GET       0.710     70.93695
GET       0.720     70.99488
GET       0.730     71.06944
GET       0.740     71.18098
GET       0.750     71.33380
GET       0.760     71.51066
GET       0.770     71.74606
GET       0.780     72.05079
GET       0.790     72.40204
GET       0.800     72.81060
GET       0.810     73.32084
GET       0.820     73.92783
GET       0.830     74.64852
GET       0.840     75.45609
GET       0.850     76.34932
GET       0.860     77.33683
GET       0.870     78.41647
GET       0.880     79.52445
GET       0.890     80.68051
GET       0.900     81.80420
GET       0.910     82.89524
GET       0.920     83.97981
GET       0.930     84.97872
GET       0.940     85.85316
GET       0.950     86.65950
GET       0.960     87.37001
GET       0.970     87.98440
GET       0.980     88.49926
GET       0.990     88.91614
GET       1.000     90.14152
GET       1.100     91.09390
GET       1.200     92.68163
GET       1.300     94.84060
GET       1.400     96.68005
GET       1.500     97.62781
GET       1.600     97.97290
GET       1.700     98.07736
GET       1.800     98.09923
GET       1.900     98.10324
GET       2.000     98.10817
GET       2.100     98.12080
GET       2.200     98.16086
GET       2.300     98.25298
GET       2.400     98.39533
GET       2.500     98.58451
GET       2.600     98.79927
GET       2.700     98.97613
GET       2.800     99.10770
GET       2.900     99.18996
GET       3.000     99.23402
GET       3.100     99.25713
GET       3.200     99.26792
GET       3.300     99.27100
GET       3.400     99.27192
GET       3.500     99.27285
GET       3.600     99.27377
GET       3.800     99.27408
GET       3.900     99.27439
GET       4.100     99.27500
GET       4.200     99.27932
GET       4.300     99.28425
GET       4.400     99.30612
GET       4.500     99.37083
GET       4.600     99.38777
GET       4.700     99.39024
GET       4.800     99.40041
GET       4.900     99.42536
GET       5.000     99.45741
GET       5.100     99.46850
GET       5.200     99.47774
GET       5.300     99.49038
GET       5.400     99.50332
GET       5.500     99.50917
GET       5.600     99.51102
GET       5.800     99.51256
GET       5.900     99.51379
GET       6.000     99.51410
GET       6.100     99.51441
GET       6.200     99.51472
GET       6.300     99.51503
GET       6.400     99.51687
GET       6.500     99.51965
GET       6.600     99.52057
GET       6.700     99.52180
GET       6.800     99.52211
GET       6.900     99.52273
GET       8.000     99.52334
GET       8.100     99.52365
GET       8.200     99.54214
GET       8.300     99.54676
GET       8.400     99.59051
GET       8.500     99.69497
GET       8.600     99.71499
GET       8.700     99.71715
GET       8.800     99.72208
GET       8.900     99.75073
GET       9.000     99.79510
GET       9.100     99.80897
GET       9.200     99.81174
GET       9.300     99.81297
GET       9.400     99.81667
GET       9.500     99.81944
GET       9.600     99.82006
GET       9.700     99.82037
GET      10.000     99.82068
GET      11.000     99.82437
GET      12.000     99.86720
GET      13.000     99.91958
GET      16.000     99.95871
GET      17.000     99.98675
GET      20.000     99.99538
GET      21.000    100.00000
