[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       17991 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       31621 ops,   13628 (avg:   15809) ops/sec, 526.29KB/sec (avg: 610.60KB/sec),  0.58 (avg:  0.50) msec latency[RUN #1 10%,   3 secs]  2 threads:       51738 ops,   20114 (avg:   17245) ops/sec, 776.84KB/sec (avg: 666.01KB/sec),  0.39 (avg:  0.46) msec latency[RUN #1 13%,   4 secs]  2 threads:       64549 ops,   12809 (avg:   16136) ops/sec, 494.53KB/sec (avg: 623.14KB/sec),  0.62 (avg:  0.49) msec latency[RUN #1 17%,   5 secs]  2 threads:       75604 ops,   11053 (avg:   15119) ops/sec, 427.02KB/sec (avg: 583.91KB/sec),  0.72 (avg:  0.52) msec latency[RUN #1 20%,   6 secs]  2 threads:       85269 ops,    9663 (avg:   14210) ops/sec, 373.11KB/sec (avg: 548.78KB/sec),  0.82 (avg:  0.56) msec latency[RUN #1 23%,   7 secs]  2 threads:       96893 ops,   11622 (avg:   13840) ops/sec, 448.89KB/sec (avg: 534.51KB/sec),  0.68 (avg:  0.57) msec latency[RUN #1 27%,   8 secs]  2 threads:      103911 ops,    7017 (avg:   12987) ops/sec, 270.99KB/sec (avg: 501.57KB/sec),  1.13 (avg:  0.61) msec latency[RUN #1 30%,   9 secs]  2 threads:      116875 ops,   12962 (avg:   12984) ops/sec, 500.49KB/sec (avg: 501.45KB/sec),  0.61 (avg:  0.61) msec latency[RUN #1 33%,  10 secs]  2 threads:      129012 ops,   12135 (avg:   12900) ops/sec, 468.62KB/sec (avg: 498.17KB/sec),  0.65 (avg:  0.62) msec latency[RUN #1 37%,  11 secs]  2 threads:      141024 ops,   12008 (avg:   12818) ops/sec, 463.78KB/sec (avg: 495.04KB/sec),  0.65 (avg:  0.62) msec latency[RUN #1 40%,  12 secs]  2 threads:      158235 ops,   17209 (avg:   13184) ops/sec, 664.49KB/sec (avg: 509.16KB/sec),  0.46 (avg:  0.60) msec latency[RUN #1 43%,  13 secs]  2 threads:      167568 ops,    9332 (avg:   12888) ops/sec, 360.40KB/sec (avg: 497.72KB/sec),  0.85 (avg:  0.62) msec latency[RUN #1 47%,  14 secs]  2 threads:      180700 ops,   13130 (avg:   12905) ops/sec, 507.11KB/sec (avg: 498.39KB/sec),  0.60 (avg:  0.61) msec latency[RUN #1 50%,  15 secs]  2 threads:      191445 ops,   10743 (avg:   12761) ops/sec, 414.82KB/sec (avg: 492.82KB/sec),  0.74 (avg:  0.62) msec latency[RUN #1 53%,  16 secs]  2 threads:      203224 ops,   11777 (avg:   12700) ops/sec, 454.76KB/sec (avg: 490.44KB/sec),  0.67 (avg:  0.62) msec latency[RUN #1 57%,  17 secs]  2 threads:      214707 ops,   11481 (avg:   12628) ops/sec, 443.39KB/sec (avg: 487.67KB/sec),  0.69 (avg:  0.63) msec latency[RUN #1 60%,  18 secs]  2 threads:      227112 ops,   12403 (avg:   12616) ops/sec, 479.05KB/sec (avg: 487.19KB/sec),  0.64 (avg:  0.63) msec latency[RUN #1 63%,  19 secs]  2 threads:      238198 ops,   11084 (avg:   12535) ops/sec, 428.09KB/sec (avg: 484.08KB/sec),  0.72 (avg:  0.63) msec latency[RUN #1 67%,  20 secs]  2 threads:      253534 ops,   15334 (avg:   12675) ops/sec, 592.08KB/sec (avg: 489.48KB/sec),  0.52 (avg:  0.63) msec latency[RUN #1 70%,  21 secs]  2 threads:      272522 ops,   18986 (avg:   12975) ops/sec, 733.07KB/sec (avg: 501.08KB/sec),  0.42 (avg:  0.61) msec latency[RUN #1 73%,  22 secs]  2 threads:      286443 ops,   13919 (avg:   13018) ops/sec, 537.52KB/sec (avg: 502.74KB/sec),  0.57 (avg:  0.61) msec latency[RUN #1 77%,  23 secs]  2 threads:      299151 ops,   12706 (avg:   13005) ops/sec, 490.71KB/sec (avg: 502.21KB/sec),  0.62 (avg:  0.61) msec latency[RUN #1 80%,  24 secs]  2 threads:      309971 ops,   10819 (avg:   12914) ops/sec, 417.75KB/sec (avg: 498.70KB/sec),  0.73 (avg:  0.61) msec latency[RUN #1 83%,  25 secs]  2 threads:      322340 ops,   12367 (avg:   12892) ops/sec, 477.60KB/sec (avg: 497.85KB/sec),  0.64 (avg:  0.62) msec latency[RUN #1 87%,  26 secs]  2 threads:      335443 ops,   13101 (avg:   12900) ops/sec, 505.90KB/sec (avg: 498.16KB/sec),  0.61 (avg:  0.62) msec latency[RUN #1 90%,  27 secs]  2 threads:      348437 ops,   12992 (avg:   12903) ops/sec, 501.64KB/sec (avg: 498.29KB/sec),  0.61 (avg:  0.61) msec latency[RUN #1 93%,  28 secs]  2 threads:      363687 ops,   15248 (avg:   12987) ops/sec, 588.88KB/sec (avg: 501.53KB/sec),  0.52 (avg:  0.61) msec latency[RUN #1 97%,  29 secs]  2 threads:      379738 ops,   16049 (avg:   13093) ops/sec, 619.91KB/sec (avg: 505.61KB/sec),  0.50 (avg:  0.61) msec latency[RUN #1 100%,  30 secs]  0 threads:      402796 ops,   16049 (avg:   13426) ops/sec, 619.91KB/sec (avg: 518.49KB/sec),  0.50 (avg:  0.59) msec latency

2         Threads
4         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1220.70          ---          ---      0.59900        90.49
Gets       12205.80      2723.46      9482.34      0.59000       428.00
Totals     13426.50      2723.46      9482.34      0.59100       518.49


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     91.04066
SET       2.000     91.51580
SET       3.000     91.51853
SET       4.000     94.73526
SET       5.000     97.57243
SET       6.000     99.50302
SET       8.000     99.68870
SET       9.000     99.74059
SET      10.000     99.74878
SET      12.000     99.86347
SET      13.000     99.89350
SET      14.000     99.89623
SET      16.000     99.97542
SET      17.000     99.98635
SET      20.000    100.00000
---
GET       0.064      0.00027
GET       0.065      0.00055
GET       0.070      0.00109
GET       0.072      0.00164
GET       0.073      0.00191
GET       0.074      0.00218
GET       0.075      0.00273
GET       0.076      0.00300
GET       0.078      0.00437
GET       0.079      0.00546
GET       0.080      0.00628
GET       0.081      0.00710
GET       0.082      0.00792
GET       0.083      0.01010
GET       0.084      0.01338
GET       0.085      0.01720
GET       0.086      0.02076
GET       0.087      0.02485
GET       0.088      0.03359
GET       0.089      0.04397
GET       0.090      0.05571
GET       0.091      0.07046
GET       0.092      0.09258
GET       0.093      0.10978
GET       0.094      0.13136
GET       0.095      0.16468
GET       0.096      0.20127
GET       0.097      0.22803
GET       0.098      0.25589
GET       0.099      0.27446
GET       0.100      0.36649
GET       0.110      0.45661
GET       0.120      0.52215
GET       0.130      0.59726
GET       0.140      0.80289
GET       0.150      1.05687
GET       0.160      1.26033
GET       0.170      1.56346
GET       0.180      2.14051
GET       0.190      3.16870
GET       0.200      4.37332
GET       0.210      5.39305
GET       0.220      6.30573
GET       0.230      7.24572
GET       0.240      8.28839
GET       0.250      9.13143
GET       0.260      9.66587
GET       0.270     10.04219
GET       0.280     10.46358
GET       0.290     11.12419
GET       0.300     11.95876
GET       0.310     12.94326
GET       0.320     13.91165
GET       0.330     14.86557
GET       0.340     15.78289
GET       0.350     16.64204
GET       0.360     17.48891
GET       0.370     18.50645
GET       0.380     19.90414
GET       0.390     21.90155
GET       0.400     24.38861
GET       0.410     27.30880
GET       0.420     30.69980
GET       0.430     34.79975
GET       0.440     39.54666
GET       0.450     44.30505
GET       0.460     48.86106
GET       0.470     53.19369
GET       0.480     57.50748
GET       0.490     61.61180
GET       0.500     65.02246
GET       0.510     67.76104
GET       0.520     69.93842
GET       0.530     71.69687
GET       0.540     73.06998
GET       0.550     74.07578
GET       0.560     74.82843
GET       0.570     75.38499
GET       0.580     75.86181
GET       0.590     76.28320
GET       0.600     76.66225
GET       0.610     77.03011
GET       0.620     77.39005
GET       0.630     77.73250
GET       0.640     78.10719
GET       0.650     78.44692
GET       0.660     78.77244
GET       0.670     79.09797
GET       0.680     79.41285
GET       0.690     79.66300
GET       0.700     79.86973
GET       0.710     80.04479
GET       0.720     80.17096
GET       0.730     80.29276
GET       0.740     80.41128
GET       0.750     80.53144
GET       0.760     80.69748
GET       0.770     80.89684
GET       0.780     81.14044
GET       0.790     81.40971
GET       0.800     81.72486
GET       0.810     82.07223
GET       0.820     82.46904
GET       0.830     82.91418
GET       0.840     83.41066
GET       0.850     83.95221
GET       0.860     84.57268
GET       0.870     85.28709
GET       0.880     86.05476
GET       0.890     86.87540
GET       0.900     87.74247
GET       0.910     88.64723
GET       0.920     89.58531
GET       0.930     90.52803
GET       0.940     91.45818
GET       0.950     92.34355
GET       0.960     93.16229
GET       0.970     93.93869
GET       0.980     94.62607
GET       0.990     95.21677
GET       1.000     97.25486
GET       1.100     98.18611
GET       1.200     98.51983
GET       1.300     98.80740
GET       1.400     99.00020
GET       1.500     99.09715
GET       1.600     99.13866
GET       1.700     99.14849
GET       1.800     99.15341
GET       1.900     99.15368
GET       2.000     99.15396
GET       2.100     99.15423
GET       2.200     99.15751
GET       2.300     99.16106
GET       2.400     99.16980
GET       2.500     99.17772
GET       2.600     99.18454
GET       2.700     99.19000
GET       2.800     99.19355
GET       2.900     99.19601
GET       3.000     99.19738
GET       3.100     99.19792
GET       3.200     99.19956
GET       3.300     99.20038
GET       4.100     99.20066
GET       4.200     99.20721
GET       4.300     99.21213
GET       4.400     99.23479
GET       4.500     99.34376
GET       4.600     99.37571
GET       4.700     99.37762
GET       4.800     99.38445
GET       4.900     99.41285
GET       5.000     99.45955
GET       5.100     99.48030
GET       5.200     99.49013
GET       5.300     99.50024
GET       5.400     99.50570
GET       5.500     99.50952
GET       5.600     99.51144
GET       5.700     99.51253
GET       5.900     99.51307
GET       6.000     99.51362
GET       6.100     99.51389
GET       6.400     99.51471
GET       6.500     99.51608
GET       6.700     99.51662
GET       8.200     99.52564
GET       8.300     99.53137
GET       8.400     99.56196
GET       8.500     99.64853
GET       8.600     99.67283
GET       8.700     99.67475
GET       8.800     99.67857
GET       8.900     99.70561
GET       9.000     99.75449
GET       9.100     99.76787
GET       9.200     99.77224
GET       9.300     99.77634
GET       9.400     99.78043
GET       9.500     99.78644
GET       9.600     99.78781
GET      10.000     99.78999
GET      11.000     99.79136
GET      12.000     99.83369
GET      13.000     99.92217
GET      14.000     99.92626
GET      15.000     99.92736
GET      16.000     99.95412
GET      17.000     99.99700
GET      20.000     99.99754
GET      21.000    100.00000
