[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       22928 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       44624 ops,   21693 (avg:   22311) ops/sec, 837.76KB/sec (avg: 861.69KB/sec),  0.37 (avg:  0.36) msec latency[RUN #1 10%,   3 secs]  2 threads:       62710 ops,   18084 (avg:   20902) ops/sec, 698.28KB/sec (avg: 807.22KB/sec),  0.44 (avg:  0.38) msec latency[RUN #1 13%,   4 secs]  2 threads:       81841 ops,   19128 (avg:   20459) ops/sec, 738.70KB/sec (avg: 790.09KB/sec),  0.41 (avg:  0.39) msec latency[RUN #1 17%,   5 secs]  2 threads:       99275 ops,   17432 (avg:   19853) ops/sec, 673.24KB/sec (avg: 766.72KB/sec),  0.45 (avg:  0.40) msec latency[RUN #1 20%,   6 secs]  2 threads:      115354 ops,   16077 (avg:   19224) ops/sec, 620.75KB/sec (avg: 742.39KB/sec),  0.49 (avg:  0.41) msec latency[RUN #1 23%,   7 secs]  2 threads:      130627 ops,   15271 (avg:   18659) ops/sec, 589.74KB/sec (avg: 720.58KB/sec),  0.52 (avg:  0.43) msec latency[RUN #1 27%,   8 secs]  2 threads:      146130 ops,   15499 (avg:   18264) ops/sec, 598.64KB/sec (avg: 705.34KB/sec),  0.51 (avg:  0.43) msec latency[RUN #1 30%,   9 secs]  2 threads:      160090 ops,   13958 (avg:   17786) ops/sec, 538.97KB/sec (avg: 686.85KB/sec),  0.57 (avg:  0.45) msec latency[RUN #1 33%,  10 secs]  2 threads:      168828 ops,    8737 (avg:   16881) ops/sec, 337.38KB/sec (avg: 651.91KB/sec),  0.91 (avg:  0.47) msec latency[RUN #1 37%,  11 secs]  2 threads:      179771 ops,   10942 (avg:   16341) ops/sec, 422.68KB/sec (avg: 631.07KB/sec),  0.73 (avg:  0.49) msec latency[RUN #1 40%,  12 secs]  2 threads:      191196 ops,   11423 (avg:   15931) ops/sec, 441.02KB/sec (avg: 615.23KB/sec),  0.69 (avg:  0.50) msec latency[RUN #1 43%,  13 secs]  2 threads:      205476 ops,   14278 (avg:   15804) ops/sec, 551.29KB/sec (avg: 610.31KB/sec),  0.56 (avg:  0.50) msec latency[RUN #1 47%,  14 secs]  2 threads:      219249 ops,   13771 (avg:   15659) ops/sec, 531.78KB/sec (avg: 604.70KB/sec),  0.58 (avg:  0.51) msec latency[RUN #1 50%,  15 secs]  2 threads:      228224 ops,    8973 (avg:   15213) ops/sec, 346.61KB/sec (avg: 587.50KB/sec),  0.89 (avg:  0.52) msec latency[RUN #1 53%,  16 secs]  2 threads:      235355 ops,    7130 (avg:   14708) ops/sec, 275.38KB/sec (avg: 567.99KB/sec),  1.12 (avg:  0.54) msec latency[RUN #1 57%,  17 secs]  2 threads:      240035 ops,    4679 (avg:   14118) ops/sec, 180.71KB/sec (avg: 545.21KB/sec),  1.70 (avg:  0.56) msec latency[RUN #1 60%,  18 secs]  2 threads:      244947 ops,    4911 (avg:   13606) ops/sec, 189.68KB/sec (avg: 525.46KB/sec),  1.62 (avg:  0.58) msec latency[RUN #1 63%,  19 secs]  2 threads:      255560 ops,   10612 (avg:   13449) ops/sec, 409.71KB/sec (avg: 519.36KB/sec),  0.74 (avg:  0.59) msec latency[RUN #1 67%,  20 secs]  2 threads:      267594 ops,   12032 (avg:   13378) ops/sec, 464.60KB/sec (avg: 516.63KB/sec),  0.67 (avg:  0.59) msec latency[RUN #1 70%,  21 secs]  2 threads:      277020 ops,    9424 (avg:   13190) ops/sec, 364.00KB/sec (avg: 509.36KB/sec),  0.84 (avg:  0.60) msec latency[RUN #1 73%,  22 secs]  2 threads:      288842 ops,   11820 (avg:   13127) ops/sec, 456.45KB/sec (avg: 506.95KB/sec),  0.67 (avg:  0.61) msec latency[RUN #1 77%,  23 secs]  2 threads:      301407 ops,   12563 (avg:   13103) ops/sec, 485.14KB/sec (avg: 506.00KB/sec),  0.63 (avg:  0.61) msec latency[RUN #1 80%,  24 secs]  2 threads:      313774 ops,   12365 (avg:   13072) ops/sec, 477.54KB/sec (avg: 504.82KB/sec),  0.64 (avg:  0.61) msec latency[RUN #1 83%,  25 secs]  2 threads:      321938 ops,    8163 (avg:   12876) ops/sec, 315.17KB/sec (avg: 497.23KB/sec),  0.98 (avg:  0.62) msec latency[RUN #1 87%,  26 secs]  2 threads:      338480 ops,   16540 (avg:   13017) ops/sec, 638.83KB/sec (avg: 502.68KB/sec),  0.48 (avg:  0.61) msec latency[RUN #1 90%,  27 secs]  2 threads:      343801 ops,    5320 (avg:   12732) ops/sec, 205.39KB/sec (avg: 491.67KB/sec),  1.50 (avg:  0.62) msec latency[RUN #1 93%,  28 secs]  2 threads:      348188 ops,    4386 (avg:   12434) ops/sec, 169.38KB/sec (avg: 480.16KB/sec),  1.80 (avg:  0.64) msec latency[RUN #1 97%,  29 secs]  2 threads:      359121 ops,   10931 (avg:   12382) ops/sec, 422.19KB/sec (avg: 478.16KB/sec),  0.74 (avg:  0.64) msec latency[RUN #1 100%,  30 secs]  0 threads:      368803 ops,   10931 (avg:   12293) ops/sec, 422.19KB/sec (avg: 474.72KB/sec),  0.74 (avg:  0.65) msec latency

2         Threads
4         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1117.72          ---          ---      0.65900        82.85
Gets       11175.60      2241.31      8934.29      0.64500       391.87
Totals     12293.32      2241.31      8934.29      0.64600       474.72


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.096      0.00030
GET       0.110      0.00179
GET       0.120      0.00418
GET       0.130      0.01730
GET       0.140      0.04832
GET       0.150      0.11632
GET       0.160      0.22430
GET       0.170      0.39341
GET       0.180      0.69198
GET       0.190      1.23452
GET       0.200      1.86088
GET       0.210      2.38434
GET       0.220      2.83949
GET       0.230      3.30061
GET       0.240      3.84734
GET       0.250      4.37944
GET       0.260      4.95897
GET       0.270      5.87018
GET       0.280      7.30722
GET       0.290      9.33961
GET       0.300     11.49309
GET       0.310     13.40736
GET       0.320     15.29927
GET       0.330     17.36028
GET       0.340     19.65813
GET       0.350     22.00280
GET       0.360     24.32391
GET       0.370     26.74016
GET       0.380     29.57906
GET       0.390     33.16660
GET       0.400     36.95369
GET       0.410     40.71632
GET       0.420     44.70831
GET       0.430     49.21750
GET       0.440     54.25850
GET       0.450     58.74114
GET       0.460     62.52196
GET       0.470     65.75606
GET       0.480     68.71397
GET       0.490     71.30560
GET       0.500     73.27684
GET       0.510     74.69062
GET       0.520     75.77154
GET       0.530     76.62488
GET       0.540     77.32431
GET       0.550     77.89520
GET       0.560     78.33216
GET       0.570     78.72169
GET       0.580     79.10705
GET       0.590     79.47332
GET       0.600     79.81931
GET       0.610     80.11519
GET       0.620     80.41942
GET       0.630     80.72783
GET       0.640     81.05503
GET       0.650     81.36105
GET       0.660     81.69690
GET       0.670     82.05631
GET       0.680     82.41035
GET       0.690     82.74769
GET       0.700     83.07310
GET       0.710     83.36898
GET       0.720     83.65591
GET       0.730     83.92077
GET       0.740     84.16236
GET       0.750     84.41231
GET       0.760     84.67508
GET       0.770     84.92473
GET       0.780     85.19973
GET       0.790     85.49860
GET       0.800     85.81028
GET       0.810     86.11780
GET       0.820     86.45842
GET       0.830     86.84437
GET       0.840     87.23630
GET       0.850     87.63269
GET       0.860     88.02163
GET       0.870     88.44308
GET       0.880     88.88064
GET       0.890     89.29493
GET       0.900     89.68983
GET       0.910     90.07788
GET       0.920     90.43818
GET       0.930     90.77403
GET       0.940     91.08721
GET       0.950     91.33924
GET       0.960     91.56354
GET       0.970     91.75771
GET       0.980     91.91788
GET       0.990     92.05479
GET       1.000     92.44044
GET       1.100     92.62179
GET       1.200     92.90455
GET       1.300     93.73134
GET       1.400     95.13528
GET       1.500     96.56069
GET       1.600     97.50172
GET       1.700     97.96732
GET       1.800     98.13375
GET       1.900     98.18386
GET       2.000     98.19310
GET       2.100     98.19638
GET       2.200     98.19788
GET       2.300     98.20056
GET       2.400     98.20295
GET       2.500     98.21279
GET       2.600     98.23069
GET       2.700     98.25186
GET       2.800     98.27960
GET       2.900     98.31420
GET       3.000     98.34850
GET       3.100     98.36938
GET       3.200     98.38936
GET       3.300     98.40040
GET       3.400     98.40338
GET       3.500     98.40786
GET       3.600     98.40845
GET       3.700     98.40905
GET       3.900     98.40994
GET       4.000     98.41024
GET       4.100     98.41293
GET       4.200     98.42038
GET       4.300     98.43112
GET       4.400     98.52835
GET       4.500     98.69598
GET       4.600     98.71835
GET       4.700     98.72521
GET       4.800     98.73446
GET       4.900     98.77860
GET       5.000     98.80843
GET       5.100     98.81409
GET       5.200     98.82364
GET       5.300     98.83557
GET       5.400     98.87017
GET       5.500     98.92147
GET       5.600     98.96919
GET       5.700     99.01274
GET       5.800     99.03123
GET       5.900     99.03451
GET       6.000     99.03600
GET       6.100     99.03630
GET       6.200     99.03779
GET       6.300     99.03809
GET       6.400     99.03988
GET       6.500     99.04167
GET       6.600     99.04197
GET       6.700     99.04227
GET       6.800     99.04257
GET       6.900     99.04376
GET       7.000     99.04555
GET       7.100     99.04972
GET       7.200     99.05092
GET       7.300     99.05271
GET       7.400     99.05479
GET       7.500     99.05778
GET       7.600     99.05867
GET       8.100     99.05927
GET       8.200     99.06971
GET       8.300     99.07925
GET       8.400     99.17082
GET       8.500     99.37364
GET       8.600     99.41063
GET       8.700     99.41301
GET       8.800     99.42822
GET       8.900     99.46193
GET       9.000     99.49951
GET       9.100     99.51174
GET       9.200     99.51591
GET       9.300     99.52516
GET       9.400     99.54276
GET       9.500     99.57109
GET       9.600     99.59704
GET       9.700     99.61315
GET       9.800     99.62180
GET       9.900     99.62418
GET      10.000     99.62478
GET      11.000     99.63403
GET      12.000     99.75065
GET      13.000     99.89322
GET      14.000     99.90575
GET      15.000     99.90754
GET      16.000     99.95138
GET      17.000     99.99254
GET      18.000     99.99463
GET      19.000     99.99553
GET      20.000     99.99702
GET      21.000     99.99791
GET      26.000    100.00000
