[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       18032 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       36448 ops,   18414 (avg:   18223) ops/sec, 711.03KB/sec (avg: 703.80KB/sec),  0.43 (avg:  0.44) msec latency[RUN #1 10%,   3 secs]  2 threads:       52336 ops,   15886 (avg:   17444) ops/sec, 613.59KB/sec (avg: 673.73KB/sec),  0.50 (avg:  0.45) msec latency[RUN #1 13%,   4 secs]  2 threads:       68286 ops,   15948 (avg:   17070) ops/sec, 615.75KB/sec (avg: 659.23KB/sec),  0.50 (avg:  0.46) msec latency[RUN #1 17%,   5 secs]  2 threads:       85553 ops,   17265 (avg:   17109) ops/sec, 666.80KB/sec (avg: 660.75KB/sec),  0.46 (avg:  0.46) msec latency[RUN #1 20%,   6 secs]  2 threads:      100383 ops,   14828 (avg:   16729) ops/sec, 572.63KB/sec (avg: 646.06KB/sec),  0.53 (avg:  0.47) msec latency[RUN #1 23%,   7 secs]  2 threads:      113955 ops,   13570 (avg:   16277) ops/sec, 523.91KB/sec (avg: 628.61KB/sec),  0.58 (avg:  0.49) msec latency[RUN #1 27%,   8 secs]  2 threads:      123186 ops,    9229 (avg:   15396) ops/sec, 356.43KB/sec (avg: 594.59KB/sec),  0.86 (avg:  0.52) msec latency[RUN #1 30%,   9 secs]  2 threads:      136730 ops,   13542 (avg:   15190) ops/sec, 523.10KB/sec (avg: 586.64KB/sec),  0.59 (avg:  0.52) msec latency[RUN #1 33%,  10 secs]  2 threads:      141680 ops,    4949 (avg:   14166) ops/sec, 191.07KB/sec (avg: 547.09KB/sec),  1.61 (avg:  0.56) msec latency[RUN #1 37%,  11 secs]  2 threads:      147097 ops,    5416 (avg:   13371) ops/sec, 209.18KB/sec (avg: 516.37KB/sec),  1.46 (avg:  0.59) msec latency[RUN #1 40%,  12 secs]  2 threads:      151183 ops,    4085 (avg:   12597) ops/sec, 157.78KB/sec (avg: 486.48KB/sec),  1.97 (avg:  0.63) msec latency[RUN #1 43%,  13 secs]  2 threads:      155186 ops,    4002 (avg:   11936) ops/sec, 154.56KB/sec (avg: 460.95KB/sec),  1.99 (avg:  0.67) msec latency[RUN #1 47%,  14 secs]  2 threads:      161223 ops,    6036 (avg:   11514) ops/sec, 233.05KB/sec (avg: 444.67KB/sec),  1.32 (avg:  0.69) msec latency[RUN #1 50%,  15 secs]  2 threads:      171231 ops,   10007 (avg:   11414) ops/sec, 386.42KB/sec (avg: 440.79KB/sec),  0.78 (avg:  0.70) msec latency[RUN #1 53%,  16 secs]  2 threads:      181530 ops,   10298 (avg:   11344) ops/sec, 397.78KB/sec (avg: 438.10KB/sec),  0.78 (avg:  0.70) msec latency[RUN #1 57%,  17 secs]  2 threads:      190255 ops,    8724 (avg:   11190) ops/sec, 336.86KB/sec (avg: 432.14KB/sec),  0.90 (avg:  0.71) msec latency[RUN #1 60%,  18 secs]  2 threads:      194795 ops,    4539 (avg:   10820) ops/sec, 175.26KB/sec (avg: 417.87KB/sec),  1.78 (avg:  0.73) msec latency[RUN #1 63%,  19 secs]  2 threads:      204361 ops,    9564 (avg:   10754) ops/sec, 369.35KB/sec (avg: 415.32KB/sec),  0.83 (avg:  0.74) msec latency[RUN #1 67%,  20 secs]  2 threads:      214329 ops,    9967 (avg:   10715) ops/sec, 384.81KB/sec (avg: 413.79KB/sec),  0.80 (avg:  0.74) msec latency[RUN #1 70%,  21 secs]  2 threads:      227919 ops,   13588 (avg:   10852) ops/sec, 524.83KB/sec (avg: 419.08KB/sec),  0.58 (avg:  0.73) msec latency[RUN #1 73%,  22 secs]  2 threads:      240208 ops,   12287 (avg:   10917) ops/sec, 474.54KB/sec (avg: 421.60KB/sec),  0.64 (avg:  0.73) msec latency[RUN #1 77%,  23 secs]  2 threads:      253340 ops,   13130 (avg:   11013) ops/sec, 507.00KB/sec (avg: 425.32KB/sec),  0.60 (avg:  0.72) msec latency[RUN #1 80%,  24 secs]  2 threads:      266248 ops,   12906 (avg:   11092) ops/sec, 498.35KB/sec (avg: 428.36KB/sec),  0.62 (avg:  0.72) msec latency[RUN #1 83%,  25 secs]  2 threads:      273791 ops,    7542 (avg:   10950) ops/sec, 291.21KB/sec (avg: 422.87KB/sec),  1.05 (avg:  0.73) msec latency[RUN #1 87%,  26 secs]  2 threads:      281739 ops,    7947 (avg:   10835) ops/sec, 306.92KB/sec (avg: 418.41KB/sec),  1.01 (avg:  0.73) msec latency[RUN #1 90%,  27 secs]  2 threads:      290668 ops,    8927 (avg:   10764) ops/sec, 344.66KB/sec (avg: 415.68KB/sec),  0.89 (avg:  0.74) msec latency[RUN #1 93%,  28 secs]  2 threads:      299170 ops,    8500 (avg:   10683) ops/sec, 328.32KB/sec (avg: 412.56KB/sec),  0.93 (avg:  0.74) msec latency[RUN #1 97%,  29 secs]  2 threads:      309474 ops,   10303 (avg:   10670) ops/sec, 397.86KB/sec (avg: 412.05KB/sec),  0.77 (avg:  0.75) msec latency[RUN #1 100%,  30 secs]  0 threads:      321685 ops,   10303 (avg:   10722) ops/sec, 397.86KB/sec (avg: 414.07KB/sec),  0.77 (avg:  0.74) msec latency

2         Threads
4         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         974.91          ---          ---      0.74000        72.27
Gets        9747.65      1766.09      7981.56      0.74100       341.80
Totals     10722.56      1766.09      7981.56      0.74100       414.07


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     97.44256
SET       2.000     97.55197
SET       3.000     97.58274
SET       4.000     98.08876
SET       5.000     98.50246
SET       6.000     98.51272
SET       7.000     98.51956
SET       8.000     99.05293
SET       9.000     99.33671
SET      10.000     99.37432
SET      11.000     99.38115
SET      12.000     99.76067
SET      13.000     99.85298
SET      14.000     99.85640
SET      16.000     99.98632
SET      17.000     99.99316
SET      20.000    100.00000
---
GET       0.097      0.00034
GET       0.098      0.00068
GET       0.100      0.00171
GET       0.110      0.00650
GET       0.120      0.01470
GET       0.130      0.04035
GET       0.140      0.10874
GET       0.150      0.24894
GET       0.160      0.47224
GET       0.170      0.78307
GET       0.180      1.36405
GET       0.190      2.37282
GET       0.200      3.51836
GET       0.210      4.44267
GET       0.220      5.21104
GET       0.230      5.88879
GET       0.240      6.61236
GET       0.250      7.16975
GET       0.260      7.50897
GET       0.270      7.73363
GET       0.280      7.95522
GET       0.290      8.25511
GET       0.300      8.69281
GET       0.310      9.28850
GET       0.320     10.22477
GET       0.330     11.63293
GET       0.340     13.58583
GET       0.350     15.83008
GET       0.360     18.19264
GET       0.370     20.72959
GET       0.380     23.67553
GET       0.390     27.12995
GET       0.400     30.84630
GET       0.410     34.59104
GET       0.420     38.53309
GET       0.430     42.91728
GET       0.440     47.68412
GET       0.450     52.20167
GET       0.460     56.23912
GET       0.470     59.84332
GET       0.480     63.20609
GET       0.490     66.25769
GET       0.500     68.74130
GET       0.510     70.65077
GET       0.520     72.13793
GET       0.530     73.30605
GET       0.540     74.20402
GET       0.550     74.85134
GET       0.560     75.30135
GET       0.570     75.63646
GET       0.580     75.87651
GET       0.590     76.07758
GET       0.600     76.23625
GET       0.610     76.36619
GET       0.620     76.50332
GET       0.630     76.65685
GET       0.640     76.85621
GET       0.650     77.10105
GET       0.660     77.38180
GET       0.670     77.72272
GET       0.680     78.14264
GET       0.690     78.57043
GET       0.700     79.00539
GET       0.710     79.41266
GET       0.720     79.82403
GET       0.730     80.22377
GET       0.740     80.60369
GET       0.750     80.96411
GET       0.760     81.31221
GET       0.770     81.66682
GET       0.780     82.01903
GET       0.790     82.39723
GET       0.800     82.77578
GET       0.810     83.16390
GET       0.820     83.56706
GET       0.830     84.02083
GET       0.840     84.49478
GET       0.850     84.97830
GET       0.860     85.46319
GET       0.870     85.98502
GET       0.880     86.50855
GET       0.890     87.05841
GET       0.900     87.56997
GET       0.910     88.04837
GET       0.920     88.50590
GET       0.930     88.93163
GET       0.940     89.34779
GET       0.950     89.69453
GET       0.960     89.99785
GET       0.970     90.27209
GET       0.980     90.49573
GET       0.990     90.68517
GET       1.000     91.33249
GET       1.100     91.68060
GET       1.200     92.14600
GET       1.300     93.10587
GET       1.400     94.42820
GET       1.500     95.62675
GET       1.600     96.51515
GET       1.700     97.04825
GET       1.800     97.29651
GET       1.900     97.40183
GET       2.000     97.43637
GET       2.100     97.44355
GET       2.200     97.45039
GET       2.300     97.45278
GET       2.400     97.45552
GET       2.500     97.46304
GET       2.600     97.47330
GET       2.700     97.48630
GET       2.800     97.49758
GET       2.900     97.50613
GET       3.000     97.51434
GET       3.100     97.52323
GET       3.200     97.52665
GET       3.300     97.52870
GET       3.400     97.53075
GET       3.500     97.53178
GET       3.600     97.53280
GET       3.700     97.53349
GET       3.800     97.53383
GET       3.900     97.53588
GET       4.000     97.53622
GET       4.200     97.54409
GET       4.300     97.54887
GET       4.400     97.63094
GET       4.500     97.83201
GET       4.600     97.88365
GET       4.700     97.89425
GET       4.800     97.91784
GET       4.900     97.97597
GET       5.000     98.01803
GET       5.100     98.03547
GET       5.200     98.05291
GET       5.300     98.09463
GET       5.400     98.15960
GET       5.500     98.23586
GET       5.600     98.31759
GET       5.700     98.37298
GET       5.800     98.40034
GET       5.900     98.41470
GET       6.000     98.41949
GET       6.100     98.42188
GET       6.200     98.42393
GET       6.300     98.42599
GET       6.400     98.42941
GET       6.500     98.43282
GET       6.600     98.43385
GET       6.700     98.43488
GET       6.800     98.43727
GET       6.900     98.43966
GET       7.000     98.44240
GET       7.100     98.44616
GET       7.200     98.44684
GET       7.400     98.44753
GET       7.500     98.44924
GET       7.700     98.45129
GET       7.800     98.45163
GET       8.200     98.46463
GET       8.300     98.47967
GET       8.400     98.58192
GET       8.500     98.82094
GET       8.600     98.87600
GET       8.700     98.88113
GET       8.800     98.90130
GET       8.900     98.98576
GET       9.000     99.05176
GET       9.100     99.07399
GET       9.200     99.08322
GET       9.300     99.10442
GET       9.400     99.14170
GET       9.500     99.19572
GET       9.600     99.24804
GET       9.700     99.28121
GET       9.800     99.29899
GET       9.900     99.30994
GET      10.000     99.31917
GET      11.000     99.33387
GET      12.000     99.55922
GET      13.000     99.83176
GET      14.000     99.86527
GET      15.000     99.86664
GET      16.000     99.93879
GET      17.000     99.98974
GET      18.000     99.99384
GET      19.000     99.99521
GET      20.000     99.99692
GET      21.000     99.99761
GET      22.000    100.00000
