[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       14009 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       18129 ops,    4119 (avg:    9064) ops/sec, 159.04KB/sec (avg: 350.04KB/sec),  0.97 (avg:  0.44) msec latency[RUN #1 10%,   3 secs]  2 threads:       21292 ops,    3162 (avg:    7096) ops/sec, 122.21KB/sec (avg: 274.09KB/sec),  1.26 (avg:  0.56) msec latency[RUN #1 13%,   4 secs]  2 threads:       32187 ops,   10894 (avg:    8046) ops/sec, 420.70KB/sec (avg: 310.75KB/sec),  0.36 (avg:  0.49) msec latency[RUN #1 17%,   5 secs]  2 threads:       47149 ops,   14960 (avg:    9429) ops/sec, 577.72KB/sec (avg: 364.14KB/sec),  0.26 (avg:  0.42) msec latency[RUN #1 20%,   6 secs]  2 threads:       58193 ops,   11043 (avg:    9698) ops/sec, 426.39KB/sec (avg: 374.52KB/sec),  0.36 (avg:  0.41) msec latency[RUN #1 23%,   7 secs]  2 threads:       67679 ops,    9485 (avg:    9667) ops/sec, 366.33KB/sec (avg: 373.35KB/sec),  0.42 (avg:  0.41) msec latency[RUN #1 27%,   8 secs]  2 threads:       77273 ops,    9593 (avg:    9658) ops/sec, 370.44KB/sec (avg: 372.98KB/sec),  0.41 (avg:  0.41) msec latency[RUN #1 30%,   9 secs]  2 threads:       85649 ops,    8375 (avg:    9515) ops/sec, 323.39KB/sec (avg: 367.47KB/sec),  0.47 (avg:  0.42) msec latency[RUN #1 33%,  10 secs]  2 threads:       94427 ops,    8777 (avg:    9441) ops/sec, 339.00KB/sec (avg: 364.62KB/sec),  0.45 (avg:  0.42) msec latency[RUN #1 37%,  11 secs]  2 threads:       99072 ops,    4644 (avg:    9005) ops/sec, 179.32KB/sec (avg: 347.78KB/sec),  0.85 (avg:  0.44) msec latency[RUN #1 40%,  12 secs]  2 threads:      105403 ops,    6330 (avg:    8782) ops/sec, 244.39KB/sec (avg: 339.16KB/sec),  0.63 (avg:  0.45) msec latency[RUN #1 43%,  13 secs]  2 threads:      112432 ops,    7028 (avg:    8647) ops/sec, 271.42KB/sec (avg: 333.95KB/sec),  0.56 (avg:  0.46) msec latency[RUN #1 47%,  14 secs]  2 threads:      123702 ops,   11268 (avg:    8835) ops/sec, 435.20KB/sec (avg: 341.18KB/sec),  0.35 (avg:  0.45) msec latency[RUN #1 50%,  15 secs]  2 threads:      136107 ops,   12403 (avg:    9073) ops/sec, 478.91KB/sec (avg: 350.37KB/sec),  0.32 (avg:  0.44) msec latency[RUN #1 53%,  16 secs]  2 threads:      148244 ops,   12134 (avg:    9264) ops/sec, 468.59KB/sec (avg: 357.75KB/sec),  0.32 (avg:  0.43) msec latency[RUN #1 57%,  17 secs]  2 threads:      159187 ops,   10941 (avg:    9363) ops/sec, 422.52KB/sec (avg: 361.56KB/sec),  0.36 (avg:  0.42) msec latency[RUN #1 60%,  18 secs]  2 threads:      170272 ops,   11083 (avg:    9458) ops/sec, 428.09KB/sec (avg: 365.26KB/sec),  0.36 (avg:  0.42) msec latency[RUN #1 63%,  19 secs]  2 threads:      182818 ops,   12544 (avg:    9621) ops/sec, 484.41KB/sec (avg: 371.53KB/sec),  0.31 (avg:  0.41) msec latency[RUN #1 67%,  20 secs]  2 threads:      191620 ops,    8800 (avg:    9580) ops/sec, 339.83KB/sec (avg: 369.95KB/sec),  0.45 (avg:  0.41) msec latency[RUN #1 70%,  21 secs]  2 threads:      202611 ops,   10989 (avg:    9647) ops/sec, 424.45KB/sec (avg: 372.54KB/sec),  0.36 (avg:  0.41) msec latency[RUN #1 73%,  22 secs]  2 threads:      208873 ops,    6261 (avg:    9493) ops/sec, 241.78KB/sec (avg: 366.60KB/sec),  0.63 (avg:  0.42) msec latency[RUN #1 77%,  23 secs]  2 threads:      218447 ops,    9572 (avg:    9496) ops/sec, 369.72KB/sec (avg: 366.73KB/sec),  0.41 (avg:  0.42) msec latency[RUN #1 80%,  24 secs]  2 threads:      230919 ops,   12470 (avg:    9620) ops/sec, 481.61KB/sec (avg: 371.52KB/sec),  0.32 (avg:  0.41) msec latency[RUN #1 83%,  25 secs]  2 threads:      244404 ops,   13483 (avg:    9775) ops/sec, 520.70KB/sec (avg: 377.49KB/sec),  0.29 (avg:  0.40) msec latency[RUN #1 87%,  26 secs]  2 threads:      258541 ops,   14134 (avg:    9942) ops/sec, 545.91KB/sec (avg: 383.97KB/sec),  0.28 (avg:  0.40) msec latency[RUN #1 90%,  27 secs]  2 threads:      273488 ops,   14945 (avg:   10128) ops/sec, 577.27KB/sec (avg: 391.12KB/sec),  0.26 (avg:  0.39) msec latency[RUN #1 93%,  28 secs]  2 threads:      289784 ops,   16294 (avg:   10348) ops/sec, 629.29KB/sec (avg: 399.63KB/sec),  0.24 (avg:  0.38) msec latency[RUN #1 97%,  29 secs]  2 threads:      306201 ops,   16415 (avg:   10557) ops/sec, 633.96KB/sec (avg: 407.71KB/sec),  0.24 (avg:  0.37) msec latency[RUN #1 100%,  30 secs]  0 threads:      323209 ops,   16415 (avg:   10773) ops/sec, 633.96KB/sec (avg: 416.05KB/sec),  0.24 (avg:  0.37) msec latency

2         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         979.46          ---          ---      0.37000        72.60
Gets        9794.13      3096.46      6697.68      0.36500       343.45
Totals     10773.59      3096.46      6697.68      0.36600       416.06


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     98.77484
SET       2.000     98.77825
SET       4.000     99.24108
SET       5.000     99.28533
SET       6.000     99.29553
SET       7.000     99.30234
SET       8.000     99.67669
SET       9.000     99.69371
SET      12.000     99.96597
SET      13.000     99.96937
SET      16.000     99.99660
SET      20.000    100.00000
---
GET       0.065      0.00068
GET       0.069      0.00102
GET       0.071      0.00136
GET       0.072      0.00238
GET       0.073      0.00306
GET       0.074      0.00442
GET       0.075      0.00476
GET       0.076      0.00647
GET       0.077      0.00987
GET       0.078      0.01259
GET       0.079      0.01429
GET       0.080      0.01838
GET       0.081      0.02144
GET       0.082      0.02825
GET       0.083      0.03437
GET       0.084      0.04390
GET       0.085      0.05377
GET       0.086      0.06466
GET       0.087      0.08372
GET       0.088      0.10278
GET       0.089      0.11912
GET       0.090      0.14362
GET       0.091      0.17153
GET       0.092      0.20590
GET       0.093      0.24232
GET       0.094      0.27976
GET       0.095      0.32911
GET       0.096      0.37573
GET       0.097      0.42815
GET       0.098      0.48226
GET       0.099      0.53842
GET       0.100      0.81783
GET       0.110      1.54820
GET       0.120      2.57500
GET       0.130      4.61125
GET       0.140      9.33787
GET       0.150     14.73054
GET       0.160     18.71182
GET       0.170     21.91134
GET       0.180     25.32017
GET       0.190     29.58019
GET       0.200     32.94070
GET       0.210     35.04297
GET       0.220     36.76780
GET       0.230     38.80439
GET       0.240     41.68570
GET       0.250     44.91755
GET       0.260     48.24845
GET       0.270     51.76687
GET       0.280     56.01804
GET       0.290     61.21058
GET       0.300     65.93006
GET       0.310     69.78678
GET       0.320     73.10950
GET       0.330     76.44857
GET       0.340     79.89620
GET       0.350     82.57807
GET       0.360     84.62214
GET       0.370     86.26870
GET       0.380     87.81315
GET       0.390     89.27116
GET       0.400     90.41198
GET       0.410     91.24853
GET       0.420     91.93874
GET       0.430     92.53195
GET       0.440     93.07173
GET       0.450     93.47877
GET       0.460     93.81060
GET       0.470     94.09240
GET       0.480     94.34119
GET       0.490     94.57262
GET       0.500     94.76117
GET       0.510     94.94257
GET       0.520     95.10048
GET       0.530     95.25670
GET       0.540     95.42006
GET       0.550     95.56743
GET       0.560     95.71343
GET       0.570     95.84855
GET       0.580     95.98434
GET       0.590     96.11674
GET       0.600     96.24470
GET       0.610     96.38560
GET       0.620     96.51663
GET       0.630     96.64971
GET       0.640     96.79163
GET       0.650     96.92844
GET       0.660     97.06798
GET       0.670     97.17859
GET       0.680     97.29635
GET       0.690     97.41717
GET       0.700     97.51485
GET       0.710     97.60163
GET       0.720     97.69829
GET       0.730     97.77725
GET       0.740     97.85621
GET       0.750     97.92393
GET       0.760     97.98520
GET       0.770     98.04578
GET       0.780     98.09649
GET       0.790     98.13971
GET       0.800     98.18157
GET       0.810     98.22003
GET       0.820     98.25270
GET       0.830     98.27653
GET       0.840     98.30511
GET       0.850     98.32758
GET       0.860     98.34698
GET       0.870     98.36399
GET       0.880     98.37829
GET       0.890     98.38577
GET       0.900     98.39837
GET       0.910     98.40790
GET       0.920     98.41913
GET       0.930     98.43002
GET       0.940     98.43648
GET       0.950     98.44431
GET       0.960     98.45214
GET       0.970     98.45997
GET       0.980     98.46711
GET       0.990     98.47358
GET       1.000     98.50762
GET       1.100     98.58011
GET       1.200     98.64920
GET       1.300     98.70978
GET       1.400     98.75266
GET       1.500     98.77512
GET       1.600     98.78601
GET       1.700     98.78908
GET       1.800     98.79078
GET       1.900     98.79248
GET       2.500     98.79282
GET       2.600     98.79350
GET       2.800     98.79452
GET       3.000     98.79622
GET       3.200     98.79758
GET       3.500     98.79792
GET       3.600     98.79826
GET       3.700     98.79894
GET       3.900     98.79963
GET       4.000     98.80439
GET       4.100     98.81290
GET       4.200     98.86667
GET       4.300     98.92657
GET       4.400     99.02629
GET       4.500     99.08653
GET       4.600     99.14779
GET       4.700     99.21314
GET       4.800     99.23696
GET       4.900     99.25500
GET       5.000     99.25976
GET       5.100     99.26453
GET       5.200     99.26861
GET       5.300     99.27508
GET       5.400     99.27950
GET       5.500     99.28189
GET       5.600     99.28325
GET       5.700     99.28495
GET       5.800     99.28699
GET       5.900     99.28733
GET       6.100     99.28767
GET       6.200     99.28835
GET       6.300     99.29141
GET       6.400     99.29244
GET       7.100     99.29380
GET       7.200     99.29584
GET       7.300     99.29618
GET       7.800     99.29652
GET       7.900     99.29686
GET       8.000     99.29890
GET       8.100     99.31081
GET       8.200     99.38399
GET       8.300     99.46499
GET       8.400     99.56096
GET       8.500     99.62154
GET       8.600     99.65319
GET       8.700     99.67566
GET       8.800     99.69199
GET       8.900     99.70186
GET       9.000     99.70391
GET       9.100     99.70765
GET       9.200     99.71071
GET       9.300     99.71412
GET       9.400     99.71650
GET       9.500     99.71752
GET       9.600     99.71854
GET       9.700     99.71888
GET      10.000     99.72024
GET      12.000     99.91355
GET      13.000     99.96563
GET      14.000     99.96733
GET      15.000     99.96767
GET      16.000     99.99455
GET      17.000     99.99762
GET      20.000    100.00000
