[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:        7948 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:       22123 ops,   14173 (avg:   11061) ops/sec, 547.24KB/sec (avg: 427.23KB/sec),  0.56 (avg:  0.72) msec latency[RUN #1 10%,   3 secs]  2 threads:       43177 ops,   21051 (avg:   14392) ops/sec, 813.00KB/sec (avg: 555.83KB/sec),  0.38 (avg:  0.55) msec latency[RUN #1 13%,   4 secs]  2 threads:       51580 ops,    8402 (avg:   12894) ops/sec, 324.44KB/sec (avg: 497.98KB/sec),  0.94 (avg:  0.61) msec latency[RUN #1 17%,   5 secs]  2 threads:       57417 ops,    5836 (avg:   11482) ops/sec, 225.39KB/sec (avg: 443.46KB/sec),  1.37 (avg:  0.69) msec latency[RUN #1 20%,   6 secs]  2 threads:       61641 ops,    4223 (avg:   10272) ops/sec, 163.06KB/sec (avg: 396.72KB/sec),  1.89 (avg:  0.77) msec latency[RUN #1 23%,   7 secs]  2 threads:       69307 ops,    7665 (avg:    9900) ops/sec, 296.01KB/sec (avg: 382.34KB/sec),  1.04 (avg:  0.80) msec latency[RUN #1 27%,   8 secs]  2 threads:       79992 ops,   10683 (avg:    9998) ops/sec, 412.60KB/sec (avg: 386.12KB/sec),  0.74 (avg:  0.80) msec latency[RUN #1 30%,   9 secs]  2 threads:       94532 ops,   14538 (avg:   10502) ops/sec, 561.47KB/sec (avg: 405.60KB/sec),  0.55 (avg:  0.76) msec latency[RUN #1 33%,  10 secs]  2 threads:      103725 ops,    9192 (avg:   10371) ops/sec, 354.94KB/sec (avg: 400.54KB/sec),  0.87 (avg:  0.77) msec latency[RUN #1 37%,  11 secs]  2 threads:      109428 ops,    5702 (avg:    9947) ops/sec, 220.15KB/sec (avg: 384.14KB/sec),  1.40 (avg:  0.80) msec latency[RUN #1 40%,  12 secs]  2 threads:      112773 ops,    3344 (avg:    9396) ops/sec, 129.11KB/sec (avg: 362.89KB/sec),  2.38 (avg:  0.85) msec latency[RUN #1 43%,  13 secs]  2 threads:      122336 ops,    9562 (avg:    9409) ops/sec, 369.24KB/sec (avg: 363.37KB/sec),  0.84 (avg:  0.85) msec latency[RUN #1 47%,  14 secs]  2 threads:      132921 ops,   10583 (avg:    9493) ops/sec, 408.77KB/sec (avg: 366.62KB/sec),  0.74 (avg:  0.84) msec latency[RUN #1 50%,  15 secs]  2 threads:      142744 ops,    9821 (avg:    9515) ops/sec, 379.29KB/sec (avg: 367.46KB/sec),  0.82 (avg:  0.84) msec latency[RUN #1 53%,  16 secs]  2 threads:      147831 ops,    5086 (avg:    9238) ops/sec, 196.51KB/sec (avg: 356.78KB/sec),  1.57 (avg:  0.86) msec latency[RUN #1 57%,  17 secs]  2 threads:      153481 ops,    5649 (avg:    9027) ops/sec, 218.01KB/sec (avg: 348.61KB/sec),  1.40 (avg:  0.88) msec latency[RUN #1 60%,  18 secs]  2 threads:      161655 ops,    8173 (avg:    8980) ops/sec, 315.63KB/sec (avg: 346.78KB/sec),  0.98 (avg:  0.89) msec latency[RUN #1 63%,  19 secs]  2 threads:      169245 ops,    7589 (avg:    8906) ops/sec, 293.10KB/sec (avg: 343.96KB/sec),  1.05 (avg:  0.89) msec latency[RUN #1 67%,  20 secs]  2 threads:      176806 ops,    7560 (avg:    8839) ops/sec, 292.01KB/sec (avg: 341.36KB/sec),  1.05 (avg:  0.90) msec latency[RUN #1 70%,  21 secs]  2 threads:      179595 ops,    2788 (avg:    8551) ops/sec, 107.64KB/sec (avg: 330.23KB/sec),  2.87 (avg:  0.93) msec latency[RUN #1 73%,  22 secs]  2 threads:      191613 ops,   12016 (avg:    8708) ops/sec, 464.04KB/sec (avg: 336.31KB/sec),  0.66 (avg:  0.91) msec latency[RUN #1 77%,  23 secs]  2 threads:      210377 ops,   18762 (avg:    9145) ops/sec, 724.44KB/sec (avg: 353.19KB/sec),  0.42 (avg:  0.87) msec latency[RUN #1 80%,  24 secs]  2 threads:      228192 ops,   17812 (avg:    9507) ops/sec, 687.89KB/sec (avg: 367.13KB/sec),  0.44 (avg:  0.84) msec latency[RUN #1 83%,  25 secs]  2 threads:      242140 ops,   13946 (avg:    9684) ops/sec, 538.59KB/sec (avg: 373.99KB/sec),  0.57 (avg:  0.82) msec latency[RUN #1 87%,  26 secs]  2 threads:      256263 ops,   14121 (avg:    9855) ops/sec, 545.33KB/sec (avg: 380.58KB/sec),  0.56 (avg:  0.81) msec latency[RUN #1 90%,  27 secs]  2 threads:      273007 ops,   16742 (avg:   10110) ops/sec, 646.44KB/sec (avg: 390.43KB/sec),  0.47 (avg:  0.79) msec latency[RUN #1 93%,  28 secs]  2 threads:      288869 ops,   15860 (avg:   10315) ops/sec, 612.41KB/sec (avg: 398.36KB/sec),  0.50 (avg:  0.77) msec latency[RUN #1 97%,  29 secs]  2 threads:      306635 ops,   17764 (avg:   10572) ops/sec, 685.98KB/sec (avg: 408.27KB/sec),  0.45 (avg:  0.75) msec latency[RUN #1 100%,  30 secs]  0 threads:      329269 ops,   17764 (avg:   10975) ops/sec, 685.98KB/sec (avg: 423.83KB/sec),  0.45 (avg:  0.72) msec latency

2         Threads
4         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         997.92          ---          ---      0.73100        73.97
Gets        9977.59      1800.85      8176.75      0.72300       349.86
Totals     10975.52      1800.85      8176.75      0.72400       423.84


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.084      0.00033
GET       0.089      0.00067
GET       0.090      0.00134
GET       0.092      0.00167
GET       0.093      0.00301
GET       0.094      0.00367
GET       0.095      0.00401
GET       0.096      0.00501
GET       0.097      0.00568
GET       0.098      0.00668
GET       0.099      0.00702
GET       0.100      0.01203
GET       0.110      0.01938
GET       0.120      0.03675
GET       0.130      0.07049
GET       0.140      0.18875
GET       0.150      0.41994
GET       0.160      0.75034
GET       0.170      1.28720
GET       0.180      2.22262
GET       0.190      3.88132
GET       0.200      5.85071
GET       0.210      7.54349
GET       0.220      8.92691
GET       0.230     10.24652
GET       0.240     11.57548
GET       0.250     12.61246
GET       0.260     13.26425
GET       0.270     13.66714
GET       0.280     14.10946
GET       0.290     14.88319
GET       0.300     16.06683
GET       0.310     17.73388
GET       0.320     19.72866
GET       0.330     21.72110
GET       0.340     23.74529
GET       0.350     25.76913
GET       0.360     27.87215
GET       0.370     30.20803
GET       0.380     32.98222
GET       0.390     36.19338
GET       0.400     39.66846
GET       0.410     43.24878
GET       0.420     46.88088
GET       0.430     50.79594
GET       0.440     54.87003
GET       0.450     58.61304
GET       0.460     61.92576
GET       0.470     64.87667
GET       0.480     67.50554
GET       0.490     69.77360
GET       0.500     71.61470
GET       0.510     73.03353
GET       0.520     74.12931
GET       0.530     75.01428
GET       0.540     75.68812
GET       0.550     76.18222
GET       0.560     76.52331
GET       0.570     76.78790
GET       0.580     77.00138
GET       0.590     77.17243
GET       0.600     77.34314
GET       0.610     77.52789
GET       0.620     77.72466
GET       0.630     77.98925
GET       0.640     78.22511
GET       0.650     78.45696
GET       0.660     78.70785
GET       0.670     78.98547
GET       0.680     79.34828
GET       0.690     79.73748
GET       0.700     80.11098
GET       0.710     80.46844
GET       0.720     80.84161
GET       0.730     81.26422
GET       0.740     81.66812
GET       0.750     82.06200
GET       0.760     82.45020
GET       0.770     82.85143
GET       0.780     83.23795
GET       0.790     83.60243
GET       0.800     83.92883
GET       0.810     84.26291
GET       0.820     84.59231
GET       0.830     84.97917
GET       0.840     85.36336
GET       0.850     85.78764
GET       0.860     86.22729
GET       0.870     86.69500
GET       0.880     87.17239
GET       0.890     87.67852
GET       0.900     88.16795
GET       0.910     88.63566
GET       0.920     89.10738
GET       0.930     89.53767
GET       0.940     89.92286
GET       0.950     90.27531
GET       0.960     90.58066
GET       0.970     90.84124
GET       0.980     91.05539
GET       0.990     91.23646
GET       1.000     91.82109
GET       1.100     92.05629
GET       1.200     92.27010
GET       1.300     92.86375
GET       1.400     93.93581
GET       1.500     95.15219
GET       1.600     96.12302
GET       1.700     96.69429
GET       1.800     96.96156
GET       1.900     97.07180
GET       2.000     97.10354
GET       2.100     97.11056
GET       2.200     97.11256
GET       2.300     97.11356
GET       2.400     97.11857
GET       2.500     97.13027
GET       2.600     97.15298
GET       2.700     97.19307
GET       2.800     97.25054
GET       2.900     97.30466
GET       3.000     97.34508
GET       3.100     97.38483
GET       3.200     97.41657
GET       3.300     97.43595
GET       3.400     97.45232
GET       3.500     97.45867
GET       3.600     97.46201
GET       3.700     97.46435
GET       3.800     97.46501
GET       3.900     97.46702
GET       4.100     97.46802
GET       4.200     97.47437
GET       4.300     97.48205
GET       4.400     97.54686
GET       4.500     97.67014
GET       4.600     97.70655
GET       4.700     97.71223
GET       4.800     97.73294
GET       4.900     97.78372
GET       5.000     97.83851
GET       5.100     97.85455
GET       5.200     97.86891
GET       5.300     97.90099
GET       5.400     97.98250
GET       5.500     98.09676
GET       5.600     98.21569
GET       5.700     98.29152
GET       5.800     98.33495
GET       5.900     98.35567
GET       6.000     98.36201
GET       6.100     98.36736
GET       6.200     98.36970
GET       6.300     98.37237
GET       6.400     98.37304
GET       6.500     98.37738
GET       6.600     98.37905
GET       6.700     98.38674
GET       6.800     98.39642
GET       6.900     98.41112
GET       7.000     98.42315
GET       7.100     98.43317
GET       7.200     98.44253
GET       7.300     98.44587
GET       7.400     98.45054
GET       7.500     98.45522
GET       7.600     98.45622
GET       7.900     98.45723
GET       8.100     98.45823
GET       8.200     98.47460
GET       8.300     98.48863
GET       8.400     98.59386
GET       8.500     98.83473
GET       8.600     98.88251
GET       8.700     98.88685
GET       8.800     98.90322
GET       8.900     98.97070
GET       9.000     99.04721
GET       9.100     99.06525
GET       9.200     99.07093
GET       9.300     99.07928
GET       9.400     99.10400
GET       9.500     99.15178
GET       9.600     99.20757
GET       9.700     99.25300
GET       9.800     99.28374
GET       9.900     99.29209
GET      10.000     99.30178
GET      11.000     99.33184
GET      12.000     99.59142
GET      13.000     99.84265
GET      14.000     99.87038
GET      15.000     99.88207
GET      16.000     99.94020
GET      17.000     99.99499
GET      18.000     99.99566
GET      20.000     99.99766
GET      21.000    100.00000
