[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       18455 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       35350 ops,   16893 (avg:   17674) ops/sec, 652.41KB/sec (avg: 682.56KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 10%,   3 secs]  2 threads:       51258 ops,   15906 (avg:   17084) ops/sec, 614.25KB/sec (avg: 659.79KB/sec),  0.25 (avg:  0.23) msec latency[RUN #1 13%,   4 secs]  2 threads:       65956 ops,   14696 (avg:   16487) ops/sec, 567.48KB/sec (avg: 636.71KB/sec),  0.27 (avg:  0.24) msec latency[RUN #1 17%,   5 secs]  2 threads:       79035 ops,   13077 (avg:   15805) ops/sec, 505.01KB/sec (avg: 610.37KB/sec),  0.30 (avg:  0.25) msec latency[RUN #1 20%,   6 secs]  2 threads:       88388 ops,    9352 (avg:   14730) ops/sec, 361.17KB/sec (avg: 568.84KB/sec),  0.42 (avg:  0.27) msec latency[RUN #1 23%,   7 secs]  2 threads:      104989 ops,   16598 (avg:   14997) ops/sec, 640.93KB/sec (avg: 579.14KB/sec),  0.24 (avg:  0.26) msec latency[RUN #1 27%,   8 secs]  2 threads:      120875 ops,   15884 (avg:   15107) ops/sec, 613.47KB/sec (avg: 583.43KB/sec),  0.25 (avg:  0.26) msec latency[RUN #1 30%,   9 secs]  2 threads:      134411 ops,   13534 (avg:   14933) ops/sec, 522.56KB/sec (avg: 576.67KB/sec),  0.29 (avg:  0.26) msec latency[RUN #1 33%,  10 secs]  2 threads:      144690 ops,   10277 (avg:   14467) ops/sec, 396.87KB/sec (avg: 558.69KB/sec),  0.38 (avg:  0.27) msec latency[RUN #1 37%,  11 secs]  2 threads:      154553 ops,    9862 (avg:   14048) ops/sec, 380.83KB/sec (avg: 542.52KB/sec),  0.40 (avg:  0.28) msec latency[RUN #1 40%,  12 secs]  2 threads:      163656 ops,    9102 (avg:   13636) ops/sec, 351.51KB/sec (avg: 526.60KB/sec),  0.43 (avg:  0.29) msec latency[RUN #1 43%,  13 secs]  2 threads:      170538 ops,    6881 (avg:   13117) ops/sec, 265.74KB/sec (avg: 506.53KB/sec),  0.58 (avg:  0.30) msec latency[RUN #1 47%,  14 secs]  2 threads:      184944 ops,   14404 (avg:   13209) ops/sec, 556.26KB/sec (avg: 510.09KB/sec),  0.27 (avg:  0.30) msec latency[RUN #1 50%,  15 secs]  2 threads:      195019 ops,   10073 (avg:   13000) ops/sec, 389.13KB/sec (avg: 502.02KB/sec),  0.39 (avg:  0.30) msec latency[RUN #1 53%,  16 secs]  2 threads:      204598 ops,    9578 (avg:   12786) ops/sec, 369.86KB/sec (avg: 493.76KB/sec),  0.41 (avg:  0.31) msec latency[RUN #1 57%,  17 secs]  2 threads:      214324 ops,    9725 (avg:   12606) ops/sec, 375.52KB/sec (avg: 486.81KB/sec),  0.41 (avg:  0.31) msec latency[RUN #1 60%,  18 secs]  2 threads:      222981 ops,    8655 (avg:   12386) ops/sec, 334.27KB/sec (avg: 478.33KB/sec),  0.45 (avg:  0.32) msec latency[RUN #1 63%,  19 secs]  2 threads:      228938 ops,    5956 (avg:   12048) ops/sec, 230.02KB/sec (avg: 465.26KB/sec),  0.67 (avg:  0.33) msec latency[RUN #1 67%,  20 secs]  2 threads:      237011 ops,    8072 (avg:   11849) ops/sec, 311.74KB/sec (avg: 457.59KB/sec),  0.49 (avg:  0.33) msec latency[RUN #1 70%,  21 secs]  2 threads:      245547 ops,    8535 (avg:   11691) ops/sec, 329.63KB/sec (avg: 451.49KB/sec),  0.46 (avg:  0.34) msec latency[RUN #1 73%,  22 secs]  2 threads:      252868 ops,    7320 (avg:   11492) ops/sec, 282.78KB/sec (avg: 443.83KB/sec),  0.54 (avg:  0.34) msec latency[RUN #1 77%,  23 secs]  2 threads:      262778 ops,    9909 (avg:   11424) ops/sec, 382.73KB/sec (avg: 441.17KB/sec),  0.40 (avg:  0.34) msec latency[RUN #1 80%,  24 secs]  2 threads:      269893 ops,    7114 (avg:   11244) ops/sec, 274.80KB/sec (avg: 434.24KB/sec),  0.56 (avg:  0.35) msec latency[RUN #1 83%,  25 secs]  2 threads:      275246 ops,    5352 (avg:   11008) ops/sec, 206.65KB/sec (avg: 425.13KB/sec),  0.75 (avg:  0.36) msec latency[RUN #1 87%,  26 secs]  2 threads:      284419 ops,    9172 (avg:   10938) ops/sec, 354.26KB/sec (avg: 422.41KB/sec),  0.43 (avg:  0.36) msec latency[RUN #1 90%,  27 secs]  2 threads:      290757 ops,    6337 (avg:   10767) ops/sec, 244.74KB/sec (avg: 415.83KB/sec),  0.63 (avg:  0.37) msec latency[RUN #1 93%,  28 secs]  2 threads:      294701 ops,    3943 (avg:   10524) ops/sec, 152.33KB/sec (avg: 406.42KB/sec),  1.01 (avg:  0.38) msec latency[RUN #1 97%,  29 secs]  2 threads:      302086 ops,    7384 (avg:   10415) ops/sec, 285.18KB/sec (avg: 402.24KB/sec),  0.54 (avg:  0.38) msec latency[RUN #1 100%,  30 secs]  0 threads:      315669 ops,    7384 (avg:   10522) ops/sec, 285.18KB/sec (avg: 406.35KB/sec),  0.54 (avg:  0.38) msec latency

2         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         956.67          ---          ---      0.37400        70.92
Gets        9565.63      2810.83      6754.80      0.37500       335.44
Totals     10522.30      2810.83      6754.80      0.37500       406.35


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.062      0.00035
GET       0.063      0.00070
GET       0.066      0.00139
GET       0.067      0.00209
GET       0.068      0.00244
GET       0.069      0.00348
GET       0.071      0.00383
GET       0.072      0.00488
GET       0.073      0.00558
GET       0.074      0.00697
GET       0.075      0.00871
GET       0.076      0.00976
GET       0.077      0.01115
GET       0.078      0.01429
GET       0.079      0.01812
GET       0.080      0.01986
GET       0.081      0.02265
GET       0.082      0.02892
GET       0.083      0.03345
GET       0.084      0.04356
GET       0.085      0.05227
GET       0.086      0.06238
GET       0.087      0.07492
GET       0.088      0.08816
GET       0.089      0.10698
GET       0.090      0.12615
GET       0.091      0.15263
GET       0.092      0.18260
GET       0.093      0.22093
GET       0.094      0.25752
GET       0.095      0.29550
GET       0.096      0.33836
GET       0.097      0.38889
GET       0.098      0.44081
GET       0.099      0.48890
GET       0.100      0.75688
GET       0.110      1.32593
GET       0.120      2.01415
GET       0.130      3.73664
GET       0.140      8.52531
GET       0.150     14.86641
GET       0.160     19.81852
GET       0.170     23.90502
GET       0.180     28.79405
GET       0.190     35.28674
GET       0.200     40.49636
GET       0.210     43.86293
GET       0.220     46.51966
GET       0.230     49.36387
GET       0.240     52.96182
GET       0.250     56.39111
GET       0.260     59.25762
GET       0.270     61.79692
GET       0.280     64.71326
GET       0.290     68.13593
GET       0.300     71.11221
GET       0.310     73.49330
GET       0.320     75.70400
GET       0.330     78.01783
GET       0.340     80.53483
GET       0.350     82.69290
GET       0.360     84.39657
GET       0.370     85.82948
GET       0.380     87.21151
GET       0.390     88.50608
GET       0.400     89.51211
GET       0.410     90.25609
GET       0.420     90.85476
GET       0.430     91.39001
GET       0.440     91.86951
GET       0.450     92.28070
GET       0.460     92.59990
GET       0.470     92.87136
GET       0.480     93.14699
GET       0.490     93.41079
GET       0.500     93.62858
GET       0.510     93.81013
GET       0.520     93.98437
GET       0.530     94.16592
GET       0.540     94.33040
GET       0.550     94.48547
GET       0.560     94.64263
GET       0.570     94.77714
GET       0.580     94.93151
GET       0.590     95.10261
GET       0.600     95.24269
GET       0.610     95.38347
GET       0.620     95.51798
GET       0.630     95.66190
GET       0.640     95.80408
GET       0.650     95.94974
GET       0.660     96.07066
GET       0.670     96.18600
GET       0.680     96.29995
GET       0.690     96.40937
GET       0.700     96.49753
GET       0.710     96.58325
GET       0.720     96.66619
GET       0.730     96.74494
GET       0.740     96.81464
GET       0.750     96.87527
GET       0.760     96.92859
GET       0.770     96.98051
GET       0.780     97.03348
GET       0.790     97.07634
GET       0.800     97.11920
GET       0.810     97.15474
GET       0.820     97.18680
GET       0.830     97.21851
GET       0.840     97.24256
GET       0.850     97.27253
GET       0.860     97.30215
GET       0.870     97.32445
GET       0.880     97.35058
GET       0.890     97.37324
GET       0.900     97.39136
GET       0.910     97.41435
GET       0.920     97.43317
GET       0.930     97.44746
GET       0.940     97.46419
GET       0.950     97.47882
GET       0.960     97.49590
GET       0.970     97.51227
GET       0.980     97.52587
GET       0.990     97.54155
GET       1.000     97.66874
GET       1.100     97.94403
GET       1.200     98.23883
GET       1.300     98.47301
GET       1.400     98.62215
GET       1.500     98.69150
GET       1.600     98.72495
GET       1.700     98.73401
GET       1.800     98.73645
GET       1.900     98.73784
GET       2.000     98.73854
GET       2.100     98.74028
GET       2.200     98.74098
GET       2.300     98.74342
GET       2.400     98.74377
GET       2.600     98.74412
GET       2.700     98.74551
GET       2.800     98.74655
GET       3.100     98.74690
GET       3.200     98.74760
GET       3.300     98.74865
GET       3.800     98.74934
GET       3.900     98.75074
GET       4.100     98.75840
GET       4.200     98.82217
GET       4.300     98.87200
GET       4.400     98.94797
GET       4.500     98.99745
GET       4.600     99.03125
GET       4.700     99.06471
GET       4.800     99.08701
GET       4.900     99.09607
GET       5.000     99.10652
GET       5.100     99.11175
GET       5.200     99.11907
GET       5.300     99.12917
GET       5.400     99.14381
GET       5.500     99.15008
GET       5.600     99.15426
GET       5.700     99.15531
GET       5.800     99.15635
GET       5.900     99.15740
GET       6.000     99.15879
GET       6.100     99.16019
GET       6.200     99.16158
GET       6.400     99.16437
GET       6.700     99.16507
GET       6.800     99.16576
GET       7.400     99.16611
GET       7.600     99.16646
GET       7.700     99.16681
GET       7.800     99.16716
GET       8.000     99.16785
GET       8.100     99.18110
GET       8.200     99.28424
GET       8.300     99.34383
GET       8.400     99.43478
GET       8.500     99.49123
GET       8.600     99.51911
GET       8.700     99.54803
GET       8.800     99.56197
GET       8.900     99.56825
GET       9.000     99.57138
GET       9.100     99.57556
GET       9.200     99.58184
GET       9.300     99.58602
GET       9.400     99.59159
GET       9.500     99.59438
GET       9.600     99.59682
GET       9.700     99.59856
GET       9.800     99.59961
GET       9.900     99.60065
GET      10.000     99.60205
GET      12.000     99.90940
GET      13.000     99.94355
GET      14.000     99.94494
GET      16.000     99.98746
GET      17.000     99.99338
GET      19.000     99.99477
GET      20.000     99.99617
GET      21.000     99.99756
GET      24.000    100.00000
