[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       23205 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       40733 ops,   17502 (avg:   20352) ops/sec, 675.90KB/sec (avg: 785.99KB/sec),  0.22 (avg:  0.19) msec latency[RUN #1 10%,   3 secs]  2 threads:       51263 ops,   10528 (avg:   17079) ops/sec, 406.56KB/sec (avg: 659.56KB/sec),  0.37 (avg:  0.23) msec latency[RUN #1 13%,   4 secs]  2 threads:       62718 ops,   11453 (avg:   15673) ops/sec, 442.30KB/sec (avg: 605.26KB/sec),  0.34 (avg:  0.25) msec latency[RUN #1 17%,   5 secs]  2 threads:       69391 ops,    6672 (avg:   13873) ops/sec, 257.66KB/sec (avg: 535.76KB/sec),  0.59 (avg:  0.28) msec latency[RUN #1 20%,   6 secs]  2 threads:       79443 ops,   10051 (avg:   13236) ops/sec, 388.10KB/sec (avg: 511.16KB/sec),  0.39 (avg:  0.30) msec latency[RUN #1 23%,   7 secs]  2 threads:       89650 ops,   10206 (avg:   12803) ops/sec, 394.18KB/sec (avg: 494.45KB/sec),  0.39 (avg:  0.31) msec latency[RUN #1 27%,   8 secs]  2 threads:       98496 ops,    8845 (avg:   12309) ops/sec, 341.51KB/sec (avg: 475.33KB/sec),  0.45 (avg:  0.32) msec latency[RUN #1 30%,   9 secs]  2 threads:      107094 ops,    8597 (avg:   11896) ops/sec, 331.97KB/sec (avg: 459.41KB/sec),  0.46 (avg:  0.33) msec latency[RUN #1 33%,  10 secs]  2 threads:      115310 ops,    8215 (avg:   11528) ops/sec, 317.29KB/sec (avg: 445.20KB/sec),  0.48 (avg:  0.34) msec latency[RUN #1 37%,  11 secs]  2 threads:      124800 ops,    9489 (avg:   11343) ops/sec, 366.46KB/sec (avg: 438.04KB/sec),  0.42 (avg:  0.35) msec latency[RUN #1 40%,  12 secs]  2 threads:      134158 ops,    9357 (avg:   11177) ops/sec, 361.25KB/sec (avg: 431.64KB/sec),  0.42 (avg:  0.35) msec latency[RUN #1 43%,  13 secs]  2 threads:      141934 ops,    7775 (avg:   10915) ops/sec, 300.24KB/sec (avg: 421.53KB/sec),  0.51 (avg:  0.36) msec latency[RUN #1 47%,  14 secs]  2 threads:      151933 ops,    9998 (avg:   10850) ops/sec, 386.10KB/sec (avg: 419.00KB/sec),  0.39 (avg:  0.36) msec latency[RUN #1 50%,  15 secs]  2 threads:      160815 ops,    8881 (avg:   10719) ops/sec, 342.99KB/sec (avg: 413.94KB/sec),  0.44 (avg:  0.37) msec latency[RUN #1 53%,  16 secs]  2 threads:      172363 ops,   11546 (avg:   10770) ops/sec, 445.85KB/sec (avg: 415.93KB/sec),  0.34 (avg:  0.37) msec latency[RUN #1 57%,  17 secs]  2 threads:      181374 ops,    9009 (avg:   10667) ops/sec, 347.95KB/sec (avg: 411.93KB/sec),  0.44 (avg:  0.37) msec latency[RUN #1 60%,  18 secs]  2 threads:      189078 ops,    7703 (avg:   10502) ops/sec, 297.47KB/sec (avg: 405.57KB/sec),  0.51 (avg:  0.38) msec latency[RUN #1 63%,  19 secs]  2 threads:      198964 ops,    9885 (avg:   10470) ops/sec, 381.83KB/sec (avg: 404.32KB/sec),  0.40 (avg:  0.38) msec latency[RUN #1 67%,  20 secs]  2 threads:      207947 ops,    8982 (avg:   10395) ops/sec, 346.87KB/sec (avg: 401.45KB/sec),  0.44 (avg:  0.38) msec latency[RUN #1 70%,  21 secs]  2 threads:      216620 ops,    8672 (avg:   10313) ops/sec, 334.86KB/sec (avg: 398.28KB/sec),  0.45 (avg:  0.38) msec latency[RUN #1 73%,  22 secs]  2 threads:      225977 ops,    9356 (avg:   10270) ops/sec, 361.31KB/sec (avg: 396.60KB/sec),  0.42 (avg:  0.38) msec latency[RUN #1 77%,  23 secs]  2 threads:      233961 ops,    7983 (avg:   10170) ops/sec, 308.27KB/sec (avg: 392.76KB/sec),  0.50 (avg:  0.39) msec latency[RUN #1 80%,  24 secs]  2 threads:      244555 ops,   10593 (avg:   10188) ops/sec, 409.17KB/sec (avg: 393.44KB/sec),  0.37 (avg:  0.39) msec latency[RUN #1 83%,  25 secs]  2 threads:      253683 ops,    9127 (avg:   10145) ops/sec, 352.51KB/sec (avg: 391.81KB/sec),  0.43 (avg:  0.39) msec latency[RUN #1 87%,  26 secs]  2 threads:      262778 ops,    9094 (avg:   10105) ops/sec, 351.23KB/sec (avg: 390.25KB/sec),  0.43 (avg:  0.39) msec latency[RUN #1 90%,  27 secs]  2 threads:      269107 ops,    6328 (avg:    9965) ops/sec, 244.45KB/sec (avg: 384.85KB/sec),  0.63 (avg:  0.40) msec latency[RUN #1 93%,  28 secs]  2 threads:      275539 ops,    6431 (avg:    9839) ops/sec, 248.40KB/sec (avg: 379.97KB/sec),  0.62 (avg:  0.40) msec latency[RUN #1 97%,  29 secs]  2 threads:      282382 ops,    6842 (avg:    9736) ops/sec, 264.24KB/sec (avg: 375.98KB/sec),  0.58 (avg:  0.41) msec latency[RUN #1 100%,  30 secs]  0 threads:      292737 ops,    6842 (avg:    9757) ops/sec, 264.24KB/sec (avg: 376.83KB/sec),  0.58 (avg:  0.40) msec latency

2         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         887.16          ---          ---      0.41500        65.76
Gets        8870.66      2650.04      6220.61      0.40300       311.06
Totals      9757.82      2650.04      6220.61      0.40400       376.83


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     98.56472
SET       3.000     98.57599
SET       4.000     98.97802
SET       5.000     98.98929
SET       7.000     98.99681
SET       8.000     99.56416
SET       9.000     99.57918
SET      12.000     99.92861
SET      16.000    100.00000
---
GET       0.067      0.00038
GET       0.069      0.00113
GET       0.072      0.00150
GET       0.073      0.00188
GET       0.074      0.00225
GET       0.075      0.00263
GET       0.077      0.00376
GET       0.078      0.00601
GET       0.079      0.00864
GET       0.080      0.01127
GET       0.081      0.01616
GET       0.082      0.01992
GET       0.083      0.02367
GET       0.084      0.02931
GET       0.085      0.03870
GET       0.086      0.04885
GET       0.087      0.05824
GET       0.088      0.06914
GET       0.089      0.08492
GET       0.090      0.10071
GET       0.091      0.12438
GET       0.092      0.14843
GET       0.093      0.16872
GET       0.094      0.19728
GET       0.095      0.23072
GET       0.096      0.25702
GET       0.097      0.28972
GET       0.098      0.32466
GET       0.099      0.36149
GET       0.100      0.54148
GET       0.110      0.98827
GET       0.120      1.64060
GET       0.130      3.15682
GET       0.140      6.94494
GET       0.150     11.76603
GET       0.160     15.64921
GET       0.170     18.97062
GET       0.180     22.76738
GET       0.190     27.47800
GET       0.200     31.21350
GET       0.210     33.61278
GET       0.220     35.43751
GET       0.230     37.32536
GET       0.240     39.86179
GET       0.250     42.52448
GET       0.260     45.04137
GET       0.270     47.66385
GET       0.280     50.95370
GET       0.290     55.10292
GET       0.300     59.07854
GET       0.310     62.53297
GET       0.320     65.70408
GET       0.330     69.00745
GET       0.340     72.52463
GET       0.350     75.48230
GET       0.360     77.88834
GET       0.370     79.95393
GET       0.380     81.91919
GET       0.390     83.78450
GET       0.400     85.32703
GET       0.410     86.55692
GET       0.420     87.60982
GET       0.430     88.55375
GET       0.440     89.42853
GET       0.450     90.16429
GET       0.460     90.76100
GET       0.470     91.33405
GET       0.480     91.87591
GET       0.490     92.39371
GET       0.500     92.86267
GET       0.510     93.29969
GET       0.520     93.69237
GET       0.530     94.06099
GET       0.540     94.39430
GET       0.550     94.68514
GET       0.560     94.94029
GET       0.570     95.15936
GET       0.580     95.36679
GET       0.590     95.53889
GET       0.600     95.68281
GET       0.610     95.80343
GET       0.620     95.91466
GET       0.630     96.00897
GET       0.640     96.09014
GET       0.650     96.16943
GET       0.660     96.23857
GET       0.670     96.30395
GET       0.680     96.37610
GET       0.690     96.43472
GET       0.700     96.49146
GET       0.710     96.54745
GET       0.720     96.60456
GET       0.730     96.66469
GET       0.740     96.72556
GET       0.750     96.79395
GET       0.760     96.85182
GET       0.770     96.92772
GET       0.780     96.99799
GET       0.790     97.07803
GET       0.800     97.15206
GET       0.810     97.21744
GET       0.820     97.27982
GET       0.830     97.35572
GET       0.840     97.41547
GET       0.850     97.47822
GET       0.860     97.53797
GET       0.870     97.59809
GET       0.880     97.65371
GET       0.890     97.70030
GET       0.900     97.74352
GET       0.910     97.77921
GET       0.920     97.81341
GET       0.930     97.85324
GET       0.940     97.89007
GET       0.950     97.91487
GET       0.960     97.94981
GET       0.970     97.98964
GET       0.980     98.02722
GET       0.990     98.06179
GET       1.000     98.23314
GET       1.100     98.45146
GET       1.200     98.53188
GET       1.300     98.59951
GET       1.400     98.63446
GET       1.500     98.65513
GET       1.600     98.66790
GET       1.700     98.67241
GET       1.800     98.67504
GET       1.900     98.67542
GET       2.200     98.67580
GET       2.500     98.67617
GET       2.700     98.67730
GET       2.800     98.67767
GET       2.900     98.67918
GET       3.000     98.67993
GET       3.300     98.68030
GET       3.700     98.68068
GET       3.800     98.68143
GET       3.900     98.68256
GET       4.000     98.68444
GET       4.100     98.69120
GET       4.200     98.76109
GET       4.300     98.84188
GET       4.400     98.96626
GET       4.500     99.01925
GET       4.600     99.03428
GET       4.700     99.04067
GET       4.800     99.04968
GET       4.900     99.05607
GET       5.000     99.05870
GET       5.100     99.06133
GET       5.200     99.06396
GET       5.300     99.06622
GET       5.400     99.06772
GET       5.600     99.06847
GET       5.700     99.06960
GET       5.800     99.06998
GET       6.400     99.07185
GET       6.500     99.07298
GET       6.600     99.07486
GET       6.700     99.07561
GET       6.900     99.07636
GET       7.000     99.07712
GET       7.100     99.07749
GET       7.200     99.07862
GET       7.300     99.07899
GET       8.000     99.07937
GET       8.100     99.09590
GET       8.200     99.21427
GET       8.300     99.31986
GET       8.400     99.49347
GET       8.500     99.57313
GET       8.600     99.58929
GET       8.700     99.59643
GET       8.800     99.60056
GET       8.900     99.60394
GET       9.000     99.60544
GET       9.100     99.60807
GET       9.200     99.60920
GET       9.300     99.61146
GET       9.400     99.61183
GET       9.500     99.61334
GET       9.600     99.61409
GET      10.000     99.61559
GET      12.000     99.87863
GET      13.000     99.91433
GET      14.000     99.91696
GET      16.000     99.99248
GET      17.000     99.99850
GET      20.000    100.00000
