[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       17848 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       34273 ops,   16423 (avg:   17136) ops/sec, 634.21KB/sec (avg: 661.76KB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 10%,   3 secs]  2 threads:       49655 ops,   15380 (avg:   16550) ops/sec, 593.99KB/sec (avg: 639.17KB/sec),  0.25 (avg:  0.24) msec latency[RUN #1 13%,   4 secs]  2 threads:       63977 ops,   14320 (avg:   15993) ops/sec, 552.91KB/sec (avg: 617.60KB/sec),  0.27 (avg:  0.25) msec latency[RUN #1 17%,   5 secs]  2 threads:       76560 ops,   12581 (avg:   15310) ops/sec, 485.93KB/sec (avg: 591.27KB/sec),  0.31 (avg:  0.26) msec latency[RUN #1 20%,   6 secs]  2 threads:       85974 ops,    9413 (avg:   14327) ops/sec, 363.47KB/sec (avg: 553.30KB/sec),  0.42 (avg:  0.27) msec latency[RUN #1 23%,   7 secs]  2 threads:      102276 ops,   16300 (avg:   14609) ops/sec, 629.42KB/sec (avg: 564.18KB/sec),  0.24 (avg:  0.27) msec latency[RUN #1 27%,   8 secs]  2 threads:      117891 ops,   15613 (avg:   14735) ops/sec, 602.95KB/sec (avg: 569.02KB/sec),  0.25 (avg:  0.27) msec latency[RUN #1 30%,   9 secs]  2 threads:      131225 ops,   13332 (avg:   14579) ops/sec, 514.79KB/sec (avg: 563.00KB/sec),  0.29 (avg:  0.27) msec latency[RUN #1 33%,  10 secs]  2 threads:      141446 ops,   10219 (avg:   14143) ops/sec, 394.66KB/sec (avg: 546.16KB/sec),  0.39 (avg:  0.28) msec latency[RUN #1 37%,  11 secs]  2 threads:      151349 ops,    9902 (avg:   13757) ops/sec, 382.39KB/sec (avg: 531.27KB/sec),  0.40 (avg:  0.29) msec latency[RUN #1 40%,  12 secs]  2 threads:      160470 ops,    9120 (avg:   13371) ops/sec, 352.19KB/sec (avg: 516.35KB/sec),  0.43 (avg:  0.29) msec latency[RUN #1 43%,  13 secs]  2 threads:      166854 ops,    6383 (avg:   12833) ops/sec, 246.49KB/sec (avg: 495.59KB/sec),  0.63 (avg:  0.31) msec latency[RUN #1 47%,  14 secs]  2 threads:      181010 ops,   14154 (avg:   12928) ops/sec, 546.59KB/sec (avg: 499.23KB/sec),  0.28 (avg:  0.30) msec latency[RUN #1 50%,  15 secs]  2 threads:      190925 ops,    9914 (avg:   12727) ops/sec, 382.91KB/sec (avg: 491.48KB/sec),  0.40 (avg:  0.31) msec latency[RUN #1 53%,  16 secs]  2 threads:      200240 ops,    9314 (avg:   12513) ops/sec, 359.74KB/sec (avg: 483.25KB/sec),  0.42 (avg:  0.31) msec latency[RUN #1 57%,  17 secs]  2 threads:      209701 ops,    9460 (avg:   12334) ops/sec, 365.29KB/sec (avg: 476.31KB/sec),  0.42 (avg:  0.32) msec latency[RUN #1 60%,  18 secs]  2 threads:      217972 ops,    8269 (avg:   12108) ops/sec, 319.34KB/sec (avg: 467.59KB/sec),  0.48 (avg:  0.33) msec latency[RUN #1 63%,  19 secs]  2 threads:      223905 ops,    5932 (avg:   11783) ops/sec, 229.08KB/sec (avg: 455.03KB/sec),  0.67 (avg:  0.33) msec latency[RUN #1 67%,  20 secs]  2 threads:      231919 ops,    8013 (avg:   11594) ops/sec, 309.53KB/sec (avg: 447.76KB/sec),  0.49 (avg:  0.34) msec latency[RUN #1 70%,  21 secs]  2 threads:      240378 ops,    8458 (avg:   11445) ops/sec, 326.63KB/sec (avg: 441.99KB/sec),  0.46 (avg:  0.34) msec latency[RUN #1 73%,  22 secs]  2 threads:      247504 ops,    7125 (avg:   11249) ops/sec, 275.14KB/sec (avg: 434.41KB/sec),  0.56 (avg:  0.35) msec latency[RUN #1 77%,  23 secs]  2 threads:      257356 ops,    9850 (avg:   11188) ops/sec, 380.57KB/sec (avg: 432.07KB/sec),  0.40 (avg:  0.35) msec latency[RUN #1 80%,  24 secs]  2 threads:      264100 ops,    6743 (avg:   11003) ops/sec, 260.46KB/sec (avg: 424.92KB/sec),  0.58 (avg:  0.36) msec latency[RUN #1 83%,  25 secs]  2 threads:      269285 ops,    5184 (avg:   10770) ops/sec, 200.26KB/sec (avg: 415.93KB/sec),  0.77 (avg:  0.37) msec latency[RUN #1 87%,  26 secs]  2 threads:      278299 ops,    9013 (avg:   10702) ops/sec, 348.06KB/sec (avg: 413.32KB/sec),  0.44 (avg:  0.37) msec latency[RUN #1 90%,  27 secs]  2 threads:      284811 ops,    6511 (avg:   10547) ops/sec, 251.43KB/sec (avg: 407.32KB/sec),  0.61 (avg:  0.37) msec latency[RUN #1 93%,  28 secs]  2 threads:      288986 ops,    4174 (avg:   10319) ops/sec, 161.23KB/sec (avg: 398.53KB/sec),  0.95 (avg:  0.38) msec latency[RUN #1 97%,  29 secs]  2 threads:      296604 ops,    7617 (avg:   10226) ops/sec, 294.20KB/sec (avg: 394.94KB/sec),  0.52 (avg:  0.39) msec latency[RUN #1 100%,  30 secs]  0 threads:      310336 ops,    7617 (avg:   10344) ops/sec, 294.20KB/sec (avg: 399.48KB/sec),  0.52 (avg:  0.38) msec latency

2         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         940.47          ---          ---      0.39200        69.71
Gets        9404.06      2769.26      6634.80      0.38000       329.77
Totals     10344.53      2769.26      6634.80      0.38100       399.49


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.063      0.00035
GET       0.069      0.00071
GET       0.071      0.00177
GET       0.072      0.00248
GET       0.073      0.00354
GET       0.074      0.00496
GET       0.075      0.00567
GET       0.076      0.00673
GET       0.077      0.00709
GET       0.078      0.00815
GET       0.079      0.00886
GET       0.080      0.00992
GET       0.081      0.01170
GET       0.082      0.01489
GET       0.083      0.01879
GET       0.084      0.02339
GET       0.085      0.02977
GET       0.086      0.03828
GET       0.087      0.04821
GET       0.088      0.06380
GET       0.089      0.07621
GET       0.090      0.09712
GET       0.091      0.12193
GET       0.092      0.15242
GET       0.093      0.17865
GET       0.094      0.21055
GET       0.095      0.24422
GET       0.096      0.27258
GET       0.097      0.30200
GET       0.098      0.33992
GET       0.099      0.37998
GET       0.100      0.58556
GET       0.110      0.97653
GET       0.120      1.51459
GET       0.130      2.98098
GET       0.140      7.29862
GET       0.150     13.16948
GET       0.160     17.73417
GET       0.170     21.69558
GET       0.180     26.44601
GET       0.190     32.95666
GET       0.200     38.22460
GET       0.210     41.60824
GET       0.220     44.25178
GET       0.230     47.11437
GET       0.240     50.69367
GET       0.250     54.15600
GET       0.260     57.05369
GET       0.270     59.75039
GET       0.280     62.72535
GET       0.290     66.31528
GET       0.300     69.52701
GET       0.310     72.13652
GET       0.320     74.48054
GET       0.330     76.95501
GET       0.340     79.55884
GET       0.350     81.77420
GET       0.360     83.54754
GET       0.370     85.04796
GET       0.380     86.44345
GET       0.390     87.77408
GET       0.400     88.84844
GET       0.410     89.67752
GET       0.420     90.34248
GET       0.430     90.92910
GET       0.440     91.45512
GET       0.450     91.87515
GET       0.460     92.22251
GET       0.470     92.51778
GET       0.480     92.80311
GET       0.490     93.08207
GET       0.500     93.31920
GET       0.510     93.52727
GET       0.520     93.71478
GET       0.530     93.90441
GET       0.540     94.09936
GET       0.550     94.28191
GET       0.560     94.43929
GET       0.570     94.60872
GET       0.580     94.77566
GET       0.590     94.94864
GET       0.600     95.11382
GET       0.610     95.27403
GET       0.620     95.41794
GET       0.630     95.59304
GET       0.640     95.74794
GET       0.650     95.89965
GET       0.660     96.03682
GET       0.670     96.16301
GET       0.680     96.29097
GET       0.690     96.41325
GET       0.700     96.52845
GET       0.710     96.63231
GET       0.720     96.72482
GET       0.730     96.81344
GET       0.740     96.89035
GET       0.750     96.96443
GET       0.760     97.02894
GET       0.770     97.08956
GET       0.780     97.14379
GET       0.790     97.19164
GET       0.800     97.23630
GET       0.810     97.27813
GET       0.820     97.31747
GET       0.830     97.35115
GET       0.840     97.37915
GET       0.850     97.40538
GET       0.860     97.43019
GET       0.870     97.44933
GET       0.880     97.46847
GET       0.890     97.49009
GET       0.900     97.50817
GET       0.910     97.52837
GET       0.920     97.55000
GET       0.930     97.56736
GET       0.940     97.58438
GET       0.950     97.59785
GET       0.960     97.61628
GET       0.970     97.63329
GET       0.980     97.65279
GET       0.990     97.66909
GET       1.000     97.79528
GET       1.100     98.05262
GET       1.200     98.31279
GET       1.300     98.51235
GET       1.400     98.62825
GET       1.500     98.68461
GET       1.600     98.71545
GET       1.700     98.72573
GET       1.800     98.72998
GET       1.900     98.73069
GET       2.000     98.73246
GET       2.100     98.73282
GET       2.200     98.73424
GET       2.300     98.73636
GET       2.400     98.73672
GET       2.500     98.73707
GET       2.700     98.73849
GET       3.000     98.73884
GET       3.200     98.73920
GET       3.300     98.73991
GET       3.400     98.74062
GET       3.800     98.74168
GET       3.900     98.74274
GET       4.000     98.74416
GET       4.100     98.75019
GET       4.200     98.80548
GET       4.300     98.86751
GET       4.400     98.94904
GET       4.500     98.99653
GET       4.600     99.03092
GET       4.700     99.06459
GET       4.800     99.09046
GET       4.900     99.10181
GET       5.000     99.10748
GET       5.100     99.11528
GET       5.200     99.12130
GET       5.300     99.13123
GET       5.400     99.13832
GET       5.500     99.14363
GET       5.600     99.14505
GET       5.700     99.14753
GET       5.800     99.14895
GET       5.900     99.15072
GET       6.000     99.15214
GET       6.100     99.15391
GET       6.200     99.15533
GET       6.400     99.15639
GET       6.600     99.15675
GET       6.700     99.15710
GET       6.800     99.15817
GET       7.900     99.15852
GET       8.000     99.15994
GET       8.100     99.17199
GET       8.200     99.25989
GET       8.300     99.33114
GET       8.400     99.42649
GET       8.500     99.47789
GET       8.600     99.50766
GET       8.700     99.52715
GET       8.800     99.54630
GET       8.900     99.55587
GET       9.000     99.56189
GET       9.100     99.57501
GET       9.200     99.58280
GET       9.300     99.59060
GET       9.400     99.59237
GET       9.500     99.59734
GET       9.600     99.59840
GET       9.700     99.59876
GET       9.800     99.59946
GET       9.900     99.60088
GET      10.000     99.60195
GET      12.000     99.90182
GET      13.000     99.94116
GET      14.000     99.94258
GET      16.000     99.98972
GET      17.000     99.99468
GET      19.000     99.99610
GET      20.000     99.99681
GET      21.000     99.99823
GET      24.000    100.00000
