[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       16168 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       30721 ops,   14551 (avg:   15360) ops/sec, 561.91KB/sec (avg: 593.18KB/sec),  0.27 (avg:  0.26) msec latency[RUN #1 10%,   3 secs]  2 threads:       43385 ops,   12662 (avg:   14461) ops/sec, 489.04KB/sec (avg: 558.47KB/sec),  0.31 (avg:  0.27) msec latency[RUN #1 13%,   4 secs]  2 threads:       52615 ops,    9229 (avg:   13153) ops/sec, 356.44KB/sec (avg: 507.96KB/sec),  0.42 (avg:  0.30) msec latency[RUN #1 17%,   5 secs]  2 threads:       61860 ops,    9243 (avg:   12371) ops/sec, 356.90KB/sec (avg: 477.74KB/sec),  0.43 (avg:  0.32) msec latency[RUN #1 20%,   6 secs]  2 threads:       64351 ops,    2490 (avg:   10724) ops/sec, 96.18KB/sec (avg: 414.15KB/sec),  1.60 (avg:  0.37) msec latency[RUN #1 23%,   7 secs]  2 threads:       67412 ops,    3060 (avg:    9629) ops/sec, 118.17KB/sec (avg: 371.87KB/sec),  1.31 (avg:  0.41) msec latency[RUN #1 27%,   8 secs]  2 threads:       70226 ops,    2813 (avg:    8777) ops/sec, 108.70KB/sec (avg: 338.97KB/sec),  1.41 (avg:  0.45) msec latency[RUN #1 30%,   9 secs]  2 threads:       73829 ops,    3602 (avg:    8202) ops/sec, 139.09KB/sec (avg: 316.76KB/sec),  1.10 (avg:  0.48) msec latency[RUN #1 33%,  10 secs]  2 threads:       82341 ops,    8510 (avg:    8233) ops/sec, 328.64KB/sec (avg: 317.95KB/sec),  0.47 (avg:  0.48) msec latency[RUN #1 37%,  11 secs]  2 threads:       94071 ops,   11728 (avg:    8551) ops/sec, 452.93KB/sec (avg: 330.22KB/sec),  0.34 (avg:  0.46) msec latency[RUN #1 40%,  12 secs]  2 threads:      102572 ops,    8499 (avg:    8546) ops/sec, 328.22KB/sec (avg: 330.05KB/sec),  0.46 (avg:  0.46) msec latency[RUN #1 43%,  13 secs]  2 threads:      108546 ops,    5973 (avg:    8348) ops/sec, 230.69KB/sec (avg: 322.41KB/sec),  0.66 (avg:  0.47) msec latency[RUN #1 47%,  14 secs]  2 threads:      117096 ops,    8549 (avg:    8363) ops/sec, 330.19KB/sec (avg: 322.96KB/sec),  0.46 (avg:  0.47) msec latency[RUN #1 50%,  15 secs]  2 threads:      130596 ops,   13498 (avg:    8705) ops/sec, 521.20KB/sec (avg: 336.18KB/sec),  0.29 (avg:  0.45) msec latency[RUN #1 53%,  16 secs]  2 threads:      142930 ops,   12332 (avg:    8932) ops/sec, 476.25KB/sec (avg: 344.94KB/sec),  0.32 (avg:  0.44) msec latency[RUN #1 57%,  17 secs]  2 threads:      149230 ops,    6299 (avg:    8777) ops/sec, 243.21KB/sec (avg: 338.95KB/sec),  0.63 (avg:  0.45) msec latency[RUN #1 60%,  18 secs]  2 threads:      164004 ops,   14772 (avg:    9110) ops/sec, 570.47KB/sec (avg: 351.81KB/sec),  0.27 (avg:  0.43) msec latency[RUN #1 63%,  19 secs]  2 threads:      171646 ops,    7641 (avg:    9033) ops/sec, 295.07KB/sec (avg: 348.83KB/sec),  0.52 (avg:  0.44) msec latency[RUN #1 67%,  20 secs]  2 threads:      182819 ops,   11170 (avg:    9140) ops/sec, 431.35KB/sec (avg: 352.95KB/sec),  0.35 (avg:  0.43) msec latency[RUN #1 70%,  21 secs]  2 threads:      193065 ops,   10245 (avg:    9192) ops/sec, 395.68KB/sec (avg: 354.99KB/sec),  0.38 (avg:  0.43) msec latency[RUN #1 73%,  22 secs]  2 threads:      202154 ops,    9088 (avg:    9187) ops/sec, 351.02KB/sec (avg: 354.81KB/sec),  0.44 (avg:  0.43) msec latency[RUN #1 77%,  23 secs]  2 threads:      212706 ops,   10550 (avg:    9247) ops/sec, 407.41KB/sec (avg: 357.10KB/sec),  0.37 (avg:  0.43) msec latency[RUN #1 80%,  24 secs]  2 threads:      222744 ops,   10036 (avg:    9280) ops/sec, 387.58KB/sec (avg: 358.37KB/sec),  0.39 (avg:  0.43) msec latency[RUN #1 83%,  25 secs]  2 threads:      228756 ops,    6011 (avg:    9149) ops/sec, 232.17KB/sec (avg: 353.32KB/sec),  0.66 (avg:  0.43) msec latency[RUN #1 87%,  26 secs]  2 threads:      233055 ops,    4298 (avg:    8962) ops/sec, 166.01KB/sec (avg: 346.11KB/sec),  0.93 (avg:  0.44) msec latency[RUN #1 90%,  27 secs]  2 threads:      245125 ops,   12068 (avg:    9077) ops/sec, 466.07KB/sec (avg: 350.56KB/sec),  0.33 (avg:  0.44) msec latency[RUN #1 93%,  28 secs]  2 threads:      265865 ops,   20737 (avg:    9494) ops/sec, 800.97KB/sec (avg: 366.64KB/sec),  0.19 (avg:  0.42) msec latency[RUN #1 97%,  29 secs]  2 threads:      287890 ops,   22022 (avg:    9926) ops/sec, 850.57KB/sec (avg: 383.33KB/sec),  0.18 (avg:  0.40) msec latency[RUN #1 100%,  30 secs]  0 threads:      309755 ops,   22022 (avg:   10325) ops/sec, 850.57KB/sec (avg: 398.74KB/sec),  0.18 (avg:  0.38) msec latency

2         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         938.70          ---          ---      0.38300        69.58
Gets        9386.44      2865.12      6521.31      0.38100       329.15
Totals     10325.13      2865.12      6521.31      0.38200       398.74


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     98.91339
SET       2.000     98.92049
SET       3.000     98.92404
SET       4.000     99.23298
SET       5.000     99.36437
SET       6.000     99.36792
SET       7.000     99.37857
SET       8.000     99.73723
SET       9.000     99.80469
SET      11.000     99.80825
SET      12.000     99.93608
SET      13.000     99.95739
SET      16.000    100.00000
---
GET       0.065      0.00036
GET       0.067      0.00071
GET       0.071      0.00142
GET       0.072      0.00213
GET       0.073      0.00320
GET       0.074      0.00355
GET       0.075      0.00391
GET       0.076      0.00426
GET       0.077      0.00497
GET       0.078      0.00533
GET       0.079      0.00710
GET       0.080      0.00888
GET       0.081      0.00994
GET       0.082      0.01278
GET       0.083      0.01527
GET       0.084      0.02060
GET       0.085      0.02557
GET       0.086      0.03090
GET       0.087      0.04048
GET       0.088      0.04901
GET       0.089      0.05753
GET       0.090      0.06676
GET       0.091      0.07635
GET       0.092      0.08878
GET       0.093      0.10796
GET       0.094      0.12571
GET       0.095      0.14844
GET       0.096      0.16762
GET       0.097      0.19070
GET       0.098      0.21733
GET       0.099      0.24503
GET       0.100      0.40377
GET       0.110      0.76529
GET       0.120      1.44392
GET       0.130      3.29233
GET       0.140      8.57405
GET       0.150     15.99359
GET       0.160     22.26716
GET       0.170     27.53894
GET       0.180     33.72941
GET       0.190     41.39541
GET       0.200     47.01166
GET       0.210     50.10831
GET       0.220     52.05651
GET       0.230     53.80832
GET       0.240     55.82044
GET       0.250     57.86629
GET       0.260     59.82336
GET       0.270     61.82944
GET       0.280     64.34015
GET       0.290     67.53340
GET       0.300     70.48019
GET       0.310     73.04310
GET       0.320     75.29848
GET       0.330     77.69519
GET       0.340     80.18388
GET       0.350     82.23151
GET       0.360     83.88211
GET       0.370     85.24755
GET       0.380     86.50007
GET       0.390     87.69612
GET       0.400     88.68406
GET       0.410     89.42769
GET       0.420     90.03175
GET       0.430     90.60811
GET       0.440     91.10528
GET       0.450     91.49769
GET       0.460     91.81872
GET       0.470     92.08825
GET       0.480     92.34004
GET       0.490     92.57974
GET       0.500     92.77648
GET       0.510     92.94374
GET       0.520     93.10816
GET       0.530     93.26584
GET       0.540     93.44198
GET       0.550     93.59752
GET       0.560     93.75626
GET       0.570     93.91003
GET       0.580     94.08404
GET       0.590     94.27047
GET       0.600     94.43561
GET       0.610     94.59186
GET       0.620     94.75948
GET       0.630     94.91608
GET       0.640     95.07695
GET       0.650     95.23214
GET       0.660     95.37419
GET       0.670     95.51056
GET       0.680     95.64231
GET       0.690     95.77228
GET       0.700     95.89409
GET       0.710     95.99352
GET       0.720     96.09225
GET       0.730     96.17890
GET       0.740     96.26945
GET       0.750     96.34722
GET       0.760     96.42144
GET       0.770     96.47862
GET       0.780     96.53792
GET       0.790     96.58871
GET       0.800     96.62706
GET       0.810     96.66541
GET       0.820     96.69879
GET       0.830     96.73324
GET       0.840     96.76485
GET       0.850     96.78828
GET       0.860     96.81527
GET       0.870     96.84120
GET       0.880     96.86286
GET       0.890     96.88417
GET       0.900     96.89908
GET       0.910     96.91577
GET       0.920     96.93069
GET       0.930     96.94773
GET       0.940     96.96229
GET       0.950     96.98005
GET       0.960     96.99567
GET       0.970     97.01663
GET       0.980     97.03758
GET       0.990     97.06599
GET       1.000     97.22686
GET       1.100     97.60613
GET       1.200     97.99534
GET       1.300     98.28015
GET       1.400     98.43178
GET       1.500     98.51524
GET       1.600     98.54684
GET       1.700     98.56318
GET       1.800     98.56602
GET       1.900     98.56780
GET       2.000     98.56922
GET       2.100     98.57028
GET       2.200     98.57099
GET       2.400     98.57277
GET       2.500     98.57383
GET       2.600     98.57596
GET       2.700     98.57738
GET       3.100     98.57774
GET       3.200     98.58023
GET       3.500     98.58058
GET       3.700     98.58200
GET       3.800     98.58555
GET       3.900     98.58946
GET       4.000     98.59123
GET       4.100     98.59869
GET       4.200     98.66688
GET       4.300     98.72405
GET       4.400     98.80786
GET       4.500     98.85971
GET       4.600     98.90445
GET       4.700     98.96447
GET       4.800     98.99430
GET       4.900     99.00850
GET       5.000     99.01525
GET       5.100     99.02839
GET       5.200     99.05609
GET       5.300     99.08663
GET       5.400     99.10332
GET       5.500     99.11717
GET       5.600     99.12392
GET       5.700     99.12569
GET       5.800     99.12676
GET       5.900     99.12853
GET       6.000     99.13066
GET       6.200     99.13137
GET       6.300     99.13315
GET       6.400     99.13386
GET       7.100     99.13457
GET       7.200     99.13563
GET       7.500     99.13599
GET       7.600     99.13706
GET       7.700     99.13777
GET       7.900     99.13919
GET       8.000     99.13990
GET       8.100     99.15055
GET       8.200     99.23649
GET       8.300     99.32314
GET       8.400     99.44814
GET       8.500     99.49537
GET       8.600     99.52662
GET       8.700     99.56391
GET       8.800     99.58628
GET       8.900     99.59694
GET       9.000     99.60191
GET       9.100     99.61185
GET       9.200     99.63387
GET       9.300     99.65021
GET       9.400     99.66086
GET       9.500     99.66441
GET       9.600     99.66619
GET       9.700     99.66761
GET      10.000     99.67045
GET      12.000     99.87500
GET      13.000     99.92827
GET      14.000     99.93217
GET      16.000     99.98580
GET      17.000     99.99432
GET      18.000     99.99467
GET      20.000     99.99716
GET      24.000     99.99858
GET      26.000    100.00000
