ops/s, hits/s, miss/s, latency, KB/s
20290.5614286, 6309.04142857, 12136.8142857, 0.392142857143, 783.578571429
18160.0107143, 4867.05857143, 11641.9214286, 0.438428571429, 701.296428571
15755.7457143, 3890.30190476, 10432.9785714, 0.519285714286, 608.441904762
14950.8657143, 3531.26142857, 10060.3153571, 0.545678571429, 577.3575
14174.0914286, 3206.13714286, 9679.27685714, 0.596685714286, 547.360571429
14306.1442857, 3360.86214286, 9644.60928571, 0.655857142857, 552.461428571
12699.8579592, 2444.52836735, 9100.67918367, 0.630510204082, 490.424081633
11583.4530357, 2113.12553571, 8417.17125, 0.695178571429, 447.310535714
10576.6560317, 1767.60920635, 7847.41222222, 0.757492063492, 408.431904762
9887.94928571, 1558.57128571, 7430.35257143, 0.814614285714, 381.837714286
