[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       25051 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:       44062 ops,   19008 (avg:   22031) ops/sec, 734.09KB/sec (avg: 850.89KB/sec),  0.63 (avg:  0.54) msec latency[RUN #1 10%,   3 secs]  2 threads:       63054 ops,   18990 (avg:   21017) ops/sec, 733.29KB/sec (avg: 811.69KB/sec),  0.63 (avg:  0.57) msec latency[RUN #1 13%,   4 secs]  2 threads:       82599 ops,   19543 (avg:   20648) ops/sec, 754.74KB/sec (avg: 797.45KB/sec),  0.61 (avg:  0.58) msec latency[RUN #1 17%,   5 secs]  2 threads:      101552 ops,   18951 (avg:   20309) ops/sec, 731.85KB/sec (avg: 784.33KB/sec),  0.63 (avg:  0.59) msec latency[RUN #1 20%,   6 secs]  2 threads:      120158 ops,   18604 (avg:   20025) ops/sec, 718.34KB/sec (avg: 773.33KB/sec),  0.64 (avg:  0.59) msec latency[RUN #1 23%,   7 secs]  2 threads:      140378 ops,   20218 (avg:   20052) ops/sec, 780.86KB/sec (avg: 774.41KB/sec),  0.59 (avg:  0.59) msec latency[RUN #1 27%,   8 secs]  2 threads:      159776 ops,   19396 (avg:   19970) ops/sec, 748.95KB/sec (avg: 771.22KB/sec),  0.61 (avg:  0.60) msec latency[RUN #1 30%,   9 secs]  2 threads:      179172 ops,   19394 (avg:   19906) ops/sec, 748.85KB/sec (avg: 768.74KB/sec),  0.61 (avg:  0.60) msec latency[RUN #1 33%,  10 secs]  2 threads:      197813 ops,   18639 (avg:   19779) ops/sec, 719.87KB/sec (avg: 763.85KB/sec),  0.64 (avg:  0.60) msec latency[RUN #1 37%,  11 secs]  2 threads:      217446 ops,   19629 (avg:   19766) ops/sec, 757.97KB/sec (avg: 763.32KB/sec),  0.61 (avg:  0.60) msec latency[RUN #1 40%,  12 secs]  2 threads:      237047 ops,   19599 (avg:   19752) ops/sec, 756.77KB/sec (avg: 762.77KB/sec),  0.61 (avg:  0.60) msec latency[RUN #1 43%,  13 secs]  2 threads:      254996 ops,   17947 (avg:   19613) ops/sec, 693.19KB/sec (avg: 757.42KB/sec),  0.66 (avg:  0.61) msec latency[RUN #1 47%,  14 secs]  2 threads:      274006 ops,   19007 (avg:   19570) ops/sec, 734.02KB/sec (avg: 755.75KB/sec),  0.63 (avg:  0.61) msec latency[RUN #1 50%,  15 secs]  2 threads:      293185 ops,   19176 (avg:   19543) ops/sec, 740.43KB/sec (avg: 754.73KB/sec),  0.62 (avg:  0.61) msec latency[RUN #1 53%,  16 secs]  2 threads:      312368 ops,   19181 (avg:   19521) ops/sec, 740.64KB/sec (avg: 753.84KB/sec),  0.62 (avg:  0.61) msec latency[RUN #1 57%,  17 secs]  2 threads:      332426 ops,   20056 (avg:   19552) ops/sec, 774.46KB/sec (avg: 755.06KB/sec),  0.59 (avg:  0.61) msec latency[RUN #1 60%,  18 secs]  2 threads:      352029 ops,   19600 (avg:   19555) ops/sec, 756.97KB/sec (avg: 755.16KB/sec),  0.61 (avg:  0.61) msec latency[RUN #1 63%,  19 secs]  2 threads:      372016 ops,   19985 (avg:   19578) ops/sec, 771.79KB/sec (avg: 756.04KB/sec),  0.60 (avg:  0.61) msec latency[RUN #1 67%,  20 secs]  2 threads:      392508 ops,   20490 (avg:   19623) ops/sec, 791.34KB/sec (avg: 757.80KB/sec),  0.58 (avg:  0.61) msec latency[RUN #1 70%,  21 secs]  2 threads:      410894 ops,   18384 (avg:   19564) ops/sec, 709.99KB/sec (avg: 755.53KB/sec),  0.65 (avg:  0.61) msec latency[RUN #1 73%,  22 secs]  2 threads:      430102 ops,   19206 (avg:   19548) ops/sec, 741.66KB/sec (avg: 754.90KB/sec),  0.62 (avg:  0.61) msec latency[RUN #1 77%,  23 secs]  2 threads:      447842 ops,   17738 (avg:   19469) ops/sec, 684.99KB/sec (avg: 751.86KB/sec),  0.67 (avg:  0.61) msec latency[RUN #1 80%,  24 secs]  2 threads:      465681 ops,   17837 (avg:   19401) ops/sec, 688.87KB/sec (avg: 749.23KB/sec),  0.67 (avg:  0.61) msec latency[RUN #1 83%,  25 secs]  2 threads:      484947 ops,   19264 (avg:   19396) ops/sec, 743.92KB/sec (avg: 749.02KB/sec),  0.62 (avg:  0.61) msec latency[RUN #1 87%,  26 secs]  2 threads:      503949 ops,   18998 (avg:   19380) ops/sec, 733.63KB/sec (avg: 748.43KB/sec),  0.63 (avg:  0.61) msec latency[RUN #1 90%,  27 secs]  2 threads:      523262 ops,   19311 (avg:   19378) ops/sec, 745.96KB/sec (avg: 748.34KB/sec),  0.62 (avg:  0.61) msec latency[RUN #1 93%,  28 secs]  2 threads:      542453 ops,   19188 (avg:   19371) ops/sec, 740.95KB/sec (avg: 748.07KB/sec),  0.62 (avg:  0.61) msec latency[RUN #1 97%,  29 secs]  2 threads:      561326 ops,   18870 (avg:   19354) ops/sec, 728.85KB/sec (avg: 747.41KB/sec),  0.63 (avg:  0.62) msec latency[RUN #1 100%,  30 secs]  0 threads:      583714 ops,   18870 (avg:   19457) ops/sec, 728.85KB/sec (avg: 751.39KB/sec),  0.63 (avg:  0.61) msec latency

2         Threads
6         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1769.03          ---          ---      0.61600       131.13
Gets       17688.06      5445.02     12243.04      0.61100       620.25
Totals     19457.09      5445.02     12243.04      0.61200       751.39


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     98.92220
SET       2.000    100.00000
---
GET       0.088      0.00019
GET       0.090      0.00038
GET       0.093      0.00057
GET       0.094      0.00075
GET       0.096      0.00113
GET       0.097      0.00132
GET       0.098      0.00151
GET       0.100      0.00207
GET       0.110      0.00415
GET       0.120      0.00867
GET       0.130      0.01658
GET       0.140      0.03637
GET       0.150      0.06841
GET       0.160      0.10629
GET       0.170      0.15528
GET       0.180      0.24310
GET       0.190      0.39820
GET       0.200      0.63206
GET       0.210      0.95149
GET       0.220      1.41903
GET       0.230      2.22881
GET       0.240      3.64313
GET       0.250      5.49560
GET       0.260      7.57590
GET       0.270     10.07250
GET       0.280     13.54131
GET       0.290     18.43895
GET       0.300     23.24896
GET       0.310     27.19192
GET       0.320     30.49376
GET       0.330     33.57078
GET       0.340     36.53718
GET       0.350     38.67214
GET       0.360     40.02276
GET       0.370     40.85534
GET       0.380     41.39582
GET       0.390     41.76989
GET       0.400     42.01601
GET       0.410     42.19692
GET       0.420     42.35578
GET       0.430     42.51182
GET       0.440     42.71082
GET       0.450     42.92057
GET       0.460     43.17121
GET       0.470     43.46048
GET       0.480     43.79913
GET       0.490     44.21711
GET       0.500     44.71236
GET       0.510     45.31107
GET       0.520     46.05903
GET       0.530     47.02917
GET       0.540     48.31610
GET       0.550     49.81164
GET       0.560     51.50940
GET       0.570     53.47494
GET       0.580     55.74105
GET       0.590     58.15228
GET       0.600     60.49152
GET       0.610     62.72221
GET       0.620     64.82343
GET       0.630     66.74412
GET       0.640     68.46637
GET       0.650     69.88126
GET       0.660     71.02666
GET       0.670     71.92331
GET       0.680     72.60795
GET       0.690     73.12713
GET       0.700     73.50950
GET       0.710     73.78784
GET       0.720     73.97064
GET       0.730     74.10538
GET       0.740     74.20318
GET       0.750     74.28328
GET       0.760     74.34528
GET       0.770     74.40143
GET       0.780     74.44930
GET       0.790     74.49641
GET       0.800     74.54484
GET       0.810     74.59384
GET       0.820     74.65283
GET       0.830     74.72293
GET       0.840     74.79982
GET       0.850     74.89668
GET       0.860     75.00862
GET       0.870     75.14016
GET       0.880     75.30147
GET       0.890     75.48465
GET       0.900     75.72040
GET       0.910     75.96991
GET       0.920     76.25485
GET       0.930     76.58388
GET       0.940     76.94966
GET       0.950     77.36275
GET       0.960     77.82652
GET       0.970     78.31819
GET       0.980     78.85075
GET       0.990     79.43457
GET       1.000     83.28179
GET       1.100     91.05840
GET       1.200     96.32276
GET       1.300     98.15639
GET       1.400     98.54893
GET       1.500     98.60641
GET       1.600     98.62035
GET       1.700     98.63731
GET       1.800     98.69027
GET       1.900     98.84197
GET       2.000     99.09789
GET       2.100     99.39583
GET       2.200     99.66343
GET       2.300     99.84999
GET       2.400     99.94045
GET       2.500     99.98153
GET       2.600     99.99359
GET       2.700     99.99774
GET       2.800     99.99925
GET       2.900     99.99981
GET       3.000    100.00000
