[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       26840 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       48537 ops,   21694 (avg:   24267) ops/sec, 837.66KB/sec (avg: 937.20KB/sec),  0.36 (avg:  0.33) msec latency[RUN #1 10%,   3 secs]  2 threads:       75150 ops,   26610 (avg:   25048) ops/sec, 1.00MB/sec (avg: 967.36KB/sec),  0.30 (avg:  0.31) msec latency[RUN #1 13%,   4 secs]  2 threads:       99290 ops,   24137 (avg:   24820) ops/sec, 932.05KB/sec (avg: 958.53KB/sec),  0.33 (avg:  0.32) msec latency[RUN #1 17%,   5 secs]  2 threads:      120105 ops,   20812 (avg:   24019) ops/sec, 803.74KB/sec (avg: 927.57KB/sec),  0.38 (avg:  0.33) msec latency[RUN #1 20%,   6 secs]  2 threads:      142040 ops,   21933 (avg:   23671) ops/sec, 846.95KB/sec (avg: 914.14KB/sec),  0.36 (avg:  0.33) msec latency[RUN #1 23%,   7 secs]  2 threads:      160734 ops,   18692 (avg:   22960) ops/sec, 721.85KB/sec (avg: 886.67KB/sec),  0.42 (avg:  0.34) msec latency[RUN #1 27%,   8 secs]  2 threads:      176912 ops,   16176 (avg:   22112) ops/sec, 624.61KB/sec (avg: 853.91KB/sec),  0.49 (avg:  0.36) msec latency[RUN #1 30%,   9 secs]  2 threads:      196078 ops,   19164 (avg:   21784) ops/sec, 740.05KB/sec (avg: 841.26KB/sec),  0.41 (avg:  0.36) msec latency[RUN #1 33%,  10 secs]  2 threads:      213028 ops,   16948 (avg:   21301) ops/sec, 654.47KB/sec (avg: 822.58KB/sec),  0.47 (avg:  0.37) msec latency[RUN #1 37%,  11 secs]  2 threads:      234042 ops,   21011 (avg:   21274) ops/sec, 811.38KB/sec (avg: 821.56KB/sec),  0.38 (avg:  0.37) msec latency[RUN #1 40%,  12 secs]  2 threads:      251682 ops,   17636 (avg:   20971) ops/sec, 681.06KB/sec (avg: 809.85KB/sec),  0.45 (avg:  0.38) msec latency[RUN #1 43%,  13 secs]  2 threads:      278669 ops,   26984 (avg:   21434) ops/sec, 1.02MB/sec (avg: 827.71KB/sec),  0.29 (avg:  0.37) msec latency[RUN #1 47%,  14 secs]  2 threads:      303302 ops,   24630 (avg:   21662) ops/sec, 951.08KB/sec (avg: 836.52KB/sec),  0.32 (avg:  0.36) msec latency[RUN #1 50%,  15 secs]  2 threads:      324914 ops,   21609 (avg:   21658) ops/sec, 834.52KB/sec (avg: 836.39KB/sec),  0.37 (avg:  0.36) msec latency[RUN #1 53%,  16 secs]  2 threads:      344708 ops,   19791 (avg:   21542) ops/sec, 764.23KB/sec (avg: 831.88KB/sec),  0.40 (avg:  0.37) msec latency[RUN #1 57%,  17 secs]  2 threads:      360604 ops,   15894 (avg:   21209) ops/sec, 613.78KB/sec (avg: 819.05KB/sec),  0.50 (avg:  0.37) msec latency[RUN #1 60%,  18 secs]  2 threads:      377966 ops,   17360 (avg:   20996) ops/sec, 670.52KB/sec (avg: 810.80KB/sec),  0.46 (avg:  0.38) msec latency[RUN #1 63%,  19 secs]  2 threads:      388647 ops,   10679 (avg:   20453) ops/sec, 412.41KB/sec (avg: 789.83KB/sec),  0.74 (avg:  0.39) msec latency[RUN #1 67%,  20 secs]  2 threads:      399689 ops,   11040 (avg:   19982) ops/sec, 426.42KB/sec (avg: 771.66KB/sec),  0.72 (avg:  0.40) msec latency[RUN #1 70%,  21 secs]  2 threads:      414078 ops,   14387 (avg:   19716) ops/sec, 555.60KB/sec (avg: 761.37KB/sec),  0.55 (avg:  0.40) msec latency[RUN #1 73%,  22 secs]  2 threads:      434183 ops,   20103 (avg:   19733) ops/sec, 776.29KB/sec (avg: 762.05KB/sec),  0.39 (avg:  0.40) msec latency[RUN #1 77%,  23 secs]  2 threads:      456877 ops,   22691 (avg:   19862) ops/sec, 876.34KB/sec (avg: 767.02KB/sec),  0.35 (avg:  0.40) msec latency[RUN #1 80%,  24 secs]  2 threads:      473298 ops,   16419 (avg:   19718) ops/sec, 634.07KB/sec (avg: 761.48KB/sec),  0.48 (avg:  0.40) msec latency[RUN #1 83%,  25 secs]  2 threads:      487513 ops,   14213 (avg:   19498) ops/sec, 548.98KB/sec (avg: 752.98KB/sec),  0.56 (avg:  0.41) msec latency[RUN #1 87%,  26 secs]  2 threads:      500819 ops,   13304 (avg:   19260) ops/sec, 513.87KB/sec (avg: 743.78KB/sec),  0.60 (avg:  0.41) msec latency[RUN #1 90%,  27 secs]  2 threads:      519918 ops,   19097 (avg:   19254) ops/sec, 737.61KB/sec (avg: 743.55KB/sec),  0.41 (avg:  0.41) msec latency[RUN #1 93%,  28 secs]  2 threads:      530401 ops,   10482 (avg:   18941) ops/sec, 404.87KB/sec (avg: 731.46KB/sec),  0.76 (avg:  0.42) msec latency[RUN #1 97%,  29 secs]  2 threads:      549020 ops,   18617 (avg:   18929) ops/sec, 719.07KB/sec (avg: 731.03KB/sec),  0.43 (avg:  0.42) msec latency[RUN #1 100%,  30 secs]  0 threads:      575628 ops,   18617 (avg:   19187) ops/sec, 719.07KB/sec (avg: 740.98KB/sec),  0.43 (avg:  0.41) msec latency

2         Threads
4         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1744.46          ---          ---      0.41400       129.31
Gets       17443.11      5268.83     12174.28      0.41200       611.67
Totals     19187.57      5268.83     12174.28      0.41200       740.98


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     99.33122
SET       2.000     99.39045
SET       3.000     99.41338
SET       4.000     99.60637
SET       5.000     99.64841
SET       6.000     99.67325
SET       7.000     99.68854
SET       8.000     99.83949
SET       9.000     99.85860
SET      10.000     99.86433
SET      11.000     99.86624
SET      12.000     99.98471
SET      13.000     99.98662
SET      14.000     99.99045
SET      16.000     99.99809
SET      17.000    100.00000
---
GET       0.066      0.00038
GET       0.068      0.00076
GET       0.070      0.00115
GET       0.071      0.00134
GET       0.072      0.00172
GET       0.073      0.00248
GET       0.074      0.00306
GET       0.077      0.00325
GET       0.078      0.00459
GET       0.079      0.00497
GET       0.080      0.00650
GET       0.081      0.00860
GET       0.082      0.01013
GET       0.083      0.01280
GET       0.084      0.01491
GET       0.085      0.01739
GET       0.086      0.02102
GET       0.087      0.02656
GET       0.088      0.03287
GET       0.089      0.03956
GET       0.090      0.04873
GET       0.091      0.05656
GET       0.092      0.06765
GET       0.093      0.08294
GET       0.094      0.09994
GET       0.095      0.12096
GET       0.096      0.13702
GET       0.097      0.15785
GET       0.098      0.17887
GET       0.099      0.20600
GET       0.100      0.33213
GET       0.110      0.65489
GET       0.120      1.16512
GET       0.130      2.52554
GET       0.140      6.49826
GET       0.150     12.21111
GET       0.160     16.82171
GET       0.170     20.74952
GET       0.180     25.35439
GET       0.190     31.48995
GET       0.200     36.41949
GET       0.210     39.30448
GET       0.220     41.13156
GET       0.230     42.77786
GET       0.240     44.76757
GET       0.250     46.85378
GET       0.260     48.81405
GET       0.270     50.80108
GET       0.280     53.30885
GET       0.290     56.54966
GET       0.300     59.71557
GET       0.310     62.55355
GET       0.320     65.20847
GET       0.330     68.01282
GET       0.340     71.05470
GET       0.350     73.79121
GET       0.360     76.14400
GET       0.370     78.21817
GET       0.380     80.12265
GET       0.390     81.94132
GET       0.400     83.45194
GET       0.410     84.67802
GET       0.420     85.63026
GET       0.430     86.44586
GET       0.440     87.15082
GET       0.450     87.68799
GET       0.460     88.10458
GET       0.470     88.43767
GET       0.480     88.71457
GET       0.490     88.94216
GET       0.500     89.13708
GET       0.510     89.29799
GET       0.520     89.45354
GET       0.530     89.61158
GET       0.540     89.76560
GET       0.550     89.92631
GET       0.560     90.08454
GET       0.570     90.23761
GET       0.580     90.41342
GET       0.590     90.58789
GET       0.600     90.76618
GET       0.610     90.94696
GET       0.620     91.13806
GET       0.630     91.33737
GET       0.640     91.54070
GET       0.650     91.74518
GET       0.660     91.95022
GET       0.670     92.15202
GET       0.680     92.37197
GET       0.690     92.58944
GET       0.700     92.80653
GET       0.710     93.00603
GET       0.720     93.21032
GET       0.730     93.41976
GET       0.740     93.62328
GET       0.750     93.82202
GET       0.760     94.02057
GET       0.770     94.21167
GET       0.780     94.40353
GET       0.790     94.58316
GET       0.800     94.75859
GET       0.810     94.92484
GET       0.820     95.09664
GET       0.830     95.25009
GET       0.840     95.40239
GET       0.850     95.53865
GET       0.860     95.66897
GET       0.870     95.80083
GET       0.880     95.92619
GET       0.890     96.04180
GET       0.900     96.15111
GET       0.910     96.25010
GET       0.920     96.33781
GET       0.930     96.42878
GET       0.940     96.51190
GET       0.950     96.58872
GET       0.960     96.65599
GET       0.970     96.72440
GET       0.980     96.78364
GET       0.990     96.84460
GET       1.000     97.12380
GET       1.100     97.44560
GET       1.200     97.71467
GET       1.300     97.93405
GET       1.400     98.12992
GET       1.500     98.29981
GET       1.600     98.42689
GET       1.700     98.51441
GET       1.800     98.56333
GET       1.900     98.59276
GET       2.000     98.60996
GET       2.100     98.62123
GET       2.200     98.63194
GET       2.300     98.63881
GET       2.400     98.64493
GET       2.500     98.64780
GET       2.600     98.64952
GET       2.700     98.65124
GET       2.800     98.65506
GET       2.900     98.65792
GET       3.000     98.66098
GET       3.100     98.66328
GET       3.200     98.66595
GET       3.300     98.67111
GET       3.400     98.67531
GET       3.500     98.67952
GET       3.600     98.68315
GET       3.700     98.68793
GET       3.800     98.69366
GET       3.900     98.69863
GET       4.000     98.70474
GET       4.100     98.71602
GET       4.200     98.78233
GET       4.300     98.82915
GET       4.400     98.92508
GET       4.500     98.97763
GET       4.600     99.01891
GET       4.700     99.06725
GET       4.800     99.10261
GET       4.900     99.12114
GET       5.000     99.13509
GET       5.100     99.14885
GET       5.200     99.16051
GET       5.300     99.17274
GET       5.400     99.18726
GET       5.500     99.19663
GET       5.600     99.20351
GET       5.700     99.20924
GET       5.800     99.21459
GET       5.900     99.21994
GET       6.000     99.22319
GET       6.100     99.22529
GET       6.200     99.22988
GET       6.300     99.23274
GET       6.400     99.23504
GET       6.500     99.23810
GET       6.600     99.24211
GET       6.700     99.24555
GET       6.800     99.24937
GET       6.900     99.25243
GET       7.000     99.25472
GET       7.100     99.25721
GET       7.200     99.25988
GET       7.300     99.26198
GET       7.400     99.26447
GET       7.500     99.26829
GET       7.600     99.27211
GET       7.700     99.27593
GET       7.800     99.27727
GET       7.900     99.27918
GET       8.000     99.28415
GET       8.100     99.29944
GET       8.200     99.37779
GET       8.300     99.43970
GET       8.400     99.54079
GET       8.500     99.59124
GET       8.600     99.61226
GET       8.700     99.63309
GET       8.800     99.64590
GET       8.900     99.65526
GET       9.000     99.66157
GET       9.100     99.66806
GET       9.200     99.67513
GET       9.300     99.68049
GET       9.400     99.68584
GET       9.500     99.68947
GET       9.600     99.69119
GET       9.700     99.69329
GET       9.800     99.69444
GET       9.900     99.69558
GET      10.000     99.70609
GET      11.000     99.71507
GET      12.000     99.93598
GET      13.000     99.96426
GET      14.000     99.96732
GET      15.000     99.96828
GET      16.000     99.99369
GET      17.000     99.99560
GET      18.000     99.99656
