[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       40368 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       72938 ops,   32566 (avg:   36468) ops/sec, 1.23MB/sec (avg: 1.38MB/sec),  0.36 (avg:  0.33) msec latency[RUN #1 10%,   3 secs]  2 threads:      100978 ops,   28036 (avg:   33657) ops/sec, 1.06MB/sec (avg: 1.27MB/sec),  0.42 (avg:  0.35) msec latency[RUN #1 13%,   4 secs]  2 threads:      124192 ops,   23211 (avg:   31046) ops/sec, 896.32KB/sec (avg: 1.17MB/sec),  0.51 (avg:  0.38) msec latency[RUN #1 17%,   5 secs]  2 threads:      144693 ops,   20498 (avg:   28936) ops/sec, 791.72KB/sec (avg: 1.09MB/sec),  0.58 (avg:  0.41) msec latency[RUN #1 20%,   6 secs]  2 threads:      172076 ops,   27380 (avg:   28677) ops/sec, 1.03MB/sec (avg: 1.08MB/sec),  0.43 (avg:  0.41) msec latency[RUN #1 23%,   7 secs]  2 threads:      189459 ops,   17380 (avg:   27063) ops/sec, 671.18KB/sec (avg: 1.02MB/sec),  0.68 (avg:  0.44) msec latency[RUN #1 27%,   8 secs]  2 threads:      204228 ops,   14767 (avg:   25526) ops/sec, 570.32KB/sec (avg: 985.77KB/sec),  0.81 (avg:  0.47) msec latency[RUN #1 30%,   9 secs]  2 threads:      222403 ops,   18173 (avg:   24709) ops/sec, 701.84KB/sec (avg: 954.22KB/sec),  0.66 (avg:  0.48) msec latency[RUN #1 33%,  10 secs]  2 threads:      242356 ops,   19951 (avg:   24233) ops/sec, 770.36KB/sec (avg: 935.83KB/sec),  0.60 (avg:  0.49) msec latency[RUN #1 37%,  11 secs]  2 threads:      266426 ops,   24067 (avg:   24218) ops/sec, 929.43KB/sec (avg: 935.25KB/sec),  0.49 (avg:  0.49) msec latency[RUN #1 40%,  12 secs]  2 threads:      290439 ops,   24010 (avg:   24201) ops/sec, 927.10KB/sec (avg: 934.57KB/sec),  0.50 (avg:  0.49) msec latency[RUN #1 43%,  13 secs]  2 threads:      308718 ops,   18277 (avg:   23745) ops/sec, 705.78KB/sec (avg: 916.97KB/sec),  0.65 (avg:  0.50) msec latency[RUN #1 47%,  14 secs]  2 threads:      341507 ops,   32786 (avg:   24391) ops/sec, 1.24MB/sec (avg: 941.91KB/sec),  0.36 (avg:  0.49) msec latency[RUN #1 50%,  15 secs]  2 threads:      364301 ops,   22791 (avg:   24284) ops/sec, 880.09KB/sec (avg: 937.79KB/sec),  0.52 (avg:  0.49) msec latency[RUN #1 53%,  16 secs]  2 threads:      384304 ops,   20000 (avg:   24016) ops/sec, 772.38KB/sec (avg: 927.45KB/sec),  0.60 (avg:  0.50) msec latency[RUN #1 57%,  17 secs]  2 threads:      405631 ops,   21324 (avg:   23858) ops/sec, 823.40KB/sec (avg: 921.33KB/sec),  0.56 (avg:  0.50) msec latency[RUN #1 60%,  18 secs]  2 threads:      432280 ops,   26646 (avg:   24013) ops/sec, 1.00MB/sec (avg: 927.31KB/sec),  0.45 (avg:  0.50) msec latency[RUN #1 63%,  19 secs]  2 threads:      462747 ops,   30463 (avg:   24352) ops/sec, 1.15MB/sec (avg: 940.42KB/sec),  0.39 (avg:  0.49) msec latency[RUN #1 67%,  20 secs]  2 threads:      484756 ops,   22006 (avg:   24235) ops/sec, 849.80KB/sec (avg: 935.89KB/sec),  0.54 (avg:  0.49) msec latency[RUN #1 70%,  21 secs]  2 threads:      503856 ops,   19098 (avg:   23990) ops/sec, 737.48KB/sec (avg: 926.44KB/sec),  0.62 (avg:  0.50) msec latency[RUN #1 73%,  22 secs]  2 threads:      519279 ops,   15421 (avg:   23601) ops/sec, 595.44KB/sec (avg: 911.40KB/sec),  0.78 (avg:  0.50) msec latency[RUN #1 77%,  23 secs]  2 threads:      549859 ops,   30577 (avg:   23904) ops/sec, 1.15MB/sec (avg: 923.12KB/sec),  0.39 (avg:  0.50) msec latency[RUN #1 80%,  24 secs]  2 threads:      577137 ops,   27274 (avg:   24045) ops/sec, 1.03MB/sec (avg: 928.54KB/sec),  0.43 (avg:  0.49) msec latency[RUN #1 83%,  25 secs]  2 threads:      599104 ops,   21965 (avg:   23961) ops/sec, 848.42KB/sec (avg: 925.33KB/sec),  0.55 (avg:  0.50) msec latency[RUN #1 87%,  26 secs]  2 threads:      621552 ops,   22445 (avg:   23903) ops/sec, 866.83KB/sec (avg: 923.08KB/sec),  0.53 (avg:  0.50) msec latency[RUN #1 90%,  27 secs]  2 threads:      647116 ops,   25561 (avg:   23965) ops/sec, 987.04KB/sec (avg: 925.45KB/sec),  0.47 (avg:  0.50) msec latency[RUN #1 93%,  28 secs]  2 threads:      670496 ops,   23377 (avg:   23944) ops/sec, 902.67KB/sec (avg: 924.64KB/sec),  0.51 (avg:  0.50) msec latency[RUN #1 97%,  29 secs]  2 threads:      690659 ops,   20161 (avg:   23813) ops/sec, 778.69KB/sec (avg: 919.61KB/sec),  0.59 (avg:  0.50) msec latency[RUN #1 100%,  30 secs]  0 threads:      710083 ops,   20161 (avg:   23669) ops/sec, 778.69KB/sec (avg: 914.04KB/sec),  0.59 (avg:  0.50) msec latency

2         Threads
6         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        2151.99          ---          ---      0.50300       159.52
Gets       21517.33      5751.47     15765.86      0.50200       754.52
Totals     23669.32      5751.47     15765.86      0.50200       914.04


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.069      0.00015
GET       0.071      0.00031
GET       0.072      0.00046
GET       0.074      0.00062
GET       0.075      0.00093
GET       0.076      0.00124
GET       0.077      0.00155
GET       0.078      0.00170
GET       0.079      0.00232
GET       0.080      0.00325
GET       0.081      0.00527
GET       0.082      0.00682
GET       0.083      0.00898
GET       0.084      0.01100
GET       0.085      0.01534
GET       0.086      0.01782
GET       0.087      0.02355
GET       0.088      0.02990
GET       0.089      0.03609
GET       0.090      0.04322
GET       0.091      0.05174
GET       0.092      0.06212
GET       0.093      0.07637
GET       0.094      0.09217
GET       0.095      0.11107
GET       0.096      0.12703
GET       0.097      0.15104
GET       0.098      0.17350
GET       0.099      0.19674
GET       0.100      0.33198
GET       0.110      0.65187
GET       0.120      1.01824
GET       0.130      1.58306
GET       0.140      2.64561
GET       0.150      3.79460
GET       0.160      4.48567
GET       0.170      4.93042
GET       0.180      5.33335
GET       0.190      5.90544
GET       0.200      6.71564
GET       0.210      7.84697
GET       0.220      9.46504
GET       0.230     12.06727
GET       0.240     16.06542
GET       0.250     20.77122
GET       0.260     25.51435
GET       0.270     30.26863
GET       0.280     35.33429
GET       0.290     40.86981
GET       0.300     45.82021
GET       0.310     49.78413
GET       0.320     53.02336
GET       0.330     55.82528
GET       0.340     58.38893
GET       0.350     60.51202
GET       0.360     62.13195
GET       0.370     63.40208
GET       0.380     64.46974
GET       0.390     65.39287
GET       0.400     66.16991
GET       0.410     66.80165
GET       0.420     67.34276
GET       0.430     67.87504
GET       0.440     68.41631
GET       0.450     68.96377
GET       0.460     69.55631
GET       0.470     70.17968
GET       0.480     70.84302
GET       0.490     71.54710
GET       0.500     72.27210
GET       0.510     73.00871
GET       0.520     73.76499
GET       0.530     74.57767
GET       0.540     75.44162
GET       0.550     76.32679
GET       0.560     77.28524
GET       0.570     78.27188
GET       0.580     79.33629
GET       0.590     80.46638
GET       0.600     81.61986
GET       0.610     82.72641
GET       0.620     83.84628
GET       0.630     84.97095
GET       0.640     86.07098
GET       0.650     87.08102
GET       0.660     88.01964
GET       0.670     88.88746
GET       0.680     89.71113
GET       0.690     90.44558
GET       0.700     91.09668
GET       0.710     91.65979
GET       0.720     92.15582
GET       0.730     92.57579
GET       0.740     92.94990
GET       0.750     93.26267
GET       0.760     93.52819
GET       0.770     93.74151
GET       0.780     93.92771
GET       0.790     94.08929
GET       0.800     94.21678
GET       0.810     94.33157
GET       0.820     94.43815
GET       0.830     94.53668
GET       0.840     94.62265
GET       0.850     94.70646
GET       0.860     94.78609
GET       0.870     94.86881
GET       0.880     94.94983
GET       0.890     95.01970
GET       0.900     95.10072
GET       0.910     95.17740
GET       0.920     95.26074
GET       0.930     95.34873
GET       0.940     95.42851
GET       0.950     95.52255
GET       0.960     95.61456
GET       0.970     95.70240
GET       0.980     95.80092
GET       0.990     95.90193
GET       1.000     96.44118
GET       1.100     97.25416
GET       1.200     97.76925
GET       1.300     98.00937
GET       1.400     98.12230
GET       1.500     98.17326
GET       1.600     98.21540
GET       1.700     98.27287
GET       1.800     98.34692
GET       1.900     98.42980
GET       2.000     98.50524
GET       2.100     98.57201
GET       2.200     98.61941
GET       2.300     98.64916
GET       2.400     98.66604
GET       2.500     98.68045
GET       2.600     98.68974
GET       2.700     98.69548
GET       2.800     98.70214
GET       2.900     98.70880
GET       3.000     98.71314
GET       3.100     98.71654
GET       3.200     98.71964
GET       3.300     98.72429
GET       3.400     98.72739
GET       3.500     98.73126
GET       3.600     98.73808
GET       3.700     98.74350
GET       3.800     98.74830
GET       3.900     98.75372
GET       4.000     98.75775
GET       4.100     98.76271
GET       4.200     98.77572
GET       4.300     98.82390
GET       4.400     98.88401
GET       4.500     98.90476
GET       4.600     98.94442
GET       4.700     99.00158
GET       4.800     99.03830
GET       4.900     99.06247
GET       5.000     99.08694
GET       5.100     99.11684
GET       5.200     99.13837
GET       5.300     99.15293
GET       5.400     99.16238
GET       5.500     99.16982
GET       5.600     99.17509
GET       5.700     99.18066
GET       5.800     99.18624
GET       5.900     99.19306
GET       6.000     99.19863
GET       6.100     99.20499
GET       6.200     99.21397
GET       6.300     99.22156
GET       6.400     99.22760
GET       6.500     99.23241
GET       6.600     99.23550
GET       6.700     99.23814
GET       6.800     99.24170
GET       6.900     99.24495
GET       7.000     99.24821
GET       7.100     99.25161
GET       7.200     99.25735
GET       7.300     99.26029
GET       7.400     99.26199
GET       7.500     99.26540
GET       7.600     99.26788
GET       7.700     99.26958
GET       7.800     99.27253
GET       7.900     99.27609
GET       8.000     99.27888
GET       8.100     99.28755
GET       8.200     99.30723
GET       8.300     99.39352
GET       8.400     99.46710
GET       8.500     99.48739
GET       8.600     99.53727
GET       8.700     99.60172
GET       8.800     99.63611
GET       8.900     99.64866
GET       9.000     99.65826
GET       9.100     99.66864
GET       9.200     99.67995
GET       9.300     99.68816
GET       9.400     99.69234
GET       9.500     99.69498
GET       9.600     99.69776
GET       9.700     99.69838
GET       9.800     99.70102
GET       9.900     99.70257
GET      10.000     99.71279
GET      11.000     99.72673
GET      12.000     99.86321
GET      13.000     99.96003
GET      14.000     99.96344
GET      16.000     99.98838
GET      17.000     99.99768
GET      20.000     99.99861
GET      21.000     99.99907
GET      24.000     99.99969
GET      25.000    100.00000
