[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       36971 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       62656 ops,   25681 (avg:   31327) ops/sec, 991.80KB/sec (avg: 1.18MB/sec),  0.31 (avg:  0.25) msec latency[RUN #1 10%,   3 secs]  2 threads:       76614 ops,   13956 (avg:   25536) ops/sec, 538.91KB/sec (avg: 986.19KB/sec),  0.56 (avg:  0.31) msec latency[RUN #1 13%,   4 secs]  2 threads:       92105 ops,   15489 (avg:   23024) ops/sec, 598.21KB/sec (avg: 889.19KB/sec),  0.51 (avg:  0.34) msec latency[RUN #1 17%,   5 secs]  2 threads:      107093 ops,   14986 (avg:   21417) ops/sec, 578.67KB/sec (avg: 827.08KB/sec),  0.53 (avg:  0.37) msec latency[RUN #1 20%,   6 secs]  2 threads:      116002 ops,    8907 (avg:   19332) ops/sec, 343.98KB/sec (avg: 746.56KB/sec),  0.89 (avg:  0.41) msec latency[RUN #1 23%,   7 secs]  2 threads:      133955 ops,   17950 (avg:   19134) ops/sec, 693.17KB/sec (avg: 738.94KB/sec),  0.44 (avg:  0.41) msec latency[RUN #1 27%,   8 secs]  2 threads:      151062 ops,   17105 (avg:   18881) ops/sec, 660.62KB/sec (avg: 729.15KB/sec),  0.46 (avg:  0.42) msec latency[RUN #1 30%,   9 secs]  2 threads:      164432 ops,   13368 (avg:   18268) ops/sec, 516.29KB/sec (avg: 705.50KB/sec),  0.60 (avg:  0.43) msec latency[RUN #1 33%,  10 secs]  2 threads:      183724 ops,   19290 (avg:   18370) ops/sec, 744.86KB/sec (avg: 709.43KB/sec),  0.41 (avg:  0.43) msec latency[RUN #1 37%,  11 secs]  2 threads:      198336 ops,   14610 (avg:   18029) ops/sec, 564.18KB/sec (avg: 696.23KB/sec),  0.54 (avg:  0.44) msec latency[RUN #1 40%,  12 secs]  2 threads:      214441 ops,   16103 (avg:   17868) ops/sec, 621.87KB/sec (avg: 690.03KB/sec),  0.49 (avg:  0.44) msec latency[RUN #1 43%,  13 secs]  2 threads:      232782 ops,   18338 (avg:   17904) ops/sec, 708.21KB/sec (avg: 691.43KB/sec),  0.43 (avg:  0.44) msec latency[RUN #1 47%,  14 secs]  2 threads:      243001 ops,   10218 (avg:   17355) ops/sec, 394.42KB/sec (avg: 670.21KB/sec),  0.78 (avg:  0.46) msec latency[RUN #1 50%,  15 secs]  2 threads:      261460 ops,   18457 (avg:   17429) ops/sec, 712.79KB/sec (avg: 673.05KB/sec),  0.43 (avg:  0.45) msec latency[RUN #1 53%,  16 secs]  2 threads:      286456 ops,   24993 (avg:   17901) ops/sec, 965.11KB/sec (avg: 691.31KB/sec),  0.32 (avg:  0.44) msec latency[RUN #1 57%,  17 secs]  2 threads:      303918 ops,   17460 (avg:   17875) ops/sec, 674.26KB/sec (avg: 690.30KB/sec),  0.45 (avg:  0.44) msec latency[RUN #1 60%,  18 secs]  2 threads:      324702 ops,   20781 (avg:   18037) ops/sec, 802.43KB/sec (avg: 696.53KB/sec),  0.38 (avg:  0.44) msec latency[RUN #1 63%,  19 secs]  2 threads:      341761 ops,   17057 (avg:   17985) ops/sec, 658.79KB/sec (avg: 694.55KB/sec),  0.46 (avg:  0.44) msec latency[RUN #1 67%,  20 secs]  2 threads:      354949 ops,   13186 (avg:   17745) ops/sec, 509.26KB/sec (avg: 685.28KB/sec),  0.60 (avg:  0.45) msec latency[RUN #1 70%,  21 secs]  2 threads:      367634 ops,   12683 (avg:   17504) ops/sec, 489.78KB/sec (avg: 675.97KB/sec),  0.63 (avg:  0.45) msec latency[RUN #1 73%,  22 secs]  2 threads:      379955 ops,   12319 (avg:   17269) ops/sec, 475.69KB/sec (avg: 666.87KB/sec),  0.64 (avg:  0.46) msec latency[RUN #1 77%,  23 secs]  2 threads:      399811 ops,   19854 (avg:   17381) ops/sec, 766.74KB/sec (avg: 671.21KB/sec),  0.40 (avg:  0.46) msec latency[RUN #1 80%,  24 secs]  2 threads:      418411 ops,   18596 (avg:   17432) ops/sec, 718.16KB/sec (avg: 673.17KB/sec),  0.43 (avg:  0.45) msec latency[RUN #1 83%,  25 secs]  2 threads:      436386 ops,   17973 (avg:   17453) ops/sec, 694.16KB/sec (avg: 674.01KB/sec),  0.44 (avg:  0.45) msec latency[RUN #1 87%,  26 secs]  2 threads:      452166 ops,   15778 (avg:   17389) ops/sec, 609.41KB/sec (avg: 671.52KB/sec),  0.50 (avg:  0.46) msec latency[RUN #1 90%,  27 secs]  2 threads:      469725 ops,   17557 (avg:   17395) ops/sec, 678.04KB/sec (avg: 671.76KB/sec),  0.45 (avg:  0.46) msec latency[RUN #1 93%,  28 secs]  2 threads:      485677 ops,   15950 (avg:   17343) ops/sec, 616.03KB/sec (avg: 669.77KB/sec),  0.50 (avg:  0.46) msec latency[RUN #1 97%,  29 secs]  2 threads:      508151 ops,   22471 (avg:   17520) ops/sec, 867.83KB/sec (avg: 676.60KB/sec),  0.35 (avg:  0.45) msec latency[RUN #1 100%,  30 secs]  0 threads:      537096 ops,   22471 (avg:   17903) ops/sec, 867.83KB/sec (avg: 691.37KB/sec),  0.35 (avg:  0.44) msec latency

2         Threads
4         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1627.66          ---          ---      0.45000       120.66
Gets       16275.48      5012.75     11262.73      0.44100       570.72
Totals     17903.14      5012.75     11262.73      0.44200       691.37


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.069      0.00020
GET       0.070      0.00041
GET       0.073      0.00061
GET       0.075      0.00082
GET       0.076      0.00123
GET       0.077      0.00184
GET       0.078      0.00287
GET       0.079      0.00307
GET       0.080      0.00369
GET       0.081      0.00389
GET       0.082      0.00471
GET       0.083      0.00655
GET       0.084      0.00758
GET       0.085      0.00983
GET       0.086      0.01270
GET       0.087      0.01454
GET       0.088      0.01823
GET       0.089      0.02601
GET       0.090      0.03031
GET       0.091      0.03707
GET       0.092      0.04670
GET       0.093      0.05714
GET       0.094      0.06881
GET       0.095      0.08561
GET       0.096      0.09954
GET       0.097      0.11613
GET       0.098      0.13169
GET       0.099      0.14992
GET       0.100      0.24986
GET       0.110      0.52369
GET       0.120      1.02014
GET       0.130      2.46751
GET       0.140      6.72216
GET       0.150     12.92574
GET       0.160     18.14114
GET       0.170     22.61513
GET       0.180     28.11664
GET       0.190     35.58736
GET       0.200     41.58635
GET       0.210     44.92776
GET       0.220     46.91643
GET       0.230     48.62452
GET       0.240     50.49870
GET       0.250     52.22153
GET       0.260     53.61299
GET       0.270     54.99994
GET       0.280     56.90648
GET       0.290     59.58412
GET       0.300     62.25480
GET       0.310     64.57259
GET       0.320     66.79085
GET       0.330     69.53484
GET       0.340     72.89285
GET       0.350     75.77570
GET       0.360     78.04168
GET       0.370     79.99472
GET       0.380     82.01902
GET       0.390     84.14041
GET       0.400     85.80057
GET       0.410     87.00811
GET       0.420     87.96230
GET       0.430     88.82044
GET       0.440     89.62348
GET       0.450     90.22316
GET       0.460     90.69216
GET       0.470     91.06614
GET       0.480     91.42517
GET       0.490     91.76924
GET       0.500     92.05740
GET       0.510     92.29211
GET       0.520     92.51596
GET       0.530     92.75518
GET       0.540     93.00730
GET       0.550     93.22582
GET       0.560     93.41998
GET       0.570     93.61147
GET       0.580     93.81608
GET       0.590     94.01658
GET       0.600     94.20582
GET       0.610     94.38359
GET       0.620     94.54621
GET       0.630     94.71251
GET       0.640     94.89295
GET       0.650     95.05167
GET       0.660     95.19319
GET       0.670     95.32837
GET       0.680     95.46600
GET       0.690     95.59420
GET       0.700     95.71525
GET       0.710     95.82215
GET       0.720     95.92087
GET       0.730     96.02225
GET       0.740     96.11277
GET       0.750     96.19900
GET       0.760     96.27007
GET       0.770     96.34113
GET       0.780     96.41527
GET       0.790     96.48184
GET       0.800     96.53590
GET       0.810     96.59284
GET       0.820     96.64589
GET       0.830     96.69197
GET       0.840     96.73723
GET       0.850     96.77266
GET       0.860     96.81096
GET       0.870     96.84701
GET       0.880     96.88489
GET       0.890     96.91684
GET       0.900     96.94798
GET       0.910     96.97665
GET       0.920     97.00307
GET       0.930     97.03522
GET       0.940     97.06328
GET       0.950     97.08806
GET       0.960     97.11448
GET       0.970     97.13763
GET       0.980     97.16446
GET       0.990     97.18780
GET       1.000     97.30352
GET       1.100     97.47556
GET       1.200     97.61810
GET       1.300     97.73505
GET       1.400     97.79976
GET       1.500     97.84339
GET       1.600     97.86571
GET       1.700     97.87636
GET       1.800     97.88476
GET       1.900     97.88988
GET       2.000     97.89193
GET       2.100     97.89418
GET       2.200     97.89746
GET       2.300     97.90114
GET       2.400     97.90606
GET       2.500     97.91016
GET       2.600     97.91507
GET       2.700     97.92122
GET       2.800     97.92715
GET       2.900     97.93227
GET       3.000     97.93658
GET       3.100     97.94190
GET       3.200     97.94559
GET       3.300     97.94989
GET       3.400     97.95603
GET       3.500     97.96259
GET       3.600     97.96689
GET       3.700     97.96955
GET       3.800     97.97467
GET       3.900     97.98143
GET       4.000     97.98798
GET       4.100     98.00109
GET       4.200     98.11128
GET       4.300     98.19504
GET       4.400     98.33267
GET       4.500     98.41705
GET       4.600     98.48402
GET       4.700     98.54055
GET       4.800     98.57557
GET       4.900     98.59831
GET       5.000     98.61530
GET       5.100     98.63087
GET       5.200     98.64725
GET       5.300     98.66057
GET       5.400     98.67531
GET       5.500     98.68658
GET       5.600     98.69374
GET       5.700     98.70501
GET       5.800     98.71443
GET       5.900     98.71750
GET       6.000     98.72221
GET       6.100     98.72815
GET       6.200     98.73307
GET       6.300     98.73778
GET       6.400     98.74331
GET       6.500     98.74638
GET       6.600     98.75171
GET       6.700     98.75662
GET       6.800     98.75949
GET       6.900     98.76358
GET       7.000     98.76788
GET       7.100     98.77157
GET       7.200     98.77485
GET       7.300     98.77853
GET       7.400     98.78120
GET       7.500     98.78427
GET       7.600     98.78775
GET       7.700     98.79205
GET       7.800     98.79553
GET       7.900     98.80229
GET       8.000     98.80782
GET       8.100     98.83219
GET       8.200     98.97638
GET       8.300     99.07489
GET       8.400     99.23013
GET       8.500     99.31943
GET       8.600     99.35138
GET       8.700     99.37903
GET       8.800     99.39562
GET       8.900     99.40545
GET       9.000     99.41651
GET       9.100     99.42490
GET       9.200     99.43187
GET       9.300     99.43863
GET       9.400     99.44600
GET       9.500     99.44928
GET       9.600     99.45358
GET       9.700     99.45870
GET       9.800     99.46115
GET       9.900     99.46238
GET      10.000     99.47283
GET      11.000     99.49024
GET      12.000     99.89350
GET      13.000     99.95494
GET      14.000     99.95679
GET      15.000     99.95842
GET      16.000     99.98812
GET      17.000     99.99365
GET      18.000     99.99427
GET      19.000     99.99508
GET      20.000     99.99611
GET      21.000     99.99672
GET      24.000     99.99918
GET      26.000    100.00000
