[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       34199 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:       60844 ops,   26642 (avg:   30422) ops/sec, 1.00MB/sec (avg: 1.15MB/sec),  0.30 (avg:  0.26) msec latency[RUN #1 10%,   3 secs]  2 threads:       79251 ops,   18405 (avg:   26416) ops/sec, 710.74KB/sec (avg: 1020.15KB/sec),  0.43 (avg:  0.30) msec latency[RUN #1 13%,   4 secs]  2 threads:       94568 ops,   15315 (avg:   23640) ops/sec, 591.43KB/sec (avg: 912.97KB/sec),  0.52 (avg:  0.33) msec latency[RUN #1 17%,   5 secs]  2 threads:      111111 ops,   16541 (avg:   22220) ops/sec, 638.79KB/sec (avg: 858.13KB/sec),  0.48 (avg:  0.36) msec latency[RUN #1 20%,   6 secs]  2 threads:      124678 ops,   13565 (avg:   20778) ops/sec, 523.85KB/sec (avg: 802.41KB/sec),  0.59 (avg:  0.38) msec latency[RUN #1 23%,   7 secs]  2 threads:      140878 ops,   16198 (avg:   20123) ops/sec, 625.44KB/sec (avg: 777.13KB/sec),  0.49 (avg:  0.39) msec latency[RUN #1 27%,   8 secs]  2 threads:      156756 ops,   15876 (avg:   19593) ops/sec, 613.13KB/sec (avg: 756.63KB/sec),  0.50 (avg:  0.40) msec latency[RUN #1 30%,   9 secs]  2 threads:      169400 ops,   12642 (avg:   18820) ops/sec, 488.25KB/sec (avg: 726.81KB/sec),  0.63 (avg:  0.42) msec latency[RUN #1 33%,  10 secs]  2 threads:      186430 ops,   17028 (avg:   18641) ops/sec, 657.52KB/sec (avg: 719.88KB/sec),  0.46 (avg:  0.42) msec latency[RUN #1 37%,  11 secs]  2 threads:      206182 ops,   19750 (avg:   18742) ops/sec, 762.68KB/sec (avg: 723.77KB/sec),  0.40 (avg:  0.42) msec latency[RUN #1 40%,  12 secs]  2 threads:      220347 ops,   14163 (avg:   18360) ops/sec, 546.91KB/sec (avg: 709.03KB/sec),  0.56 (avg:  0.43) msec latency[RUN #1 43%,  13 secs]  2 threads:      238743 ops,   18394 (avg:   18363) ops/sec, 710.33KB/sec (avg: 709.13KB/sec),  0.43 (avg:  0.43) msec latency[RUN #1 47%,  14 secs]  2 threads:      252177 ops,   13432 (avg:   18011) ops/sec, 518.71KB/sec (avg: 695.53KB/sec),  0.59 (avg:  0.44) msec latency[RUN #1 50%,  15 secs]  2 threads:      268042 ops,   15863 (avg:   17867) ops/sec, 612.54KB/sec (avg: 690.00KB/sec),  0.50 (avg:  0.44) msec latency[RUN #1 53%,  16 secs]  2 threads:      288677 ops,   20632 (avg:   18040) ops/sec, 796.79KB/sec (avg: 696.67KB/sec),  0.38 (avg:  0.44) msec latency[RUN #1 57%,  17 secs]  2 threads:      303665 ops,   14986 (avg:   17861) ops/sec, 578.66KB/sec (avg: 689.73KB/sec),  0.53 (avg:  0.44) msec latency[RUN #1 60%,  18 secs]  2 threads:      318539 ops,   14872 (avg:   17695) ops/sec, 574.35KB/sec (avg: 683.32KB/sec),  0.53 (avg:  0.45) msec latency[RUN #1 63%,  19 secs]  2 threads:      334175 ops,   15634 (avg:   17586) ops/sec, 603.71KB/sec (avg: 679.13KB/sec),  0.51 (avg:  0.45) msec latency[RUN #1 67%,  20 secs]  2 threads:      349941 ops,   15764 (avg:   17495) ops/sec, 608.69KB/sec (avg: 675.61KB/sec),  0.50 (avg:  0.45) msec latency[RUN #1 70%,  21 secs]  2 threads:      361434 ops,   11491 (avg:   17209) ops/sec, 443.81KB/sec (avg: 664.57KB/sec),  0.69 (avg:  0.46) msec latency[RUN #1 73%,  22 secs]  2 threads:      374431 ops,   12995 (avg:   17018) ops/sec, 501.96KB/sec (avg: 657.18KB/sec),  0.61 (avg:  0.47) msec latency[RUN #1 77%,  23 secs]  2 threads:      391628 ops,   17195 (avg:   17025) ops/sec, 664.12KB/sec (avg: 657.48KB/sec),  0.46 (avg:  0.47) msec latency[RUN #1 80%,  24 secs]  2 threads:      409110 ops,   17480 (avg:   17044) ops/sec, 675.04KB/sec (avg: 658.21KB/sec),  0.45 (avg:  0.46) msec latency[RUN #1 83%,  25 secs]  2 threads:      427165 ops,   18053 (avg:   17085) ops/sec, 697.12KB/sec (avg: 659.77KB/sec),  0.44 (avg:  0.46) msec latency[RUN #1 87%,  26 secs]  2 threads:      440430 ops,   13263 (avg:   16938) ops/sec, 512.25KB/sec (avg: 654.09KB/sec),  0.60 (avg:  0.47) msec latency[RUN #1 90%,  27 secs]  2 threads:      456990 ops,   16558 (avg:   16924) ops/sec, 639.43KB/sec (avg: 653.55KB/sec),  0.48 (avg:  0.47) msec latency[RUN #1 93%,  28 secs]  2 threads:      472663 ops,   15670 (avg:   16879) ops/sec, 605.24KB/sec (avg: 651.83KB/sec),  0.51 (avg:  0.47) msec latency[RUN #1 97%,  29 secs]  2 threads:      486350 ops,   13685 (avg:   16769) ops/sec, 528.45KB/sec (avg: 647.57KB/sec),  0.58 (avg:  0.47) msec latency[RUN #1 100%,  30 secs]  0 threads:      508751 ops,   13685 (avg:   16958) ops/sec, 528.45KB/sec (avg: 654.89KB/sec),  0.58 (avg:  0.47) msec latency

2         Threads
4         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1541.79          ---          ---      0.48500       114.29
Gets       15416.50      4337.78     11078.72      0.46500       540.60
Totals     16958.30      4337.78     11078.72      0.46700       654.89


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.062      0.00022
GET       0.066      0.00043
GET       0.067      0.00065
GET       0.070      0.00086
GET       0.072      0.00151
GET       0.073      0.00238
GET       0.074      0.00324
GET       0.075      0.00411
GET       0.076      0.00497
GET       0.077      0.00562
GET       0.078      0.00649
GET       0.079      0.00822
GET       0.080      0.01016
GET       0.081      0.01124
GET       0.082      0.01254
GET       0.083      0.01492
GET       0.084      0.01838
GET       0.085      0.02465
GET       0.086      0.02962
GET       0.087      0.03351
GET       0.088      0.04238
GET       0.089      0.05016
GET       0.090      0.06205
GET       0.091      0.07287
GET       0.092      0.09038
GET       0.093      0.11049
GET       0.094      0.13514
GET       0.095      0.16151
GET       0.096      0.18508
GET       0.097      0.21449
GET       0.098      0.24303
GET       0.099      0.27568
GET       0.100      0.46076
GET       0.110      0.88087
GET       0.120      1.48866
GET       0.130      2.69602
GET       0.140      5.83636
GET       0.150     10.16698
GET       0.160     13.59339
GET       0.170     16.52551
GET       0.180     19.86326
GET       0.190     24.59367
GET       0.200     28.79673
GET       0.210     31.63026
GET       0.220     33.84411
GET       0.230     36.12564
GET       0.240     38.96782
GET       0.250     41.77065
GET       0.260     44.28288
GET       0.270     46.88311
GET       0.280     49.95449
GET       0.290     53.74867
GET       0.300     57.53486
GET       0.310     60.85964
GET       0.320     63.97577
GET       0.330     67.24800
GET       0.340     70.78986
GET       0.350     73.89648
GET       0.360     76.42363
GET       0.370     78.63575
GET       0.380     80.76636
GET       0.390     82.86065
GET       0.400     84.51060
GET       0.410     85.83234
GET       0.420     86.88748
GET       0.430     87.83387
GET       0.440     88.66544
GET       0.450     89.32296
GET       0.460     89.86999
GET       0.470     90.29961
GET       0.480     90.70999
GET       0.490     91.07692
GET       0.500     91.38135
GET       0.510     91.65335
GET       0.520     91.90222
GET       0.530     92.15195
GET       0.540     92.39346
GET       0.550     92.62590
GET       0.560     92.84687
GET       0.570     93.07412
GET       0.580     93.29379
GET       0.590     93.50526
GET       0.600     93.71131
GET       0.610     93.89337
GET       0.620     94.07434
GET       0.630     94.25812
GET       0.640     94.45186
GET       0.650     94.63240
GET       0.660     94.80278
GET       0.670     94.96083
GET       0.680     95.11564
GET       0.690     95.26181
GET       0.700     95.39175
GET       0.710     95.51673
GET       0.720     95.63435
GET       0.730     95.74505
GET       0.740     95.84278
GET       0.750     95.93100
GET       0.760     96.01230
GET       0.770     96.09381
GET       0.780     96.16170
GET       0.790     96.22895
GET       0.800     96.28408
GET       0.810     96.33425
GET       0.820     96.38181
GET       0.830     96.42225
GET       0.840     96.46138
GET       0.850     96.49619
GET       0.860     96.53425
GET       0.870     96.57079
GET       0.880     96.60473
GET       0.890     96.63825
GET       0.900     96.66419
GET       0.910     96.68971
GET       0.920     96.71457
GET       0.930     96.74160
GET       0.940     96.76755
GET       0.950     96.79047
GET       0.960     96.81252
GET       0.970     96.83630
GET       0.980     96.85987
GET       0.990     96.88322
GET       1.000     97.01468
GET       1.100     97.24539
GET       1.200     97.45728
GET       1.300     97.60582
GET       1.400     97.69339
GET       1.500     97.74896
GET       1.600     97.78139
GET       1.700     97.79890
GET       1.800     97.81101
GET       1.900     97.81923
GET       2.000     97.82290
GET       2.100     97.82918
GET       2.200     97.83307
GET       2.300     97.83869
GET       2.400     97.84193
GET       2.500     97.84561
GET       2.600     97.85036
GET       2.700     97.85534
GET       2.800     97.86269
GET       2.900     97.86961
GET       3.000     97.87523
GET       3.100     97.88063
GET       3.200     97.88366
GET       3.300     97.88712
GET       3.400     97.89166
GET       3.500     97.89880
GET       3.600     97.90572
GET       3.700     97.91091
GET       3.800     97.91501
GET       3.900     97.91782
GET       4.000     97.92193
GET       4.100     97.93685
GET       4.200     98.06161
GET       4.300     98.16453
GET       4.400     98.32172
GET       4.500     98.40388
GET       4.600     98.44669
GET       4.700     98.49253
GET       4.800     98.52972
GET       4.900     98.55177
GET       5.000     98.56777
GET       5.100     98.57902
GET       5.200     98.59329
GET       5.300     98.60929
GET       5.400     98.62075
GET       5.500     98.63523
GET       5.600     98.64345
GET       5.700     98.64994
GET       5.800     98.65621
GET       5.900     98.66183
GET       6.000     98.66680
GET       6.100     98.67069
GET       6.200     98.67372
GET       6.300     98.67632
GET       6.400     98.68021
GET       6.500     98.68842
GET       6.600     98.69383
GET       6.700     98.69707
GET       6.800     98.70140
GET       6.900     98.70486
GET       7.000     98.70832
GET       7.100     98.71242
GET       7.200     98.71459
GET       7.300     98.71848
GET       7.400     98.72107
GET       7.500     98.72302
GET       7.600     98.72540
GET       7.700     98.72842
GET       7.800     98.73188
GET       7.900     98.73448
GET       8.000     98.73837
GET       8.100     98.76388
GET       8.200     98.92561
GET       8.300     99.05318
GET       8.400     99.23956
GET       8.500     99.32151
GET       8.600     99.35610
GET       8.700     99.37773
GET       8.800     99.39221
GET       8.900     99.40216
GET       9.000     99.40821
GET       9.100     99.41773
GET       9.200     99.42378
GET       9.300     99.42983
GET       9.400     99.43697
GET       9.500     99.44043
GET       9.600     99.44454
GET       9.700     99.44778
GET       9.800     99.45059
GET       9.900     99.45146
GET      10.000     99.46789
GET      11.000     99.48713
GET      12.000     99.89513
GET      13.000     99.94508
GET      14.000     99.94962
GET      15.000     99.95135
GET      16.000     99.99005
GET      17.000     99.99459
GET      20.000     99.99697
GET      24.000     99.99914
GET      28.000    100.00000
