[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       13301 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       29806 ops,   16503 (avg:   14902) ops/sec, 637.18KB/sec (avg: 575.56KB/sec),  0.48 (avg:  0.53) msec latency[RUN #1 10%,   3 secs]  2 threads:       46245 ops,   16436 (avg:   15413) ops/sec, 634.78KB/sec (avg: 595.30KB/sec),  0.48 (avg:  0.51) msec latency[RUN #1 13%,   4 secs]  2 threads:       63083 ops,   16836 (avg:   15769) ops/sec, 650.08KB/sec (avg: 609.00KB/sec),  0.47 (avg:  0.50) msec latency[RUN #1 17%,   5 secs]  2 threads:       79934 ops,   16848 (avg:   15985) ops/sec, 650.62KB/sec (avg: 617.32KB/sec),  0.47 (avg:  0.50) msec latency[RUN #1 20%,   6 secs]  2 threads:       95114 ops,   15178 (avg:   15850) ops/sec, 586.17KB/sec (avg: 612.13KB/sec),  0.52 (avg:  0.50) msec latency[RUN #1 23%,   7 secs]  2 threads:      108511 ops,   13394 (avg:   15499) ops/sec, 517.31KB/sec (avg: 598.58KB/sec),  0.59 (avg:  0.51) msec latency[RUN #1 27%,   8 secs]  2 threads:      125010 ops,   16497 (avg:   15624) ops/sec, 636.91KB/sec (avg: 603.37KB/sec),  0.48 (avg:  0.51) msec latency[RUN #1 30%,   9 secs]  2 threads:      140163 ops,   15150 (avg:   15571) ops/sec, 585.19KB/sec (avg: 601.35KB/sec),  0.52 (avg:  0.51) msec latency[RUN #1 33%,  10 secs]  2 threads:      154998 ops,   14833 (avg:   15498) ops/sec, 572.80KB/sec (avg: 598.50KB/sec),  0.54 (avg:  0.51) msec latency[RUN #1 37%,  11 secs]  2 threads:      171462 ops,   16461 (avg:   15585) ops/sec, 635.63KB/sec (avg: 601.87KB/sec),  0.48 (avg:  0.51) msec latency[RUN #1 40%,  12 secs]  2 threads:      192489 ops,   21024 (avg:   16038) ops/sec, 811.90KB/sec (avg: 619.38KB/sec),  0.38 (avg:  0.49) msec latency[RUN #1 43%,  13 secs]  2 threads:      205349 ops,   12858 (avg:   15794) ops/sec, 496.55KB/sec (avg: 609.93KB/sec),  0.62 (avg:  0.50) msec latency[RUN #1 47%,  14 secs]  2 threads:      217734 ops,   12383 (avg:   15550) ops/sec, 478.20KB/sec (avg: 600.52KB/sec),  0.64 (avg:  0.51) msec latency[RUN #1 50%,  15 secs]  2 threads:      234666 ops,   16930 (avg:   15642) ops/sec, 653.81KB/sec (avg: 604.07KB/sec),  0.47 (avg:  0.51) msec latency[RUN #1 53%,  16 secs]  2 threads:      251791 ops,   17123 (avg:   15735) ops/sec, 661.18KB/sec (avg: 607.64KB/sec),  0.46 (avg:  0.50) msec latency[RUN #1 57%,  17 secs]  2 threads:      266339 ops,   14546 (avg:   15665) ops/sec, 561.71KB/sec (avg: 604.94KB/sec),  0.55 (avg:  0.51) msec latency[RUN #1 60%,  18 secs]  2 threads:      278829 ops,   12488 (avg:   15488) ops/sec, 482.23KB/sec (avg: 598.12KB/sec),  0.63 (avg:  0.51) msec latency[RUN #1 63%,  19 secs]  2 threads:      295193 ops,   16362 (avg:   15534) ops/sec, 631.79KB/sec (avg: 599.89KB/sec),  0.49 (avg:  0.51) msec latency[RUN #1 67%,  20 secs]  2 threads:      309458 ops,   14263 (avg:   15471) ops/sec, 550.86KB/sec (avg: 597.44KB/sec),  0.56 (avg:  0.51) msec latency[RUN #1 70%,  21 secs]  2 threads:      325121 ops,   15661 (avg:   15480) ops/sec, 604.80KB/sec (avg: 597.79KB/sec),  0.51 (avg:  0.51) msec latency[RUN #1 73%,  22 secs]  2 threads:      343631 ops,   18508 (avg:   15617) ops/sec, 714.66KB/sec (avg: 603.10KB/sec),  0.43 (avg:  0.51) msec latency[RUN #1 77%,  23 secs]  2 threads:      359388 ops,   15755 (avg:   15623) ops/sec, 608.40KB/sec (avg: 603.33KB/sec),  0.50 (avg:  0.51) msec latency[RUN #1 80%,  24 secs]  2 threads:      375608 ops,   16218 (avg:   15648) ops/sec, 626.42KB/sec (avg: 604.30KB/sec),  0.49 (avg:  0.51) msec latency[RUN #1 83%,  25 secs]  2 threads:      394151 ops,   18541 (avg:   15764) ops/sec, 716.09KB/sec (avg: 608.77KB/sec),  0.43 (avg:  0.50) msec latency[RUN #1 87%,  26 secs]  2 threads:      404253 ops,   10101 (avg:   15546) ops/sec, 390.03KB/sec (avg: 600.36KB/sec),  0.79 (avg:  0.51) msec latency[RUN #1 90%,  27 secs]  2 threads:      425184 ops,   20929 (avg:   15745) ops/sec, 808.29KB/sec (avg: 608.06KB/sec),  0.38 (avg:  0.50) msec latency[RUN #1 93%,  28 secs]  2 threads:      461745 ops,   36556 (avg:   16489) ops/sec, 1.38MB/sec (avg: 636.76KB/sec),  0.22 (avg:  0.48) msec latency[RUN #1 97%,  29 secs]  2 threads:      498808 ops,   37058 (avg:   17198) ops/sec, 1.40MB/sec (avg: 664.16KB/sec),  0.21 (avg:  0.46) msec latency[RUN #1 100%,  30 secs]  0 threads:      537573 ops,   37058 (avg:   17919) ops/sec, 1.40MB/sec (avg: 691.99KB/sec),  0.21 (avg:  0.44) msec latency

2         Threads
4         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1629.10          ---          ---      0.45400       120.76
Gets       16289.95      4544.62     11745.33      0.44000       571.23
Totals     17919.05      4544.62     11745.33      0.44100       691.99


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     95.66836
SET       2.000     95.99370
SET       3.000     98.09711
SET       4.000     98.84394
SET       5.000     98.95443
SET       6.000     98.98717
SET       7.000     99.02809
SET       8.000     99.52735
SET       9.000     99.58055
SET      10.000     99.58873
SET      11.000     99.59691
SET      12.000     99.92020
SET      13.000     99.94271
SET      14.000     99.94680
SET      15.000     99.94885
SET      16.000     99.98977
SET      17.000     99.99182
SET      20.000     99.99795
SET      28.000    100.00000
---
GET       0.061      0.00020
GET       0.062      0.00041
GET       0.064      0.00082
GET       0.065      0.00102
GET       0.066      0.00164
GET       0.067      0.00246
GET       0.068      0.00327
GET       0.069      0.00450
GET       0.070      0.00491
GET       0.071      0.00634
GET       0.072      0.00798
GET       0.073      0.00982
GET       0.074      0.01330
GET       0.075      0.01698
GET       0.076      0.02026
GET       0.077      0.02353
GET       0.078      0.02885
GET       0.079      0.03438
GET       0.080      0.03908
GET       0.081      0.04318
GET       0.082      0.04870
GET       0.083      0.05484
GET       0.084      0.06323
GET       0.085      0.07223
GET       0.086      0.08308
GET       0.087      0.09310
GET       0.088      0.10804
GET       0.089      0.12687
GET       0.090      0.14528
GET       0.091      0.16186
GET       0.092      0.19051
GET       0.093      0.22816
GET       0.094      0.26622
GET       0.095      0.29875
GET       0.096      0.33886
GET       0.097      0.37324
GET       0.098      0.41027
GET       0.099      0.44444
GET       0.100      0.63454
GET       0.110      1.04133
GET       0.120      1.69102
GET       0.130      3.31123
GET       0.140      7.81543
GET       0.150     14.32515
GET       0.160     20.02312
GET       0.170     25.01883
GET       0.180     30.30530
GET       0.190     36.41068
GET       0.200     41.13771
GET       0.210     43.95273
GET       0.220     45.81113
GET       0.230     47.55515
GET       0.240     49.72396
GET       0.250     52.00184
GET       0.260     54.18375
GET       0.270     56.45570
GET       0.280     59.31492
GET       0.290     62.90935
GET       0.300     66.44424
GET       0.310     69.47882
GET       0.320     72.19173
GET       0.330     75.02108
GET       0.340     78.01432
GET       0.350     80.57233
GET       0.360     82.55596
GET       0.370     84.16738
GET       0.380     85.64764
GET       0.390     87.02292
GET       0.400     88.10088
GET       0.410     88.91672
GET       0.420     89.53693
GET       0.430     90.09310
GET       0.440     90.58277
GET       0.450     90.96890
GET       0.460     91.27051
GET       0.470     91.53284
GET       0.480     91.77921
GET       0.490     92.01003
GET       0.500     92.22693
GET       0.510     92.42132
GET       0.520     92.61019
GET       0.530     92.80949
GET       0.540     92.99918
GET       0.550     93.19153
GET       0.560     93.37262
GET       0.570     93.54573
GET       0.580     93.73951
GET       0.590     93.92613
GET       0.600     94.11459
GET       0.610     94.27808
GET       0.620     94.43871
GET       0.630     94.60589
GET       0.640     94.77246
GET       0.650     94.92224
GET       0.660     95.06118
GET       0.670     95.19542
GET       0.680     95.31983
GET       0.690     95.44997
GET       0.700     95.56231
GET       0.710     95.65582
GET       0.720     95.74565
GET       0.730     95.83814
GET       0.740     95.92183
GET       0.750     95.99877
GET       0.760     96.06200
GET       0.770     96.11991
GET       0.780     96.17761
GET       0.790     96.23327
GET       0.800     96.28013
GET       0.810     96.32617
GET       0.820     96.36976
GET       0.830     96.40945
GET       0.840     96.44833
GET       0.850     96.48025
GET       0.860     96.51320
GET       0.870     96.54369
GET       0.880     96.57868
GET       0.890     96.60753
GET       0.900     96.63863
GET       0.910     96.66523
GET       0.920     96.69245
GET       0.930     96.71721
GET       0.940     96.74197
GET       0.950     96.76796
GET       0.960     96.79312
GET       0.970     96.82034
GET       0.980     96.84489
GET       0.990     96.87231
GET       1.000     97.01739
GET       1.100     97.28034
GET       1.200     97.50726
GET       1.300     97.65991
GET       1.400     97.74790
GET       1.500     97.79292
GET       1.600     97.81829
GET       1.700     97.83180
GET       1.800     97.83835
GET       1.900     97.84408
GET       2.000     97.84878
GET       2.100     97.85328
GET       2.200     97.85554
GET       2.300     97.85881
GET       2.400     97.86167
GET       2.500     97.86679
GET       2.600     97.87068
GET       2.700     97.87682
GET       2.800     97.88132
GET       2.900     97.88623
GET       3.000     97.89114
GET       3.100     97.89462
GET       3.200     97.89830
GET       3.300     97.90342
GET       3.400     97.91099
GET       3.500     97.91795
GET       3.600     97.92368
GET       3.700     97.93084
GET       3.800     97.93800
GET       3.900     97.94373
GET       4.000     97.94864
GET       4.100     97.96051
GET       4.200     98.05013
GET       4.300     98.12421
GET       4.400     98.24637
GET       4.500     98.31819
GET       4.600     98.38735
GET       4.700     98.45713
GET       4.800     98.49928
GET       4.900     98.51852
GET       5.000     98.53448
GET       5.100     98.55924
GET       5.200     98.58257
GET       5.300     98.60139
GET       5.400     98.62022
GET       5.500     98.63454
GET       5.600     98.64702
GET       5.700     98.65337
GET       5.800     98.66094
GET       5.900     98.66667
GET       6.000     98.67158
GET       6.100     98.67587
GET       6.200     98.68160
GET       6.300     98.68590
GET       6.400     98.68958
GET       6.500     98.69327
GET       6.600     98.70166
GET       6.700     98.70861
GET       6.800     98.71516
GET       6.900     98.71700
GET       7.000     98.71987
GET       7.100     98.72294
GET       7.200     98.72846
GET       7.300     98.73276
GET       7.400     98.73849
GET       7.500     98.74013
GET       7.600     98.74401
GET       7.700     98.74688
GET       7.800     98.74974
GET       7.900     98.75281
GET       8.000     98.76161
GET       8.100     98.78433
GET       8.200     98.92511
GET       8.300     99.04154
GET       8.400     99.20851
GET       8.500     99.27952
GET       8.600     99.32351
GET       8.700     99.35973
GET       8.800     99.38285
GET       8.900     99.39656
GET       9.000     99.40577
GET       9.100     99.41621
GET       9.200     99.43360
GET       9.300     99.44342
GET       9.400     99.44956
GET       9.500     99.45652
GET       9.600     99.46000
GET       9.700     99.46122
