[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       17918 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       34266 ops,   16346 (avg:   17132) ops/sec, 620.21KB/sec (avg: 650.25KB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 10%,   3 secs]  2 threads:       48971 ops,   14703 (avg:   16322) ops/sec, 557.95KB/sec (avg: 619.48KB/sec),  0.27 (avg:  0.24) msec latency[RUN #1 13%,   4 secs]  2 threads:       64469 ops,   15496 (avg:   16116) ops/sec, 587.94KB/sec (avg: 611.59KB/sec),  0.25 (avg:  0.24) msec latency[RUN #1 17%,   5 secs]  2 threads:       79457 ops,   14986 (avg:   15890) ops/sec, 568.63KB/sec (avg: 603.00KB/sec),  0.26 (avg:  0.25) msec latency[RUN #1 20%,   6 secs]  2 threads:       92816 ops,   13357 (avg:   15468) ops/sec, 507.02KB/sec (avg: 587.00KB/sec),  0.30 (avg:  0.25) msec latency[RUN #1 23%,   7 secs]  2 threads:      105322 ops,   12504 (avg:   15044) ops/sec, 474.54KB/sec (avg: 570.94KB/sec),  0.32 (avg:  0.26) msec latency[RUN #1 27%,   8 secs]  2 threads:      117848 ops,   12524 (avg:   14729) ops/sec, 475.24KB/sec (avg: 558.97KB/sec),  0.32 (avg:  0.27) msec latency[RUN #1 30%,   9 secs]  2 threads:      129985 ops,   12135 (avg:   14441) ops/sec, 460.61KB/sec (avg: 548.04KB/sec),  0.33 (avg:  0.27) msec latency[RUN #1 33%,  10 secs]  2 threads:      141736 ops,   11749 (avg:   14172) ops/sec, 445.88KB/sec (avg: 537.83KB/sec),  0.34 (avg:  0.28) msec latency[RUN #1 37%,  11 secs]  2 threads:      153813 ops,   12075 (avg:   13981) ops/sec, 458.21KB/sec (avg: 530.59KB/sec),  0.33 (avg:  0.28) msec latency[RUN #1 40%,  12 secs]  2 threads:      165795 ops,   11980 (avg:   13815) ops/sec, 454.76KB/sec (avg: 524.27KB/sec),  0.33 (avg:  0.29) msec latency[RUN #1 43%,  13 secs]  2 threads:      178476 ops,   12679 (avg:   13727) ops/sec, 481.08KB/sec (avg: 520.95KB/sec),  0.31 (avg:  0.29) msec latency[RUN #1 47%,  14 secs]  2 threads:      191109 ops,   12631 (avg:   13649) ops/sec, 479.37KB/sec (avg: 517.98KB/sec),  0.31 (avg:  0.29) msec latency[RUN #1 50%,  15 secs]  2 threads:      204097 ops,   12986 (avg:   13605) ops/sec, 492.68KB/sec (avg: 516.29KB/sec),  0.30 (avg:  0.29) msec latency[RUN #1 53%,  16 secs]  2 threads:      216355 ops,   12256 (avg:   13521) ops/sec, 465.13KB/sec (avg: 513.09KB/sec),  0.32 (avg:  0.29) msec latency[RUN #1 57%,  17 secs]  2 threads:      228683 ops,   12326 (avg:   13450) ops/sec, 467.79KB/sec (avg: 510.43KB/sec),  0.32 (avg:  0.29) msec latency[RUN #1 60%,  18 secs]  2 threads:      241265 ops,   12580 (avg:   13402) ops/sec, 477.33KB/sec (avg: 508.59KB/sec),  0.31 (avg:  0.29) msec latency[RUN #1 63%,  19 secs]  2 threads:      254286 ops,   13019 (avg:   13382) ops/sec, 494.01KB/sec (avg: 507.82KB/sec),  0.30 (avg:  0.29) msec latency[RUN #1 67%,  20 secs]  2 threads:      267169 ops,   12881 (avg:   13357) ops/sec, 488.81KB/sec (avg: 506.87KB/sec),  0.31 (avg:  0.30) msec latency[RUN #1 70%,  21 secs]  2 threads:      279250 ops,   12079 (avg:   13296) ops/sec, 458.34KB/sec (avg: 504.56KB/sec),  0.33 (avg:  0.30) msec latency[RUN #1 73%,  22 secs]  2 threads:      291536 ops,   12284 (avg:   13250) ops/sec, 466.32KB/sec (avg: 502.82KB/sec),  0.32 (avg:  0.30) msec latency[RUN #1 77%,  23 secs]  2 threads:      305520 ops,   13982 (avg:   13282) ops/sec, 530.56KB/sec (avg: 504.03KB/sec),  0.28 (avg:  0.30) msec latency[RUN #1 80%,  24 secs]  2 threads:      320389 ops,   14867 (avg:   13348) ops/sec, 564.32KB/sec (avg: 506.54KB/sec),  0.27 (avg:  0.30) msec latency[RUN #1 83%,  25 secs]  2 threads:      334983 ops,   14592 (avg:   13398) ops/sec, 553.84KB/sec (avg: 508.43KB/sec),  0.27 (avg:  0.29) msec latency[RUN #1 87%,  26 secs]  2 threads:      350163 ops,   15178 (avg:   13466) ops/sec, 576.20KB/sec (avg: 511.04KB/sec),  0.26 (avg:  0.29) msec latency[RUN #1 90%,  27 secs]  2 threads:      365288 ops,   15123 (avg:   13527) ops/sec, 574.01KB/sec (avg: 513.37KB/sec),  0.26 (avg:  0.29) msec latency[RUN #1 93%,  28 secs]  2 threads:      380493 ops,   15203 (avg:   13587) ops/sec, 577.16KB/sec (avg: 515.65KB/sec),  0.26 (avg:  0.29) msec latency[RUN #1 97%,  29 secs]  2 threads:      395506 ops,   15011 (avg:   13636) ops/sec, 569.60KB/sec (avg: 517.51KB/sec),  0.26 (avg:  0.29) msec latency[RUN #1 100%,  30 secs]  0 threads:      410514 ops,   15011 (avg:   13683) ops/sec, 569.60KB/sec (avg: 519.29KB/sec),  0.26 (avg:  0.29) msec latency

2         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1244.03          ---          ---      0.29100        91.39
Gets       12439.75     10983.95      1455.80      0.28800       427.90
Totals     13683.78     10983.95      1455.80      0.28800       519.30


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.062      0.00027
GET       0.064      0.00054
GET       0.073      0.00080
GET       0.074      0.00107
GET       0.075      0.00241
GET       0.076      0.00348
GET       0.077      0.00509
GET       0.078      0.00643
GET       0.079      0.00750
GET       0.080      0.00884
GET       0.081      0.00991
GET       0.082      0.01099
GET       0.083      0.01233
GET       0.084      0.01447
GET       0.085      0.01635
GET       0.086      0.02010
GET       0.087      0.02251
GET       0.088      0.02760
GET       0.089      0.03082
GET       0.090      0.03510
GET       0.091      0.03939
GET       0.092      0.04662
GET       0.093      0.05413
GET       0.094      0.06619
GET       0.095      0.07583
GET       0.096      0.08735
GET       0.097      0.10048
GET       0.098      0.11361
GET       0.099      0.12460
GET       0.100      0.20794
GET       0.110      0.47455
GET       0.120      0.85505
GET       0.130      1.50833
GET       0.140      2.74255
GET       0.150      4.62710
GET       0.160      6.71797
GET       0.170      9.06877
GET       0.180     12.17922
GET       0.190     16.73692
GET       0.200     21.51273
GET       0.210     25.72047
GET       0.220     29.90517
GET       0.230     34.64990
GET       0.240     40.61571
GET       0.250     46.45452
GET       0.260     51.47015
GET       0.270     56.32501
GET       0.280     60.78624
GET       0.290     64.90127
GET       0.300     67.82174
GET       0.310     70.01873
GET       0.320     71.93329
GET       0.330     73.74790
GET       0.340     75.51642
GET       0.350     77.18500
GET       0.360     78.81525
GET       0.370     80.42702
GET       0.380     82.05915
GET       0.390     83.60125
GET       0.400     84.89468
GET       0.410     85.90863
GET       0.420     86.82585
GET       0.430     87.69457
GET       0.440     88.53864
GET       0.450     89.35805
GET       0.460     90.24526
GET       0.470     91.21205
GET       0.480     92.30184
GET       0.490     93.38894
GET       0.500     94.44872
GET       0.510     95.41497
GET       0.520     96.29066
GET       0.530     97.13633
GET       0.540     97.81829
GET       0.550     98.35929
GET       0.560     98.78374
GET       0.570     99.12378
GET       0.580     99.38504
GET       0.590     99.57984
GET       0.600     99.70900
GET       0.610     99.78778
GET       0.620     99.84860
GET       0.630     99.89094
GET       0.640     99.91586
GET       0.650     99.93462
GET       0.660     99.94694
GET       0.670     99.95257
GET       0.680     99.95900
GET       0.690     99.96329
GET       0.700     99.96918
GET       0.710     99.97240
GET       0.720     99.97588
GET       0.730     99.97856
GET       0.740     99.98124
GET       0.750     99.98392
GET       0.760     99.98741
GET       0.770     99.98955
GET       0.780     99.99089
GET       0.790     99.99143
GET       0.800     99.99250
GET       0.810     99.99384
GET       0.820     99.99437
GET       0.830     99.99464
GET       0.850     99.99518
GET       0.860     99.99544
GET       0.870     99.99571
GET       0.880     99.99625
GET       0.890     99.99678
GET       0.900     99.99705
GET       0.910     99.99732
GET       0.940     99.99812
GET       0.950     99.99839
GET       0.970     99.99866
GET       0.980     99.99893
GET       0.990     99.99920
GET       1.000     99.99973
GET       1.100    100.00000
