[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       18259 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       35318 ops,   17057 (avg:   17658) ops/sec, 653.72KB/sec (avg: 676.87KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 10%,   3 secs]  2 threads:       51125 ops,   15805 (avg:   17040) ops/sec, 605.94KB/sec (avg: 653.23KB/sec),  0.25 (avg:  0.23) msec latency[RUN #1 13%,   4 secs]  2 threads:       66618 ops,   15491 (avg:   16653) ops/sec, 593.96KB/sec (avg: 638.41KB/sec),  0.25 (avg:  0.24) msec latency[RUN #1 17%,   5 secs]  2 threads:       82174 ops,   15554 (avg:   16433) ops/sec, 596.05KB/sec (avg: 629.94KB/sec),  0.25 (avg:  0.24) msec latency[RUN #1 20%,   6 secs]  2 threads:       97373 ops,   15197 (avg:   16227) ops/sec, 582.41KB/sec (avg: 622.02KB/sec),  0.26 (avg:  0.24) msec latency[RUN #1 23%,   7 secs]  2 threads:      112730 ops,   15355 (avg:   16102) ops/sec, 588.61KB/sec (avg: 617.24KB/sec),  0.26 (avg:  0.24) msec latency[RUN #1 27%,   8 secs]  2 threads:      128116 ops,   15384 (avg:   16012) ops/sec, 589.32KB/sec (avg: 613.75KB/sec),  0.26 (avg:  0.25) msec latency[RUN #1 30%,   9 secs]  2 threads:      143373 ops,   15255 (avg:   15928) ops/sec, 584.58KB/sec (avg: 610.51KB/sec),  0.26 (avg:  0.25) msec latency[RUN #1 33%,  10 secs]  2 threads:      158608 ops,   15233 (avg:   15859) ops/sec, 583.91KB/sec (avg: 607.85KB/sec),  0.26 (avg:  0.25) msec latency[RUN #1 37%,  11 secs]  2 threads:      173753 ops,   15143 (avg:   15794) ops/sec, 580.56KB/sec (avg: 605.37KB/sec),  0.26 (avg:  0.25) msec latency[RUN #1 40%,  12 secs]  2 threads:      188946 ops,   15191 (avg:   15743) ops/sec, 582.32KB/sec (avg: 603.45KB/sec),  0.26 (avg:  0.25) msec latency[RUN #1 43%,  13 secs]  2 threads:      203847 ops,   14899 (avg:   15678) ops/sec, 571.04KB/sec (avg: 600.96KB/sec),  0.26 (avg:  0.25) msec latency[RUN #1 47%,  14 secs]  2 threads:      218959 ops,   15111 (avg:   15638) ops/sec, 579.16KB/sec (avg: 599.40KB/sec),  0.26 (avg:  0.25) msec latency[RUN #1 50%,  15 secs]  2 threads:      234223 ops,   15262 (avg:   15613) ops/sec, 584.98KB/sec (avg: 598.44KB/sec),  0.26 (avg:  0.25) msec latency[RUN #1 53%,  16 secs]  2 threads:      249309 ops,   15084 (avg:   15580) ops/sec, 578.26KB/sec (avg: 597.18KB/sec),  0.26 (avg:  0.25) msec latency[RUN #1 57%,  17 secs]  2 threads:      264408 ops,   15097 (avg:   15551) ops/sec, 578.54KB/sec (avg: 596.08KB/sec),  0.26 (avg:  0.25) msec latency[RUN #1 60%,  18 secs]  2 threads:      279449 ops,   15039 (avg:   15523) ops/sec, 576.49KB/sec (avg: 594.99KB/sec),  0.26 (avg:  0.25) msec latency[RUN #1 63%,  19 secs]  2 threads:      294484 ops,   15033 (avg:   15497) ops/sec, 576.19KB/sec (avg: 594.00KB/sec),  0.26 (avg:  0.25) msec latency[RUN #1 67%,  20 secs]  2 threads:      309624 ops,   15138 (avg:   15479) ops/sec, 580.19KB/sec (avg: 593.31KB/sec),  0.26 (avg:  0.25) msec latency[RUN #1 70%,  21 secs]  2 threads:      324627 ops,   15001 (avg:   15456) ops/sec, 575.09KB/sec (avg: 592.44KB/sec),  0.26 (avg:  0.25) msec latency[RUN #1 73%,  22 secs]  2 threads:      339643 ops,   15014 (avg:   15436) ops/sec, 575.58KB/sec (avg: 591.68KB/sec),  0.26 (avg:  0.25) msec latency[RUN #1 77%,  23 secs]  2 threads:      354713 ops,   15067 (avg:   15420) ops/sec, 577.46KB/sec (avg: 591.06KB/sec),  0.26 (avg:  0.25) msec latency[RUN #1 80%,  24 secs]  2 threads:      369824 ops,   15109 (avg:   15407) ops/sec, 579.14KB/sec (avg: 590.56KB/sec),  0.26 (avg:  0.25) msec latency[RUN #1 83%,  25 secs]  2 threads:      384834 ops,   15008 (avg:   15391) ops/sec, 575.32KB/sec (avg: 589.95KB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 87%,  26 secs]  2 threads:      399931 ops,   15095 (avg:   15380) ops/sec, 578.61KB/sec (avg: 589.52KB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 90%,  27 secs]  2 threads:      415093 ops,   15160 (avg:   15372) ops/sec, 581.14KB/sec (avg: 589.21KB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 93%,  28 secs]  2 threads:      430062 ops,   14967 (avg:   15357) ops/sec, 573.82KB/sec (avg: 588.66KB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 97%,  29 secs]  2 threads:      445072 ops,   15008 (avg:   15345) ops/sec, 575.43KB/sec (avg: 588.20KB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 100%,  30 secs]  0 threads:      460604 ops,   15008 (avg:   15353) ops/sec, 575.43KB/sec (avg: 588.49KB/sec),  0.26 (avg:  0.26) msec latency

2         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1395.83          ---          ---      0.25700       103.06
Gets       13957.59     10642.24      3315.36      0.25500       485.43
Totals     15353.42     10642.24      3315.36      0.25500       588.49


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.058      0.00024
GET       0.068      0.00072
GET       0.069      0.00096
GET       0.070      0.00119
GET       0.071      0.00143
GET       0.073      0.00191
GET       0.074      0.00287
GET       0.075      0.00430
GET       0.076      0.00645
GET       0.077      0.00740
GET       0.078      0.00908
GET       0.079      0.01194
GET       0.080      0.01576
GET       0.081      0.02030
GET       0.082      0.02579
GET       0.083      0.03367
GET       0.084      0.04227
GET       0.085      0.05326
GET       0.086      0.06591
GET       0.087      0.08120
GET       0.088      0.10006
GET       0.089      0.12013
GET       0.090      0.14329
GET       0.091      0.17434
GET       0.092      0.21804
GET       0.093      0.26294
GET       0.094      0.31739
GET       0.095      0.37065
GET       0.096      0.43011
GET       0.097      0.49364
GET       0.098      0.56218
GET       0.099      0.63573
GET       0.100      1.00901
GET       0.110      1.91389
GET       0.120      3.10081
GET       0.130      4.97935
GET       0.140      8.90982
GET       0.150     13.08340
GET       0.160     15.87471
GET       0.170     17.94287
GET       0.180     19.81687
GET       0.190     22.05006
GET       0.200     24.01243
GET       0.210     25.77084
GET       0.220     27.72533
GET       0.230     30.42397
GET       0.240     34.62717
GET       0.250     39.95424
GET       0.260     46.03479
GET       0.270     52.83154
GET       0.280     60.55253
GET       0.290     69.23547
GET       0.300     76.74104
GET       0.310     82.85860
GET       0.320     87.61824
GET       0.330     91.42500
GET       0.340     94.35148
GET       0.350     96.26895
GET       0.360     97.52991
GET       0.370     98.37819
GET       0.380     98.87851
GET       0.390     99.18826
GET       0.400     99.38910
GET       0.410     99.52260
GET       0.420     99.60332
GET       0.430     99.66900
GET       0.440     99.72345
GET       0.450     99.76476
GET       0.460     99.80106
GET       0.470     99.83259
GET       0.480     99.86149
GET       0.490     99.88202
GET       0.500     99.90423
GET       0.510     99.92167
GET       0.520     99.93862
GET       0.530     99.95152
GET       0.540     99.96298
GET       0.550     99.97254
GET       0.560     99.97779
GET       0.570     99.98137
GET       0.580     99.98495
GET       0.590     99.98806
GET       0.600     99.98949
GET       0.610     99.99069
GET       0.620     99.99236
GET       0.630     99.99403
GET       0.640     99.99475
GET       0.650     99.99522
GET       0.660     99.99546
GET       0.710     99.99570
GET       0.730     99.99594
GET       0.770     99.99642
GET       0.800     99.99666
GET       0.840     99.99690
GET       0.890     99.99713
GET       0.910     99.99737
GET       1.000     99.99761
GET       1.100     99.99785
GET       1.200     99.99809
GET       1.400     99.99881
GET       1.900     99.99928
GET       2.000     99.99952
GET       3.900     99.99976
GET       4.000    100.00000
