[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       22859 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       34678 ops,   11817 (avg:   17338) ops/sec, 455.89KB/sec (avg: 668.90KB/sec),  0.33 (avg:  0.23) msec latency[RUN #1 10%,   3 secs]  2 threads:       48246 ops,   13566 (avg:   16081) ops/sec, 523.40KB/sec (avg: 620.40KB/sec),  0.29 (avg:  0.24) msec latency[RUN #1 13%,   4 secs]  2 threads:       60348 ops,   12100 (avg:   15086) ops/sec, 467.04KB/sec (avg: 582.06KB/sec),  0.32 (avg:  0.26) msec latency[RUN #1 17%,   5 secs]  2 threads:       68947 ops,    8598 (avg:   13788) ops/sec, 331.70KB/sec (avg: 531.99KB/sec),  0.46 (avg:  0.28) msec latency[RUN #1 20%,   6 secs]  2 threads:       78255 ops,    9307 (avg:   13041) ops/sec, 359.04KB/sec (avg: 503.16KB/sec),  0.42 (avg:  0.30) msec latency[RUN #1 23%,   7 secs]  2 threads:       91011 ops,   12754 (avg:   13000) ops/sec, 491.94KB/sec (avg: 501.56KB/sec),  0.31 (avg:  0.30) msec latency[RUN #1 27%,   8 secs]  2 threads:      104458 ops,   13445 (avg:   13056) ops/sec, 518.76KB/sec (avg: 503.71KB/sec),  0.29 (avg:  0.30) msec latency[RUN #1 30%,   9 secs]  2 threads:      114233 ops,    9773 (avg:   12691) ops/sec, 377.07KB/sec (avg: 489.64KB/sec),  0.40 (avg:  0.31) msec latency[RUN #1 33%,  10 secs]  2 threads:      122967 ops,    8733 (avg:   12295) ops/sec, 336.90KB/sec (avg: 474.36KB/sec),  0.45 (avg:  0.32) msec latency[RUN #1 37%,  11 secs]  2 threads:      131911 ops,    8943 (avg:   11990) ops/sec, 345.02KB/sec (avg: 462.60KB/sec),  0.44 (avg:  0.33) msec latency[RUN #1 40%,  12 secs]  2 threads:      144839 ops,   12926 (avg:   12068) ops/sec, 498.72KB/sec (avg: 465.61KB/sec),  0.30 (avg:  0.33) msec latency[RUN #1 43%,  13 secs]  2 threads:      153173 ops,    8333 (avg:   11781) ops/sec, 321.56KB/sec (avg: 454.53KB/sec),  0.47 (avg:  0.33) msec latency[RUN #1 47%,  14 secs]  2 threads:      160158 ops,    6984 (avg:   11438) ops/sec, 269.49KB/sec (avg: 441.32KB/sec),  0.57 (avg:  0.34) msec latency[RUN #1 50%,  15 secs]  2 threads:      166321 ops,    6162 (avg:   11087) ops/sec, 237.69KB/sec (avg: 427.74KB/sec),  0.64 (avg:  0.36) msec latency[RUN #1 53%,  16 secs]  2 threads:      175830 ops,    9508 (avg:   10988) ops/sec, 366.87KB/sec (avg: 423.94KB/sec),  0.42 (avg:  0.36) msec latency[RUN #1 57%,  17 secs]  2 threads:      183499 ops,    7668 (avg:   10793) ops/sec, 295.88KB/sec (avg: 416.40KB/sec),  0.52 (avg:  0.37) msec latency[RUN #1 60%,  18 secs]  2 threads:      196384 ops,   12883 (avg:   10909) ops/sec, 496.97KB/sec (avg: 420.88KB/sec),  0.31 (avg:  0.36) msec latency[RUN #1 63%,  19 secs]  2 threads:      209104 ops,   12718 (avg:   11004) ops/sec, 490.86KB/sec (avg: 424.56KB/sec),  0.31 (avg:  0.36) msec latency[RUN #1 67%,  20 secs]  2 threads:      225283 ops,   16177 (avg:   11263) ops/sec, 624.18KB/sec (avg: 434.54KB/sec),  0.24 (avg:  0.35) msec latency[RUN #1 70%,  21 secs]  2 threads:      236233 ops,   10948 (avg:   11248) ops/sec, 422.43KB/sec (avg: 433.97KB/sec),  0.36 (avg:  0.35) msec latency[RUN #1 73%,  22 secs]  2 threads:      247113 ops,   10878 (avg:   11231) ops/sec, 419.79KB/sec (avg: 433.32KB/sec),  0.36 (avg:  0.35) msec latency[RUN #1 77%,  23 secs]  2 threads:      260315 ops,   13200 (avg:   11316) ops/sec, 509.09KB/sec (avg: 436.62KB/sec),  0.30 (avg:  0.35) msec latency[RUN #1 80%,  24 secs]  2 threads:      270767 ops,   10451 (avg:   11280) ops/sec, 403.19KB/sec (avg: 435.22KB/sec),  0.38 (avg:  0.35) msec latency[RUN #1 83%,  25 secs]  2 threads:      278712 ops,    7944 (avg:   11147) ops/sec, 306.55KB/sec (avg: 430.08KB/sec),  0.50 (avg:  0.35) msec latency[RUN #1 87%,  26 secs]  2 threads:      284450 ops,    5737 (avg:   10939) ops/sec, 221.32KB/sec (avg: 422.05KB/sec),  0.69 (avg:  0.36) msec latency[RUN #1 90%,  27 secs]  2 threads:      291092 ops,    6641 (avg:   10780) ops/sec, 256.31KB/sec (avg: 415.91KB/sec),  0.60 (avg:  0.37) msec latency[RUN #1 93%,  28 secs]  2 threads:      299401 ops,    8308 (avg:   10691) ops/sec, 320.50KB/sec (avg: 412.50KB/sec),  0.48 (avg:  0.37) msec latency[RUN #1 97%,  29 secs]  2 threads:      309766 ops,   10364 (avg:   10680) ops/sec, 399.87KB/sec (avg: 412.07KB/sec),  0.38 (avg:  0.37) msec latency[RUN #1 100%,  30 secs]  0 threads:      324461 ops,   10364 (avg:   10815) ops/sec, 399.87KB/sec (avg: 417.27KB/sec),  0.38 (avg:  0.36) msec latency

2         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         983.30          ---          ---      0.38300        72.85
Gets        9832.03      3425.06      6406.98      0.36200       344.42
Totals     10815.33      3425.06      6406.98      0.36400       417.27


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.063      0.00034
GET       0.065      0.00068
GET       0.066      0.00102
GET       0.067      0.00170
GET       0.071      0.00237
GET       0.072      0.00305
GET       0.073      0.00373
GET       0.075      0.00475
GET       0.076      0.00542
GET       0.077      0.00678
GET       0.078      0.00746
GET       0.079      0.00881
GET       0.080      0.01017
GET       0.081      0.01288
GET       0.082      0.01593
GET       0.083      0.02102
GET       0.084      0.02611
GET       0.085      0.03492
GET       0.086      0.04306
GET       0.087      0.05153
GET       0.088      0.06001
GET       0.089      0.06984
GET       0.090      0.08103
GET       0.091      0.09493
GET       0.092      0.11120
GET       0.093      0.13086
GET       0.094      0.15392
GET       0.095      0.18138
GET       0.096      0.20715
GET       0.097      0.23257
GET       0.098      0.26546
GET       0.099      0.29665
GET       0.100      0.47362
GET       0.110      0.92995
GET       0.120      1.71107
GET       0.130      3.55063
GET       0.140      8.49025
GET       0.150     14.59849
GET       0.160     19.50116
GET       0.170     23.62576
GET       0.180     28.05412
GET       0.190     33.33751
GET       0.200     37.35566
GET       0.210     39.83767
GET       0.220     41.62095
GET       0.230     43.36965
GET       0.240     45.74250
GET       0.250     48.12417
GET       0.260     50.30445
GET       0.270     52.60881
GET       0.280     55.42477
GET       0.290     58.96556
GET       0.300     62.47788
GET       0.310     65.54641
GET       0.320     68.34067
GET       0.330     71.32173
GET       0.340     74.44857
GET       0.350     77.15265
GET       0.360     79.35259
GET       0.370     81.16808
GET       0.380     82.84254
GET       0.390     84.41596
GET       0.400     85.65544
GET       0.410     86.61217
GET       0.420     87.39838
GET       0.430     88.11271
GET       0.440     88.76398
GET       0.450     89.32710
GET       0.460     89.80242
GET       0.470     90.21501
GET       0.480     90.61133
GET       0.490     91.01172
GET       0.500     91.36567
GET       0.510     91.68876
GET       0.520     91.98676
GET       0.530     92.28307
GET       0.540     92.58718
GET       0.550     92.85399
GET       0.560     93.12318
GET       0.570     93.38186
GET       0.580     93.63850
GET       0.590     93.89243
GET       0.600     94.14569
GET       0.610     94.39318
GET       0.620     94.61558
GET       0.630     94.87188
GET       0.640     95.09869
GET       0.650     95.31262
GET       0.660     95.51366
GET       0.670     95.69639
GET       0.680     95.92320
GET       0.690     96.11102
GET       0.700     96.28427
GET       0.710     96.44361
GET       0.720     96.57515
GET       0.730     96.72432
GET       0.740     96.85654
GET       0.750     96.97656
GET       0.760     97.07996
GET       0.770     97.18642
GET       0.780     97.28406
GET       0.790     97.37763
GET       0.800     97.46340
GET       0.810     97.53799
GET       0.820     97.60342
GET       0.830     97.67055
GET       0.840     97.74073
GET       0.850     97.79734
GET       0.860     97.83972
GET       0.870     97.88413
GET       0.880     97.93058
GET       0.890     97.97160
GET       0.900     98.01195
GET       0.910     98.04788
GET       0.920     98.08721
GET       0.930     98.12484
GET       0.940     98.15807
GET       0.950     98.19061
GET       0.960     98.23130
GET       0.970     98.26351
GET       0.980     98.29673
GET       0.990     98.33233
GET       1.000     98.51235
GET       1.100     98.78628
GET       1.200     98.97038
GET       1.300     99.05683
GET       1.400     99.08666
GET       1.500     99.09446
GET       1.600     99.09751
GET       1.700     99.09819
GET       1.800     99.09887
GET       2.100     99.09955
GET       2.200     99.10090
GET       2.600     99.10158
GET       2.700     99.10294
GET       3.200     99.10666
GET       3.300     99.11073
GET       4.000     99.11141
GET       4.100     99.11989
GET       4.200     99.18566
GET       4.300     99.23075
GET       4.400     99.30872
GET       4.500     99.34398
GET       4.600     99.36093
GET       4.700     99.36941
GET       4.800     99.37382
GET       4.900     99.38026
GET       5.000     99.38772
GET       5.100     99.39484
GET       5.200     99.39891
GET       5.300     99.39958
GET       5.400     99.39992
GET       5.500     99.40060
GET       5.600     99.40094
GET       6.000     99.40128
GET       6.100     99.40162
GET       6.200     99.40433
GET       6.300     99.40467
GET       6.700     99.40501
GET       6.800     99.40603
GET       6.900     99.40840
GET       8.100     99.42399
GET       8.200     99.49688
GET       8.300     99.55248
GET       8.400     99.64300
GET       8.500     99.68301
GET       8.600     99.70267
GET       8.700     99.71352
GET       8.800     99.71929
GET       8.900     99.72573
GET       9.000     99.73759
GET       9.100     99.74573
GET       9.200     99.74946
GET       9.300     99.74980
GET       9.400     99.75048
GET       9.500     99.75082
GET       9.600     99.75115
GET      11.000     99.75285
GET      12.000     99.90609
GET      13.000     99.93457
GET      14.000     99.93694
GET      16.000     99.99627
GET      17.000     99.99729
GET      20.000     99.99864
GET      24.000    100.00000
