[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:        6541 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       17092 ops,   10549 (avg:    8545) ops/sec, 409.81KB/sec (avg: 331.96KB/sec),  0.38 (avg:  0.46) msec latency[RUN #1 10%,   3 secs]  2 threads:       26553 ops,    9460 (avg:    8850) ops/sec, 367.39KB/sec (avg: 343.77KB/sec),  0.41 (avg:  0.45) msec latency[RUN #1 13%,   4 secs]  2 threads:       38944 ops,   12389 (avg:    9735) ops/sec, 481.38KB/sec (avg: 378.18KB/sec),  0.32 (avg:  0.41) msec latency[RUN #1 17%,   5 secs]  2 threads:       49946 ops,   11000 (avg:    9988) ops/sec, 427.12KB/sec (avg: 387.96KB/sec),  0.35 (avg:  0.39) msec latency[RUN #1 20%,   6 secs]  2 threads:       58479 ops,    8532 (avg:    9745) ops/sec, 331.49KB/sec (avg: 378.55KB/sec),  0.47 (avg:  0.40) msec latency[RUN #1 23%,   7 secs]  2 threads:       64852 ops,    6372 (avg:    9263) ops/sec, 247.56KB/sec (avg: 359.84KB/sec),  0.62 (avg:  0.43) msec latency[RUN #1 27%,   8 secs]  2 threads:       75731 ops,   10877 (avg:    9465) ops/sec, 422.47KB/sec (avg: 367.67KB/sec),  0.36 (avg:  0.42) msec latency[RUN #1 30%,   9 secs]  2 threads:       79285 ops,    3553 (avg:    8808) ops/sec, 137.88KB/sec (avg: 342.13KB/sec),  1.13 (avg:  0.45) msec latency[RUN #1 33%,  10 secs]  2 threads:       96856 ops,   17569 (avg:    9684) ops/sec, 682.46KB/sec (avg: 376.17KB/sec),  0.22 (avg:  0.41) msec latency[RUN #1 37%,  11 secs]  2 threads:      116026 ops,   19168 (avg:   10546) ops/sec, 744.45KB/sec (avg: 409.65KB/sec),  0.20 (avg:  0.37) msec latency[RUN #1 40%,  12 secs]  2 threads:      122530 ops,    6503 (avg:   10209) ops/sec, 252.60KB/sec (avg: 396.56KB/sec),  0.61 (avg:  0.39) msec latency[RUN #1 43%,  13 secs]  2 threads:      131878 ops,    9347 (avg:   10143) ops/sec, 362.97KB/sec (avg: 393.98KB/sec),  0.42 (avg:  0.39) msec latency[RUN #1 47%,  14 secs]  2 threads:      140361 ops,    8482 (avg:   10024) ops/sec, 329.39KB/sec (avg: 389.36KB/sec),  0.47 (avg:  0.39) msec latency[RUN #1 50%,  15 secs]  2 threads:      154507 ops,   14144 (avg:   10299) ops/sec, 549.46KB/sec (avg: 400.04KB/sec),  0.28 (avg:  0.38) msec latency[RUN #1 53%,  16 secs]  2 threads:      163686 ops,    9178 (avg:   10229) ops/sec, 356.44KB/sec (avg: 397.31KB/sec),  0.43 (avg:  0.39) msec latency[RUN #1 57%,  17 secs]  2 threads:      172515 ops,    8828 (avg:   10146) ops/sec, 342.81KB/sec (avg: 394.10KB/sec),  0.45 (avg:  0.39) msec latency[RUN #1 60%,  18 secs]  2 threads:      182685 ops,   10168 (avg:   10148) ops/sec, 395.02KB/sec (avg: 394.16KB/sec),  0.39 (avg:  0.39) msec latency[RUN #1 63%,  19 secs]  2 threads:      187900 ops,    5214 (avg:    9888) ops/sec, 202.52KB/sec (avg: 384.07KB/sec),  0.75 (avg:  0.40) msec latency[RUN #1 67%,  20 secs]  2 threads:      194804 ops,    6903 (avg:    9739) ops/sec, 268.16KB/sec (avg: 378.27KB/sec),  0.58 (avg:  0.41) msec latency[RUN #1 70%,  21 secs]  2 threads:      203023 ops,    8218 (avg:    9666) ops/sec, 319.26KB/sec (avg: 375.46KB/sec),  0.48 (avg:  0.41) msec latency[RUN #1 73%,  22 secs]  2 threads:      211526 ops,    8502 (avg:    9613) ops/sec, 330.35KB/sec (avg: 373.41KB/sec),  0.46 (avg:  0.41) msec latency[RUN #1 77%,  23 secs]  2 threads:      232909 ops,   21380 (avg:   10125) ops/sec, 830.56KB/sec (avg: 393.29KB/sec),  0.18 (avg:  0.39) msec latency[RUN #1 80%,  24 secs]  2 threads:      255714 ops,   22802 (avg:   10653) ops/sec, 885.58KB/sec (avg: 413.80KB/sec),  0.17 (avg:  0.37) msec latency[RUN #1 83%,  25 secs]  2 threads:      278839 ops,   23122 (avg:   11152) ops/sec, 898.01KB/sec (avg: 433.17KB/sec),  0.17 (avg:  0.35) msec latency[RUN #1 87%,  26 secs]  2 threads:      301939 ops,   23097 (avg:   11611) ops/sec, 897.18KB/sec (avg: 451.02KB/sec),  0.17 (avg:  0.34) msec latency[RUN #1 90%,  27 secs]  2 threads:      324942 ops,   23000 (avg:   12033) ops/sec, 893.37KB/sec (avg: 467.40KB/sec),  0.17 (avg:  0.33) msec latency[RUN #1 93%,  28 secs]  2 threads:      347889 ops,   22944 (avg:   12423) ops/sec, 890.94KB/sec (avg: 482.53KB/sec),  0.17 (avg:  0.32) msec latency[RUN #1 97%,  29 secs]  2 threads:      370561 ops,   22669 (avg:   12776) ops/sec, 880.60KB/sec (avg: 496.25KB/sec),  0.17 (avg:  0.31) msec latency[RUN #1 100%,  30 secs]  0 threads:      394881 ops,   22669 (avg:   13162) ops/sec, 880.60KB/sec (avg: 511.24KB/sec),  0.17 (avg:  0.30) msec latency

2         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1196.63          ---          ---      0.31100        88.97
Gets       11966.05      3712.23      8253.82      0.29700       422.27
Totals     13162.68      3712.23      8253.82      0.29900       511.24


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     86.50102
SET       2.000     86.50380
SET       4.000     98.89691
SET       5.000     98.93312
SET       6.000     99.27575
SET       8.000     99.62116
SET       9.000     99.63509
SET      12.000     99.93593
SET      13.000     99.93872
SET      16.000    100.00000
---
GET       0.058      0.00028
GET       0.059      0.00056
GET       0.061      0.00084
GET       0.062      0.00139
GET       0.063      0.00390
GET       0.064      0.00557
GET       0.065      0.00947
GET       0.066      0.01449
GET       0.067      0.02117
GET       0.068      0.02702
GET       0.069      0.03538
GET       0.070      0.04513
GET       0.071      0.05850
GET       0.072      0.07020
GET       0.073      0.08636
GET       0.074      0.10001
GET       0.075      0.11198
GET       0.076      0.12898
GET       0.077      0.14959
GET       0.078      0.16797
GET       0.079      0.19082
GET       0.080      0.21505
GET       0.081      0.24291
GET       0.082      0.27662
GET       0.083      0.30670
GET       0.084      0.33846
GET       0.085      0.38080
GET       0.086      0.42063
GET       0.087      0.46632
GET       0.088      0.51312
GET       0.089      0.56632
GET       0.090      0.61953
GET       0.091      0.68527
GET       0.092      0.78165
GET       0.093      0.92010
GET       0.094      1.18028
GET       0.095      1.56498
GET       0.096      1.76889
GET       0.097      1.91124
GET       0.098      2.02294
GET       0.099      2.12267
GET       0.100      2.56949
GET       0.110      3.18373
GET       0.120      4.00466
GET       0.130      6.31257
GET       0.140     13.00093
GET       0.150     23.03904
GET       0.160     32.46904
GET       0.170     41.07142
GET       0.180     49.76600
GET       0.190     59.20018
GET       0.200     65.51777
GET       0.210     68.57252
GET       0.220     70.25923
GET       0.230     71.54398
GET       0.240     72.81925
GET       0.250     74.13018
GET       0.260     75.40350
GET       0.270     76.78379
GET       0.280     78.52566
GET       0.290     80.69987
GET       0.300     82.86154
GET       0.310     84.74520
GET       0.320     86.47370
GET       0.330     88.19495
GET       0.340     89.96468
GET       0.350     91.44135
GET       0.360     92.57651
GET       0.370     93.49187
GET       0.380     94.27826
GET       0.390     94.93373
GET       0.400     95.43459
GET       0.410     95.81010
GET       0.420     96.09785
GET       0.430     96.30845
GET       0.440     96.48255
GET       0.450     96.61599
GET       0.460     96.71627
GET       0.470     96.80485
GET       0.480     96.88146
GET       0.490     96.95138
GET       0.500     97.00737
GET       0.510     97.06253
GET       0.520     97.12019
GET       0.530     97.16671
GET       0.540     97.22549
GET       0.550     97.28287
GET       0.560     97.33831
GET       0.570     97.39207
GET       0.580     97.44723
GET       0.590     97.50182
GET       0.600     97.55169
GET       0.610     97.60462
GET       0.620     97.65058
GET       0.630     97.71242
GET       0.640     97.75894
GET       0.650     97.80769
GET       0.660     97.85755
GET       0.670     97.90964
GET       0.680     97.94976
GET       0.690     97.99656
GET       0.700     98.03778
GET       0.710     98.08152
GET       0.720     98.11857
GET       0.730     98.15645
GET       0.740     98.19963
GET       0.750     98.24142
GET       0.760     98.27178
GET       0.770     98.30298
GET       0.780     98.33418
GET       0.790     98.36900
GET       0.800     98.40187
GET       0.810     98.42555
GET       0.820     98.44895
GET       0.830     98.47318
GET       0.840     98.49212
GET       0.850     98.51023
GET       0.860     98.53140
GET       0.870     98.54812
GET       0.880     98.56594
GET       0.890     98.58405
GET       0.900     98.60021
GET       0.910     98.60996
GET       0.920     98.62166
GET       0.930     98.63503
GET       0.940     98.64729
GET       0.950     98.65648
GET       0.960     98.66762
GET       0.970     98.67821
GET       0.980     98.68712
GET       0.990     98.69743
GET       1.000     98.74646
GET       1.100     98.81665
GET       1.200     98.88156
GET       1.300     98.93560
GET       1.400     98.97321
GET       1.500     99.00469
GET       1.600     99.02168
GET       1.700     99.03115
GET       1.800     99.03393
GET       1.900     99.03561
GET       2.000     99.03644
GET       2.100     99.03672
GET       2.200     99.03756
GET       2.300     99.03811
GET       2.500     99.03839
GET       2.600     99.03923
GET       2.700     99.03978
GET       3.000     99.04034
GET       4.100     99.04731
GET       4.200     99.11138
GET       4.300     99.16709
GET       4.400     99.24509
GET       4.500     99.27127
GET       4.600     99.28492
GET       4.700     99.30247
GET       4.800     99.32141
GET       4.900     99.33228
GET       5.000     99.34175
GET       5.100     99.35011
GET       5.200     99.35261
GET       5.300     99.35707
GET       5.400     99.36264
GET       5.500     99.36598
GET       5.600     99.36710
GET       5.700     99.36849
GET       5.800     99.36988
GET       5.900     99.37016
GET       6.000     99.37044
GET       6.100     99.37128
GET       6.200     99.37351
GET       6.300     99.37378
GET       6.500     99.37462
GET       6.700     99.37573
GET       7.100     99.37657
GET       7.200     99.37713
GET       8.000     99.37824
GET       8.100     99.39106
GET       8.200     99.47100
GET       8.300     99.53591
GET       8.400     99.62394
GET       8.500     99.65291
GET       8.600     99.66461
GET       8.700     99.67714
GET       8.800     99.68634
GET       8.900     99.69414
GET       9.000     99.69887
GET       9.100     99.70138
GET       9.200     99.70305
GET       9.300     99.70528
GET       9.400     99.70778
GET       9.500     99.70946
GET       9.600     99.71113
GET       9.700     99.71224
GET       9.800     99.71336
GET      11.000     99.71558
GET      12.000     99.93621
GET      13.000     99.95822
GET      16.000     99.99638
GET      17.000     99.99777
GET      20.000     99.99889
GET      24.000    100.00000
