[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:        9487 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       19566 ops,   10077 (avg:    9782) ops/sec, 390.34KB/sec (avg: 378.92KB/sec),  0.39 (avg:  0.40) msec latency[RUN #1 10%,   3 secs]  2 threads:       31661 ops,   12093 (avg:   10553) ops/sec, 468.45KB/sec (avg: 408.77KB/sec),  0.33 (avg:  0.37) msec latency[RUN #1 13%,   4 secs]  2 threads:       42687 ops,   11025 (avg:   10671) ops/sec, 426.94KB/sec (avg: 413.31KB/sec),  0.36 (avg:  0.37) msec latency[RUN #1 17%,   5 secs]  2 threads:       45605 ops,    2917 (avg:    9120) ops/sec, 112.98KB/sec (avg: 353.24KB/sec),  1.36 (avg:  0.43) msec latency[RUN #1 20%,   6 secs]  2 threads:       49159 ops,    3553 (avg:    8192) ops/sec, 137.70KB/sec (avg: 317.32KB/sec),  1.12 (avg:  0.48) msec latency[RUN #1 23%,   7 secs]  2 threads:       52377 ops,    3217 (avg:    7481) ops/sec, 124.74KB/sec (avg: 289.81KB/sec),  1.23 (avg:  0.53) msec latency[RUN #1 27%,   8 secs]  2 threads:       59544 ops,    7166 (avg:    7442) ops/sec, 277.61KB/sec (avg: 288.28KB/sec),  0.56 (avg:  0.53) msec latency[RUN #1 30%,   9 secs]  2 threads:       67147 ops,    7602 (avg:    7460) ops/sec, 294.43KB/sec (avg: 288.96KB/sec),  0.52 (avg:  0.53) msec latency[RUN #1 33%,  10 secs]  2 threads:       74975 ops,    7827 (avg:    7496) ops/sec, 303.18KB/sec (avg: 290.39KB/sec),  0.50 (avg:  0.53) msec latency[RUN #1 37%,  11 secs]  2 threads:       85759 ops,   10783 (avg:    7795) ops/sec, 417.63KB/sec (avg: 301.95KB/sec),  0.37 (avg:  0.51) msec latency[RUN #1 40%,  12 secs]  2 threads:       88064 ops,    2304 (avg:    7338) ops/sec, 89.33KB/sec (avg: 284.24KB/sec),  1.73 (avg:  0.54) msec latency[RUN #1 43%,  13 secs]  2 threads:       92972 ops,    4907 (avg:    7151) ops/sec, 189.93KB/sec (avg: 276.98KB/sec),  0.81 (avg:  0.55) msec latency[RUN #1 47%,  14 secs]  2 threads:       97396 ops,    4423 (avg:    6956) ops/sec, 171.30KB/sec (avg: 269.43KB/sec),  0.90 (avg:  0.57) msec latency[RUN #1 50%,  15 secs]  2 threads:      103953 ops,    6556 (avg:    6929) ops/sec, 253.93KB/sec (avg: 268.40KB/sec),  0.60 (avg:  0.57) msec latency[RUN #1 53%,  16 secs]  2 threads:      108288 ops,    4334 (avg:    6767) ops/sec, 167.89KB/sec (avg: 262.12KB/sec),  0.91 (avg:  0.59) msec latency[RUN #1 57%,  17 secs]  2 threads:      117722 ops,    9433 (avg:    6924) ops/sec, 365.38KB/sec (avg: 268.19KB/sec),  0.42 (avg:  0.57) msec latency[RUN #1 60%,  18 secs]  2 threads:      127036 ops,    9313 (avg:    7056) ops/sec, 360.69KB/sec (avg: 273.33KB/sec),  0.43 (avg:  0.56) msec latency[RUN #1 63%,  19 secs]  2 threads:      134296 ops,    7259 (avg:    7067) ops/sec, 281.07KB/sec (avg: 273.74KB/sec),  0.54 (avg:  0.56) msec latency[RUN #1 67%,  20 secs]  2 threads:      142937 ops,    8640 (avg:    7146) ops/sec, 334.59KB/sec (avg: 276.78KB/sec),  0.46 (avg:  0.55) msec latency[RUN #1 70%,  21 secs]  2 threads:      149872 ops,    6934 (avg:    7136) ops/sec, 268.60KB/sec (avg: 276.39KB/sec),  0.57 (avg:  0.56) msec latency[RUN #1 73%,  22 secs]  2 threads:      155776 ops,    5903 (avg:    7080) ops/sec, 228.55KB/sec (avg: 274.22KB/sec),  0.67 (avg:  0.56) msec latency[RUN #1 77%,  23 secs]  2 threads:      164861 ops,    9084 (avg:    7167) ops/sec, 351.92KB/sec (avg: 277.59KB/sec),  0.43 (avg:  0.55) msec latency[RUN #1 80%,  24 secs]  2 threads:      170935 ops,    6072 (avg:    7121) ops/sec, 235.29KB/sec (avg: 275.83KB/sec),  0.65 (avg:  0.56) msec latency[RUN #1 83%,  25 secs]  2 threads:      176148 ops,    5212 (avg:    7045) ops/sec, 202.02KB/sec (avg: 272.88KB/sec),  0.76 (avg:  0.56) msec latency[RUN #1 87%,  26 secs]  2 threads:      182166 ops,    6017 (avg:    7005) ops/sec, 233.08KB/sec (avg: 271.35KB/sec),  0.66 (avg:  0.57) msec latency[RUN #1 90%,  27 secs]  2 threads:      189292 ops,    7125 (avg:    7010) ops/sec, 275.99KB/sec (avg: 271.52KB/sec),  0.56 (avg:  0.57) msec latency[RUN #1 93%,  28 secs]  2 threads:      198654 ops,    9361 (avg:    7094) ops/sec, 362.57KB/sec (avg: 274.77KB/sec),  0.42 (avg:  0.56) msec latency[RUN #1 97%,  29 secs]  2 threads:      210690 ops,   12034 (avg:    7264) ops/sec, 466.15KB/sec (avg: 281.37KB/sec),  0.33 (avg:  0.55) msec latency[RUN #1 100%,  30 secs]  0 threads:      225423 ops,   12034 (avg:    7514) ops/sec, 466.15KB/sec (avg: 291.04KB/sec),  0.33 (avg:  0.53) msec latency

2         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         683.16          ---          ---      0.52200        50.72
Gets        6830.91      1444.96      5385.95      0.52700       240.32
Totals      7514.08      1444.96      5385.95      0.52700       291.04


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     83.20078
SET       2.000     87.50915
SET       3.000     91.05148
SET       4.000     94.90120
SET       5.000     95.04269
SET       6.000     95.10612
SET       7.000     95.11100
SET       8.000     96.32593
SET       9.000     96.41376
SET      10.000     98.71676
SET      11.000     99.48280
SET      12.000     99.89266
SET      13.000     99.90729
SET      14.000     99.91705
SET      15.000     99.92193
SET      16.000     99.98536
SET      17.000     99.99024
SET      20.000    100.00000
---
GET       0.071      0.00049
GET       0.072      0.00146
GET       0.073      0.00195
GET       0.074      0.00244
GET       0.075      0.00390
GET       0.077      0.00586
GET       0.078      0.00634
GET       0.079      0.00830
GET       0.080      0.01122
GET       0.081      0.01220
GET       0.082      0.01513
GET       0.083      0.01708
GET       0.084      0.02196
GET       0.085      0.02489
GET       0.086      0.03123
GET       0.087      0.04050
GET       0.088      0.04929
GET       0.089      0.06100
GET       0.090      0.07320
GET       0.091      0.08491
GET       0.092      0.10150
GET       0.093      0.11516
GET       0.094      0.14103
GET       0.095      0.18348
GET       0.096      0.21959
GET       0.097      0.25521
GET       0.098      0.27473
GET       0.099      0.29571
GET       0.100      0.42796
GET       0.110      0.69146
GET       0.120      1.05891
GET       0.130      2.11684
GET       0.140      5.22281
GET       0.150      9.01439
GET       0.160     12.13255
GET       0.170     14.83253
GET       0.180     18.37523
GET       0.190     23.34088
GET       0.200     27.17540
GET       0.210     29.44205
GET       0.220     31.01870
GET       0.230     32.63927
GET       0.240     34.70731
GET       0.250     36.54649
GET       0.260     38.07679
GET       0.270     39.58659
GET       0.280     41.58290
GET       0.290     44.41462
GET       0.300     47.22585
GET       0.310     49.59400
GET       0.320     51.93629
GET       0.330     54.85878
GET       0.340     58.43955
GET       0.350     61.51136
GET       0.360     63.95271
GET       0.370     66.11932
GET       0.380     68.36255
GET       0.390     70.59065
GET       0.400     72.34248
GET       0.410     73.62000
GET       0.420     74.67354
GET       0.430     75.69537
GET       0.440     76.67913
GET       0.450     77.47355
GET       0.460     78.10743
GET       0.470     78.66080
GET       0.480     79.26540
GET       0.490     79.91099
GET       0.500     80.44582
GET       0.510     80.90646
GET       0.520     81.31441
GET       0.530     81.79849
GET       0.540     82.32257
GET       0.550     82.78176
GET       0.560     83.16531
GET       0.570     83.56154
GET       0.580     84.04366
GET       0.590     84.62045
GET       0.600     85.11477
GET       0.610     85.56078
GET       0.620     86.03998
GET       0.630     86.60896
GET       0.640     87.20819
GET       0.650     87.71471
GET       0.660     88.21049
GET       0.670     88.69115
GET       0.680     89.23280
GET       0.690     89.78080
GET       0.700     90.25999
GET       0.710     90.65574
GET       0.720     91.02221
GET       0.730     91.44480
GET       0.740     91.83469
GET       0.750     92.17188
GET       0.760     92.42905
GET       0.770     92.69695
GET       0.780     92.96729
GET       0.790     93.19078
GET       0.800     93.38987
GET       0.810     93.55481
GET       0.820     93.71438
GET       0.830     93.87590
GET       0.840     94.00716
GET       0.850     94.13794
GET       0.860     94.25310
GET       0.870     94.35216
GET       0.880     94.46001
GET       0.890     94.54833
GET       0.900     94.62982
GET       0.910     94.71668
GET       0.920     94.80208
GET       0.930     94.87820
GET       0.940     94.95823
GET       0.950     95.01776
GET       0.960     95.08901
GET       0.970     95.15196
GET       0.980     95.21978
GET       0.990     95.29005
GET       1.000     95.60577
GET       1.100     96.14011
GET       1.200     96.72226
GET       1.300     97.22293
GET       1.400     97.58793
GET       1.500     97.77824
GET       1.600     97.86071
GET       1.700     97.89097
GET       1.800     97.89877
GET       1.900     97.90121
GET       2.000     97.90268
GET       2.100     97.90414
GET       2.200     97.90805
GET       2.300     97.90902
GET       2.500     97.91097
GET       2.800     97.91195
GET       2.900     97.91293
GET       3.000     97.91341
GET       3.200     97.91634
GET       3.300     97.91683
GET       3.500     97.91829
GET       3.800     97.91878
GET       4.000     97.91927
GET       4.100     97.92610
GET       4.200     97.99686
GET       4.300     98.06517
GET       4.400     98.21401
GET       4.500     98.27988
GET       4.600     98.33990
GET       4.700     98.43116
GET       4.800     98.51167
GET       4.900     98.53510
GET       5.000     98.55266
GET       5.100     98.57365
GET       5.200     98.60585
GET       5.300     98.64635
GET       5.400     98.68588
GET       5.500     98.70735
GET       5.600     98.72101
GET       5.700     98.72589
GET       5.800     98.72931
GET       5.900     98.73126
GET       6.000     98.73224
GET       6.100     98.73273
GET       6.700     98.73370
GET       6.800     98.73565
GET       6.900     98.74053
GET       7.000     98.74151
GET       7.100     98.74249
GET       7.200     98.74297
GET       8.000     98.74346
GET       8.100     98.75322
GET       8.200     98.85618
GET       8.300     98.94792
GET       8.400     99.11969
GET       8.500     99.17630
GET       8.600     99.21826
GET       8.700     99.26706
GET       8.800     99.30756
GET       8.900     99.32269
GET       9.000     99.33147
GET       9.100     99.33928
GET       9.200     99.35197
GET       9.300     99.37685
GET       9.400     99.39345
GET       9.500     99.40711
GET       9.600     99.41492
GET       9.700     99.42077
GET      10.000     99.42516
GET      11.000     99.42907
GET      12.000     99.80823
GET      13.000     99.89752
GET      14.000     99.90338
GET      15.000     99.90826
GET      16.000     99.97170
GET      17.000     99.99268
GET      18.000     99.99317
GET      20.000     99.99805
GET      24.000    100.00000
