[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       34954 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       70698 ops,   35740 (avg:   35348) ops/sec, 1.35MB/sec (avg: 1.33MB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 10%,   3 secs]  1 threads:      105439 ops,   34737 (avg:   35144) ops/sec, 1.31MB/sec (avg: 1.33MB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 13%,   4 secs]  1 threads:      138736 ops,   33292 (avg:   34681) ops/sec, 1.26MB/sec (avg: 1.31MB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 17%,   5 secs]  1 threads:      173347 ops,   34607 (avg:   34666) ops/sec, 1.31MB/sec (avg: 1.31MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 20%,   6 secs]  1 threads:      208753 ops,   35401 (avg:   34789) ops/sec, 1.34MB/sec (avg: 1.31MB/sec),  0.22 (avg:  0.23) msec latency[RUN #1 23%,   7 secs]  1 threads:      243714 ops,   34956 (avg:   34813) ops/sec, 1.32MB/sec (avg: 1.31MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 27%,   8 secs]  1 threads:      277906 ops,   34187 (avg:   34735) ops/sec, 1.29MB/sec (avg: 1.31MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 30%,   9 secs]  1 threads:      312368 ops,   34457 (avg:   34704) ops/sec, 1.30MB/sec (avg: 1.31MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 33%,  10 secs]  1 threads:      348097 ops,   35724 (avg:   34806) ops/sec, 1.35MB/sec (avg: 1.31MB/sec),  0.22 (avg:  0.23) msec latency[RUN #1 37%,  11 secs]  1 threads:      382707 ops,   34605 (avg:   34787) ops/sec, 1.31MB/sec (avg: 1.31MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 40%,  12 secs]  1 threads:      417221 ops,   34509 (avg:   34764) ops/sec, 1.30MB/sec (avg: 1.31MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 43%,  13 secs]  1 threads:      452331 ops,   35105 (avg:   34791) ops/sec, 1.32MB/sec (avg: 1.31MB/sec),  0.22 (avg:  0.23) msec latency[RUN #1 47%,  14 secs]  1 threads:      486037 ops,   33701 (avg:   34713) ops/sec, 1.27MB/sec (avg: 1.31MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 50%,  15 secs]  1 threads:      520326 ops,   34284 (avg:   34684) ops/sec, 1.29MB/sec (avg: 1.31MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 53%,  16 secs]  1 threads:      554394 ops,   34063 (avg:   34645) ops/sec, 1.28MB/sec (avg: 1.31MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 57%,  17 secs]  1 threads:      588981 ops,   34582 (avg:   34642) ops/sec, 1.30MB/sec (avg: 1.31MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 60%,  18 secs]  1 threads:      622580 ops,   33594 (avg:   34583) ops/sec, 1.27MB/sec (avg: 1.30MB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 63%,  19 secs]  1 threads:      657219 ops,   34634 (avg:   34586) ops/sec, 1.31MB/sec (avg: 1.30MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 67%,  20 secs]  1 threads:      691679 ops,   34455 (avg:   34580) ops/sec, 1.30MB/sec (avg: 1.30MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 70%,  21 secs]  1 threads:      725034 ops,   33350 (avg:   34521) ops/sec, 1.26MB/sec (avg: 1.30MB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 73%,  22 secs]  1 threads:      759314 ops,   34275 (avg:   34510) ops/sec, 1.29MB/sec (avg: 1.30MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 77%,  23 secs]  1 threads:      793475 ops,   34156 (avg:   34494) ops/sec, 1.29MB/sec (avg: 1.30MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 80%,  24 secs]  1 threads:      827683 ops,   34203 (avg:   34482) ops/sec, 1.29MB/sec (avg: 1.30MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 83%,  25 secs]  1 threads:      861552 ops,   33864 (avg:   34458) ops/sec, 1.28MB/sec (avg: 1.30MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 87%,  26 secs]  1 threads:      896324 ops,   34767 (avg:   34470) ops/sec, 1.31MB/sec (avg: 1.30MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 90%,  27 secs]  1 threads:      931946 ops,   35617 (avg:   34512) ops/sec, 1.34MB/sec (avg: 1.30MB/sec),  0.22 (avg:  0.23) msec latency[RUN #1 93%,  28 secs]  1 threads:      967287 ops,   35336 (avg:   34541) ops/sec, 1.33MB/sec (avg: 1.30MB/sec),  0.22 (avg:  0.23) msec latency[RUN #1 97%,  29 secs]  1 threads:     1004557 ops,   37265 (avg:   34635) ops/sec, 1.41MB/sec (avg: 1.31MB/sec),  0.21 (avg:  0.23) msec latency[RUN #1 100%,  30 secs]  0 threads:     1050930 ops,   37265 (avg:   35030) ops/sec, 1.41MB/sec (avg: 1.32MB/sec),  0.21 (avg:  0.23) msec latency

1         Threads
8         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        3082.02          ---          ---      0.23200       228.46
Gets       30818.84     13670.73     17148.11      0.22400      1080.74
Totals     33900.86     13670.73     17148.11      0.22500      1309.21


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     99.46830
SET       2.000     99.73520
SET       3.000     99.86498
SET       4.000     99.94976
SET       5.000     99.97593
SET       6.000     99.98116
SET       7.000     99.98744
SET       8.000     99.99163
SET       9.000     99.99372
SET      10.000     99.99581
SET      11.000     99.99791
SET      12.000     99.99895
SET      14.000    100.00000
---
GET       0.056      0.00021
GET       0.057      0.00042
GET       0.058      0.00084
GET       0.059      0.00126
GET       0.060      0.00157
GET       0.061      0.00241
GET       0.062      0.00398
GET       0.063      0.00586
GET       0.064      0.00701
GET       0.065      0.00994
GET       0.066      0.01267
GET       0.067      0.01633
GET       0.068      0.02146
GET       0.069      0.02575
GET       0.070      0.03140
GET       0.071      0.03883
GET       0.072      0.05066
GET       0.073      0.06176
GET       0.074      0.07400
GET       0.075      0.08834
GET       0.076      0.10561
GET       0.077      0.12236
GET       0.078      0.14371
GET       0.079      0.16580
GET       0.080      0.19238
GET       0.081      0.22368
GET       0.082      0.26408
GET       0.083      0.30752
GET       0.084      0.35567
GET       0.085      0.41805
GET       0.086      0.49090
GET       0.087      0.56877
GET       0.088      0.66277
GET       0.089      0.77110
GET       0.090      0.89294
GET       0.091      1.03623
GET       0.092      1.19334
GET       0.093      1.36479
GET       0.094      1.57277
GET       0.095      1.79456
GET       0.096      2.03268
GET       0.097      2.26777
GET       0.098      2.52641
GET       0.099      2.79196
GET       0.100      4.21442
GET       0.110      7.23947
GET       0.120     10.49292
GET       0.130     14.87596
GET       0.140     21.55765
GET       0.150     28.88002
GET       0.160     34.66595
GET       0.170     39.59652
GET       0.180     44.93949
GET       0.190     51.81419
GET       0.200     58.74049
GET       0.210     64.47932
GET       0.220     69.35556
GET       0.230     74.09751
GET       0.240     78.96758
GET       0.250     82.99098
GET       0.260     85.85348
GET       0.270     87.92133
GET       0.280     89.56025
GET       0.290     90.96282
GET       0.300     92.04479
GET       0.310     92.85127
GET       0.320     93.48787
GET       0.330     94.02724
GET       0.340     94.52096
GET       0.350     94.93912
GET       0.360     95.28882
GET       0.370     95.60241
GET       0.380     95.86639
GET       0.390     96.11299
GET       0.400     96.33091
GET       0.410     96.52361
GET       0.420     96.68522
GET       0.430     96.84442
GET       0.440     96.98353
GET       0.450     97.10421
GET       0.460     97.21055
GET       0.470     97.30894
GET       0.480     97.39980
GET       0.490     97.49212
GET       0.500     97.57313
GET       0.510     97.64305
GET       0.520     97.70648
GET       0.530     97.76645
GET       0.540     97.82999
GET       0.550     97.88724
GET       0.560     97.94261
GET       0.570     97.99181
GET       0.580     98.03807
GET       0.590     98.08360
GET       0.600     98.12495
GET       0.610     98.16054
GET       0.620     98.19644
GET       0.630     98.23046
GET       0.640     98.26678
GET       0.650     98.29996
GET       0.660     98.33272
GET       0.670     98.36171
GET       0.680     98.39008
GET       0.690     98.42001
GET       0.700     98.44869
GET       0.710     98.47486
GET       0.720     98.50354
GET       0.730     98.52835
GET       0.740     98.55085
GET       0.750     98.57335
GET       0.760     98.59460
GET       0.770     98.61334
GET       0.780     98.63333
GET       0.790     98.65374
GET       0.800     98.67279
GET       0.810     98.68807
GET       0.820     98.70492
GET       0.830     98.72324
GET       0.840     98.74114
GET       0.850     98.75705
GET       0.860     98.77160
GET       0.870     98.78698
GET       0.880     98.80237
GET       0.890     98.81807
GET       0.900     98.83419
GET       0.910     98.84853
GET       0.920     98.86329
GET       0.930     98.87648
GET       0.940     98.88946
GET       0.950     98.90170
GET       0.960     98.91499
GET       0.970     98.92756
GET       0.980     98.94064
GET       0.990     98.95100
GET       1.000     99.00867
GET       1.100     99.10214
GET       1.200     99.17960
GET       1.300     99.24617
GET       1.400     99.30374
GET       1.500     99.35827
GET       1.600     99.40401
GET       1.700     99.44693
GET       1.800     99.48513
GET       1.900     99.52082
GET       2.000     99.55285
GET       2.100     99.58341
GET       2.200     99.61157
GET       2.300     99.63784
GET       2.400     99.66359
GET       2.500     99.68620
GET       2.600     99.71017
GET       2.700     99.72922
GET       2.800     99.75026
GET       2.900     99.76711
GET       3.000     99.78103
GET       3.100     99.79830
GET       3.200     99.81097
GET       3.300     99.82395
GET       3.400     99.83441
GET       3.500     99.84425
GET       3.600     99.85503
GET       3.700     99.86309
GET       3.800     99.87440
GET       3.900     99.88549
GET       4.000     99.89648
GET       4.100     99.90559
GET       4.200     99.91323
GET       4.300     99.92244
GET       4.400     99.93102
GET       4.500     99.93762
GET       4.600     99.94316
GET       4.700     99.94641
GET       4.800     99.95039
GET       4.900     99.95415
GET       5.000     99.95782
GET       5.100     99.96096
GET       5.200     99.96326
GET       5.300     99.96588
GET       5.400     99.96787
GET       5.500     99.97017
GET       5.600     99.97174
GET       5.700     99.97331
GET       5.800     99.97530
GET       5.900     99.97666
GET       6.000     99.97823
GET       6.100     99.97917
GET       6.200     99.98022
GET       6.300     99.98053
GET       6.400     99.98116
GET       6.500     99.98168
GET       6.600     99.98283
GET       6.700     99.98315
GET       6.800     99.98399
GET       6.900     99.98493
GET       7.000     99.98556
GET       7.100     99.98618
GET       7.200     99.98723
GET       7.300     99.98733
GET       7.400     99.98838
GET       7.500     99.98859
GET       7.600     99.98932
GET       7.700     99.98995
GET       7.800     99.99079
GET       7.900     99.99110
GET       8.000     99.99163
GET       8.100     99.99205
GET       8.200     99.99257
GET       8.300     99.99320
GET       8.400     99.99382
GET       8.500     99.99456
GET       8.600     99.99508
GET       8.700     99.99571
GET       8.800     99.99644
GET       8.900     99.99665
GET       9.000     99.99696
GET       9.200     99.99707
GET       9.300     99.99738
GET       9.400     99.99780
GET       9.500     99.99812
GET       9.600     99.99822
GET      10.000     99.99864
GET      11.000     99.99906
GET      12.000     99.99979
