[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       20921 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       37053 ops,   16130 (avg:   18526) ops/sec, 622.88KB/sec (avg: 715.46KB/sec),  0.24 (avg:  0.21) msec latency[RUN #1 10%,   3 secs]  1 threads:       51311 ops,   14256 (avg:   17103) ops/sec, 550.56KB/sec (avg: 660.49KB/sec),  0.27 (avg:  0.23) msec latency[RUN #1 13%,   4 secs]  1 threads:       66985 ops,   15672 (avg:   16745) ops/sec, 605.23KB/sec (avg: 646.67KB/sec),  0.25 (avg:  0.23) msec latency[RUN #1 17%,   5 secs]  1 threads:       80974 ops,   13987 (avg:   16193) ops/sec, 540.15KB/sec (avg: 625.37KB/sec),  0.28 (avg:  0.24) msec latency[RUN #1 20%,   6 secs]  1 threads:       94946 ops,   13970 (avg:   15823) ops/sec, 539.44KB/sec (avg: 611.04KB/sec),  0.28 (avg:  0.25) msec latency[RUN #1 23%,   7 secs]  1 threads:      103763 ops,    8816 (avg:   14822) ops/sec, 340.41KB/sec (avg: 572.38KB/sec),  0.45 (avg:  0.27) msec latency[RUN #1 27%,   8 secs]  1 threads:      116699 ops,   12934 (avg:   14586) ops/sec, 499.49KB/sec (avg: 563.27KB/sec),  0.30 (avg:  0.27) msec latency[RUN #1 30%,   9 secs]  1 threads:      132169 ops,   15468 (avg:   14684) ops/sec, 597.35KB/sec (avg: 567.06KB/sec),  0.25 (avg:  0.27) msec latency[RUN #1 33%,  10 secs]  1 threads:      143169 ops,   10998 (avg:   14315) ops/sec, 424.65KB/sec (avg: 552.82KB/sec),  0.36 (avg:  0.27) msec latency[RUN #1 37%,  11 secs]  1 threads:      156482 ops,   13311 (avg:   14224) ops/sec, 514.11KB/sec (avg: 549.30KB/sec),  0.30 (avg:  0.28) msec latency[RUN #1 40%,  12 secs]  1 threads:      169599 ops,   13115 (avg:   14131) ops/sec, 506.40KB/sec (avg: 545.72KB/sec),  0.30 (avg:  0.28) msec latency[RUN #1 43%,  13 secs]  1 threads:      185093 ops,   15492 (avg:   14236) ops/sec, 598.36KB/sec (avg: 549.77KB/sec),  0.25 (avg:  0.28) msec latency[RUN #1 47%,  14 secs]  1 threads:      200735 ops,   15640 (avg:   14336) ops/sec, 604.00KB/sec (avg: 553.64KB/sec),  0.25 (avg:  0.27) msec latency[RUN #1 50%,  15 secs]  1 threads:      216076 ops,   15339 (avg:   14403) ops/sec, 592.36KB/sec (avg: 556.23KB/sec),  0.26 (avg:  0.27) msec latency[RUN #1 53%,  16 secs]  1 threads:      232873 ops,   16795 (avg:   14553) ops/sec, 648.70KB/sec (avg: 562.00KB/sec),  0.23 (avg:  0.27) msec latency[RUN #1 57%,  17 secs]  1 threads:      248724 ops,   15849 (avg:   14629) ops/sec, 612.05KB/sec (avg: 564.95KB/sec),  0.25 (avg:  0.27) msec latency[RUN #1 60%,  18 secs]  1 threads:      258745 ops,   10020 (avg:   14373) ops/sec, 387.02KB/sec (avg: 555.06KB/sec),  0.39 (avg:  0.27) msec latency[RUN #1 63%,  19 secs]  1 threads:      273320 ops,   14573 (avg:   14383) ops/sec, 562.76KB/sec (avg: 555.47KB/sec),  0.27 (avg:  0.27) msec latency[RUN #1 67%,  20 secs]  1 threads:      286725 ops,   13403 (avg:   14334) ops/sec, 517.69KB/sec (avg: 553.58KB/sec),  0.30 (avg:  0.27) msec latency[RUN #1 70%,  21 secs]  1 threads:      301786 ops,   15059 (avg:   14369) ops/sec, 581.63KB/sec (avg: 554.92KB/sec),  0.26 (avg:  0.27) msec latency[RUN #1 73%,  22 secs]  1 threads:      310799 ops,    9012 (avg:   14125) ops/sec, 348.01KB/sec (avg: 545.51KB/sec),  0.44 (avg:  0.28) msec latency[RUN #1 77%,  23 secs]  1 threads:      324292 ops,   13491 (avg:   14098) ops/sec, 521.08KB/sec (avg: 544.45KB/sec),  0.29 (avg:  0.28) msec latency[RUN #1 80%,  24 secs]  1 threads:      333918 ops,    9624 (avg:   13911) ops/sec, 371.68KB/sec (avg: 537.25KB/sec),  0.41 (avg:  0.28) msec latency[RUN #1 83%,  25 secs]  1 threads:      347094 ops,   13174 (avg:   13882) ops/sec, 508.80KB/sec (avg: 536.11KB/sec),  0.30 (avg:  0.28) msec latency[RUN #1 87%,  26 secs]  1 threads:      360754 ops,   13658 (avg:   13873) ops/sec, 527.48KB/sec (avg: 535.78KB/sec),  0.29 (avg:  0.28) msec latency[RUN #1 90%,  27 secs]  1 threads:      376584 ops,   15828 (avg:   13946) ops/sec, 611.27KB/sec (avg: 538.58KB/sec),  0.25 (avg:  0.28) msec latency[RUN #1 93%,  28 secs]  1 threads:      399979 ops,   23392 (avg:   14283) ops/sec, 903.39KB/sec (avg: 551.61KB/sec),  0.17 (avg:  0.28) msec latency[RUN #1 97%,  29 secs]  1 threads:      428368 ops,   28385 (avg:   14769) ops/sec, 1.07MB/sec (avg: 570.39KB/sec),  0.14 (avg:  0.27) msec latency[RUN #1 100%,  30 secs]  0 threads:      459469 ops,   28385 (avg:   15315) ops/sec, 1.07MB/sec (avg: 591.46KB/sec),  0.14 (avg:  0.26) msec latency

1         Threads
4         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1392.40          ---          ---      0.25800       103.22
Gets       13923.19      7142.68      6780.51      0.25600       488.25
Totals     15315.59      7142.68      6780.51      0.25700       591.47


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.054      0.00024
GET       0.056      0.00048
GET       0.059      0.00168
GET       0.060      0.00335
GET       0.061      0.00551
GET       0.062      0.00814
GET       0.063      0.01173
GET       0.064      0.01676
GET       0.065      0.02442
GET       0.066      0.03352
GET       0.067      0.04716
GET       0.068      0.05889
GET       0.069      0.07996
GET       0.070      0.10534
GET       0.071      0.13622
GET       0.072      0.17213
GET       0.073      0.21235
GET       0.074      0.25976
GET       0.075      0.31434
GET       0.076      0.38521
GET       0.077      0.47044
GET       0.078      0.56572
GET       0.079      0.68112
GET       0.080      0.80561
GET       0.081      0.95811
GET       0.082      1.11947
GET       0.083      1.31435
GET       0.084      1.54753
GET       0.085      1.81016
GET       0.086      2.11254
GET       0.087      2.45441
GET       0.088      2.83938
GET       0.089      3.26840
GET       0.090      3.74458
GET       0.091      4.26960
GET       0.092      4.85998
GET       0.093      5.56169
GET       0.094      6.35580
GET       0.095      7.24305
GET       0.096      8.11689
GET       0.097      8.92633
GET       0.098      9.72116
GET       0.099     10.54066
GET       0.100     14.55170
GET       0.110     21.54624
GET       0.120     28.02271
GET       0.130     35.95573
GET       0.140     47.62160
GET       0.150     58.36958
GET       0.160     65.12448
GET       0.170     69.81161
GET       0.180     73.88466
GET       0.190     78.00367
GET       0.200     81.30008
GET       0.210     83.50168
GET       0.220     85.11960
GET       0.230     86.55916
GET       0.240     87.91349
GET       0.250     89.05618
GET       0.260     89.92978
GET       0.270     90.67410
GET       0.280     91.36192
GET       0.290     92.01479
GET       0.300     92.57979
GET       0.310     93.04999
GET       0.320     93.46320
GET       0.330     93.82782
GET       0.340     94.18717
GET       0.350     94.47997
GET       0.360     94.75361
GET       0.370     94.98488
GET       0.380     95.18503
GET       0.390     95.37512
GET       0.400     95.55898
GET       0.410     95.71460
GET       0.420     95.85513
GET       0.430     95.99135
GET       0.440     96.13093
GET       0.450     96.23842
GET       0.460     96.35549
GET       0.470     96.46059
GET       0.480     96.55659
GET       0.490     96.64637
GET       0.500     96.73184
GET       0.510     96.80845
GET       0.520     96.87644
GET       0.530     96.95042
GET       0.540     97.01961
GET       0.550     97.07874
GET       0.560     97.13884
GET       0.570     97.19629
GET       0.580     97.25136
GET       0.590     97.29996
GET       0.600     97.34999
GET       0.610     97.39955
GET       0.620     97.44647
GET       0.630     97.49483
GET       0.640     97.53841
GET       0.650     97.57767
GET       0.660     97.61526
GET       0.670     97.65811
GET       0.680     97.69522
GET       0.690     97.72993
GET       0.700     97.76369
GET       0.710     97.79194
GET       0.720     97.82187
GET       0.730     97.85251
GET       0.740     97.88052
GET       0.750     97.90757
GET       0.760     97.93630
GET       0.770     97.96264
GET       0.780     97.99232
GET       0.790     98.01890
GET       0.800     98.04068
GET       0.810     98.06175
GET       0.820     98.08498
GET       0.830     98.10772
GET       0.840     98.12879
GET       0.850     98.14938
GET       0.860     98.17236
GET       0.870     98.19103
GET       0.880     98.21186
GET       0.890     98.23197
GET       0.900     98.25280
GET       0.910     98.27147
GET       0.920     98.29350
GET       0.930     98.30882
GET       0.940     98.33085
GET       0.950     98.34689
GET       0.960     98.36245
GET       0.970     98.37394
GET       0.980     98.39357
GET       0.990     98.40459
GET       1.000     98.47808
GET       1.100     98.59587
GET       1.200     98.70241
GET       1.300     98.80200
GET       1.400     98.87742
GET       1.500     98.94301
GET       1.600     99.00167
GET       1.700     99.05913
GET       1.800     99.11036
GET       1.900     99.15465
GET       2.000     99.19152
GET       2.100     99.22791
GET       2.200     99.26645
GET       2.300     99.29830
GET       2.400     99.32367
GET       2.500     99.34689
GET       2.600     99.36796
GET       2.700     99.39023
GET       2.800     99.41584
GET       2.900     99.43955
GET       3.000     99.45894
GET       3.100     99.48072
GET       3.200     99.49700
GET       3.300     99.51280
GET       3.400     99.52813
GET       3.500     99.54489
GET       3.600     99.56140
GET       3.700     99.57457
GET       3.800     99.58846
GET       3.900     99.60019
GET       4.000     99.61312
GET       4.100     99.62245
GET       4.200     99.62844
GET       4.300     99.63849
GET       4.400     99.64735
GET       4.500     99.65501
GET       4.600     99.66411
GET       4.700     99.67034
GET       4.800     99.67800
GET       4.900     99.68398
GET       5.000     99.69116
GET       5.100     99.69739
GET       5.200     99.70146
GET       5.300     99.70457
GET       5.400     99.70768
GET       5.500     99.71056
GET       5.600     99.71295
GET       5.700     99.71750
GET       5.800     99.71989
GET       5.900     99.72300
GET       6.000     99.72684
GET       6.100     99.72947
GET       6.200     99.73426
GET       6.300     99.73809
GET       6.400     99.74144
GET       6.500     99.74551
GET       6.600     99.74910
GET       6.700     99.75126
GET       6.800     99.75293
GET       6.900     99.75509
GET       7.000     99.75652
GET       7.100     99.75844
GET       7.200     99.76059
GET       7.300     99.76251
GET       7.400     99.76418
GET       7.500     99.76586
GET       7.600     99.76682
GET       7.700     99.76897
GET       7.800     99.76993
GET       7.900     99.77160
GET       8.000     99.77184
GET       8.100     99.77352
GET       8.200     99.77496
GET       8.300     99.77687
GET       8.400     99.77735
GET       8.500     99.77855
GET       8.600     99.78070
GET       8.700     99.78262
GET       8.800     99.78358
GET       8.900     99.78525
GET       9.000     99.78765
GET       9.100     99.78908
GET       9.200     99.79100
GET       9.300     99.79195
GET       9.400     99.79315
GET       9.500     99.79411
GET       9.600     99.79578
GET       9.700     99.79698
GET       9.800     99.79866
GET       9.900     99.79914
GET      10.000     99.80464
GET      11.000     99.81398
GET      12.000     99.82140
GET      13.000     99.83385
GET      14.000     99.84391
GET      15.000     99.85109
GET      16.000     99.86019
GET      17.000     99.87359
GET      18.000     99.88461
GET      19.000     99.89227
GET      20.000     99.89897
