[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       24131 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       47751 ops,   23616 (avg:   23875) ops/sec, 912.00KB/sec (avg: 922.03KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 10%,   3 secs]  1 threads:       63134 ops,   15381 (avg:   21043) ops/sec, 593.90KB/sec (avg: 812.65KB/sec),  0.26 (avg:  0.19) msec latency[RUN #1 13%,   4 secs]  1 threads:       77291 ops,   14155 (avg:   19321) ops/sec, 546.66KB/sec (avg: 746.15KB/sec),  0.28 (avg:  0.20) msec latency[RUN #1 17%,   5 secs]  1 threads:       94208 ops,   16915 (avg:   18840) ops/sec, 653.20KB/sec (avg: 727.56KB/sec),  0.23 (avg:  0.21) msec latency[RUN #1 20%,   6 secs]  1 threads:      113581 ops,   19371 (avg:   18928) ops/sec, 748.05KB/sec (avg: 730.97KB/sec),  0.20 (avg:  0.21) msec latency[RUN #1 23%,   7 secs]  1 threads:      132321 ops,   18738 (avg:   18901) ops/sec, 723.55KB/sec (avg: 729.91KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 27%,   8 secs]  1 threads:      148900 ops,   16577 (avg:   18611) ops/sec, 640.11KB/sec (avg: 718.69KB/sec),  0.24 (avg:  0.21) msec latency[RUN #1 30%,   9 secs]  1 threads:      168955 ops,   20053 (avg:   18771) ops/sec, 774.44KB/sec (avg: 724.88KB/sec),  0.20 (avg:  0.21) msec latency[RUN #1 33%,  10 secs]  1 threads:      187413 ops,   18456 (avg:   18739) ops/sec, 712.70KB/sec (avg: 723.66KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 37%,  11 secs]  1 threads:      198495 ops,   11080 (avg:   18043) ops/sec, 427.93KB/sec (avg: 696.78KB/sec),  0.36 (avg:  0.22) msec latency[RUN #1 40%,  12 secs]  1 threads:      211234 ops,   12737 (avg:   17601) ops/sec, 491.90KB/sec (avg: 679.71KB/sec),  0.31 (avg:  0.22) msec latency[RUN #1 43%,  13 secs]  1 threads:      232791 ops,   21555 (avg:   17905) ops/sec, 832.49KB/sec (avg: 691.46KB/sec),  0.18 (avg:  0.22) msec latency[RUN #1 47%,  14 secs]  1 threads:      250786 ops,   17992 (avg:   17911) ops/sec, 694.89KB/sec (avg: 691.70KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 50%,  15 secs]  1 threads:      264946 ops,   14158 (avg:   17661) ops/sec, 546.80KB/sec (avg: 682.04KB/sec),  0.28 (avg:  0.22) msec latency[RUN #1 53%,  16 secs]  1 threads:      282036 ops,   17088 (avg:   17625) ops/sec, 659.95KB/sec (avg: 680.66KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 57%,  17 secs]  1 threads:      297878 ops,   15840 (avg:   17520) ops/sec, 611.75KB/sec (avg: 676.61KB/sec),  0.25 (avg:  0.23) msec latency[RUN #1 60%,  18 secs]  1 threads:      311684 ops,   13804 (avg:   17314) ops/sec, 533.15KB/sec (avg: 668.64KB/sec),  0.29 (avg:  0.23) msec latency[RUN #1 63%,  19 secs]  1 threads:      328333 ops,   16647 (avg:   17279) ops/sec, 642.87KB/sec (avg: 667.28KB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 67%,  20 secs]  1 threads:      343693 ops,   15358 (avg:   17183) ops/sec, 593.09KB/sec (avg: 663.57KB/sec),  0.26 (avg:  0.23) msec latency[RUN #1 70%,  21 secs]  1 threads:      360494 ops,   16799 (avg:   17164) ops/sec, 648.84KB/sec (avg: 662.87KB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 73%,  22 secs]  1 threads:      376530 ops,   16034 (avg:   17113) ops/sec, 619.19KB/sec (avg: 660.88KB/sec),  0.25 (avg:  0.23) msec latency[RUN #1 77%,  23 secs]  1 threads:      396122 ops,   19590 (avg:   17221) ops/sec, 756.55KB/sec (avg: 665.04KB/sec),  0.20 (avg:  0.23) msec latency[RUN #1 80%,  24 secs]  1 threads:      412509 ops,   16385 (avg:   17186) ops/sec, 632.81KB/sec (avg: 663.70KB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 83%,  25 secs]  1 threads:      431191 ops,   18679 (avg:   17245) ops/sec, 721.43KB/sec (avg: 666.01KB/sec),  0.21 (avg:  0.23) msec latency[RUN #1 87%,  26 secs]  1 threads:      446303 ops,   15110 (avg:   17163) ops/sec, 583.57KB/sec (avg: 662.84KB/sec),  0.26 (avg:  0.23) msec latency[RUN #1 90%,  27 secs]  1 threads:      463987 ops,   17682 (avg:   17183) ops/sec, 682.97KB/sec (avg: 663.58KB/sec),  0.22 (avg:  0.23) msec latency[RUN #1 93%,  28 secs]  1 threads:      478198 ops,   14209 (avg:   17076) ops/sec, 548.71KB/sec (avg: 659.48KB/sec),  0.28 (avg:  0.23) msec latency[RUN #1 97%,  29 secs]  1 threads:      494508 ops,   16308 (avg:   17050) ops/sec, 629.82KB/sec (avg: 658.46KB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 100%,  30 secs]  0 threads:      511730 ops,   16308 (avg:   17057) ops/sec, 629.82KB/sec (avg: 658.74KB/sec),  0.24 (avg:  0.23) msec latency

1         Threads
4         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1550.76          ---          ---      0.23100       114.95
Gets       15506.84      6843.94      8662.90      0.23100       543.79
Totals     17057.60      6843.94      8662.90      0.23100       658.74


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.054      0.00021
GET       0.055      0.00043
GET       0.056      0.00086
GET       0.057      0.00107
GET       0.058      0.00215
GET       0.059      0.00494
GET       0.060      0.00838
GET       0.061      0.01290
GET       0.062      0.01892
GET       0.063      0.02515
GET       0.064      0.03203
GET       0.065      0.04170
GET       0.066      0.05503
GET       0.067      0.07266
GET       0.068      0.09028
GET       0.069      0.11178
GET       0.070      0.14015
GET       0.071      0.16724
GET       0.072      0.19690
GET       0.073      0.23430
GET       0.074      0.27364
GET       0.075      0.32222
GET       0.076      0.37403
GET       0.077      0.43379
GET       0.078      0.49849
GET       0.079      0.57415
GET       0.080      0.65971
GET       0.081      0.76418
GET       0.082      0.89122
GET       0.083      1.03137
GET       0.084      1.20377
GET       0.085      1.41571
GET       0.086      1.68140
GET       0.087      2.00126
GET       0.088      2.40646
GET       0.089      2.87829
GET       0.090      3.45567
GET       0.091      4.11817
GET       0.092      4.91996
GET       0.093      5.88835
GET       0.094      7.16391
GET       0.095      8.61230
GET       0.096     10.04241
GET       0.097     11.36698
GET       0.098     12.57827
GET       0.099     13.73023
GET       0.100     18.97091
GET       0.110     25.59635
GET       0.120     30.24954
GET       0.130     36.23462
GET       0.140     51.75202
GET       0.150     66.45343
GET       0.160     72.38993
GET       0.170     75.70501
GET       0.180     78.53880
GET       0.190     82.60624
GET       0.200     85.73237
GET       0.210     87.33660
GET       0.220     88.39183
GET       0.230     89.28799
GET       0.240     90.39460
GET       0.250     91.31999
GET       0.260     91.92768
GET       0.270     92.39500
GET       0.280     92.82169
GET       0.290     93.33931
GET       0.300     93.80899
GET       0.310     94.12928
GET       0.320     94.39325
GET       0.330     94.66152
GET       0.340     94.96783
GET       0.350     95.21632
GET       0.360     95.41344
GET       0.370     95.57724
GET       0.380     95.73502
GET       0.390     95.90225
GET       0.400     96.05573
GET       0.410     96.18084
GET       0.420     96.29348
GET       0.430     96.39945
GET       0.440     96.52456
GET       0.450     96.63161
GET       0.460     96.72167
GET       0.470     96.81239
GET       0.480     96.89601
GET       0.490     96.98263
GET       0.500     97.06260
GET       0.510     97.12923
GET       0.520     97.19028
GET       0.530     97.25885
GET       0.540     97.32184
GET       0.550     97.38052
GET       0.560     97.43426
GET       0.570     97.48821
GET       0.580     97.53637
GET       0.590     97.58538
GET       0.600     97.63052
GET       0.610     97.67308
GET       0.620     97.71263
GET       0.630     97.75519
GET       0.640     97.79603
GET       0.650     97.83086
GET       0.660     97.86504
GET       0.670     97.89857
GET       0.680     97.93275
GET       0.690     97.97015
GET       0.700     98.00132
GET       0.710     98.03098
GET       0.720     98.06194
GET       0.730     98.09074
GET       0.740     98.11955
GET       0.750     98.14857
GET       0.760     98.17071
GET       0.770     98.19543
GET       0.780     98.21950
GET       0.790     98.24057
GET       0.800     98.26572
GET       0.810     98.28829
GET       0.820     98.30871
GET       0.830     98.32913
GET       0.840     98.35213
GET       0.850     98.37191
GET       0.860     98.39018
GET       0.870     98.40716
GET       0.880     98.42629
GET       0.890     98.44671
GET       0.900     98.46541
GET       0.910     98.48003
GET       0.920     98.49572
GET       0.930     98.51378
GET       0.940     98.53012
GET       0.950     98.54624
GET       0.960     98.56365
GET       0.970     98.58149
GET       0.980     98.59525
GET       0.990     98.60643
GET       1.000     98.68123
GET       1.100     98.78785
GET       1.200     98.87577
GET       1.300     98.95272
GET       1.400     99.01678
GET       1.500     99.07052
GET       1.600     99.11975
GET       1.700     99.16424
GET       1.800     99.20616
GET       1.900     99.24098
GET       2.000     99.27495
GET       2.100     99.30912
GET       2.200     99.34072
GET       2.300     99.37232
GET       2.400     99.39962
GET       2.500     99.41768
GET       2.600     99.43831
GET       2.700     99.45960
GET       2.800     99.47873
GET       2.900     99.49356
GET       3.000     99.51097
GET       3.100     99.52645
GET       3.200     99.54321
GET       3.300     99.55762
GET       3.400     99.57094
GET       3.500     99.58836
GET       3.600     99.60233
GET       3.700     99.61329
GET       3.800     99.62275
GET       3.900     99.63242
GET       4.000     99.64467
GET       4.100     99.65413
GET       4.200     99.66531
GET       4.300     99.67627
GET       4.400     99.68401
GET       4.500     99.69175
GET       4.600     99.69884
GET       4.700     99.70228
GET       4.800     99.70787
GET       4.900     99.71432
GET       5.000     99.71969
GET       5.100     99.72550
GET       5.200     99.72894
GET       5.300     99.73367
GET       5.400     99.73947
GET       5.500     99.74398
GET       5.600     99.74893
GET       5.700     99.75237
GET       5.800     99.75602
GET       5.900     99.75882
GET       6.000     99.76247
GET       6.100     99.76505
GET       6.200     99.76785
GET       6.300     99.77085
GET       6.400     99.77236
GET       6.500     99.77515
GET       6.600     99.77795
GET       6.700     99.78053
GET       6.800     99.78225
GET       6.900     99.78526
GET       7.000     99.78741
GET       7.100     99.78977
GET       7.200     99.79192
GET       7.300     99.79321
GET       7.400     99.79493
GET       7.500     99.79579
GET       7.600     99.79751
GET       7.700     99.79901
GET       7.800     99.80116
GET       7.900     99.80267
GET       8.000     99.80417
GET       8.100     99.80632
GET       8.200     99.80783
GET       8.300     99.80869
GET       8.400     99.81041
GET       8.500     99.81342
GET       8.600     99.81578
GET       8.700     99.81793
GET       8.800     99.82051
GET       8.900     99.82180
GET       9.000     99.82330
GET       9.100     99.82502
GET       9.200     99.82631
GET       9.300     99.82889
GET       9.400     99.82997
GET       9.500     99.83126
GET       9.600     99.83276
GET       9.700     99.83427
GET       9.800     99.83556
GET       9.900     99.83792
GET      10.000     99.84394
GET      11.000     99.85404
GET      12.000     99.86307
GET      13.000     99.87296
GET      14.000     99.88414
GET      15.000     99.89102
GET      16.000     99.89768
GET      17.000     99.90477
