[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       26159 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       48165 ops,   22003 (avg:   24082) ops/sec, 843.74KB/sec (avg: 923.35KB/sec),  0.18 (avg:  0.16) msec latency[RUN #1 10%,   3 secs]  1 threads:       66168 ops,   18000 (avg:   22054) ops/sec, 690.07KB/sec (avg: 845.59KB/sec),  0.22 (avg:  0.18) msec latency[RUN #1 13%,   4 secs]  1 threads:       83211 ops,   17041 (avg:   20801) ops/sec, 653.31KB/sec (avg: 797.52KB/sec),  0.23 (avg:  0.19) msec latency[RUN #1 17%,   5 secs]  1 threads:      100151 ops,   16938 (avg:   20028) ops/sec, 649.54KB/sec (avg: 767.92KB/sec),  0.23 (avg:  0.20) msec latency[RUN #1 20%,   6 secs]  1 threads:      116745 ops,   16592 (avg:   19456) ops/sec, 636.39KB/sec (avg: 746.00KB/sec),  0.24 (avg:  0.20) msec latency[RUN #1 23%,   7 secs]  1 threads:      133901 ops,   17154 (avg:   19127) ops/sec, 657.80KB/sec (avg: 733.40KB/sec),  0.23 (avg:  0.21) msec latency[RUN #1 27%,   8 secs]  1 threads:      151122 ops,   17219 (avg:   18888) ops/sec, 660.13KB/sec (avg: 724.24KB/sec),  0.23 (avg:  0.21) msec latency[RUN #1 30%,   9 secs]  1 threads:      167995 ops,   16871 (avg:   18664) ops/sec, 646.79KB/sec (avg: 715.63KB/sec),  0.23 (avg:  0.21) msec latency[RUN #1 33%,  10 secs]  1 threads:      185181 ops,   17184 (avg:   18516) ops/sec, 658.87KB/sec (avg: 709.96KB/sec),  0.23 (avg:  0.21) msec latency[RUN #1 37%,  11 secs]  1 threads:      202138 ops,   16955 (avg:   18374) ops/sec, 650.11KB/sec (avg: 704.52KB/sec),  0.23 (avg:  0.21) msec latency[RUN #1 40%,  12 secs]  1 threads:      219236 ops,   17096 (avg:   18268) ops/sec, 655.57KB/sec (avg: 700.44KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 43%,  13 secs]  1 threads:      236636 ops,   17398 (avg:   18201) ops/sec, 667.09KB/sec (avg: 697.87KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 47%,  14 secs]  1 threads:      253596 ops,   16958 (avg:   18112) ops/sec, 650.23KB/sec (avg: 694.47KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 50%,  15 secs]  1 threads:      270737 ops,   17139 (avg:   18047) ops/sec, 657.19KB/sec (avg: 691.98KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 53%,  16 secs]  1 threads:      287196 ops,   16457 (avg:   17948) ops/sec, 630.93KB/sec (avg: 688.17KB/sec),  0.24 (avg:  0.22) msec latency[RUN #1 57%,  17 secs]  1 threads:      304026 ops,   16828 (avg:   17882) ops/sec, 645.27KB/sec (avg: 685.64KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 60%,  18 secs]  1 threads:      321229 ops,   17201 (avg:   17844) ops/sec, 659.54KB/sec (avg: 684.19KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 63%,  19 secs]  1 threads:      338131 ops,   16900 (avg:   17794) ops/sec, 647.96KB/sec (avg: 682.29KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 67%,  20 secs]  1 threads:      355829 ops,   17695 (avg:   17789) ops/sec, 678.48KB/sec (avg: 682.10KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 70%,  21 secs]  1 threads:      372962 ops,   17131 (avg:   17758) ops/sec, 656.81KB/sec (avg: 680.89KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 73%,  22 secs]  1 threads:      389740 ops,   16776 (avg:   17713) ops/sec, 643.09KB/sec (avg: 679.17KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 77%,  23 secs]  1 threads:      406997 ops,   17254 (avg:   17693) ops/sec, 661.62KB/sec (avg: 678.41KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 80%,  24 secs]  1 threads:      424151 ops,   17152 (avg:   17671) ops/sec, 657.69KB/sec (avg: 677.55KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 83%,  25 secs]  1 threads:      441385 ops,   17232 (avg:   17653) ops/sec, 660.82KB/sec (avg: 676.88KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 87%,  26 secs]  1 threads:      457930 ops,   16543 (avg:   17611) ops/sec, 634.31KB/sec (avg: 675.24KB/sec),  0.24 (avg:  0.22) msec latency[RUN #1 90%,  27 secs]  1 threads:      474597 ops,   16665 (avg:   17576) ops/sec, 639.14KB/sec (avg: 673.90KB/sec),  0.24 (avg:  0.22) msec latency[RUN #1 93%,  28 secs]  1 threads:      491170 ops,   16571 (avg:   17540) ops/sec, 635.50KB/sec (avg: 672.53KB/sec),  0.24 (avg:  0.22) msec latency[RUN #1 97%,  29 secs]  1 threads:      510216 ops,   19043 (avg:   17591) ops/sec, 730.22KB/sec (avg: 674.52KB/sec),  0.21 (avg:  0.22) msec latency[RUN #1 100%,  30 secs]  0 threads:      532557 ops,   19043 (avg:   17751) ops/sec, 730.22KB/sec (avg: 680.65KB/sec),  0.21 (avg:  0.22) msec latency

1         Threads
4         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1613.89          ---          ---      0.22600       119.18
Gets       16137.91     13184.86      2953.05      0.22100       561.47
Totals     17751.80     13184.86      2953.05      0.22100       680.65


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.055      0.00041
GET       0.057      0.00083
GET       0.058      0.00165
GET       0.059      0.00289
GET       0.060      0.00475
GET       0.061      0.00744
GET       0.062      0.01074
GET       0.063      0.01446
GET       0.064      0.01838
GET       0.065      0.02437
GET       0.066      0.03057
GET       0.067      0.04193
GET       0.068      0.05288
GET       0.069      0.06878
GET       0.070      0.08551
GET       0.071      0.10803
GET       0.072      0.13095
GET       0.073      0.15223
GET       0.074      0.18507
GET       0.075      0.21894
GET       0.076      0.26294
GET       0.077      0.30549
GET       0.078      0.34680
GET       0.079      0.39926
GET       0.080      0.45916
GET       0.081      0.53001
GET       0.082      0.60354
GET       0.083      0.69216
GET       0.084      0.80287
GET       0.085      0.93465
GET       0.086      1.08295
GET       0.087      1.25026
GET       0.088      1.46011
GET       0.089      1.68939
GET       0.090      1.96658
GET       0.091      2.29149
GET       0.092      2.68270
GET       0.093      3.13442
GET       0.094      3.66485
GET       0.095      4.23576
GET       0.096      4.81885
GET       0.097      5.39245
GET       0.098      5.96790
GET       0.099      6.54873
GET       0.100      9.47226
GET       0.110     14.21386
GET       0.120     18.43702
GET       0.130     23.70988
GET       0.140     33.36576
GET       0.150     43.47358
GET       0.160     49.44004
GET       0.170     53.79601
GET       0.180     58.04168
GET       0.190     63.27633
GET       0.200     67.93613
GET       0.210     70.96047
GET       0.220     73.33767
GET       0.230     75.58165
GET       0.240     78.13587
GET       0.250     80.38171
GET       0.260     82.04053
GET       0.270     83.38001
GET       0.280     84.63647
GET       0.290     85.99062
GET       0.300     87.12666
GET       0.310     87.99893
GET       0.320     88.74644
GET       0.330     89.41732
GET       0.340     90.14934
GET       0.350     90.79233
GET       0.360     91.29487
GET       0.370     91.71768
GET       0.380     92.12686
GET       0.390     92.56290
GET       0.400     92.93428
GET       0.410     93.25278
GET       0.420     93.53534
GET       0.430     93.81811
GET       0.440     94.11616
GET       0.450     94.36857
GET       0.460     94.57822
GET       0.470     94.77321
GET       0.480     94.97439
GET       0.490     95.17330
GET       0.500     95.34825
GET       0.510     95.51700
GET       0.520     95.66035
GET       0.530     95.80204
GET       0.540     95.96439
GET       0.550     96.09865
GET       0.560     96.21452
GET       0.570     96.33205
GET       0.580     96.44524
GET       0.590     96.56029
GET       0.600     96.66130
GET       0.610     96.75280
GET       0.620     96.84182
GET       0.630     96.93188
GET       0.640     97.02049
GET       0.650     97.10848
GET       0.660     97.18738
GET       0.670     97.25802
GET       0.680     97.33011
GET       0.690     97.40839
GET       0.700     97.47780
GET       0.710     97.53894
GET       0.720     97.60152
GET       0.730     97.66762
GET       0.740     97.72483
GET       0.750     97.78143
GET       0.760     97.82893
GET       0.770     97.87933
GET       0.780     97.92560
GET       0.790     97.97662
GET       0.800     98.01834
GET       0.810     98.05862
GET       0.820     98.10737
GET       0.830     98.14992
GET       0.840     98.19329
GET       0.850     98.23543
GET       0.860     98.27385
GET       0.870     98.30979
GET       0.880     98.34841
GET       0.890     98.38662
GET       0.900     98.42091
GET       0.910     98.45210
GET       0.920     98.48288
GET       0.930     98.51820
GET       0.940     98.55166
GET       0.950     98.57996
GET       0.960     98.60743
GET       0.970     98.63035
GET       0.980     98.66010
GET       0.990     98.68716
GET       1.000     98.82018
GET       1.100     99.00525
GET       1.200     99.15128
GET       1.300     99.27542
GET       1.400     99.37890
GET       1.500     99.46338
GET       1.600     99.53381
GET       1.700     99.58896
GET       1.800     99.64205
GET       1.900     99.68728
GET       2.000     99.72591
GET       2.100     99.75358
GET       2.200     99.78085
GET       2.300     99.80522
GET       2.400     99.82567
GET       2.500     99.84715
GET       2.600     99.86388
GET       2.700     99.87855
GET       2.800     99.88908
GET       2.900     99.89920
GET       3.000     99.90829
GET       3.100     99.91552
GET       3.200     99.92275
GET       3.300     99.93266
GET       3.400     99.93948
GET       3.500     99.94588
GET       3.600     99.94981
GET       3.700     99.95332
GET       3.800     99.95848
GET       3.900     99.96220
GET       4.000     99.96406
GET       4.100     99.96819
GET       4.200     99.97088
GET       4.300     99.97253
GET       4.400     99.97335
GET       4.500     99.97418
GET       4.600     99.97604
GET       4.700     99.97728
GET       4.800     99.97873
GET       4.900     99.98058
GET       5.000     99.98182
GET       5.100     99.98348
GET       5.200     99.98554
GET       5.300     99.98719
GET       5.400     99.98864
GET       5.500     99.98905
GET       5.600     99.98967
GET       5.700     99.99050
GET       5.800     99.99112
GET       5.900     99.99215
GET       6.000     99.99298
GET       6.100     99.99339
GET       6.200     99.99360
GET       6.300     99.99442
GET       6.500     99.99504
GET       6.700     99.99525
GET       6.800     99.99546
GET       6.900     99.99628
GET       7.200     99.99670
GET       7.400     99.99731
GET       7.500     99.99752
GET       7.700     99.99814
GET       7.800     99.99855
GET       8.400     99.99897
GET       8.500     99.99917
GET       8.900     99.99959
GET       9.000     99.99979
GET      11.000    100.00000
