[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       17419 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       32418 ops,   14997 (avg:   16208) ops/sec, 569.06KB/sec (avg: 614.98KB/sec),  0.13 (avg:  0.12) msec latency[RUN #1 10%,   3 secs]  1 threads:       44940 ops,   12520 (avg:   14979) ops/sec, 475.11KB/sec (avg: 568.35KB/sec),  0.16 (avg:  0.13) msec latency[RUN #1 13%,   4 secs]  1 threads:       56151 ops,   11209 (avg:   14036) ops/sec, 425.26KB/sec (avg: 532.58KB/sec),  0.17 (avg:  0.14) msec latency[RUN #1 17%,   5 secs]  1 threads:       66459 ops,   10307 (avg:   13290) ops/sec, 391.05KB/sec (avg: 504.27KB/sec),  0.19 (avg:  0.15) msec latency[RUN #1 20%,   6 secs]  1 threads:       76756 ops,   10296 (avg:   12791) ops/sec, 390.59KB/sec (avg: 485.33KB/sec),  0.19 (avg:  0.15) msec latency[RUN #1 23%,   7 secs]  1 threads:       86043 ops,    9286 (avg:   12290) ops/sec, 352.30KB/sec (avg: 466.32KB/sec),  0.21 (avg:  0.16) msec latency[RUN #1 27%,   8 secs]  1 threads:       97211 ops,   11166 (avg:   12150) ops/sec, 423.67KB/sec (avg: 460.99KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 30%,   9 secs]  1 threads:      104022 ops,    6810 (avg:   11556) ops/sec, 258.48KB/sec (avg: 438.49KB/sec),  0.29 (avg:  0.17) msec latency[RUN #1 33%,  10 secs]  1 threads:      114157 ops,   10133 (avg:   11414) ops/sec, 384.50KB/sec (avg: 433.09KB/sec),  0.19 (avg:  0.17) msec latency[RUN #1 37%,  11 secs]  1 threads:      123593 ops,    9435 (avg:   11234) ops/sec, 358.05KB/sec (avg: 426.27KB/sec),  0.21 (avg:  0.17) msec latency[RUN #1 40%,  12 secs]  1 threads:      135331 ops,   11736 (avg:   11276) ops/sec, 445.33KB/sec (avg: 427.86KB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 43%,  13 secs]  1 threads:      146145 ops,   10813 (avg:   11240) ops/sec, 410.31KB/sec (avg: 426.51KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 47%,  14 secs]  1 threads:      155902 ops,    9755 (avg:   11134) ops/sec, 370.19KB/sec (avg: 422.48KB/sec),  0.20 (avg:  0.18) msec latency[RUN #1 50%,  15 secs]  1 threads:      162269 ops,    6366 (avg:   10816) ops/sec, 241.53KB/sec (avg: 410.42KB/sec),  0.31 (avg:  0.18) msec latency[RUN #1 53%,  16 secs]  1 threads:      173897 ops,   11626 (avg:   10867) ops/sec, 441.23KB/sec (avg: 412.35KB/sec),  0.17 (avg:  0.18) msec latency[RUN #1 57%,  17 secs]  1 threads:      184042 ops,   10143 (avg:   10824) ops/sec, 384.89KB/sec (avg: 410.73KB/sec),  0.19 (avg:  0.18) msec latency[RUN #1 60%,  18 secs]  1 threads:      194795 ops,   10751 (avg:   10820) ops/sec, 407.95KB/sec (avg: 410.58KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 63%,  19 secs]  1 threads:      202513 ops,    7717 (avg:   10657) ops/sec, 292.92KB/sec (avg: 404.38KB/sec),  0.25 (avg:  0.18) msec latency[RUN #1 67%,  20 secs]  1 threads:      211457 ops,    8943 (avg:   10571) ops/sec, 339.37KB/sec (avg: 401.13KB/sec),  0.22 (avg:  0.18) msec latency[RUN #1 70%,  21 secs]  1 threads:      222638 ops,   11179 (avg:   10600) ops/sec, 424.19KB/sec (avg: 402.23KB/sec),  0.17 (avg:  0.18) msec latency[RUN #1 73%,  22 secs]  1 threads:      231344 ops,    8705 (avg:   10514) ops/sec, 330.31KB/sec (avg: 398.96KB/sec),  0.22 (avg:  0.19) msec latency[RUN #1 77%,  23 secs]  1 threads:      241938 ops,   10593 (avg:   10518) ops/sec, 402.01KB/sec (avg: 399.09KB/sec),  0.18 (avg:  0.19) msec latency[RUN #1 80%,  24 secs]  1 threads:      252455 ops,   10515 (avg:   10517) ops/sec, 398.98KB/sec (avg: 399.09KB/sec),  0.19 (avg:  0.19) msec latency[RUN #1 83%,  25 secs]  1 threads:      262064 ops,    9607 (avg:   10481) ops/sec, 364.53KB/sec (avg: 397.71KB/sec),  0.20 (avg:  0.19) msec latency[RUN #1 87%,  26 secs]  1 threads:      273039 ops,   10973 (avg:   10500) ops/sec, 416.40KB/sec (avg: 398.43KB/sec),  0.18 (avg:  0.19) msec latency[RUN #1 90%,  27 secs]  1 threads:      279232 ops,    6192 (avg:   10340) ops/sec, 234.97KB/sec (avg: 392.37KB/sec),  0.32 (avg:  0.19) msec latency[RUN #1 93%,  28 secs]  1 threads:      288220 ops,    8987 (avg:   10292) ops/sec, 341.01KB/sec (avg: 390.54KB/sec),  0.22 (avg:  0.19) msec latency[RUN #1 97%,  29 secs]  1 threads:      299215 ops,   10993 (avg:   10316) ops/sec, 417.10KB/sec (avg: 391.45KB/sec),  0.18 (avg:  0.19) msec latency[RUN #1 100%,  30 secs]  0 threads:      309606 ops,   10993 (avg:   10320) ops/sec, 417.10KB/sec (avg: 391.58KB/sec),  0.18 (avg:  0.19) msec latency

1         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         938.23          ---          ---      0.19200        68.92
Gets        9381.95      8688.31       693.63      0.18800       322.67
Totals     10320.18      8688.31       693.63      0.18900       391.58


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.054      0.00036
GET       0.056      0.00071
GET       0.059      0.00107
GET       0.060      0.00142
GET       0.061      0.00284
GET       0.062      0.00462
GET       0.063      0.00888
GET       0.064      0.01208
GET       0.065      0.01776
GET       0.066      0.02665
GET       0.067      0.04192
GET       0.068      0.05649
GET       0.069      0.08065
GET       0.070      0.10232
GET       0.071      0.13572
GET       0.072      0.17374
GET       0.073      0.21211
GET       0.074      0.26647
GET       0.075      0.32509
GET       0.076      0.39473
GET       0.077      0.47502
GET       0.078      0.56314
GET       0.079      0.66759
GET       0.080      0.78733
GET       0.081      0.91701
GET       0.082      1.07263
GET       0.083      1.25773
GET       0.084      1.46771
GET       0.085      1.71961
GET       0.086      2.00562
GET       0.087      2.32751
GET       0.088      2.68032
GET       0.089      3.09637
GET       0.090      3.52698
GET       0.091      3.99987
GET       0.092      4.58006
GET       0.093      5.25227
GET       0.094      6.08863
GET       0.095      7.16374
GET       0.096      8.08217
GET       0.097      8.88762
GET       0.098      9.62947
GET       0.099     10.39405
GET       0.100     14.14060
GET       0.110     20.54011
GET       0.120     26.32746
GET       0.130     33.44786
GET       0.140     44.13005
GET       0.150     54.40579
GET       0.160     61.25333
GET       0.170     66.21959
GET       0.180     71.01318
GET       0.190     76.21714
GET       0.200     80.47282
GET       0.210     83.27820
GET       0.220     85.35382
GET       0.230     87.16865
GET       0.240     88.91135
GET       0.250     90.32079
GET       0.260     91.36997
GET       0.270     92.16440
GET       0.280     92.90803
GET       0.290     93.59623
GET       0.300     94.17535
GET       0.310     94.62693
GET       0.320     95.01206
GET       0.330     95.33822
GET       0.340     95.67965
GET       0.350     95.95998
GET       0.360     96.18168
GET       0.370     96.38988
GET       0.380     96.57748
GET       0.390     96.76933
GET       0.400     96.93135
GET       0.410     97.07453
GET       0.420     97.18929
GET       0.430     97.30263
GET       0.440     97.41348
GET       0.450     97.51687
GET       0.460     97.61066
GET       0.470     97.69380
GET       0.480     97.77410
GET       0.490     97.85368
GET       0.500     97.91231
GET       0.510     97.97093
GET       0.520     98.01854
GET       0.530     98.07468
GET       0.540     98.12903
GET       0.550     98.17309
GET       0.560     98.21821
GET       0.570     98.25516
GET       0.580     98.29176
GET       0.590     98.32729
GET       0.600     98.36353
GET       0.610     98.38804
GET       0.620     98.41540
GET       0.630     98.44205
GET       0.640     98.46976
GET       0.650     98.49747
GET       0.660     98.51666
GET       0.670     98.53798
GET       0.680     98.56000
GET       0.690     98.58701
GET       0.700     98.60903
GET       0.710     98.62573
GET       0.720     98.64101
GET       0.730     98.65806
GET       0.740     98.67938
GET       0.750     98.69750
GET       0.760     98.71740
GET       0.770     98.73161
GET       0.780     98.74760
GET       0.790     98.76430
GET       0.800     98.77780
GET       0.810     98.79094
GET       0.820     98.80693
GET       0.830     98.82221
GET       0.840     98.83749
GET       0.850     98.85525
GET       0.860     98.86769
GET       0.870     98.87906
GET       0.880     98.89185
GET       0.890     98.90641
GET       0.900     98.91885
GET       0.910     98.92951
GET       0.920     98.94230
GET       0.930     98.95864
GET       0.940     98.96823
GET       0.950     98.97605
GET       0.960     98.98849
GET       0.970     98.99843
GET       0.980     99.01087
GET       0.990     99.02046
GET       1.000     99.07304
GET       1.100     99.15263
GET       1.200     99.23257
GET       1.300     99.30114
GET       1.400     99.36438
GET       1.500     99.41448
GET       1.600     99.46031
GET       1.700     99.50472
GET       1.800     99.54310
GET       1.900     99.58466
GET       2.000     99.62410
GET       2.100     99.65252
GET       2.200     99.67526
GET       2.300     99.69978
GET       2.400     99.72500
GET       2.500     99.74312
GET       2.600     99.76124
GET       2.700     99.78079
GET       2.800     99.79677
GET       2.900     99.80885
GET       3.000     99.82271
GET       3.100     99.83728
GET       3.200     99.84722
GET       3.300     99.85859
GET       3.400     99.86606
GET       3.500     99.87600
GET       3.600     99.88524
GET       3.700     99.89306
GET       3.800     99.90123
GET       3.900     99.90940
GET       4.000     99.91686
GET       4.100     99.92255
GET       4.200     99.92645
GET       4.300     99.93178
GET       4.400     99.93427
GET       4.500     99.93889
GET       4.600     99.94244
GET       4.700     99.94777
GET       4.800     99.95168
GET       4.900     99.95452
GET       5.000     99.95914
GET       5.100     99.96305
GET       5.200     99.96447
GET       5.300     99.96696
GET       5.400     99.96909
GET       5.500     99.96980
GET       5.600     99.97335
GET       5.700     99.97584
GET       5.800     99.97797
GET       5.900     99.97939
GET       6.000     99.98152
GET       6.100     99.98330
GET       6.200     99.98508
GET       6.300     99.98579
GET       6.400     99.98685
GET       6.500     99.98756
GET       6.600     99.98828
GET       6.700     99.98863
GET       6.800     99.98934
GET       6.900     99.99041
GET       7.000     99.99147
GET       7.100     99.99183
GET       7.200     99.99254
GET       7.300     99.99325
GET       7.400     99.99360
GET       7.600     99.99396
GET       7.700     99.99432
GET       7.800     99.99538
GET       8.100     99.99609
GET       8.600     99.99680
GET       8.800     99.99751
GET       9.000     99.99787
GET       9.900     99.99822
GET      10.000     99.99858
GET      11.000     99.99893
GET      12.000     99.99964
GET      13.000    100.00000
