[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       11667 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       21258 ops,    9590 (avg:   10628) ops/sec, 370.29KB/sec (avg: 410.45KB/sec),  0.21 (avg:  0.18) msec latency[RUN #1 10%,   3 secs]  1 threads:       31219 ops,    9959 (avg:   10405) ops/sec, 384.61KB/sec (avg: 401.84KB/sec),  0.20 (avg:  0.19) msec latency[RUN #1 13%,   4 secs]  1 threads:       40721 ops,    9501 (avg:   10179) ops/sec, 366.91KB/sec (avg: 393.11KB/sec),  0.21 (avg:  0.19) msec latency[RUN #1 17%,   5 secs]  1 threads:       49759 ops,    9037 (avg:    9951) ops/sec, 349.01KB/sec (avg: 384.29KB/sec),  0.22 (avg:  0.20) msec latency[RUN #1 20%,   6 secs]  1 threads:       58083 ops,    8323 (avg:    9679) ops/sec, 321.36KB/sec (avg: 373.80KB/sec),  0.24 (avg:  0.20) msec latency[RUN #1 23%,   7 secs]  1 threads:       66378 ops,    8294 (avg:    9481) ops/sec, 320.26KB/sec (avg: 366.15KB/sec),  0.24 (avg:  0.21) msec latency[RUN #1 27%,   8 secs]  1 threads:       75198 ops,    8819 (avg:    9398) ops/sec, 340.56KB/sec (avg: 362.95KB/sec),  0.22 (avg:  0.21) msec latency[RUN #1 30%,   9 secs]  1 threads:       83695 ops,    8496 (avg:    9298) ops/sec, 328.08KB/sec (avg: 359.08KB/sec),  0.23 (avg:  0.21) msec latency[RUN #1 33%,  10 secs]  1 threads:       91864 ops,    8168 (avg:    9185) ops/sec, 315.43KB/sec (avg: 354.71KB/sec),  0.24 (avg:  0.21) msec latency[RUN #1 37%,  11 secs]  1 threads:      100283 ops,    8418 (avg:    9115) ops/sec, 325.16KB/sec (avg: 352.03KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 40%,  12 secs]  1 threads:      108687 ops,    8403 (avg:    9056) ops/sec, 324.44KB/sec (avg: 349.73KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 43%,  13 secs]  1 threads:      117426 ops,    8738 (avg:    9031) ops/sec, 337.49KB/sec (avg: 348.79KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 47%,  14 secs]  1 threads:      126328 ops,    8901 (avg:    9022) ops/sec, 343.82KB/sec (avg: 348.43KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 50%,  15 secs]  1 threads:      134680 ops,    8351 (avg:    8977) ops/sec, 322.51KB/sec (avg: 346.70KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 53%,  16 secs]  1 threads:      143620 ops,    8939 (avg:    8975) ops/sec, 345.23KB/sec (avg: 346.61KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 57%,  17 secs]  1 threads:      152618 ops,    8997 (avg:    8976) ops/sec, 347.49KB/sec (avg: 346.66KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 60%,  18 secs]  1 threads:      161807 ops,    9188 (avg:    8988) ops/sec, 354.80KB/sec (avg: 347.12KB/sec),  0.21 (avg:  0.22) msec latency[RUN #1 63%,  19 secs]  1 threads:      169908 ops,    8100 (avg:    8941) ops/sec, 312.84KB/sec (avg: 345.31KB/sec),  0.24 (avg:  0.22) msec latency[RUN #1 67%,  20 secs]  1 threads:      179159 ops,    9250 (avg:    8957) ops/sec, 357.25KB/sec (avg: 345.91KB/sec),  0.21 (avg:  0.22) msec latency[RUN #1 70%,  21 secs]  1 threads:      188376 ops,    9216 (avg:    8969) ops/sec, 355.90KB/sec (avg: 346.38KB/sec),  0.21 (avg:  0.22) msec latency[RUN #1 73%,  22 secs]  1 threads:      197422 ops,    9045 (avg:    8972) ops/sec, 349.30KB/sec (avg: 346.52KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 77%,  23 secs]  1 threads:      206699 ops,    9276 (avg:    8986) ops/sec, 358.28KB/sec (avg: 347.03KB/sec),  0.21 (avg:  0.22) msec latency[RUN #1 80%,  24 secs]  1 threads:      214821 ops,    8121 (avg:    8950) ops/sec, 313.61KB/sec (avg: 345.63KB/sec),  0.24 (avg:  0.22) msec latency[RUN #1 83%,  25 secs]  1 threads:      223693 ops,    8871 (avg:    8946) ops/sec, 342.61KB/sec (avg: 345.51KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 87%,  26 secs]  1 threads:      233488 ops,    9794 (avg:    8979) ops/sec, 378.27KB/sec (avg: 346.77KB/sec),  0.20 (avg:  0.22) msec latency[RUN #1 90%,  27 secs]  1 threads:      244045 ops,   10555 (avg:    9037) ops/sec, 407.69KB/sec (avg: 349.03KB/sec),  0.19 (avg:  0.22) msec latency[RUN #1 93%,  28 secs]  1 threads:      255628 ops,   11581 (avg:    9128) ops/sec, 447.30KB/sec (avg: 352.54KB/sec),  0.17 (avg:  0.21) msec latency[RUN #1 97%,  29 secs]  1 threads:      268041 ops,   12411 (avg:    9241) ops/sec, 479.24KB/sec (avg: 356.91KB/sec),  0.16 (avg:  0.21) msec latency[RUN #1 100%,  30 secs]  0 threads:      279914 ops,   12411 (avg:    9330) ops/sec, 479.24KB/sec (avg: 360.33KB/sec),  0.16 (avg:  0.21) msec latency

1         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         848.23          ---          ---      0.21800        62.88
Gets        8482.21      4257.12      4225.09      0.20900       297.45
Totals      9330.44      4257.12      4225.09      0.21000       360.33


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.060      0.00039
GET       0.061      0.00118
GET       0.063      0.00354
GET       0.064      0.00629
GET       0.065      0.00904
GET       0.066      0.01100
GET       0.067      0.01493
GET       0.068      0.02004
GET       0.069      0.02908
GET       0.070      0.03694
GET       0.071      0.04362
GET       0.072      0.05187
GET       0.073      0.05855
GET       0.074      0.06484
GET       0.075      0.07545
GET       0.076      0.08528
GET       0.077      0.09746
GET       0.078      0.10846
GET       0.079      0.12222
GET       0.080      0.14029
GET       0.081      0.15955
GET       0.082      0.17684
GET       0.083      0.20278
GET       0.084      0.23461
GET       0.085      0.26762
GET       0.086      0.30181
GET       0.087      0.35054
GET       0.088      0.39966
GET       0.089      0.44996
GET       0.090      0.52580
GET       0.091      0.59929
GET       0.092      0.69557
GET       0.093      0.83822
GET       0.094      1.03117
GET       0.095      1.22295
GET       0.096      1.43162
GET       0.097      1.60689
GET       0.098      1.76211
GET       0.099      1.91891
GET       0.100      2.76696
GET       0.110      4.31687
GET       0.120      5.94694
GET       0.130      8.25726
GET       0.140     12.86925
GET       0.150     18.96552
GET       0.160     24.19017
GET       0.170     29.41207
GET       0.180     35.67339
GET       0.190     45.16028
GET       0.200     55.06687
GET       0.210     62.82661
GET       0.220     69.21841
GET       0.230     75.27341
GET       0.240     81.71551
GET       0.250     86.82187
GET       0.260     90.06079
GET       0.270     92.24300
GET       0.280     93.87072
GET       0.290     95.22256
GET       0.300     96.20383
GET       0.310     96.88643
GET       0.320     97.38905
GET       0.330     97.78557
GET       0.340     98.18405
GET       0.350     98.45363
GET       0.360     98.66938
GET       0.370     98.84739
GET       0.380     99.01480
GET       0.390     99.14842
GET       0.400     99.26827
GET       0.410     99.36141
GET       0.420     99.44394
GET       0.430     99.50838
GET       0.440     99.55633
GET       0.450     99.59523
GET       0.460     99.62746
GET       0.470     99.65929
GET       0.480     99.68208
GET       0.490     99.70134
GET       0.500     99.72216
GET       0.510     99.73788
GET       0.520     99.75046
GET       0.530     99.76068
GET       0.540     99.77757
GET       0.550     99.78779
GET       0.560     99.79329
GET       0.570     99.80194
GET       0.580     99.81176
GET       0.590     99.81687
GET       0.600     99.82591
GET       0.610     99.83338
GET       0.620     99.83809
GET       0.630     99.84359
GET       0.640     99.85106
GET       0.650     99.85774
GET       0.660     99.86285
GET       0.670     99.86678
GET       0.680     99.86953
GET       0.690     99.87228
GET       0.700     99.87385
GET       0.710     99.87621
GET       0.720     99.87896
GET       0.730     99.88289
GET       0.740     99.88368
GET       0.750     99.88604
GET       0.760     99.88722
GET       0.770     99.88997
GET       0.780     99.89193
GET       0.790     99.89547
GET       0.800     99.89665
GET       0.810     99.89822
GET       0.820     99.89940
GET       0.830     99.90058
GET       0.840     99.90097
GET       0.850     99.90372
GET       0.860     99.90726
GET       0.870     99.90844
GET       0.880     99.90883
GET       0.890     99.90961
GET       0.900     99.91079
GET       0.910     99.91158
GET       0.920     99.91276
GET       0.930     99.91354
GET       0.940     99.91512
GET       0.950     99.91630
GET       0.960     99.91747
GET       0.970     99.91865
GET       0.980     99.91983
GET       0.990     99.92062
GET       1.000     99.92769
GET       1.100     99.93319
GET       1.200     99.93948
GET       1.300     99.94538
GET       1.400     99.94931
GET       1.500     99.95441
GET       1.600     99.95638
GET       1.700     99.95795
GET       1.800     99.96070
GET       1.900     99.96306
GET       2.000     99.96424
GET       2.100     99.96699
GET       2.200     99.96738
GET       2.300     99.96895
GET       2.400     99.97053
GET       2.600     99.97171
GET       2.800     99.97288
GET       2.900     99.97367
GET       3.000     99.97564
GET       3.100     99.97603
GET       3.200     99.97642
GET       3.600     99.97721
GET       3.700     99.97760
GET       3.800     99.97799
GET       3.900     99.97839
GET       4.000     99.97878
GET       4.100     99.97917
GET       4.200     99.97957
GET       4.300     99.97996
GET       4.700     99.98114
GET       4.800     99.98153
GET       5.000     99.98192
GET       5.400     99.98271
GET       6.300     99.98349
GET       6.400     99.98428
GET       7.200     99.98467
GET       7.500     99.98507
GET       7.700     99.98585
GET       8.000     99.98625
GET       8.300     99.98664
GET       8.400     99.98703
GET       8.500     99.98742
GET       8.600     99.98782
GET       8.900     99.98821
GET       9.200     99.98860
GET      10.000     99.98900
GET      11.000     99.98978
GET      12.000     99.99018
GET      13.000     99.99057
GET      14.000     99.99135
GET      16.000     99.99175
GET      17.000     99.99253
GET      23.000     99.99371
GET      25.000     99.99411
GET      27.000     99.99450
GET      32.000     99.99489
GET      37.000     99.99528
GET      51.000     99.99568
GET      56.000     99.99607
GET      62.000     99.99646
GET      63.000     99.99686
GET      64.000     99.99764
GET      65.000     99.99804
GET      73.000     99.99843
GET      87.000     99.99882
GET     100.000     99.99961
GET     130.000    100.00000
