[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       16813 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       31508 ops,   14693 (avg:   15753) ops/sec, 567.37KB/sec (avg: 608.35KB/sec),  0.13 (avg:  0.12) msec latency[RUN #1 10%,   3 secs]  1 threads:       45241 ops,   13731 (avg:   15079) ops/sec, 530.27KB/sec (avg: 582.32KB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 13%,   4 secs]  1 threads:       55428 ops,   10185 (avg:   13855) ops/sec, 393.34KB/sec (avg: 535.07KB/sec),  0.19 (avg:  0.14) msec latency[RUN #1 17%,   5 secs]  1 threads:       65290 ops,    9860 (avg:   13056) ops/sec, 380.80KB/sec (avg: 504.22KB/sec),  0.20 (avg:  0.15) msec latency[RUN #1 20%,   6 secs]  1 threads:       76131 ops,   10839 (avg:   12687) ops/sec, 418.55KB/sec (avg: 489.94KB/sec),  0.18 (avg:  0.15) msec latency[RUN #1 23%,   7 secs]  1 threads:       86991 ops,   10859 (avg:   12426) ops/sec, 419.32KB/sec (avg: 479.85KB/sec),  0.18 (avg:  0.16) msec latency[RUN #1 27%,   8 secs]  1 threads:       96868 ops,    9875 (avg:   12107) ops/sec, 381.40KB/sec (avg: 467.55KB/sec),  0.20 (avg:  0.16) msec latency[RUN #1 30%,   9 secs]  1 threads:      106765 ops,    9896 (avg:   11861) ops/sec, 382.18KB/sec (avg: 458.06KB/sec),  0.20 (avg:  0.17) msec latency[RUN #1 33%,  10 secs]  1 threads:      114700 ops,    7934 (avg:   11468) ops/sec, 306.37KB/sec (avg: 442.89KB/sec),  0.25 (avg:  0.17) msec latency[RUN #1 37%,  11 secs]  1 threads:      122699 ops,    7998 (avg:   11153) ops/sec, 308.93KB/sec (avg: 430.71KB/sec),  0.25 (avg:  0.18) msec latency[RUN #1 40%,  12 secs]  1 threads:      130928 ops,    8228 (avg:   10909) ops/sec, 317.79KB/sec (avg: 421.30KB/sec),  0.24 (avg:  0.18) msec latency[RUN #1 43%,  13 secs]  1 threads:      139370 ops,    8441 (avg:   10719) ops/sec, 326.02KB/sec (avg: 413.97KB/sec),  0.23 (avg:  0.18) msec latency[RUN #1 47%,  14 secs]  1 threads:      147191 ops,    7820 (avg:   10512) ops/sec, 302.02KB/sec (avg: 405.98KB/sec),  0.25 (avg:  0.19) msec latency[RUN #1 50%,  15 secs]  1 threads:      155047 ops,    7855 (avg:   10335) ops/sec, 303.39KB/sec (avg: 399.14KB/sec),  0.25 (avg:  0.19) msec latency[RUN #1 53%,  16 secs]  1 threads:      162924 ops,    7876 (avg:   10181) ops/sec, 304.14KB/sec (avg: 393.20KB/sec),  0.25 (avg:  0.19) msec latency[RUN #1 57%,  17 secs]  1 threads:      170585 ops,    7660 (avg:   10033) ops/sec, 295.79KB/sec (avg: 387.47KB/sec),  0.25 (avg:  0.20) msec latency[RUN #1 60%,  18 secs]  1 threads:      178984 ops,    8398 (avg:    9942) ops/sec, 324.39KB/sec (avg: 383.97KB/sec),  0.24 (avg:  0.20) msec latency[RUN #1 63%,  19 secs]  1 threads:      187046 ops,    8061 (avg:    9843) ops/sec, 311.29KB/sec (avg: 380.14KB/sec),  0.24 (avg:  0.20) msec latency[RUN #1 67%,  20 secs]  1 threads:      194218 ops,    7171 (avg:    9709) ops/sec, 276.95KB/sec (avg: 374.98KB/sec),  0.28 (avg:  0.20) msec latency[RUN #1 70%,  21 secs]  1 threads:      203244 ops,    9025 (avg:    9677) ops/sec, 348.56KB/sec (avg: 373.72KB/sec),  0.22 (avg:  0.20) msec latency[RUN #1 73%,  22 secs]  1 threads:      210268 ops,    7023 (avg:    9556) ops/sec, 271.25KB/sec (avg: 369.07KB/sec),  0.28 (avg:  0.21) msec latency[RUN #1 77%,  23 secs]  1 threads:      216346 ops,    6077 (avg:    9405) ops/sec, 234.68KB/sec (avg: 363.22KB/sec),  0.32 (avg:  0.21) msec latency[RUN #1 80%,  24 secs]  1 threads:      223367 ops,    7020 (avg:    9306) ops/sec, 271.15KB/sec (avg: 359.39KB/sec),  0.27 (avg:  0.21) msec latency[RUN #1 83%,  25 secs]  1 threads:      231423 ops,    8055 (avg:    9256) ops/sec, 311.11KB/sec (avg: 357.46KB/sec),  0.26 (avg:  0.21) msec latency[RUN #1 87%,  26 secs]  1 threads:      238450 ops,    7026 (avg:    9170) ops/sec, 271.37KB/sec (avg: 354.14KB/sec),  0.28 (avg:  0.21) msec latency[RUN #1 90%,  27 secs]  1 threads:      246230 ops,    7779 (avg:    9118) ops/sec, 300.43KB/sec (avg: 352.15KB/sec),  0.25 (avg:  0.22) msec latency[RUN #1 93%,  28 secs]  1 threads:      253424 ops,    7193 (avg:    9050) ops/sec, 277.82KB/sec (avg: 349.50KB/sec),  0.27 (avg:  0.22) msec latency[RUN #1 97%,  29 secs]  1 threads:      261801 ops,    8376 (avg:    9026) ops/sec, 323.45KB/sec (avg: 348.60KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 100%,  30 secs]  0 threads:      269433 ops,    8376 (avg:    8981) ops/sec, 323.45KB/sec (avg: 346.84KB/sec),  0.23 (avg:  0.22) msec latency

1         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         816.50          ---          ---      0.22000        60.53
Gets        8164.58      3829.96      4334.62      0.21800       286.31
Totals      8981.07      3829.96      4334.62      0.21800       346.84


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.054      0.00041
GET       0.058      0.00082
GET       0.060      0.00245
GET       0.061      0.00327
GET       0.062      0.00408
GET       0.063      0.00572
GET       0.064      0.00857
GET       0.065      0.01225
GET       0.066      0.01756
GET       0.067      0.02164
GET       0.068      0.02368
GET       0.069      0.02695
GET       0.070      0.03552
GET       0.071      0.04736
GET       0.072      0.05797
GET       0.073      0.06981
GET       0.074      0.08247
GET       0.075      0.09431
GET       0.076      0.10982
GET       0.077      0.13105
GET       0.078      0.14412
GET       0.079      0.16167
GET       0.080      0.18290
GET       0.081      0.20454
GET       0.082      0.22904
GET       0.083      0.25843
GET       0.084      0.28375
GET       0.085      0.33641
GET       0.086      0.42664
GET       0.087      0.56627
GET       0.088      0.77611
GET       0.089      0.99903
GET       0.090      1.23582
GET       0.091      1.54570
GET       0.092      1.97438
GET       0.093      2.70762
GET       0.094      4.59790
GET       0.095      7.31124
GET       0.096      8.90225
GET       0.097      9.76492
GET       0.098     10.37405
GET       0.099     10.87091
GET       0.100     12.96736
GET       0.110     15.23243
GET       0.120     16.79160
GET       0.130     18.50672
GET       0.140     24.41638
GET       0.150     30.18437
GET       0.160     34.03555
GET       0.170     37.78548
GET       0.180     42.06248
GET       0.190     49.64603
GET       0.200     57.00300
GET       0.210     63.40788
GET       0.220     69.13096
GET       0.230     74.29472
GET       0.240     79.43112
GET       0.250     83.51542
GET       0.260     86.49781
GET       0.270     88.59181
GET       0.280     90.12689
GET       0.290     91.37659
GET       0.300     92.34296
GET       0.310     93.06110
GET       0.320     93.65676
GET       0.330     94.11892
GET       0.340     94.51861
GET       0.350     94.88524
GET       0.360     95.21471
GET       0.370     95.51111
GET       0.380     95.74831
GET       0.390     95.96918
GET       0.400     96.17413
GET       0.410     96.34765
GET       0.420     96.51667
GET       0.430     96.66201
GET       0.440     96.79552
GET       0.450     96.92330
GET       0.460     97.03680
GET       0.470     97.13397
GET       0.480     97.23032
GET       0.490     97.32136
GET       0.500     97.40016
GET       0.510     97.48018
GET       0.520     97.55897
GET       0.530     97.62552
GET       0.540     97.69207
GET       0.550     97.75862
GET       0.560     97.82149
GET       0.570     97.87987
GET       0.580     97.94928
GET       0.590     98.01093
GET       0.600     98.06931
GET       0.610     98.12197
GET       0.620     98.18444
GET       0.630     98.23751
GET       0.640     98.29100
GET       0.650     98.34080
GET       0.660     98.38694
GET       0.670     98.44165
GET       0.680     98.48125
GET       0.690     98.52779
GET       0.700     98.56617
GET       0.710     98.60904
GET       0.720     98.65150
GET       0.730     98.68865
GET       0.740     98.72743
GET       0.750     98.76336
GET       0.760     98.79888
GET       0.770     98.83195
GET       0.780     98.87318
GET       0.790     98.90217
GET       0.800     98.93157
GET       0.810     98.96219
GET       0.820     98.99199
GET       0.830     99.01363
GET       0.840     99.04098
GET       0.850     99.07038
GET       0.860     99.10141
GET       0.870     99.12713
GET       0.880     99.15407
GET       0.890     99.17775
GET       0.900     99.19735
GET       0.910     99.21286
GET       0.920     99.23164
GET       0.930     99.25165
GET       0.940     99.27614
GET       0.950     99.29941
GET       0.960     99.31697
GET       0.970     99.33534
GET       0.980     99.35453
GET       0.990     99.37331
GET       1.000     99.46395
GET       1.100     99.57704
GET       1.200     99.65951
GET       1.300     99.72075
GET       1.400     99.76688
GET       1.500     99.79995
GET       1.600     99.82445
GET       1.700     99.84200
GET       1.800     99.85874
GET       1.900     99.86935
GET       2.000     99.87915
GET       2.100     99.89018
GET       2.200     99.89834
GET       2.300     99.90610
GET       2.400     99.91345
GET       2.500     99.91794
GET       2.600     99.92243
GET       2.700     99.92570
GET       2.800     99.92978
GET       2.900     99.93345
GET       3.000     99.93672
GET       3.100     99.93998
GET       3.200     99.94366
GET       3.300     99.94652
GET       3.400     99.94815
GET       3.500     99.94978
GET       3.600     99.95101
GET       3.700     99.95223
GET       3.800     99.95468
GET       3.900     99.95591
GET       4.000     99.95836
GET       4.100     99.95877
GET       4.200     99.95999
GET       4.300     99.96162
GET       4.400     99.96407
GET       4.500     99.96489
GET       4.600     99.96652
GET       4.700     99.96734
GET       4.800     99.96816
GET       4.900     99.97020
GET       5.000     99.97060
GET       5.100     99.97142
GET       5.200     99.97265
GET       5.300     99.97346
GET       5.400     99.97387
GET       5.500     99.97428
GET       5.700     99.97469
GET       5.800     99.97510
GET       6.100     99.97550
GET       6.300     99.97673
GET       6.500     99.97714
GET       6.700     99.97836
GET       6.800     99.97877
GET       6.900     99.97918
GET       7.000     99.97959
GET       7.200     99.97999
GET       7.300     99.98081
GET       7.400     99.98122
GET       7.600     99.98163
GET       8.000     99.98204
GET       8.400     99.98244
GET       8.800     99.98285
GET       9.000     99.98326
GET       9.500     99.98367
GET       9.600     99.98408
GET       9.900     99.98449
GET      10.000     99.98489
GET      11.000     99.98612
GET      12.000     99.98816
GET      13.000     99.98898
GET      14.000     99.98939
GET      15.000     99.99020
GET      18.000     99.99061
GET      19.000     99.99143
GET      21.000     99.99183
GET      24.000     99.99224
GET      27.000     99.99265
GET      28.000     99.99306
GET      34.000     99.99388
GET      40.000     99.99428
GET      50.000     99.99551
GET      53.000     99.99592
GET      62.000     99.99633
GET      65.000     99.99714
GET      67.000     99.99755
GET      83.000     99.99796
GET      99.000     99.99837
GET     120.000     99.99878
GET     130.000     99.99959
GET     150.000    100.00000
