[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:        9676 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       18693 ops,    9016 (avg:    9346) ops/sec, 348.18KB/sec (avg: 360.93KB/sec),  0.11 (avg:  0.10) msec latency[RUN #1 10%,   3 secs]  1 threads:       27451 ops,    8756 (avg:    9149) ops/sec, 338.14KB/sec (avg: 353.33KB/sec),  0.11 (avg:  0.11) msec latency[RUN #1 13%,   4 secs]  1 threads:       35702 ops,    8250 (avg:    8924) ops/sec, 318.58KB/sec (avg: 344.64KB/sec),  0.12 (avg:  0.11) msec latency[RUN #1 17%,   5 secs]  1 threads:       43339 ops,    7636 (avg:    8667) ops/sec, 294.86KB/sec (avg: 334.69KB/sec),  0.13 (avg:  0.11) msec latency[RUN #1 20%,   6 secs]  1 threads:       50407 ops,    7067 (avg:    8400) ops/sec, 272.97KB/sec (avg: 324.40KB/sec),  0.14 (avg:  0.12) msec latency[RUN #1 23%,   7 secs]  1 threads:       55527 ops,    5119 (avg:    7931) ops/sec, 197.67KB/sec (avg: 306.30KB/sec),  0.19 (avg:  0.12) msec latency[RUN #1 27%,   8 secs]  1 threads:       60547 ops,    5019 (avg:    7567) ops/sec, 193.87KB/sec (avg: 292.24KB/sec),  0.19 (avg:  0.13) msec latency[RUN #1 30%,   9 secs]  1 threads:       63231 ops,    2683 (avg:    7025) ops/sec, 103.66KB/sec (avg: 271.29KB/sec),  0.37 (avg:  0.14) msec latency[RUN #1 33%,  10 secs]  1 threads:       65347 ops,    2115 (avg:    6534) ops/sec, 81.72KB/sec (avg: 252.33KB/sec),  0.47 (avg:  0.15) msec latency[RUN #1 37%,  11 secs]  1 threads:       66842 ops,    1494 (avg:    6075) ops/sec, 57.73KB/sec (avg: 234.64KB/sec),  0.66 (avg:  0.16) msec latency[RUN #1 40%,  12 secs]  1 threads:       69621 ops,    2778 (avg:    5801) ops/sec, 107.34KB/sec (avg: 224.03KB/sec),  0.35 (avg:  0.17) msec latency[RUN #1 43%,  13 secs]  1 threads:       71488 ops,    1866 (avg:    5498) ops/sec, 72.06KB/sec (avg: 212.34KB/sec),  0.51 (avg:  0.18) msec latency[RUN #1 47%,  14 secs]  1 threads:       72551 ops,    1062 (avg:    5181) ops/sec, 41.06KB/sec (avg: 200.11KB/sec),  0.98 (avg:  0.19) msec latency[RUN #1 50%,  15 secs]  1 threads:       75236 ops,    2684 (avg:    5015) ops/sec, 103.68KB/sec (avg: 193.68KB/sec),  0.37 (avg:  0.20) msec latency[RUN #1 53%,  16 secs]  1 threads:       77705 ops,    2468 (avg:    4856) ops/sec, 95.38KB/sec (avg: 187.53KB/sec),  0.40 (avg:  0.20) msec latency[RUN #1 57%,  17 secs]  1 threads:       78742 ops,    1036 (avg:    4631) ops/sec, 40.02KB/sec (avg: 178.86KB/sec),  0.96 (avg:  0.21) msec latency[RUN #1 60%,  18 secs]  1 threads:       80231 ops,    1488 (avg:    4456) ops/sec, 57.49KB/sec (avg: 172.11KB/sec),  0.64 (avg:  0.22) msec latency[RUN #1 63%,  19 secs]  1 threads:       81854 ops,    1622 (avg:    4307) ops/sec, 62.68KB/sec (avg: 166.35KB/sec),  0.63 (avg:  0.23) msec latency[RUN #1 67%,  20 secs]  1 threads:       83710 ops,    1855 (avg:    4185) ops/sec, 71.64KB/sec (avg: 161.62KB/sec),  0.54 (avg:  0.23) msec latency[RUN #1 70%,  21 secs]  1 threads:       86117 ops,    2406 (avg:    4100) ops/sec, 92.94KB/sec (avg: 158.35KB/sec),  0.41 (avg:  0.24) msec latency[RUN #1 73%,  22 secs]  1 threads:       88307 ops,    2189 (avg:    4013) ops/sec, 84.59KB/sec (avg: 155.00KB/sec),  0.45 (avg:  0.24) msec latency[RUN #1 77%,  23 secs]  1 threads:       90505 ops,    2197 (avg:    3934) ops/sec, 84.87KB/sec (avg: 151.95KB/sec),  0.45 (avg:  0.25) msec latency[RUN #1 80%,  24 secs]  1 threads:       91879 ops,    1373 (avg:    3827) ops/sec, 53.06KB/sec (avg: 147.83KB/sec),  0.72 (avg:  0.26) msec latency[RUN #1 83%,  25 secs]  1 threads:       93606 ops,    1726 (avg:    3743) ops/sec, 66.68KB/sec (avg: 144.58KB/sec),  0.57 (avg:  0.26) msec latency[RUN #1 87%,  26 secs]  1 threads:       95502 ops,    1895 (avg:    3672) ops/sec, 73.19KB/sec (avg: 141.83KB/sec),  0.52 (avg:  0.27) msec latency[RUN #1 90%,  27 secs]  1 threads:       97738 ops,    2235 (avg:    3619) ops/sec, 86.38KB/sec (avg: 139.78KB/sec),  0.44 (avg:  0.27) msec latency[RUN #1 93%,  28 secs]  1 threads:      100752 ops,    3013 (avg:    3597) ops/sec, 116.38KB/sec (avg: 138.95KB/sec),  0.33 (avg:  0.27) msec latency[RUN #1 97%,  29 secs]  1 threads:      102054 ops,    1301 (avg:    3518) ops/sec, 50.27KB/sec (avg: 135.89KB/sec),  0.76 (avg:  0.28) msec latency[RUN #1 100%,  30 secs]  0 threads:      104173 ops,    1301 (avg:    3472) ops/sec, 50.27KB/sec (avg: 134.10KB/sec),  0.76 (avg:  0.28) msec latency

1         Threads
1         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         315.69          ---          ---      0.27900        23.40
Gets        3156.68      1323.75      1832.94      0.28300       110.70
Totals      3472.38      1323.75      1832.94      0.28300       134.10


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     99.39816
SET       2.000     99.83106
SET       3.000     99.91553
SET       4.000     99.92609
SET       9.000     99.93665
SET      10.000     99.94721
SET      14.000     99.95777
SET      17.000     99.96832
SET      19.000     99.97888
SET      34.000     99.98944
SET      45.000    100.00000
---
GET       0.055      0.00106
GET       0.062      0.00211
GET       0.068      0.00317
GET       0.069      0.00422
GET       0.070      0.00528
GET       0.071      0.00634
GET       0.072      0.00950
GET       0.073      0.01162
GET       0.074      0.01795
GET       0.075      0.02217
GET       0.076      0.03062
GET       0.077      0.03907
GET       0.078      0.05280
GET       0.079      0.07075
GET       0.080      0.09926
GET       0.081      0.12988
GET       0.082      0.19218
GET       0.083      0.29038
GET       0.084      0.40020
GET       0.085      0.51530
GET       0.086      0.70643
GET       0.087      1.02849
GET       0.088      1.72013
GET       0.089      2.84788
GET       0.090      3.70425
GET       0.091      4.48671
GET       0.092      5.92068
GET       0.093      7.87312
GET       0.094     11.97018
GET       0.095     19.71870
GET       0.096     26.03007
GET       0.097     28.44607
GET       0.098     29.95502
GET       0.099     30.97717
GET       0.100     37.65918
GET       0.110     41.27368
GET       0.120     43.20922
GET       0.130     45.56820
GET       0.140     51.45931
GET       0.150     55.13506
GET       0.160     56.64717
GET       0.170     57.84566
GET       0.180     59.32821
GET       0.190     61.45488
GET       0.200     63.10638
GET       0.210     64.18238
GET       0.220     65.11161
GET       0.230     66.33017
GET       0.240     68.02919
GET       0.250     69.48428
GET       0.260     70.59619
GET       0.270     71.59828
GET       0.280     72.79044
GET       0.290     74.25609
GET       0.300     75.49788
GET       0.310     76.51898
GET       0.320     77.44398
GET       0.330     78.44713
GET       0.340     79.59283
GET       0.350     80.61709
GET       0.360     81.47346
GET       0.370     82.28126
GET       0.380     83.09434
GET       0.390     83.93276
GET       0.400     84.74372
GET       0.410     85.40897
GET       0.420     86.06788
GET       0.430     86.66660
GET       0.440     87.30439
GET       0.450     87.83236
GET       0.460     88.31387
GET       0.470     88.79644
GET       0.480     89.23254
GET       0.490     89.65281
GET       0.500     90.02978
GET       0.510     90.37296
GET       0.520     90.68552
GET       0.530     90.96957
GET       0.540     91.30008
GET       0.550     91.57990
GET       0.560     91.81855
GET       0.570     92.03290
GET       0.580     92.26310
GET       0.590     92.46795
GET       0.600     92.65591
GET       0.610     92.83753
GET       0.620     93.01282
GET       0.630     93.19655
GET       0.640     93.34544
GET       0.650     93.49433
GET       0.660     93.62421
GET       0.670     93.76148
GET       0.680     93.87658
GET       0.690     93.98218
GET       0.700     94.10678
GET       0.710     94.23455
GET       0.720     94.34436
GET       0.730     94.44996
GET       0.740     94.56506
GET       0.750     94.67171
GET       0.760     94.76674
GET       0.770     94.88290
GET       0.780     94.97793
GET       0.790     95.07297
GET       0.800     95.16272
GET       0.810     95.24931
GET       0.820     95.33906
GET       0.830     95.42354
GET       0.840     95.50379
GET       0.850     95.57982
GET       0.860     95.65901
GET       0.870     95.74138
GET       0.880     95.82585
GET       0.890     95.90822
GET       0.900     95.97791
GET       0.910     96.04866
GET       0.920     96.11413
GET       0.930     96.19121
GET       0.940     96.27569
GET       0.950     96.33482
GET       0.960     96.40557
GET       0.970     96.47948
GET       0.980     96.54178
GET       0.990     96.60514
GET       1.000     96.94727
GET       1.100     97.49002
GET       1.200     97.90501
GET       1.300     98.26297
GET       1.400     98.54385
GET       1.500     98.83529
GET       1.600     99.04543
GET       1.700     99.21966
GET       1.800     99.35165
GET       1.900     99.43929
GET       2.000     99.53750
GET       2.100     99.61247
GET       2.200     99.66843
GET       2.300     99.70011
GET       2.400     99.73179
GET       2.500     99.75291
GET       2.600     99.77614
GET       2.700     99.80148
GET       2.800     99.82049
GET       2.900     99.83844
GET       3.000     99.85006
GET       3.100     99.85850
GET       3.200     99.86906
GET       3.300     99.88068
GET       3.400     99.88279
GET       3.500     99.88701
GET       3.600     99.89335
GET       3.700     99.89969
GET       3.800     99.90074
GET       3.900     99.90602
GET       4.100     99.90919
GET       4.200     99.91236
GET       4.300     99.91552
GET       4.400     99.91975
GET       4.500     99.92397
GET       4.600     99.92503
GET       4.700     99.92714
GET       4.800     99.92925
GET       4.900     99.93031
GET       5.000     99.93136
GET       5.200     99.93348
GET       5.300     99.93453
GET       5.400     99.93664
GET       5.700     99.93770
GET       6.100     99.93876
GET       6.300     99.93981
GET       6.500     99.94087
GET       6.600     99.94298
GET       6.800     99.94509
GET       7.400     99.94615
GET       9.100     99.94720
GET      11.000     99.94826
GET      12.000     99.94931
GET      14.000     99.95143
GET      15.000     99.95248
GET      16.000     99.95354
GET      17.000     99.95671
GET      18.000     99.95987
GET      19.000     99.96093
GET      20.000     99.96199
GET      21.000     99.96304
GET      23.000     99.96410
GET      24.000     99.96515
GET      25.000     99.96621
GET      27.000     99.96727
GET      28.000     99.96938
GET      30.000     99.97043
GET      34.000     99.97255
GET      35.000     99.97360
GET      36.000     99.97466
GET      38.000     99.97571
GET      41.000     99.97677
GET      43.000     99.97783
GET      44.000     99.97888
GET      47.000     99.98099
GET      48.000     99.98205
GET      50.000     99.98310
GET      51.000     99.98416
GET      53.000     99.98522
GET      56.000     99.98627
GET      59.000     99.98733
GET      63.000     99.98944
GET      66.000     99.99050
GET      75.000     99.99155
GET      78.000     99.99261
GET      81.000     99.99366
GET      93.000     99.99472
GET     110.000     99.99683
GET     150.000     99.99789
GET     170.000     99.99894
GET     290.000    100.00000
