[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   1 secs]  1 threads:        7866 ops,    7865 (avg:    7865) ops/sec, 303.78KB/sec (avg: 303.78KB/sec),  0.12 (avg:  0.12) msec latency[RUN #1 7%,   2 secs]  1 threads:       14774 ops,    6907 (avg:    7386) ops/sec, 266.73KB/sec (avg: 285.26KB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 10%,   3 secs]  1 threads:       20223 ops,    5448 (avg:    6740) ops/sec, 210.39KB/sec (avg: 260.30KB/sec),  0.18 (avg:  0.14) msec latency[RUN #1 13%,   4 secs]  1 threads:       24212 ops,    3988 (avg:    6052) ops/sec, 154.04KB/sec (avg: 233.73KB/sec),  0.25 (avg:  0.16) msec latency[RUN #1 17%,   5 secs]  1 threads:       28832 ops,    4619 (avg:    5765) ops/sec, 178.38KB/sec (avg: 222.66KB/sec),  0.21 (avg:  0.17) msec latency[RUN #1 20%,   6 secs]  1 threads:       33429 ops,    4596 (avg:    5571) ops/sec, 177.45KB/sec (avg: 215.13KB/sec),  0.21 (avg:  0.17) msec latency[RUN #1 23%,   7 secs]  1 threads:       36781 ops,    3351 (avg:    5253) ops/sec, 129.45KB/sec (avg: 202.89KB/sec),  0.29 (avg:  0.19) msec latency[RUN #1 27%,   8 secs]  1 threads:       40395 ops,    3613 (avg:    5048) ops/sec, 139.56KB/sec (avg: 194.97KB/sec),  0.27 (avg:  0.19) msec latency[RUN #1 30%,   9 secs]  1 threads:       45294 ops,    4898 (avg:    5032) ops/sec, 189.14KB/sec (avg: 194.32KB/sec),  0.20 (avg:  0.19) msec latency[RUN #1 33%,  10 secs]  1 threads:       50293 ops,    4998 (avg:    5028) ops/sec, 193.08KB/sec (avg: 194.20KB/sec),  0.19 (avg:  0.19) msec latency[RUN #1 37%,  11 secs]  1 threads:       55133 ops,    4839 (avg:    5011) ops/sec, 186.87KB/sec (avg: 193.53KB/sec),  0.20 (avg:  0.19) msec latency[RUN #1 40%,  12 secs]  1 threads:       59793 ops,    4659 (avg:    4982) ops/sec, 179.92KB/sec (avg: 192.40KB/sec),  0.21 (avg:  0.20) msec latency[RUN #1 43%,  13 secs]  1 threads:       63437 ops,    3643 (avg:    4879) ops/sec, 140.72KB/sec (avg: 188.42KB/sec),  0.27 (avg:  0.20) msec latency[RUN #1 47%,  14 secs]  1 threads:       66314 ops,    2876 (avg:    4736) ops/sec, 111.13KB/sec (avg: 182.90KB/sec),  0.34 (avg:  0.21) msec latency[RUN #1 50%,  15 secs]  1 threads:       68639 ops,    2324 (avg:    4575) ops/sec, 89.77KB/sec (avg: 176.69KB/sec),  0.42 (avg:  0.21) msec latency[RUN #1 53%,  16 secs]  1 threads:       71412 ops,    2772 (avg:    4462) ops/sec, 107.07KB/sec (avg: 172.34KB/sec),  0.35 (avg:  0.22) msec latency[RUN #1 57%,  17 secs]  1 threads:       74236 ops,    2823 (avg:    4366) ops/sec, 109.07KB/sec (avg: 168.62KB/sec),  0.35 (avg:  0.22) msec latency[RUN #1 60%,  18 secs]  1 threads:       77849 ops,    3612 (avg:    4324) ops/sec, 139.56KB/sec (avg: 167.01KB/sec),  0.27 (avg:  0.23) msec latency[RUN #1 63%,  19 secs]  1 threads:       81126 ops,    3276 (avg:    4269) ops/sec, 126.53KB/sec (avg: 164.88KB/sec),  0.30 (avg:  0.23) msec latency[RUN #1 67%,  20 secs]  1 threads:       84529 ops,    3402 (avg:    4226) ops/sec, 131.39KB/sec (avg: 163.20KB/sec),  0.29 (avg:  0.23) msec latency[RUN #1 70%,  21 secs]  1 threads:       87020 ops,    2490 (avg:    4143) ops/sec, 96.17KB/sec (avg: 160.01KB/sec),  0.39 (avg:  0.24) msec latency[RUN #1 73%,  22 secs]  1 threads:       89502 ops,    2481 (avg:    4067) ops/sec, 95.86KB/sec (avg: 157.09KB/sec),  0.40 (avg:  0.24) msec latency[RUN #1 77%,  23 secs]  1 threads:       91798 ops,    2295 (avg:    3990) ops/sec, 88.67KB/sec (avg: 154.12KB/sec),  0.43 (avg:  0.24) msec latency[RUN #1 80%,  24 secs]  1 threads:       94282 ops,    2483 (avg:    3928) ops/sec, 95.92KB/sec (avg: 151.69KB/sec),  0.40 (avg:  0.25) msec latency[RUN #1 83%,  25 secs]  1 threads:       97171 ops,    2888 (avg:    3886) ops/sec, 111.54KB/sec (avg: 150.09KB/sec),  0.34 (avg:  0.25) msec latency[RUN #1 87%,  26 secs]  1 threads:      100295 ops,    3123 (avg:    3857) ops/sec, 120.62KB/sec (avg: 148.95KB/sec),  0.31 (avg:  0.25) msec latency[RUN #1 90%,  27 secs]  1 threads:      103110 ops,    2814 (avg:    3818) ops/sec, 108.71KB/sec (avg: 147.46KB/sec),  0.35 (avg:  0.26) msec latency[RUN #1 93%,  28 secs]  1 threads:      106105 ops,    2994 (avg:    3789) ops/sec, 115.65KB/sec (avg: 146.33KB/sec),  0.33 (avg:  0.26) msec latency[RUN #1 97%,  29 secs]  1 threads:      109583 ops,    3477 (avg:    3778) ops/sec, 134.34KB/sec (avg: 145.91KB/sec),  0.28 (avg:  0.26) msec latency[RUN #1 100%,  30 secs]  0 threads:      115279 ops,    3477 (avg:    3842) ops/sec, 134.34KB/sec (avg: 148.39KB/sec),  0.28 (avg:  0.25) msec latency

1         Threads
1         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         349.33          ---          ---      0.26100        25.89
Gets        3493.28      1416.36      2076.92      0.25300       122.50
Totals      3842.62      1416.36      2076.92      0.25400       148.40


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.055      0.00095
GET       0.059      0.00191
GET       0.060      0.00286
GET       0.062      0.00859
GET       0.063      0.01622
GET       0.064      0.02863
GET       0.065      0.03721
GET       0.066      0.05248
GET       0.067      0.06489
GET       0.068      0.08588
GET       0.069      0.10592
GET       0.070      0.13168
GET       0.071      0.17271
GET       0.072      0.20515
GET       0.073      0.24237
GET       0.074      0.28435
GET       0.075      0.33779
GET       0.076      0.39409
GET       0.077      0.45325
GET       0.078      0.53436
GET       0.079      0.60020
GET       0.080      0.68321
GET       0.081      0.76337
GET       0.082      0.86070
GET       0.083      0.98665
GET       0.084      1.12310
GET       0.085      1.27196
GET       0.086      1.43131
GET       0.087      1.64887
GET       0.088      1.87216
GET       0.089      2.11834
GET       0.090      2.40269
GET       0.091      2.74048
GET       0.092      3.16988
GET       0.093      3.74336
GET       0.094      4.51340
GET       0.095      5.34165
GET       0.096      6.01914
GET       0.097      6.58689
GET       0.098      7.11457
GET       0.099      7.59645
GET       0.100      9.91517
GET       0.110     13.67952
GET       0.120     16.85703
GET       0.130     20.38187
GET       0.140     25.97162
GET       0.150     30.97167
GET       0.160     34.56140
GET       0.170     37.60627
GET       0.180     40.75516
GET       0.190     44.60157
GET       0.200     47.99282
GET       0.210     50.84113
GET       0.220     53.28009
GET       0.230     55.68755
GET       0.240     58.17040
GET       0.250     60.55210
GET       0.260     62.65899
GET       0.270     64.74012
GET       0.280     66.86991
GET       0.290     68.98825
GET       0.300     70.88713
GET       0.310     72.68104
GET       0.320     74.43964
GET       0.330     76.08183
GET       0.340     77.68967
GET       0.350     79.17919
GET       0.360     80.56184
GET       0.370     81.89105
GET       0.380     83.15251
GET       0.390     84.42638
GET       0.400     85.56189
GET       0.410     86.57621
GET       0.420     87.59435
GET       0.430     88.53138
GET       0.440     89.43978
GET       0.450     90.30143
GET       0.460     91.03522
GET       0.470     91.74420
GET       0.480     92.44077
GET       0.490     93.05528
GET       0.500     93.62780
GET       0.510     94.12304
GET       0.520     94.60396
GET       0.530     95.03907
GET       0.540     95.42839
GET       0.550     95.76523
GET       0.560     96.10970
GET       0.570     96.41600
GET       0.580     96.70417
GET       0.590     96.95608
GET       0.600     97.16314
GET       0.610     97.34826
GET       0.620     97.54005
GET       0.630     97.74425
GET       0.640     97.90265
GET       0.650     98.07155
GET       0.660     98.22136
GET       0.670     98.34827
GET       0.680     98.46182
GET       0.690     98.58014
GET       0.700     98.67842
GET       0.710     98.77289
GET       0.720     98.86163
GET       0.730     98.92175
GET       0.740     99.00190
GET       0.750     99.06774
GET       0.760     99.11068
GET       0.770     99.16411
GET       0.780     99.22614
GET       0.790     99.27766
GET       0.800     99.32060
GET       0.810     99.36164
GET       0.820     99.39694
GET       0.830     99.42843
GET       0.840     99.45801
GET       0.850     99.48759
GET       0.860     99.51145
GET       0.870     99.54103
GET       0.880     99.56679
GET       0.890     99.58683
GET       0.900     99.60877
GET       0.910     99.62881
GET       0.920     99.64694
GET       0.930     99.67462
GET       0.940     99.68893
GET       0.950     99.70324
GET       0.960     99.71469
GET       0.970     99.72710
GET       0.980     99.73759
GET       0.990     99.74904
GET       1.000     99.80343
GET       1.100     99.86164
GET       1.200     99.90076
GET       1.300     99.92557
GET       1.400     99.94370
GET       1.500     99.95324
GET       1.600     99.96565
GET       1.700     99.97328
GET       1.800     99.97901
GET       1.900     99.98378
GET       2.000     99.98473
GET       2.100     99.98760
GET       2.200     99.99046
GET       2.300     99.99141
GET       2.400     99.99427
GET       2.500     99.99523
GET       2.800     99.99714
GET       2.900     99.99809
GET       3.500     99.99905
GET       3.900    100.00000
