[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   1 secs]  1 threads:        6593 ops,    6592 (avg:    6592) ops/sec, 254.62KB/sec (avg: 254.62KB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 7%,   2 secs]  1 threads:        8379 ops,    1785 (avg:    4189) ops/sec, 68.94KB/sec (avg: 161.78KB/sec),  0.55 (avg:  0.23) msec latency[RUN #1 10%,   3 secs]  1 threads:       10871 ops,    2491 (avg:    3623) ops/sec, 96.25KB/sec (avg: 139.93KB/sec),  0.39 (avg:  0.27) msec latency[RUN #1 13%,   4 secs]  1 threads:       12932 ops,    2060 (avg:    3232) ops/sec, 79.58KB/sec (avg: 124.84KB/sec),  0.48 (avg:  0.30) msec latency[RUN #1 17%,   5 secs]  1 threads:       14743 ops,    1810 (avg:    2948) ops/sec, 69.93KB/sec (avg: 113.86KB/sec),  0.55 (avg:  0.33) msec latency[RUN #1 20%,   6 secs]  1 threads:       18070 ops,    3326 (avg:    3011) ops/sec, 128.45KB/sec (avg: 116.29KB/sec),  0.29 (avg:  0.33) msec latency[RUN #1 23%,   7 secs]  1 threads:       22098 ops,    4027 (avg:    3156) ops/sec, 155.53KB/sec (avg: 121.90KB/sec),  0.24 (avg:  0.31) msec latency[RUN #1 27%,   8 secs]  1 threads:       25426 ops,    3327 (avg:    3177) ops/sec, 128.51KB/sec (avg: 122.72KB/sec),  0.29 (avg:  0.31) msec latency[RUN #1 30%,   9 secs]  1 threads:       28123 ops,    2696 (avg:    3124) ops/sec, 104.12KB/sec (avg: 120.66KB/sec),  0.36 (avg:  0.31) msec latency[RUN #1 33%,  10 secs]  1 threads:       30307 ops,    2183 (avg:    3030) ops/sec, 84.36KB/sec (avg: 117.03KB/sec),  0.45 (avg:  0.32) msec latency[RUN #1 37%,  11 secs]  1 threads:       32965 ops,    2657 (avg:    2996) ops/sec, 102.59KB/sec (avg: 115.71KB/sec),  0.37 (avg:  0.33) msec latency[RUN #1 40%,  12 secs]  1 threads:       36527 ops,    3561 (avg:    3043) ops/sec, 137.54KB/sec (avg: 117.53KB/sec),  0.27 (avg:  0.32) msec latency[RUN #1 43%,  13 secs]  1 threads:       41399 ops,    4871 (avg:    3184) ops/sec, 188.12KB/sec (avg: 122.96KB/sec),  0.20 (avg:  0.31) msec latency[RUN #1 47%,  14 secs]  1 threads:       44207 ops,    2807 (avg:    3157) ops/sec, 108.40KB/sec (avg: 121.92KB/sec),  0.35 (avg:  0.31) msec latency[RUN #1 50%,  15 secs]  1 threads:       47750 ops,    3542 (avg:    3183) ops/sec, 136.83KB/sec (avg: 122.92KB/sec),  0.28 (avg:  0.31) msec latency[RUN #1 53%,  16 secs]  1 threads:       51535 ops,    3784 (avg:    3220) ops/sec, 146.16KB/sec (avg: 124.37KB/sec),  0.26 (avg:  0.30) msec latency[RUN #1 57%,  17 secs]  1 threads:       56087 ops,    4551 (avg:    3298) ops/sec, 175.77KB/sec (avg: 127.39KB/sec),  0.21 (avg:  0.30) msec latency[RUN #1 60%,  18 secs]  1 threads:       60172 ops,    4084 (avg:    3342) ops/sec, 157.76KB/sec (avg: 129.08KB/sec),  0.24 (avg:  0.29) msec latency[RUN #1 63%,  19 secs]  1 threads:       64986 ops,    4813 (avg:    3419) ops/sec, 185.90KB/sec (avg: 132.07KB/sec),  0.20 (avg:  0.29) msec latency[RUN #1 67%,  20 secs]  1 threads:       70243 ops,    5256 (avg:    3511) ops/sec, 203.02KB/sec (avg: 135.62KB/sec),  0.18 (avg:  0.28) msec latency[RUN #1 70%,  21 secs]  1 threads:       74175 ops,    3931 (avg:    3531) ops/sec, 151.85KB/sec (avg: 136.39KB/sec),  0.25 (avg:  0.28) msec latency[RUN #1 73%,  22 secs]  1 threads:       80970 ops,    6794 (avg:    3680) ops/sec, 262.37KB/sec (avg: 142.12KB/sec),  0.14 (avg:  0.27) msec latency[RUN #1 77%,  23 secs]  1 threads:       88144 ops,    7173 (avg:    3831) ops/sec, 277.07KB/sec (avg: 147.98KB/sec),  0.14 (avg:  0.26) msec latency[RUN #1 80%,  24 secs]  1 threads:       95854 ops,    7709 (avg:    3993) ops/sec, 297.67KB/sec (avg: 154.22KB/sec),  0.13 (avg:  0.24) msec latency[RUN #1 83%,  25 secs]  1 threads:      104044 ops,    8189 (avg:    4161) ops/sec, 316.28KB/sec (avg: 160.70KB/sec),  0.12 (avg:  0.23) msec latency[RUN #1 87%,  26 secs]  1 threads:      112301 ops,    8256 (avg:    4318) ops/sec, 318.86KB/sec (avg: 166.79KB/sec),  0.12 (avg:  0.23) msec latency[RUN #1 90%,  27 secs]  1 threads:      120727 ops,    8425 (avg:    4470) ops/sec, 325.44KB/sec (avg: 172.66KB/sec),  0.11 (avg:  0.22) msec latency[RUN #1 93%,  28 secs]  1 threads:      129875 ops,    9147 (avg:    4637) ops/sec, 353.22KB/sec (avg: 179.11KB/sec),  0.11 (avg:  0.21) msec latency[RUN #1 97%,  29 secs]  1 threads:      139446 ops,    9570 (avg:    4808) ops/sec, 369.57KB/sec (avg: 185.68KB/sec),  0.10 (avg:  0.20) msec latency[RUN #1 100%,  30 secs]  0 threads:      149443 ops,    9570 (avg:    4981) ops/sec, 369.57KB/sec (avg: 192.38KB/sec),  0.10 (avg:  0.20) msec latency

1         Threads
1         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         452.87          ---          ---      0.20300        33.57
Gets        4528.56      2138.19      2390.36      0.19400       158.81
Totals      4981.42      2138.19      2390.36      0.19500       192.38


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.064      0.00147
GET       0.065      0.00515
GET       0.066      0.00810
GET       0.067      0.01399
GET       0.068      0.02871
GET       0.069      0.05300
GET       0.070      0.10379
GET       0.071      0.17077
GET       0.072      0.25762
GET       0.073      0.36141
GET       0.074      0.46151
GET       0.075      0.55941
GET       0.076      0.64480
GET       0.077      0.72871
GET       0.078      0.82881
GET       0.079      0.93039
GET       0.080      1.03123
GET       0.081      1.15857
GET       0.082      1.30137
GET       0.083      1.43680
GET       0.084      1.61641
GET       0.085      1.81588
GET       0.086      2.05289
GET       0.087      2.32892
GET       0.088      2.66457
GET       0.089      3.03702
GET       0.090      3.55079
GET       0.091      4.28686
GET       0.092      5.64270
GET       0.093      9.14933
GET       0.094     18.90002
GET       0.095     26.39319
GET       0.096     28.99961
GET       0.097     30.32306
GET       0.098     31.39330
GET       0.099     32.35387
GET       0.100     36.59878
GET       0.110     42.36587
GET       0.120     45.93580
GET       0.130     49.20615
GET       0.140     57.76662
GET       0.150     63.15022
GET       0.160     65.80964
GET       0.170     67.94792
GET       0.180     69.86979
GET       0.190     72.77358
GET       0.200     74.97737
GET       0.210     76.52016
GET       0.220     77.85392
GET       0.230     79.19577
GET       0.240     80.74961
GET       0.250     82.16801
GET       0.260     83.25666
GET       0.270     84.14289
GET       0.280     85.01513
GET       0.290     85.95214
GET       0.300     86.72354
GET       0.310     87.35656
GET       0.320     87.91082
GET       0.330     88.45036
GET       0.340     88.98180
GET       0.350     89.43595
GET       0.360     89.86508
GET       0.370     90.24415
GET       0.380     90.63059
GET       0.390     91.03690
GET       0.400     91.39095
GET       0.410     91.72659
GET       0.420     92.06151
GET       0.430     92.35004
GET       0.440     92.63122
GET       0.450     92.90798
GET       0.460     93.13985
GET       0.470     93.37686
GET       0.480     93.58885
GET       0.490     93.82954
GET       0.500     94.04300
GET       0.510     94.26897
GET       0.520     94.44931
GET       0.530     94.65173
GET       0.540     94.81366
GET       0.550     94.97634
GET       0.560     95.15667
GET       0.570     95.29653
GET       0.580     95.46582
GET       0.590     95.63070
GET       0.600     95.76540
GET       0.610     95.91482
GET       0.620     96.05836
GET       0.630     96.20262
GET       0.640     96.32776
GET       0.650     96.43743
GET       0.660     96.56035
GET       0.670     96.67224
GET       0.680     96.78633
GET       0.690     96.89453
GET       0.700     97.00715
GET       0.710     97.11829
GET       0.720     97.22134
GET       0.730     97.31630
GET       0.740     97.42008
GET       0.750     97.50915
GET       0.760     97.59232
GET       0.770     97.67034
GET       0.780     97.75205
GET       0.790     97.82492
GET       0.800     97.89485
GET       0.810     97.97949
GET       0.820     98.05531
GET       0.830     98.11935
GET       0.840     98.17970
GET       0.850     98.24669
GET       0.860     98.30704
GET       0.870     98.36740
GET       0.880     98.42997
GET       0.890     98.48444
GET       0.900     98.53670
GET       0.910     98.58896
GET       0.920     98.64122
GET       0.930     98.69642
GET       0.940     98.73544
GET       0.950     98.77592
GET       0.960     98.83112
GET       0.970     98.86793
GET       0.980     98.90179
GET       0.990     98.94521
GET       1.000     99.14690
GET       1.100     99.40231
GET       1.200     99.60400
GET       1.300     99.71146
GET       1.400     99.80273
GET       1.500     99.86604
GET       1.600     99.90578
GET       1.700     99.93523
GET       1.800     99.95216
GET       1.900     99.96025
GET       2.000     99.96909
GET       2.100     99.97939
GET       2.200     99.98381
GET       2.300     99.98601
GET       2.400     99.98970
GET       2.500     99.99043
GET       2.600     99.99264
GET       2.700     99.99411
GET       2.800     99.99706
GET       2.900     99.99853
GET       3.100     99.99926
GET       3.300    100.00000
