[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   1 secs]  1 threads:        8857 ops,    8856 (avg:    8856) ops/sec, 342.05KB/sec (avg: 342.05KB/sec),  0.11 (avg:  0.11) msec latency[RUN #1 7%,   2 secs]  1 threads:       17100 ops,    8242 (avg:    8549) ops/sec, 318.28KB/sec (avg: 330.16KB/sec),  0.12 (avg:  0.11) msec latency[RUN #1 10%,   3 secs]  1 threads:       25092 ops,    7991 (avg:    8363) ops/sec, 308.59KB/sec (avg: 322.97KB/sec),  0.12 (avg:  0.12) msec latency[RUN #1 13%,   4 secs]  1 threads:       32786 ops,    7693 (avg:    8195) ops/sec, 297.05KB/sec (avg: 316.49KB/sec),  0.13 (avg:  0.12) msec latency[RUN #1 17%,   5 secs]  1 threads:       39947 ops,    7160 (avg:    7988) ops/sec, 276.50KB/sec (avg: 308.49KB/sec),  0.14 (avg:  0.12) msec latency[RUN #1 20%,   6 secs]  1 threads:       46947 ops,    6999 (avg:    7823) ops/sec, 270.28KB/sec (avg: 302.12KB/sec),  0.14 (avg:  0.12) msec latency[RUN #1 23%,   7 secs]  1 threads:       53708 ops,    6760 (avg:    7671) ops/sec, 261.09KB/sec (avg: 296.26KB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 27%,   8 secs]  1 threads:       60211 ops,    6502 (avg:    7525) ops/sec, 251.10KB/sec (avg: 290.62KB/sec),  0.15 (avg:  0.13) msec latency[RUN #1 30%,   9 secs]  1 threads:       66223 ops,    6011 (avg:    7357) ops/sec, 232.20KB/sec (avg: 284.13KB/sec),  0.16 (avg:  0.13) msec latency[RUN #1 33%,  10 secs]  1 threads:       70852 ops,    4628 (avg:    7084) ops/sec, 178.76KB/sec (avg: 273.59KB/sec),  0.21 (avg:  0.14) msec latency[RUN #1 37%,  11 secs]  1 threads:       74434 ops,    3581 (avg:    6766) ops/sec, 138.30KB/sec (avg: 261.29KB/sec),  0.27 (avg:  0.14) msec latency[RUN #1 40%,  12 secs]  1 threads:       77523 ops,    3088 (avg:    6459) ops/sec, 119.30KB/sec (avg: 249.46KB/sec),  0.32 (avg:  0.15) msec latency[RUN #1 43%,  13 secs]  1 threads:       81089 ops,    3565 (avg:    6237) ops/sec, 137.68KB/sec (avg: 240.86KB/sec),  0.27 (avg:  0.16) msec latency[RUN #1 47%,  14 secs]  1 threads:       83814 ops,    2724 (avg:    5986) ops/sec, 105.24KB/sec (avg: 231.17KB/sec),  0.36 (avg:  0.16) msec latency[RUN #1 50%,  15 secs]  1 threads:       86230 ops,    2415 (avg:    5748) ops/sec, 93.30KB/sec (avg: 221.98KB/sec),  0.41 (avg:  0.17) msec latency[RUN #1 53%,  16 secs]  1 threads:       88476 ops,    2245 (avg:    5529) ops/sec, 86.74KB/sec (avg: 213.53KB/sec),  0.44 (avg:  0.18) msec latency[RUN #1 57%,  17 secs]  1 threads:       91086 ops,    2609 (avg:    5357) ops/sec, 100.76KB/sec (avg: 206.90KB/sec),  0.38 (avg:  0.18) msec latency[RUN #1 60%,  18 secs]  1 threads:       94061 ops,    2974 (avg:    5225) ops/sec, 114.87KB/sec (avg: 201.78KB/sec),  0.33 (avg:  0.19) msec latency[RUN #1 63%,  19 secs]  1 threads:       97603 ops,    3541 (avg:    5136) ops/sec, 136.77KB/sec (avg: 198.36KB/sec),  0.28 (avg:  0.19) msec latency[RUN #1 67%,  20 secs]  1 threads:      100148 ops,    2544 (avg:    5006) ops/sec, 98.29KB/sec (avg: 193.36KB/sec),  0.39 (avg:  0.19) msec latency[RUN #1 70%,  21 secs]  1 threads:      103116 ops,    2967 (avg:    4909) ops/sec, 114.62KB/sec (avg: 189.61KB/sec),  0.33 (avg:  0.20) msec latency[RUN #1 73%,  22 secs]  1 threads:      105924 ops,    2807 (avg:    4814) ops/sec, 108.43KB/sec (avg: 185.92KB/sec),  0.35 (avg:  0.20) msec latency[RUN #1 77%,  23 secs]  1 threads:      108403 ops,    2478 (avg:    4712) ops/sec, 95.72KB/sec (avg: 182.00KB/sec),  0.40 (avg:  0.21) msec latency[RUN #1 80%,  24 secs]  1 threads:      111880 ops,    3476 (avg:    4661) ops/sec, 134.24KB/sec (avg: 180.01KB/sec),  0.28 (avg:  0.21) msec latency[RUN #1 83%,  25 secs]  1 threads:      115758 ops,    3877 (avg:    4629) ops/sec, 149.79KB/sec (avg: 178.80KB/sec),  0.25 (avg:  0.21) msec latency[RUN #1 87%,  26 secs]  1 threads:      119216 ops,    3457 (avg:    4584) ops/sec, 133.54KB/sec (avg: 177.06KB/sec),  0.28 (avg:  0.21) msec latency[RUN #1 90%,  27 secs]  1 threads:      122848 ops,    3631 (avg:    4549) ops/sec, 140.26KB/sec (avg: 175.69KB/sec),  0.27 (avg:  0.21) msec latency[RUN #1 93%,  28 secs]  1 threads:      125603 ops,    2754 (avg:    4485) ops/sec, 106.41KB/sec (avg: 173.22KB/sec),  0.36 (avg:  0.22) msec latency[RUN #1 97%,  29 secs]  1 threads:      128329 ops,    2725 (avg:    4424) ops/sec, 105.27KB/sec (avg: 170.88KB/sec),  0.36 (avg:  0.22) msec latency[RUN #1 100%,  30 secs]  0 threads:      131012 ops,    2725 (avg:    4367) ops/sec, 105.27KB/sec (avg: 168.65KB/sec),  0.36 (avg:  0.22) msec latency

1         Threads
1         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         397.03          ---          ---      0.22600        29.43
Gets        3970.02      1692.89      2277.13      0.22300       139.22
Totals      4367.05      1692.89      2277.13      0.22300       168.65


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     99.99160
SET       2.000    100.00000
---
GET       0.058      0.00084
GET       0.059      0.00336
GET       0.060      0.00672
GET       0.061      0.01092
GET       0.062      0.01847
GET       0.063      0.02939
GET       0.064      0.03694
GET       0.065      0.05290
GET       0.066      0.07641
GET       0.067      0.10999
GET       0.068      0.15365
GET       0.069      0.20487
GET       0.070      0.25944
GET       0.071      0.32493
GET       0.072      0.40218
GET       0.073      0.46851
GET       0.074      0.57346
GET       0.075      0.68093
GET       0.076      0.77497
GET       0.077      0.88916
GET       0.078      1.02182
GET       0.079      1.17295
GET       0.080      1.31065
GET       0.081      1.47606
GET       0.082      1.68009
GET       0.083      1.88999
GET       0.084      2.11669
GET       0.085      2.35514
GET       0.086      2.66580
GET       0.087      3.01341
GET       0.088      3.38452
GET       0.089      3.79930
GET       0.090      4.31818
GET       0.091      4.91851
GET       0.092      5.79172
GET       0.093      6.93865
GET       0.094      8.99153
GET       0.095     12.05867
GET       0.096     14.22238
GET       0.097     15.36847
GET       0.098     16.48769
GET       0.099     17.53050
GET       0.100     22.42383
GET       0.110     30.25919
GET       0.120     36.84688
GET       0.130     42.79645
GET       0.140     49.83417
GET       0.150     54.89375
GET       0.160     58.34376
GET       0.170     61.05994
GET       0.180     63.57461
GET       0.190     65.95495
GET       0.200     67.99859
GET       0.210     69.76852
GET       0.220     71.32770
GET       0.230     72.87596
GET       0.240     74.38141
GET       0.250     75.77266
GET       0.260     76.95905
GET       0.270     78.10262
GET       0.280     79.14627
GET       0.290     80.15214
GET       0.300     81.02619
GET       0.310     81.79025
GET       0.320     82.48042
GET       0.330     83.14960
GET       0.340     83.78603
GET       0.350     84.36957
GET       0.360     84.85571
GET       0.370     85.35193
GET       0.380     85.85150
GET       0.390     86.34017
GET       0.400     86.74234
GET       0.410     87.12605
GET       0.420     87.55342
GET       0.430     87.94049
GET       0.440     88.32587
GET       0.450     88.66256
GET       0.460     89.02612
GET       0.470     89.40647
GET       0.480     89.75156
GET       0.490     90.12771
GET       0.500     90.45180
GET       0.510     90.77841
GET       0.520     91.12350
GET       0.530     91.47362
GET       0.540     91.83466
GET       0.550     92.16127
GET       0.560     92.42660
GET       0.570     92.69192
GET       0.580     92.98746
GET       0.590     93.28385
GET       0.600     93.56345
GET       0.610     93.81449
GET       0.620     94.08737
GET       0.630     94.38880
GET       0.640     94.63145
GET       0.650     94.85479
GET       0.660     95.07645
GET       0.670     95.32330
GET       0.680     95.56259
GET       0.690     95.76914
GET       0.700     95.95637
GET       0.710     96.14445
GET       0.720     96.36359
GET       0.730     96.57434
GET       0.740     96.73974
GET       0.750     96.90263
GET       0.760     97.06636
GET       0.770     97.22169
GET       0.780     97.38121
GET       0.790     97.51807
GET       0.800     97.65661
GET       0.810     97.78004
GET       0.820     97.91270
GET       0.830     98.04368
GET       0.840     98.15787
GET       0.850     98.25526
GET       0.860     98.34762
GET       0.870     98.44838
GET       0.880     98.54073
GET       0.890     98.62722
GET       0.900     98.70194
GET       0.910     98.75988
GET       0.920     98.84804
GET       0.930     98.90261
GET       0.940     98.97062
GET       0.950     99.02604
GET       0.960     99.06214
GET       0.970     99.11923
GET       0.980     99.17129
GET       0.990     99.23007
GET       1.000     99.46936
GET       1.100     99.68850
GET       1.200     99.82452
GET       1.300     99.90260
GET       1.400     99.93619
GET       1.500     99.96558
GET       1.600     99.97649
GET       1.700     99.98489
GET       1.800     99.99328
GET       1.900     99.99412
GET       2.200     99.99496
GET       2.300     99.99664
GET       2.500     99.99748
GET       2.600     99.99832
GET       3.400     99.99916
GET       3.800    100.00000
