[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   1 secs]  1 threads:        7327 ops,    7326 (avg:    7326) ops/sec, 282.97KB/sec (avg: 282.97KB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 7%,   2 secs]  1 threads:       14254 ops,    6926 (avg:    7126) ops/sec, 267.43KB/sec (avg: 275.20KB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 10%,   3 secs]  1 threads:       20644 ops,    6389 (avg:    6880) ops/sec, 246.73KB/sec (avg: 265.71KB/sec),  0.15 (avg:  0.14) msec latency[RUN #1 13%,   4 secs]  1 threads:       26649 ops,    6004 (avg:    6661) ops/sec, 231.87KB/sec (avg: 257.25KB/sec),  0.16 (avg:  0.15) msec latency[RUN #1 17%,   5 secs]  1 threads:       32072 ops,    5422 (avg:    6413) ops/sec, 209.39KB/sec (avg: 247.68KB/sec),  0.18 (avg:  0.15) msec latency[RUN #1 20%,   6 secs]  1 threads:       36356 ops,    4283 (avg:    6058) ops/sec, 165.44KB/sec (avg: 233.97KB/sec),  0.23 (avg:  0.16) msec latency[RUN #1 23%,   7 secs]  1 threads:       39746 ops,    3389 (avg:    5677) ops/sec, 130.88KB/sec (avg: 219.24KB/sec),  0.29 (avg:  0.17) msec latency[RUN #1 27%,   8 secs]  1 threads:       42750 ops,    3003 (avg:    5343) ops/sec, 115.99KB/sec (avg: 206.34KB/sec),  0.33 (avg:  0.18) msec latency[RUN #1 30%,   9 secs]  1 threads:       45727 ops,    2976 (avg:    5080) ops/sec, 114.92KB/sec (avg: 196.18KB/sec),  0.33 (avg:  0.19) msec latency[RUN #1 33%,  10 secs]  1 threads:       47943 ops,    2215 (avg:    4793) ops/sec, 85.60KB/sec (avg: 185.12KB/sec),  0.44 (avg:  0.20) msec latency[RUN #1 37%,  11 secs]  1 threads:       50891 ops,    2947 (avg:    4626) ops/sec, 113.84KB/sec (avg: 178.64KB/sec),  0.33 (avg:  0.21) msec latency[RUN #1 40%,  12 secs]  1 threads:       52880 ops,    1988 (avg:    4406) ops/sec, 76.80KB/sec (avg: 170.16KB/sec),  0.50 (avg:  0.22) msec latency[RUN #1 43%,  13 secs]  1 threads:       56826 ops,    3945 (avg:    4370) ops/sec, 152.35KB/sec (avg: 168.79KB/sec),  0.25 (avg:  0.22) msec latency[RUN #1 47%,  14 secs]  1 threads:       59310 ops,    2483 (avg:    4236) ops/sec, 95.92KB/sec (avg: 163.58KB/sec),  0.40 (avg:  0.23) msec latency[RUN #1 50%,  15 secs]  1 threads:       62628 ops,    3317 (avg:    4174) ops/sec, 128.14KB/sec (avg: 161.22KB/sec),  0.29 (avg:  0.23) msec latency[RUN #1 53%,  16 secs]  1 threads:       64544 ops,    1915 (avg:    4033) ops/sec, 74.01KB/sec (avg: 155.77KB/sec),  0.51 (avg:  0.24) msec latency[RUN #1 57%,  17 secs]  1 threads:       66847 ops,    2302 (avg:    3931) ops/sec, 88.91KB/sec (avg: 151.83KB/sec),  0.43 (avg:  0.25) msec latency[RUN #1 60%,  18 secs]  1 threads:       68831 ops,    1983 (avg:    3823) ops/sec, 76.64KB/sec (avg: 147.66KB/sec),  0.50 (avg:  0.26) msec latency[RUN #1 63%,  19 secs]  1 threads:       71068 ops,    2236 (avg:    3740) ops/sec, 86.37KB/sec (avg: 144.43KB/sec),  0.44 (avg:  0.26) msec latency[RUN #1 67%,  20 secs]  1 threads:       73747 ops,    2678 (avg:    3686) ops/sec, 103.47KB/sec (avg: 142.38KB/sec),  0.37 (avg:  0.27) msec latency[RUN #1 70%,  21 secs]  1 threads:       75726 ops,    1978 (avg:    3605) ops/sec, 76.43KB/sec (avg: 139.24KB/sec),  0.50 (avg:  0.27) msec latency[RUN #1 73%,  22 secs]  1 threads:       78235 ops,    2508 (avg:    3555) ops/sec, 96.89KB/sec (avg: 137.32KB/sec),  0.39 (avg:  0.28) msec latency[RUN #1 77%,  23 secs]  1 threads:       80470 ops,    2234 (avg:    3498) ops/sec, 86.29KB/sec (avg: 135.10KB/sec),  0.44 (avg:  0.28) msec latency[RUN #1 80%,  24 secs]  1 threads:       82691 ops,    2220 (avg:    3445) ops/sec, 85.77KB/sec (avg: 133.04KB/sec),  0.44 (avg:  0.28) msec latency[RUN #1 83%,  25 secs]  1 threads:       84652 ops,    1960 (avg:    3385) ops/sec, 75.71KB/sec (avg: 130.75KB/sec),  0.50 (avg:  0.29) msec latency[RUN #1 87%,  26 secs]  1 threads:       87138 ops,    2485 (avg:    3351) ops/sec, 96.00KB/sec (avg: 129.41KB/sec),  0.40 (avg:  0.29) msec latency[RUN #1 90%,  27 secs]  1 threads:       89638 ops,    2499 (avg:    3319) ops/sec, 96.53KB/sec (avg: 128.20KB/sec),  0.39 (avg:  0.30) msec latency[RUN #1 93%,  28 secs]  1 threads:       91974 ops,    2335 (avg:    3284) ops/sec, 90.22KB/sec (avg: 126.84KB/sec),  0.42 (avg:  0.30) msec latency[RUN #1 97%,  29 secs]  1 threads:       94669 ops,    2694 (avg:    3264) ops/sec, 104.06KB/sec (avg: 126.05KB/sec),  0.36 (avg:  0.30) msec latency[RUN #1 100%,  30 secs]  0 threads:       97437 ops,    2694 (avg:    3247) ops/sec, 104.06KB/sec (avg: 125.43KB/sec),  0.36 (avg:  0.30) msec latency

1         Threads
1         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         295.27          ---          ---      0.30800        21.89
Gets        2952.62      1093.86      1858.76      0.30100       103.54
Totals      3247.89      1093.86      1858.76      0.30100       125.43


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.062      0.00113
GET       0.063      0.00564
GET       0.064      0.01129
GET       0.065      0.01693
GET       0.066      0.02032
GET       0.067      0.03500
GET       0.068      0.04629
GET       0.069      0.06096
GET       0.070      0.07564
GET       0.071      0.09822
GET       0.072      0.11741
GET       0.073      0.13999
GET       0.074      0.17160
GET       0.075      0.19531
GET       0.076      0.24046
GET       0.077      0.29465
GET       0.078      0.35110
GET       0.079      0.40642
GET       0.080      0.47641
GET       0.081      0.57011
GET       0.082      0.66720
GET       0.083      0.78009
GET       0.084      0.93363
GET       0.085      1.12103
GET       0.086      1.30279
GET       0.087      1.54100
GET       0.088      1.84242
GET       0.089      2.15627
GET       0.090      2.52995
GET       0.091      2.92846
GET       0.092      3.45680
GET       0.093      4.10820
GET       0.094      5.01925
GET       0.095      5.94159
GET       0.096      6.79732
GET       0.097      7.47017
GET       0.098      8.04254
GET       0.099      8.56072
GET       0.100     10.71586
GET       0.110     13.92542
GET       0.120     16.63600
GET       0.130     19.95507
GET       0.140     25.75554
GET       0.150     30.46998
GET       0.160     33.25280
GET       0.170     35.60099
GET       0.180     37.92547
GET       0.190     41.29083
GET       0.200     43.99801
GET       0.210     45.95785
GET       0.220     47.61851
GET       0.230     49.44851
GET       0.240     51.87573
GET       0.250     53.80508
GET       0.260     55.25802
GET       0.270     56.56420
GET       0.280     57.99117
GET       0.290     59.69586
GET       0.300     61.15897
GET       0.310     62.26081
GET       0.320     63.30846
GET       0.330     64.51981
GET       0.340     65.79889
GET       0.350     67.00234
GET       0.360     68.01273
GET       0.370     68.98475
GET       0.380     70.04708
GET       0.390     71.35551
GET       0.400     72.48671
GET       0.410     73.50726
GET       0.420     74.41832
GET       0.430     75.54048
GET       0.440     76.79247
GET       0.450     77.93043
GET       0.460     78.97018
GET       0.470     79.94107
GET       0.480     81.03162
GET       0.490     82.19217
GET       0.500     83.19579
GET       0.510     84.08426
GET       0.520     84.99306
GET       0.530     85.93120
GET       0.540     86.86709
GET       0.550     87.75895
GET       0.560     88.49276
GET       0.570     89.19608
GET       0.580     89.95473
GET       0.590     90.73257
GET       0.600     91.40315
GET       0.610     92.00149
GET       0.620     92.53435
GET       0.630     93.08753
GET       0.640     93.64974
GET       0.650     94.14308
GET       0.660     94.54724
GET       0.670     94.95253
GET       0.680     95.37023
GET       0.690     95.75294
GET       0.700     96.08259
GET       0.710     96.39531
GET       0.720     96.63690
GET       0.730     96.91236
GET       0.740     97.17766
GET       0.750     97.42716
GET       0.760     97.61456
GET       0.770     97.78729
GET       0.780     97.98259
GET       0.790     98.14855
GET       0.800     98.28628
GET       0.810     98.41497
GET       0.820     98.52900
GET       0.830     98.65205
GET       0.840     98.76494
GET       0.850     98.86316
GET       0.860     98.96025
GET       0.870     99.06863
GET       0.880     99.15330
GET       0.890     99.22781
GET       0.900     99.28990
GET       0.910     99.33957
GET       0.920     99.38812
GET       0.930     99.43102
GET       0.940     99.47279
GET       0.950     99.51230
GET       0.960     99.55294
GET       0.970     99.58907
GET       0.980     99.61729
GET       0.990     99.63761
GET       1.000     99.74938
GET       1.100     99.85211
GET       1.200     99.89614
GET       1.300     99.92436
GET       1.400     99.94694
GET       1.500     99.96049
GET       1.600     99.97291
GET       1.700     99.97968
GET       1.800     99.98194
GET       1.900     99.98758
GET       2.000     99.98984
GET       2.100     99.99210
GET       2.200     99.99436
GET       2.500     99.99774
GET       2.700    100.00000
