[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       10138 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       20174 ops,   10034 (avg:   10086) ops/sec, 387.49KB/sec (avg: 389.50KB/sec),  0.10 (avg:  0.10) msec latency[RUN #1 10%,   3 secs]  1 threads:       30007 ops,    9831 (avg:   10001) ops/sec, 379.67KB/sec (avg: 386.23KB/sec),  0.10 (avg:  0.10) msec latency[RUN #1 13%,   4 secs]  1 threads:       39342 ops,    9334 (avg:    9834) ops/sec, 360.43KB/sec (avg: 379.78KB/sec),  0.10 (avg:  0.10) msec latency[RUN #1 17%,   5 secs]  1 threads:       48145 ops,    8802 (avg:    9628) ops/sec, 339.92KB/sec (avg: 371.80KB/sec),  0.11 (avg:  0.10) msec latency[RUN #1 20%,   6 secs]  1 threads:       56239 ops,    8093 (avg:    9372) ops/sec, 312.55KB/sec (avg: 361.93KB/sec),  0.12 (avg:  0.10) msec latency[RUN #1 23%,   7 secs]  1 threads:       62915 ops,    6675 (avg:    8987) ops/sec, 257.80KB/sec (avg: 347.05KB/sec),  0.15 (avg:  0.11) msec latency[RUN #1 27%,   8 secs]  1 threads:       69473 ops,    6557 (avg:    8683) ops/sec, 253.27KB/sec (avg: 335.33KB/sec),  0.15 (avg:  0.11) msec latency[RUN #1 30%,   9 secs]  1 threads:       76359 ops,    6885 (avg:    8483) ops/sec, 265.91KB/sec (avg: 327.62KB/sec),  0.14 (avg:  0.11) msec latency[RUN #1 33%,  10 secs]  1 threads:       83429 ops,    7069 (avg:    8342) ops/sec, 273.01KB/sec (avg: 322.16KB/sec),  0.14 (avg:  0.12) msec latency[RUN #1 37%,  11 secs]  1 threads:       88807 ops,    5377 (avg:    8072) ops/sec, 207.68KB/sec (avg: 311.75KB/sec),  0.18 (avg:  0.12) msec latency[RUN #1 40%,  12 secs]  1 threads:       92879 ops,    4071 (avg:    7739) ops/sec, 157.22KB/sec (avg: 298.87KB/sec),  0.24 (avg:  0.13) msec latency[RUN #1 43%,  13 secs]  1 threads:       94886 ops,    2006 (avg:    7298) ops/sec, 77.47KB/sec (avg: 281.84KB/sec),  0.50 (avg:  0.13) msec latency[RUN #1 47%,  14 secs]  1 threads:       97925 ops,    3038 (avg:    6993) ops/sec, 117.39KB/sec (avg: 270.09KB/sec),  0.30 (avg:  0.14) msec latency[RUN #1 50%,  15 secs]  1 threads:      101114 ops,    3188 (avg:    6740) ops/sec, 123.15KB/sec (avg: 260.30KB/sec),  0.33 (avg:  0.14) msec latency[RUN #1 53%,  16 secs]  1 threads:      103599 ops,    2484 (avg:    6474) ops/sec, 95.96KB/sec (avg: 250.03KB/sec),  0.40 (avg:  0.15) msec latency[RUN #1 57%,  17 secs]  1 threads:      106512 ops,    2912 (avg:    6264) ops/sec, 112.46KB/sec (avg: 241.93KB/sec),  0.34 (avg:  0.16) msec latency[RUN #1 60%,  18 secs]  1 threads:      109463 ops,    2950 (avg:    6080) ops/sec, 113.99KB/sec (avg: 234.83KB/sec),  0.33 (avg:  0.16) msec latency[RUN #1 63%,  19 secs]  1 threads:      112248 ops,    2784 (avg:    5907) ops/sec, 107.52KB/sec (avg: 228.13KB/sec),  0.35 (avg:  0.16) msec latency[RUN #1 67%,  20 secs]  1 threads:      114232 ops,    1983 (avg:    5711) ops/sec, 76.63KB/sec (avg: 220.55KB/sec),  0.50 (avg:  0.17) msec latency[RUN #1 70%,  21 secs]  1 threads:      116611 ops,    2378 (avg:    5552) ops/sec, 91.86KB/sec (avg: 214.42KB/sec),  0.41 (avg:  0.18) msec latency[RUN #1 73%,  22 secs]  1 threads:      119322 ops,    2710 (avg:    5423) ops/sec, 104.72KB/sec (avg: 209.44KB/sec),  0.36 (avg:  0.18) msec latency[RUN #1 77%,  23 secs]  1 threads:      122128 ops,    2805 (avg:    5309) ops/sec, 108.36KB/sec (avg: 205.04KB/sec),  0.35 (avg:  0.18) msec latency[RUN #1 80%,  24 secs]  1 threads:      125042 ops,    2913 (avg:    5209) ops/sec, 112.54KB/sec (avg: 201.19KB/sec),  0.29 (avg:  0.19) msec latency[RUN #1 83%,  25 secs]  1 threads:      127383 ops,    2340 (avg:    5094) ops/sec, 90.41KB/sec (avg: 196.76KB/sec),  0.48 (avg:  0.19) msec latency[RUN #1 87%,  26 secs]  1 threads:      129652 ops,    2268 (avg:    4986) ops/sec, 87.59KB/sec (avg: 192.56KB/sec),  0.43 (avg:  0.20) msec latency[RUN #1 90%,  27 secs]  1 threads:      132262 ops,    2609 (avg:    4898) ops/sec, 100.75KB/sec (avg: 189.16KB/sec),  0.38 (avg:  0.20) msec latency[RUN #1 93%,  28 secs]  1 threads:      135805 ops,    3542 (avg:    4849) ops/sec, 136.81KB/sec (avg: 187.29KB/sec),  0.28 (avg:  0.20) msec latency[RUN #1 97%,  29 secs]  1 threads:      138674 ops,    2868 (avg:    4781) ops/sec, 110.79KB/sec (avg: 184.65KB/sec),  0.34 (avg:  0.20) msec latency[RUN #1 100%,  30 secs]  0 threads:      141492 ops,    2868 (avg:    4716) ops/sec, 110.79KB/sec (avg: 182.14KB/sec),  0.34 (avg:  0.21) msec latency

1         Threads
1         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         428.76          ---          ---      0.22700        31.78
Gets        4287.56      1944.10      2343.46      0.20500       150.35
Totals      4716.32      1944.10      2343.46      0.20700       182.14


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     99.88339
SET       2.000     99.93781
SET       3.000     99.96113
SET       4.000     99.97668
SET      38.000     99.98445
SET     100.000     99.99223
SET     210.000    100.00000
---
GET       0.058      0.00233
GET       0.059      0.00622
GET       0.060      0.00933
GET       0.061      0.01633
GET       0.062      0.03265
GET       0.063      0.05287
GET       0.064      0.08318
GET       0.065      0.13761
GET       0.066      0.21302
GET       0.067      0.31408
GET       0.068      0.44469
GET       0.069      0.59473
GET       0.070      0.77587
GET       0.071      0.94924
GET       0.072      1.18014
GET       0.073      1.45224
GET       0.074      1.77098
GET       0.075      2.10139
GET       0.076      2.45979
GET       0.077      2.85161
GET       0.078      3.25899
GET       0.079      3.72078
GET       0.080      4.20900
GET       0.081      4.74543
GET       0.082      5.31373
GET       0.083      5.96366
GET       0.084      6.69367
GET       0.085      7.45400
GET       0.086      8.32549
GET       0.087      9.29806
GET       0.088     10.40123
GET       0.089     11.60547
GET       0.090     12.97375
GET       0.091     14.50995
GET       0.092     16.40143
GET       0.093     19.01904
GET       0.094     23.32211
GET       0.095     28.44926
GET       0.096     31.42293
GET       0.097     33.34629
GET       0.098     34.73012
GET       0.099     35.95534
GET       0.100     40.44889
GET       0.110     46.24385
GET       0.120     50.24528
GET       0.130     53.46695
GET       0.140     56.51369
GET       0.150     59.18183
GET       0.160     61.62685
GET       0.170     63.76167
GET       0.180     65.75345
GET       0.190     67.71024
GET       0.200     69.53953
GET       0.210     71.23977
GET       0.220     72.87315
GET       0.230     74.51586
GET       0.240     76.21998
GET       0.250     77.88446
GET       0.260     79.45720
GET       0.270     81.04005
GET       0.280     82.46196
GET       0.290     83.82713
GET       0.300     85.07024
GET       0.310     86.16486
GET       0.320     87.15142
GET       0.330     88.07112
GET       0.340     88.93873
GET       0.350     89.72083
GET       0.360     90.41740
GET       0.370     91.04168
GET       0.380     91.62242
GET       0.390     92.17673
GET       0.400     92.65484
GET       0.410     93.09720
GET       0.420     93.47970
GET       0.430     93.86142
GET       0.440     94.22448
GET       0.450     94.53000
GET       0.460     94.82776
GET       0.470     95.07965
GET       0.480     95.34708
GET       0.490     95.56865
GET       0.500     95.76379
GET       0.510     95.96125
GET       0.520     96.15561
GET       0.530     96.32120
GET       0.540     96.48135
GET       0.550     96.61896
GET       0.560     96.73557
GET       0.570     96.85374
GET       0.580     96.97191
GET       0.590     97.06754
GET       0.600     97.18182
GET       0.610     97.26267
GET       0.620     97.35596
GET       0.630     97.43526
GET       0.640     97.52078
GET       0.650     97.59075
GET       0.660     97.66382
GET       0.670     97.73535
GET       0.680     97.81076
GET       0.690     97.89083
GET       0.700     97.95381
GET       0.710     98.01289
GET       0.720     98.05487
GET       0.730     98.11240
GET       0.740     98.17071
GET       0.750     98.22591
GET       0.760     98.27100
GET       0.770     98.31298
GET       0.780     98.36740
GET       0.790     98.41560
GET       0.800     98.47002
GET       0.810     98.50889
GET       0.820     98.54621
GET       0.830     98.59285
GET       0.840     98.61695
GET       0.850     98.64494
GET       0.860     98.68226
GET       0.870     98.72268
GET       0.880     98.75922
GET       0.890     98.79343
GET       0.900     98.82764
GET       0.910     98.86107
GET       0.920     98.89294
GET       0.930     98.92637
GET       0.940     98.94892
GET       0.950     98.97535
GET       0.960     99.00411
GET       0.970     99.03055
GET       0.980     99.05698
GET       0.990     99.08341
GET       1.000     99.21946
GET       1.100     99.39905
GET       1.200     99.54520
GET       1.300     99.65327
GET       1.400     99.73645
GET       1.500     99.79087
GET       1.600     99.82897
GET       1.700     99.86084
GET       1.800     99.88727
GET       1.900     99.90127
GET       2.000     99.91682
GET       2.100     99.92226
GET       2.200     99.92848
GET       2.300     99.93470
GET       2.400     99.93936
GET       2.500     99.94325
GET       2.600     99.94713
GET       2.700     99.94869
GET       2.800     99.95102
GET       2.900     99.95258
GET       3.000     99.95646
GET       3.100     99.95802
GET       3.200     99.95880
GET       3.300     99.96035
GET       3.400     99.96191
GET       3.500     99.96268
GET       3.600     99.96424
GET       3.700     99.96579
GET       3.800     99.96657
GET       3.900     99.96735
GET       4.000     99.96813
GET       4.300     99.96968
GET       4.400     99.97124
GET       4.500     99.97201
GET       4.700     99.97279
GET       5.000     99.97434
GET       5.500     99.97512
GET       5.600     99.97590
GET       6.600     99.97668
GET       6.800     99.97745
GET       7.100     99.97823
GET      10.000     99.97901
GET      11.000     99.97979
GET      15.000     99.98056
GET      16.000     99.98134
GET      17.000     99.98212
GET      19.000     99.98290
GET      20.000     99.98445
GET      21.000     99.98523
GET      29.000     99.98601
GET      31.000     99.98678
GET      35.000     99.98756
GET      36.000     99.98834
GET      38.000     99.98989
GET      39.000     99.99067
GET      42.000     99.99223
GET      43.000     99.99300
GET      44.000     99.99378
GET      54.000     99.99456
GET      57.000     99.99534
GET      86.000     99.99611
GET      97.000     99.99689
GET     130.000     99.99767
GET     140.000     99.99845
GET     200.000     99.99922
GET     220.000    100.00000
