[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   1 secs]  1 threads:        6804 ops,    6803 (avg:    6803) ops/sec, 256.73KB/sec (avg: 256.73KB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 7%,   2 secs]  1 threads:       12575 ops,    5770 (avg:    6286) ops/sec, 217.73KB/sec (avg: 237.23KB/sec),  0.17 (avg:  0.15) msec latency[RUN #1 10%,   3 secs]  1 threads:       17507 ops,    4931 (avg:    5835) ops/sec, 186.06KB/sec (avg: 220.17KB/sec),  0.20 (avg:  0.17) msec latency[RUN #1 13%,   4 secs]  1 threads:       20814 ops,    3306 (avg:    5203) ops/sec, 124.78KB/sec (avg: 196.32KB/sec),  0.30 (avg:  0.19) msec latency[RUN #1 17%,   5 secs]  1 threads:       24631 ops,    3816 (avg:    4925) ops/sec, 144.00KB/sec (avg: 185.86KB/sec),  0.26 (avg:  0.20) msec latency[RUN #1 20%,   6 secs]  1 threads:       28089 ops,    3457 (avg:    4681) ops/sec, 130.45KB/sec (avg: 176.62KB/sec),  0.28 (avg:  0.21) msec latency[RUN #1 23%,   7 secs]  1 threads:       31041 ops,    2951 (avg:    4434) ops/sec, 111.36KB/sec (avg: 167.30KB/sec),  0.33 (avg:  0.22) msec latency[RUN #1 27%,   8 secs]  1 threads:       33807 ops,    2765 (avg:    4225) ops/sec, 104.37KB/sec (avg: 159.43KB/sec),  0.36 (avg:  0.23) msec latency[RUN #1 30%,   9 secs]  1 threads:       38243 ops,    4435 (avg:    4248) ops/sec, 167.35KB/sec (avg: 160.31KB/sec),  0.22 (avg:  0.23) msec latency[RUN #1 33%,  10 secs]  1 threads:       40794 ops,    2550 (avg:    4079) ops/sec, 96.24KB/sec (avg: 153.91KB/sec),  0.39 (avg:  0.24) msec latency[RUN #1 37%,  11 secs]  1 threads:       45223 ops,    4428 (avg:    4110) ops/sec, 167.11KB/sec (avg: 155.11KB/sec),  0.22 (avg:  0.24) msec latency[RUN #1 40%,  12 secs]  1 threads:       48156 ops,    2932 (avg:    4012) ops/sec, 110.63KB/sec (avg: 151.40KB/sec),  0.33 (avg:  0.24) msec latency[RUN #1 43%,  13 secs]  1 threads:       50800 ops,    2643 (avg:    3907) ops/sec, 99.78KB/sec (avg: 147.43KB/sec),  0.37 (avg:  0.25) msec latency[RUN #1 47%,  14 secs]  1 threads:       53224 ops,    2423 (avg:    3801) ops/sec, 91.43KB/sec (avg: 143.43KB/sec),  0.41 (avg:  0.26) msec latency[RUN #1 50%,  15 secs]  1 threads:       57715 ops,    4490 (avg:    3847) ops/sec, 169.42KB/sec (avg: 145.16KB/sec),  0.22 (avg:  0.25) msec latency[RUN #1 53%,  16 secs]  1 threads:       62913 ops,    5197 (avg:    3931) ops/sec, 196.12KB/sec (avg: 148.35KB/sec),  0.19 (avg:  0.25) msec latency[RUN #1 57%,  17 secs]  1 threads:       66509 ops,    3595 (avg:    3911) ops/sec, 135.67KB/sec (avg: 147.60KB/sec),  0.27 (avg:  0.25) msec latency[RUN #1 60%,  18 secs]  1 threads:       70471 ops,    3961 (avg:    3914) ops/sec, 149.46KB/sec (avg: 147.70KB/sec),  0.25 (avg:  0.25) msec latency[RUN #1 63%,  19 secs]  1 threads:       73314 ops,    2842 (avg:    3858) ops/sec, 107.24KB/sec (avg: 145.57KB/sec),  0.35 (avg:  0.25) msec latency[RUN #1 67%,  20 secs]  1 threads:       75996 ops,    2681 (avg:    3799) ops/sec, 101.17KB/sec (avg: 143.35KB/sec),  0.37 (avg:  0.26) msec latency[RUN #1 70%,  21 secs]  1 threads:       80877 ops,    4880 (avg:    3850) ops/sec, 184.16KB/sec (avg: 145.30KB/sec),  0.20 (avg:  0.25) msec latency[RUN #1 73%,  22 secs]  1 threads:       85375 ops,    4497 (avg:    3880) ops/sec, 169.70KB/sec (avg: 146.41KB/sec),  0.22 (avg:  0.25) msec latency[RUN #1 77%,  23 secs]  1 threads:       88573 ops,    3197 (avg:    3850) ops/sec, 120.66KB/sec (avg: 145.29KB/sec),  0.31 (avg:  0.25) msec latency[RUN #1 80%,  24 secs]  1 threads:       91693 ops,    3119 (avg:    3820) ops/sec, 117.68KB/sec (avg: 144.14KB/sec),  0.31 (avg:  0.26) msec latency[RUN #1 83%,  25 secs]  1 threads:       97551 ops,    5857 (avg:    3901) ops/sec, 221.02KB/sec (avg: 147.21KB/sec),  0.16 (avg:  0.25) msec latency[RUN #1 87%,  26 secs]  1 threads:      102082 ops,    4530 (avg:    3925) ops/sec, 170.95KB/sec (avg: 148.12KB/sec),  0.22 (avg:  0.25) msec latency[RUN #1 90%,  27 secs]  1 threads:      108377 ops,    6294 (avg:    4013) ops/sec, 237.48KB/sec (avg: 151.43KB/sec),  0.15 (avg:  0.24) msec latency[RUN #1 93%,  28 secs]  1 threads:      115659 ops,    7281 (avg:    4130) ops/sec, 274.73KB/sec (avg: 155.84KB/sec),  0.13 (avg:  0.24) msec latency[RUN #1 97%,  29 secs]  1 threads:      120968 ops,    5308 (avg:    4170) ops/sec, 200.31KB/sec (avg: 157.37KB/sec),  0.18 (avg:  0.23) msec latency[RUN #1 100%,  30 secs]  0 threads:      127226 ops,    5308 (avg:    4240) ops/sec, 200.31KB/sec (avg: 160.01KB/sec),  0.18 (avg:  0.23) msec latency

1         Threads
1         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         385.53          ---          ---      0.23200        28.24
Gets        3855.32      3687.75       167.57      0.22900       131.77
Totals      4240.85      3687.75       167.57      0.22900       160.01


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.062      0.00173
GET       0.063      0.00346
GET       0.064      0.00692
GET       0.065      0.01124
GET       0.066      0.02162
GET       0.067      0.03199
GET       0.068      0.04582
GET       0.069      0.07263
GET       0.070      0.10116
GET       0.071      0.13401
GET       0.072      0.17811
GET       0.073      0.22220
GET       0.074      0.26716
GET       0.075      0.33201
GET       0.076      0.39772
GET       0.077      0.49282
GET       0.078      0.58966
GET       0.079      0.70119
GET       0.080      0.82570
GET       0.081      0.95971
GET       0.082      1.09978
GET       0.083      1.27183
GET       0.084      1.47242
GET       0.085      1.70673
GET       0.086      1.97130
GET       0.087      2.23154
GET       0.088      2.51254
GET       0.089      2.86789
GET       0.090      3.21719
GET       0.091      3.63047
GET       0.092      4.09908
GET       0.093      4.60574
GET       0.094      5.08560
GET       0.095      5.66574
GET       0.096      6.22255
GET       0.097      6.77417
GET       0.098      7.37852
GET       0.099      7.91717
GET       0.100     10.65105
GET       0.110     15.73751
GET       0.120     20.80062
GET       0.130     26.42400
GET       0.140     33.77486
GET       0.150     40.42366
GET       0.160     45.52568
GET       0.170     49.91527
GET       0.180     54.05931
GET       0.190     58.30797
GET       0.200     62.02663
GET       0.210     65.03199
GET       0.220     67.51772
GET       0.230     69.79077
GET       0.240     71.88051
GET       0.250     73.62096
GET       0.260     75.05188
GET       0.270     76.36175
GET       0.280     77.61542
GET       0.290     78.78783
GET       0.300     79.79941
GET       0.310     80.72540
GET       0.320     81.58741
GET       0.330     82.39668
GET       0.340     83.27166
GET       0.350     84.10773
GET       0.360     84.80719
GET       0.370     85.50925
GET       0.380     86.21650
GET       0.390     86.91250
GET       0.400     87.56355
GET       0.410     88.14456
GET       0.420     88.71088
GET       0.430     89.28411
GET       0.440     89.92132
GET       0.450     90.45651
GET       0.460     90.93809
GET       0.470     91.45945
GET       0.480     91.96438
GET       0.490     92.41570
GET       0.500     92.84282
GET       0.510     93.21632
GET       0.520     93.60885
GET       0.530     93.97545
GET       0.540     94.30486
GET       0.550     94.61179
GET       0.560     94.90922
GET       0.570     95.17811
GET       0.580     95.44786
GET       0.590     95.70638
GET       0.600     95.94674
GET       0.610     96.19229
GET       0.620     96.43438
GET       0.630     96.67387
GET       0.640     96.88570
GET       0.650     97.06640
GET       0.660     97.22981
GET       0.670     97.40360
GET       0.680     97.56095
GET       0.690     97.73042
GET       0.700     97.86529
GET       0.710     98.01660
GET       0.720     98.15407
GET       0.730     98.28549
GET       0.740     98.39184
GET       0.750     98.49040
GET       0.760     98.59675
GET       0.770     98.69358
GET       0.780     98.79734
GET       0.790     98.88898
GET       0.800     98.96248
GET       0.810     99.02992
GET       0.820     99.09995
GET       0.830     99.15182
GET       0.840     99.20716
GET       0.850     99.26509
GET       0.860     99.32561
GET       0.870     99.37403
GET       0.880     99.41812
GET       0.890     99.46481
GET       0.900     99.50026
GET       0.910     99.53052
GET       0.920     99.56597
GET       0.930     99.60142
GET       0.940     99.62736
GET       0.950     99.65589
GET       0.960     99.68010
GET       0.970     99.70085
GET       0.980     99.72506
GET       0.990     99.74321
GET       1.000     99.83745
GET       1.100     99.91440
GET       1.200     99.95763
GET       1.300     99.97493
GET       1.400     99.98184
GET       1.500     99.98444
GET       1.600     99.98703
GET       1.700     99.99049
GET       1.800     99.99222
GET       1.900     99.99395
GET       2.000     99.99568
GET       2.100     99.99654
GET       2.200     99.99827
GET       2.300     99.99914
GET       2.800    100.00000
