[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   1 secs]  2 threads:       43839 ops,   43837 (avg:   43837) ops/sec, 1.77MB/sec (avg: 1.77MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 7%,   2 secs]  2 threads:       87771 ops,   43926 (avg:   43882) ops/sec, 1.78MB/sec (avg: 1.78MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 10%,   3 secs]  2 threads:      131716 ops,   43940 (avg:   43901) ops/sec, 1.78MB/sec (avg: 1.78MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 13%,   4 secs]  2 threads:      175374 ops,   43653 (avg:   43839) ops/sec, 1.77MB/sec (avg: 1.77MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 17%,   5 secs]  2 threads:      219184 ops,   43805 (avg:   43832) ops/sec, 1.77MB/sec (avg: 1.77MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 20%,   6 secs]  2 threads:      262791 ops,   43602 (avg:   43794) ops/sec, 1.76MB/sec (avg: 1.77MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 23%,   7 secs]  2 threads:      306401 ops,   43605 (avg:   43767) ops/sec, 1.76MB/sec (avg: 1.77MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 27%,   8 secs]  2 threads:      350308 ops,   43901 (avg:   43784) ops/sec, 1.78MB/sec (avg: 1.77MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 30%,   9 secs]  2 threads:      393833 ops,   43519 (avg:   43754) ops/sec, 1.76MB/sec (avg: 1.77MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 33%,  10 secs]  2 threads:      437427 ops,   43588 (avg:   43738) ops/sec, 1.76MB/sec (avg: 1.77MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 37%,  11 secs]  2 threads:      481108 ops,   43675 (avg:   43732) ops/sec, 1.77MB/sec (avg: 1.77MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 40%,  12 secs]  2 threads:      524546 ops,   43432 (avg:   43707) ops/sec, 1.76MB/sec (avg: 1.77MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 43%,  13 secs]  2 threads:      567861 ops,   43309 (avg:   43676) ops/sec, 1.75MB/sec (avg: 1.77MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 47%,  14 secs]  2 threads:      611603 ops,   43736 (avg:   43681) ops/sec, 1.77MB/sec (avg: 1.77MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 50%,  15 secs]  2 threads:      654902 ops,   43293 (avg:   43655) ops/sec, 1.75MB/sec (avg: 1.77MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 53%,  16 secs]  2 threads:      698268 ops,   43360 (avg:   43636) ops/sec, 1.75MB/sec (avg: 1.77MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 57%,  17 secs]  2 threads:      741609 ops,   43335 (avg:   43619) ops/sec, 1.75MB/sec (avg: 1.77MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 60%,  18 secs]  2 threads:      784797 ops,   43182 (avg:   43594) ops/sec, 1.75MB/sec (avg: 1.76MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 63%,  19 secs]  2 threads:      828396 ops,   43593 (avg:   43594) ops/sec, 1.76MB/sec (avg: 1.76MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 67%,  20 secs]  2 threads:      871511 ops,   43109 (avg:   43570) ops/sec, 1.74MB/sec (avg: 1.76MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 70%,  21 secs]  2 threads:      914740 ops,   43223 (avg:   43553) ops/sec, 1.75MB/sec (avg: 1.76MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 73%,  22 secs]  2 threads:      958031 ops,   43284 (avg:   43541) ops/sec, 1.75MB/sec (avg: 1.76MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 77%,  23 secs]  2 threads:     1001248 ops,   43211 (avg:   43527) ops/sec, 1.75MB/sec (avg: 1.76MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 80%,  24 secs]  2 threads:     1044313 ops,   43059 (avg:   43507) ops/sec, 1.74MB/sec (avg: 1.76MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 83%,  25 secs]  2 threads:     1087571 ops,   43252 (avg:   43497) ops/sec, 1.75MB/sec (avg: 1.76MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 87%,  26 secs]  2 threads:     1130887 ops,   43310 (avg:   43490) ops/sec, 1.75MB/sec (avg: 1.76MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 90%,  27 secs]  2 threads:     1174164 ops,   43272 (avg:   43482) ops/sec, 1.75MB/sec (avg: 1.76MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 93%,  28 secs]  2 threads:     1217223 ops,   43053 (avg:   43467) ops/sec, 1.74MB/sec (avg: 1.76MB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 97%,  29 secs]  2 threads:     1260230 ops,   43001 (avg:   43450) ops/sec, 1.74MB/sec (avg: 1.76MB/sec),  0.14 (avg:  0.14) msec latency[RUN #1 100%,  30 secs]  0 threads:     1303454 ops,   43001 (avg:   43448) ops/sec, 1.74MB/sec (avg: 1.76MB/sec),  0.14 (avg:  0.14) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        3949.96          ---          ---      0.13900       416.18
Gets       39498.44     23468.46     16029.97      0.13400      1384.41
Totals     43448.40     23468.46     16029.97      0.13500      1800.59


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.056      0.00025
GET       0.057      0.00051
GET       0.058      0.00076
GET       0.059      0.00152
GET       0.060      0.00245
GET       0.061      0.00515
GET       0.062      0.00819
GET       0.063      0.01131
GET       0.064      0.01688
GET       0.065      0.02414
GET       0.066      0.03350
GET       0.067      0.04768
GET       0.068      0.06481
GET       0.069      0.08498
GET       0.070      0.11157
GET       0.071      0.14279
GET       0.072      0.18364
GET       0.073      0.22954
GET       0.074      0.28052
GET       0.075      0.33579
GET       0.076      0.39563
GET       0.077      0.47057
GET       0.078      0.55749
GET       0.079      0.65319
GET       0.080      0.76003
GET       0.081      0.88670
GET       0.082      1.01523
GET       0.083      1.17203
GET       0.084      1.35533
GET       0.085      1.56926
GET       0.086      1.84159
GET       0.087      2.16464
GET       0.088      2.54794
GET       0.089      3.03311
GET       0.090      3.64512
GET       0.091      4.48684
GET       0.092      5.56578
GET       0.093      6.88144
GET       0.094      8.59779
GET       0.095     10.53719
GET       0.096     12.30891
GET       0.097     13.68617
GET       0.098     14.97500
GET       0.099     16.26956
GET       0.100     22.26355
GET       0.110     35.34244
GET       0.120     45.73608
GET       0.130     55.52456
GET       0.140     70.51365
GET       0.150     83.23287
GET       0.160     89.08144
GET       0.170     92.40283
GET       0.180     94.56840
GET       0.190     95.97023
GET       0.200     96.71338
GET       0.210     97.12403
GET       0.220     97.40792
GET       0.230     97.63915
GET       0.240     97.84574
GET       0.250     98.03427
GET       0.260     98.19369
GET       0.270     98.33892
GET       0.280     98.45378
GET       0.290     98.55260
GET       0.300     98.63657
GET       0.310     98.70662
GET       0.320     98.77126
GET       0.330     98.82325
GET       0.340     98.87152
GET       0.350     98.91962
GET       0.360     98.96730
GET       0.370     99.01102
GET       0.380     99.05566
GET       0.390     99.10705
GET       0.400     99.15524
GET       0.410     99.19896
GET       0.420     99.23989
GET       0.430     99.27778
GET       0.440     99.30985
GET       0.450     99.33820
GET       0.460     99.36605
GET       0.470     99.39534
GET       0.480     99.42352
GET       0.490     99.45475
GET       0.500     99.48572
GET       0.510     99.51897
GET       0.520     99.55239
GET       0.530     99.58555
GET       0.540     99.61458
GET       0.550     99.64201
GET       0.560     99.66463
GET       0.570     99.68598
GET       0.580     99.70649
GET       0.590     99.72581
GET       0.600     99.74396
GET       0.610     99.76176
GET       0.620     99.78067
GET       0.630     99.80084
GET       0.640     99.82008
GET       0.650     99.83940
GET       0.660     99.85831
GET       0.670     99.87434
GET       0.680     99.89122
GET       0.690     99.90413
GET       0.700     99.91485
GET       0.710     99.92439
GET       0.720     99.93350
GET       0.730     99.94034
GET       0.740     99.94793
GET       0.750     99.95536
GET       0.760     99.96236
GET       0.770     99.96962
GET       0.780     99.97612
GET       0.790     99.98127
GET       0.800     99.98565
GET       0.810     99.98979
GET       0.820     99.99224
GET       0.830     99.99460
GET       0.840     99.99570
GET       0.850     99.99679
GET       0.860     99.99764
GET       0.870     99.99831
GET       0.880     99.99873
GET       0.890     99.99907
GET       0.900     99.99916
GET       0.910     99.99924
GET       0.920     99.99941
GET       0.940     99.99949
GET       0.990     99.99958
GET       1.000     99.99966
GET       1.100     99.99975
GET       1.200     99.99983
GET       2.300     99.99992
GET       2.800    100.00000
