[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       45612 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       90620 ops,   45001 (avg:   45308) ops/sec, 1.60MB/sec (avg: 1.61MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 10%,   3 secs]  2 threads:      136541 ops,   45916 (avg:   45511) ops/sec, 1.64MB/sec (avg: 1.62MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 13%,   4 secs]  2 threads:      181612 ops,   45066 (avg:   45399) ops/sec, 1.61MB/sec (avg: 1.62MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 17%,   5 secs]  2 threads:      227467 ops,   45850 (avg:   45490) ops/sec, 1.63MB/sec (avg: 1.62MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 20%,   6 secs]  2 threads:      272579 ops,   45107 (avg:   45426) ops/sec, 1.61MB/sec (avg: 1.62MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 23%,   7 secs]  2 threads:      318573 ops,   45988 (avg:   45506) ops/sec, 1.64MB/sec (avg: 1.62MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 27%,   8 secs]  2 threads:      364514 ops,   45936 (avg:   45560) ops/sec, 1.64MB/sec (avg: 1.62MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 30%,   9 secs]  2 threads:      410683 ops,   46163 (avg:   45627) ops/sec, 1.64MB/sec (avg: 1.63MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 33%,  10 secs]  2 threads:      456340 ops,   45651 (avg:   45629) ops/sec, 1.63MB/sec (avg: 1.63MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 37%,  11 secs]  2 threads:      502163 ops,   45817 (avg:   45646) ops/sec, 1.63MB/sec (avg: 1.63MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 40%,  12 secs]  2 threads:      548418 ops,   46249 (avg:   45697) ops/sec, 1.65MB/sec (avg: 1.63MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 43%,  13 secs]  2 threads:      594190 ops,   45767 (avg:   45702) ops/sec, 1.63MB/sec (avg: 1.63MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 47%,  14 secs]  2 threads:      639695 ops,   45500 (avg:   45688) ops/sec, 1.62MB/sec (avg: 1.63MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 50%,  15 secs]  2 threads:      685781 ops,   46079 (avg:   45714) ops/sec, 1.64MB/sec (avg: 1.63MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 53%,  16 secs]  2 threads:      731670 ops,   45882 (avg:   45724) ops/sec, 1.63MB/sec (avg: 1.63MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 57%,  17 secs]  2 threads:      776489 ops,   44813 (avg:   45671) ops/sec, 1.60MB/sec (avg: 1.63MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 60%,  18 secs]  2 threads:      822253 ops,   45759 (avg:   45676) ops/sec, 1.63MB/sec (avg: 1.63MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 63%,  19 secs]  2 threads:      867374 ops,   45115 (avg:   45646) ops/sec, 1.61MB/sec (avg: 1.63MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 67%,  20 secs]  2 threads:      912654 ops,   45275 (avg:   45627) ops/sec, 1.61MB/sec (avg: 1.63MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 70%,  21 secs]  2 threads:      958091 ops,   45431 (avg:   45618) ops/sec, 1.62MB/sec (avg: 1.62MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 73%,  22 secs]  2 threads:     1003404 ops,   45307 (avg:   45604) ops/sec, 1.61MB/sec (avg: 1.62MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 77%,  23 secs]  2 threads:     1048944 ops,   45535 (avg:   45601) ops/sec, 1.62MB/sec (avg: 1.62MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 80%,  24 secs]  2 threads:     1094725 ops,   45776 (avg:   45608) ops/sec, 1.63MB/sec (avg: 1.62MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 83%,  25 secs]  2 threads:     1139700 ops,   44970 (avg:   45583) ops/sec, 1.60MB/sec (avg: 1.62MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 87%,  26 secs]  2 threads:     1184367 ops,   44662 (avg:   45547) ops/sec, 1.59MB/sec (avg: 1.62MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 90%,  27 secs]  2 threads:     1230061 ops,   45689 (avg:   45553) ops/sec, 1.63MB/sec (avg: 1.62MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 93%,  28 secs]  2 threads:     1275136 ops,   45070 (avg:   45535) ops/sec, 1.61MB/sec (avg: 1.62MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 97%,  29 secs]  2 threads:     1320328 ops,   45187 (avg:   45523) ops/sec, 1.61MB/sec (avg: 1.62MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 100%,  30 secs]  0 threads:     1365928 ops,   45187 (avg:   45530) ops/sec, 1.61MB/sec (avg: 1.62MB/sec),  0.13 (avg:  0.13) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        4139.26          ---          ---      0.13200       209.76
Gets       41391.58     25235.01     16156.57      0.12800      1450.76
Totals     45530.84     25235.01     16156.57      0.12800      1660.52


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.054      0.00008
GET       0.055      0.00040
GET       0.056      0.00072
GET       0.057      0.00121
GET       0.058      0.00250
GET       0.059      0.00532
GET       0.060      0.01047
GET       0.061      0.01812
GET       0.062      0.02802
GET       0.063      0.04139
GET       0.064      0.06161
GET       0.065      0.08762
GET       0.066      0.11975
GET       0.067      0.15736
GET       0.068      0.20592
GET       0.069      0.26245
GET       0.070      0.33219
GET       0.071      0.41425
GET       0.072      0.51250
GET       0.073      0.63080
GET       0.074      0.76577
GET       0.075      0.91524
GET       0.076      1.08250
GET       0.077      1.27143
GET       0.078      1.48581
GET       0.079      1.72805
GET       0.080      1.98937
GET       0.081      2.27308
GET       0.082      2.60350
GET       0.083      2.97604
GET       0.084      3.39022
GET       0.085      3.87002
GET       0.086      4.43922
GET       0.087      5.08001
GET       0.088      5.81840
GET       0.089      6.63676
GET       0.090      7.55128
GET       0.091      8.59263
GET       0.092      9.79320
GET       0.093     11.31347
GET       0.094     13.66547
GET       0.095     16.71802
GET       0.096     19.25895
GET       0.097     21.19662
GET       0.098     22.89567
GET       0.099     24.52257
GET       0.100     32.24272
GET       0.110     44.56976
GET       0.120     54.03648
GET       0.130     62.93859
GET       0.140     76.27147
GET       0.150     87.13308
GET       0.160     91.45110
GET       0.170     93.59259
GET       0.180     95.04111
GET       0.190     96.34041
GET       0.200     97.08009
GET       0.210     97.46132
GET       0.220     97.71387
GET       0.230     97.92043
GET       0.240     98.10993
GET       0.250     98.27244
GET       0.260     98.40556
GET       0.270     98.51991
GET       0.280     98.61768
GET       0.290     98.70626
GET       0.300     98.78116
GET       0.310     98.84349
GET       0.320     98.89712
GET       0.330     98.94391
GET       0.340     98.98933
GET       0.350     99.03048
GET       0.360     99.06970
GET       0.370     99.10811
GET       0.380     99.14878
GET       0.390     99.19090
GET       0.400     99.23165
GET       0.410     99.27514
GET       0.420     99.30670
GET       0.430     99.33747
GET       0.440     99.36614
GET       0.450     99.39505
GET       0.460     99.42146
GET       0.470     99.44788
GET       0.480     99.47139
GET       0.490     99.49724
GET       0.500     99.52688
GET       0.510     99.55200
GET       0.520     99.57898
GET       0.530     99.60596
GET       0.540     99.63294
GET       0.550     99.65702
GET       0.560     99.67779
GET       0.570     99.69672
GET       0.580     99.71403
GET       0.590     99.73264
GET       0.600     99.74963
GET       0.610     99.76863
GET       0.620     99.78667
GET       0.630     99.80656
GET       0.640     99.82364
GET       0.650     99.84071
GET       0.660     99.85794
GET       0.670     99.87397
GET       0.680     99.88790
GET       0.690     99.90103
GET       0.700     99.91262
GET       0.710     99.92366
GET       0.720     99.93316
GET       0.730     99.94105
GET       0.740     99.94983
GET       0.750     99.95651
GET       0.760     99.96368
GET       0.770     99.97004
GET       0.780     99.97552
GET       0.790     99.98091
GET       0.800     99.98526
GET       0.810     99.98897
GET       0.820     99.99187
GET       0.830     99.99420
GET       0.840     99.99581
GET       0.850     99.99718
GET       0.860     99.99775
GET       0.870     99.99791
GET       0.880     99.99839
GET       0.890     99.99887
GET       0.900     99.99919
GET       0.910     99.99944
GET       0.920     99.99960
GET       0.960     99.99968
GET       0.990     99.99976
GET       1.000     99.99984
GET       1.100     99.99992
GET       2.600    100.00000
