[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:        5981 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:       11412 ops,    5430 (avg:    5706) ops/sec, 15.63MB/sec (avg: 16.45MB/sec),  1.10 (avg:  1.05) msec latency[RUN #1 10%,   3 secs]  2 threads:       16865 ops,    5452 (avg:    5621) ops/sec, 15.69MB/sec (avg: 16.20MB/sec),  1.09 (avg:  1.06) msec latency[RUN #1 13%,   4 secs]  2 threads:       22329 ops,    5463 (avg:    5581) ops/sec, 15.75MB/sec (avg: 16.08MB/sec),  1.09 (avg:  1.07) msec latency[RUN #1 17%,   5 secs]  2 threads:       27782 ops,    5452 (avg:    5556) ops/sec, 15.63MB/sec (avg: 15.99MB/sec),  1.09 (avg:  1.07) msec latency[RUN #1 20%,   6 secs]  2 threads:       33222 ops,    5439 (avg:    5536) ops/sec, 15.69MB/sec (avg: 15.94MB/sec),  1.10 (avg:  1.08) msec latency[RUN #1 23%,   7 secs]  2 threads:       38600 ops,    5377 (avg:    5513) ops/sec, 15.40MB/sec (avg: 15.87MB/sec),  1.11 (avg:  1.08) msec latency[RUN #1 27%,   8 secs]  2 threads:       43957 ops,    5356 (avg:    5494) ops/sec, 15.37MB/sec (avg: 15.80MB/sec),  1.12 (avg:  1.09) msec latency[RUN #1 30%,   9 secs]  2 threads:       49364 ops,    5406 (avg:    5484) ops/sec, 15.62MB/sec (avg: 15.78MB/sec),  1.10 (avg:  1.09) msec latency[RUN #1 33%,  10 secs]  2 threads:       54627 ops,    5262 (avg:    5462) ops/sec, 15.12MB/sec (avg: 15.72MB/sec),  1.14 (avg:  1.09) msec latency[RUN #1 37%,  11 secs]  2 threads:       59501 ops,    4873 (avg:    5408) ops/sec, 14.01MB/sec (avg: 15.56MB/sec),  1.22 (avg:  1.10) msec latency[RUN #1 40%,  12 secs]  2 threads:       64458 ops,    4956 (avg:    5370) ops/sec, 14.20MB/sec (avg: 15.45MB/sec),  1.20 (avg:  1.11) msec latency[RUN #1 43%,  13 secs]  2 threads:       69199 ops,    4740 (avg:    5322) ops/sec, 13.70MB/sec (avg: 15.31MB/sec),  1.26 (avg:  1.12) msec latency[RUN #1 47%,  14 secs]  2 threads:       74019 ops,    4819 (avg:    5286) ops/sec, 13.82MB/sec (avg: 15.21MB/sec),  1.24 (avg:  1.13) msec latency[RUN #1 50%,  15 secs]  2 threads:       78593 ops,    4573 (avg:    5239) ops/sec, 13.19MB/sec (avg: 15.07MB/sec),  1.31 (avg:  1.14) msec latency[RUN #1 53%,  16 secs]  2 threads:       82802 ops,    4208 (avg:    5174) ops/sec, 12.08MB/sec (avg: 14.89MB/sec),  1.42 (avg:  1.15) msec latency[RUN #1 57%,  17 secs]  2 threads:       86930 ops,    4127 (avg:    5113) ops/sec, 11.89MB/sec (avg: 14.71MB/sec),  1.45 (avg:  1.17) msec latency[RUN #1 60%,  18 secs]  2 threads:       90760 ops,    3829 (avg:    5041) ops/sec, 10.94MB/sec (avg: 14.50MB/sec),  1.56 (avg:  1.18) msec latency[RUN #1 63%,  19 secs]  2 threads:       94598 ops,    3837 (avg:    4978) ops/sec, 11.07MB/sec (avg: 14.32MB/sec),  1.56 (avg:  1.20) msec latency[RUN #1 67%,  20 secs]  2 threads:       98424 ops,    3825 (avg:    4920) ops/sec, 11.01MB/sec (avg: 14.15MB/sec),  1.56 (avg:  1.21) msec latency[RUN #1 70%,  21 secs]  2 threads:      102500 ops,    4075 (avg:    4880) ops/sec, 11.70MB/sec (avg: 14.04MB/sec),  1.47 (avg:  1.22) msec latency[RUN #1 73%,  22 secs]  2 threads:      106430 ops,    3929 (avg:    4837) ops/sec, 11.32MB/sec (avg: 13.91MB/sec),  1.52 (avg:  1.23) msec latency[RUN #1 77%,  23 secs]  2 threads:      110180 ops,    3749 (avg:    4789) ops/sec, 10.79MB/sec (avg: 13.78MB/sec),  1.60 (avg:  1.25) msec latency[RUN #1 80%,  24 secs]  2 threads:      113844 ops,    3663 (avg:    4743) ops/sec, 10.53MB/sec (avg: 13.64MB/sec),  1.63 (avg:  1.26) msec latency[RUN #1 83%,  25 secs]  2 threads:      117265 ops,    3420 (avg:    4690) ops/sec, 9.84MB/sec (avg: 13.49MB/sec),  1.75 (avg:  1.27) msec latency[RUN #1 87%,  26 secs]  2 threads:      120621 ops,    3355 (avg:    4638) ops/sec, 9.65MB/sec (avg: 13.34MB/sec),  1.79 (avg:  1.29) msec latency[RUN #1 90%,  27 secs]  2 threads:      124004 ops,    3382 (avg:    4592) ops/sec, 9.77MB/sec (avg: 13.21MB/sec),  1.77 (avg:  1.30) msec latency[RUN #1 93%,  28 secs]  2 threads:      127092 ops,    3087 (avg:    4538) ops/sec, 8.86MB/sec (avg: 13.06MB/sec),  1.94 (avg:  1.32) msec latency[RUN #1 97%,  29 secs]  2 threads:      130425 ops,    3332 (avg:    4496) ops/sec, 9.55MB/sec (avg: 12.93MB/sec),  1.79 (avg:  1.33) msec latency[RUN #1 100%,  30 secs]  0 threads:      133578 ops,    3332 (avg:    4452) ops/sec, 9.55MB/sec (avg: 12.81MB/sec),  1.79 (avg:  1.34) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         404.89          ---          ---      1.97300     12973.86
Gets        4047.61       422.96      3624.65      1.27800       141.87
Totals      4452.50       422.96      3624.65      1.34200     13115.73


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     59.11748
SET       2.000     87.41253
SET       3.000     97.20095
SET       4.000     99.52252
SET       5.000     99.86828
SET       6.000     99.95884
SET       7.000     99.99177
SET       8.000    100.00000
---
GET       0.071      0.00082
GET       0.073      0.00165
GET       0.077      0.00247
GET       0.078      0.00329
GET       0.079      0.00412
GET       0.080      0.00494
GET       0.082      0.00576
GET       0.083      0.00659
GET       0.084      0.00741
GET       0.085      0.00988
GET       0.086      0.01400
GET       0.087      0.01565
GET       0.088      0.01729
GET       0.089      0.02141
GET       0.090      0.02553
GET       0.091      0.02882
GET       0.092      0.03294
GET       0.093      0.03788
GET       0.094      0.04282
GET       0.095      0.04859
GET       0.096      0.05765
GET       0.097      0.06259
GET       0.098      0.07082
GET       0.099      0.07659
GET       0.100      0.10953
GET       0.110      0.17953
GET       0.120      0.25529
GET       0.130      0.37140
GET       0.140      0.50728
GET       0.150      0.63410
GET       0.160      0.79140
GET       0.170      0.94375
GET       0.180      1.20068
GET       0.190      1.51691
GET       0.200      1.92537
GET       0.210      2.36842
GET       0.220      2.93171
GET       0.230      3.55675
GET       0.240      4.22462
GET       0.250      4.87108
GET       0.260      5.47060
GET       0.270      6.11705
GET       0.280      6.76434
GET       0.290      7.46350
GET       0.300      8.11490
GET       0.310      8.85194
GET       0.320      9.50334
GET       0.330     10.20580
GET       0.340     10.97249
GET       0.350     11.78035
GET       0.360     12.59316
GET       0.370     13.58055
GET       0.380     14.73759
GET       0.390     15.57181
GET       0.400     16.35497
GET       0.410     16.99566
GET       0.420     17.68082
GET       0.430     18.34457
GET       0.440     18.90786
GET       0.450     19.51479
GET       0.460     20.12913
GET       0.470     20.70970
GET       0.480     21.31910
GET       0.490     21.87086
GET       0.500     22.42426
GET       0.510     23.00154
GET       0.520     23.53929
GET       0.530     24.11658
GET       0.540     24.70786
GET       0.550     25.27608
GET       0.560     25.84266
GET       0.570     26.38618
GET       0.580     26.89511
GET       0.590     27.41145
GET       0.600     27.88827
GET       0.610     28.41284
GET       0.620     28.91189
GET       0.630     29.41094
GET       0.640     29.90093
GET       0.650     30.42880
GET       0.660     30.89326
GET       0.670     31.37008
GET       0.680     31.80736
GET       0.690     32.26771
GET       0.700     32.67782
GET       0.710     33.12910
GET       0.720     33.58533
GET       0.730     34.05391
GET       0.740     34.52743
GET       0.750     34.99683
GET       0.760     35.42835
GET       0.770     35.87140
GET       0.780     36.30127
GET       0.790     36.71056
GET       0.800     37.15526
GET       0.810     37.58513
GET       0.820     38.01665
GET       0.830     38.45229
GET       0.840     38.91181
GET       0.850     39.32686
GET       0.860     39.76991
GET       0.870     40.21378
GET       0.880     40.66919
GET       0.890     41.08177
GET       0.900     41.50423
GET       0.910     41.92916
GET       0.920     42.39362
GET       0.930     42.80538
GET       0.940     43.20725
GET       0.950     43.62148
GET       0.960     44.03241
GET       0.970     44.43676
GET       0.980     44.82463
GET       0.990     45.24710
GET       1.000     47.42529
GET       1.100     51.34603
GET       1.200     55.14078
GET       1.300     59.22211
GET       1.400     63.46485
GET       1.500     67.92252
GET       1.600     72.46914
GET       1.700     76.69458
GET       1.800     80.38063
GET       1.900     82.98375
GET       2.000     84.84983
GET       2.100     86.23992
GET       2.200     87.38296
GET       2.300     88.36212
GET       2.400     89.18151
GET       2.500     90.00091
GET       2.600     90.85983
GET       2.700     91.77146
GET       2.800     92.77367
GET       2.900     93.80554
GET       3.000     94.84810
GET       3.100     95.73750
GET       3.200     96.43007
GET       3.300     96.94065
GET       3.400     97.28735
GET       3.500     97.52040
GET       3.600     97.70816
GET       3.700     97.88769
GET       3.800     98.03592
GET       3.900     98.20721
GET       4.000     98.41062
GET       4.100     98.60579
GET       4.200     98.81496
GET       4.300     99.02249
GET       4.400     99.20366
GET       4.500     99.37166
GET       4.600     99.49189
GET       4.700     99.58330
GET       4.800     99.64342
GET       4.900     99.67883
GET       5.000     99.69942
GET       5.100     99.72495
GET       5.200     99.75459
GET       5.300     99.78259
GET       5.400     99.82130
GET       5.500     99.85012
GET       5.600     99.87318
GET       5.700     99.90200
GET       5.800     99.92094
GET       5.900     99.93577
GET       6.000     99.94812
GET       6.100     99.95471
GET       6.200     99.96294
GET       6.300     99.96541
GET       6.400     99.97118
GET       6.500     99.97447
GET       6.600     99.97777
GET       6.800     99.98188
GET       6.900     99.98271
GET       7.000     99.98600
GET       7.100     99.98847
GET       7.200     99.99176
GET       7.300     99.99341
GET       7.400     99.99424
GET       7.500     99.99506
GET       7.600     99.99671
GET       7.900     99.99753
GET       8.400     99.99835
GET       8.600    100.00000
