[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:         324 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:         686 ops,     361 (avg:     343) ops/sec, 17.01MB/sec (avg: 16.02MB/sec), 16.77 (avg: 17.14) msec latency[RUN #1 10%,   2 secs]  2 threads:        1028 ops,     341 (avg:     342) ops/sec, 15.01MB/sec (avg: 15.68MB/sec), 16.92 (avg: 17.07) msec latency[RUN #1 13%,   3 secs]  2 threads:        1386 ops,     357 (avg:     346) ops/sec, 16.01MB/sec (avg: 15.77MB/sec), 16.25 (avg: 16.85) msec latency[RUN #1 17%,   4 secs]  2 threads:        1756 ops,     369 (avg:     351) ops/sec, 17.51MB/sec (avg: 16.11MB/sec), 17.18 (avg: 16.92) msec latency[RUN #1 20%,   5 secs]  2 threads:        2123 ops,     366 (avg:     353) ops/sec, 16.01MB/sec (avg: 16.10MB/sec), 15.65 (avg: 16.70) msec latency[RUN #1 23%,   6 secs]  2 threads:        2472 ops,     348 (avg:     353) ops/sec, 16.51MB/sec (avg: 16.16MB/sec), 17.57 (avg: 16.83) msec latency[RUN #1 27%,   7 secs]  2 threads:        2856 ops,     383 (avg:     357) ops/sec, 17.51MB/sec (avg: 16.33MB/sec), 15.77 (avg: 16.68) msec latency[RUN #1 30%,   8 secs]  2 threads:        3190 ops,     333 (avg:     354) ops/sec, 14.51MB/sec (avg: 16.12MB/sec), 17.12 (avg: 16.73) msec latency[RUN #1 33%,   9 secs]  2 threads:        3528 ops,     337 (avg:     352) ops/sec, 16.01MB/sec (avg: 16.11MB/sec), 18.55 (avg: 16.90) msec latency[RUN #1 37%,  11 secs]  2 threads:        3906 ops,     377 (avg:     355) ops/sec, 17.01MB/sec (avg: 16.19MB/sec), 15.96 (avg: 16.81) msec latency[RUN #1 40%,  12 secs]  2 threads:        4262 ops,     355 (avg:     355) ops/sec, 16.51MB/sec (avg: 16.22MB/sec), 16.29 (avg: 16.77) msec latency[RUN #1 43%,  13 secs]  2 threads:        4628 ops,     365 (avg:     355) ops/sec, 16.01MB/sec (avg: 16.20MB/sec), 15.97 (avg: 16.71) msec latency[RUN #1 47%,  14 secs]  2 threads:        4961 ops,     332 (avg:     354) ops/sec, 15.01MB/sec (avg: 16.12MB/sec), 18.03 (avg: 16.79) msec latency[RUN #1 50%,  15 secs]  2 threads:        5288 ops,     326 (avg:     352) ops/sec, 15.51MB/sec (avg: 16.08MB/sec), 18.92 (avg: 16.93) msec latency[RUN #1 53%,  16 secs]  2 threads:        5621 ops,     332 (avg:     351) ops/sec, 15.01MB/sec (avg: 16.01MB/sec), 17.84 (avg: 16.98) msec latency[RUN #1 57%,  17 secs]  2 threads:        5967 ops,     345 (avg:     350) ops/sec, 16.01MB/sec (avg: 16.01MB/sec), 17.82 (avg: 17.03) msec latency[RUN #1 60%,  18 secs]  2 threads:        6304 ops,     336 (avg:     350) ops/sec, 15.01MB/sec (avg: 15.96MB/sec), 17.19 (avg: 17.04) msec latency[RUN #1 63%,  19 secs]  2 threads:        6657 ops,     352 (avg:     350) ops/sec, 16.01MB/sec (avg: 15.96MB/sec), 16.60 (avg: 17.01) msec latency[RUN #1 67%,  20 secs]  2 threads:        7022 ops,     364 (avg:     351) ops/sec, 16.51MB/sec (avg: 15.99MB/sec), 16.62 (avg: 16.99) msec latency[RUN #1 70%,  21 secs]  2 threads:        7356 ops,     333 (avg:     350) ops/sec, 16.01MB/sec (avg: 15.99MB/sec), 18.72 (avg: 17.07) msec latency[RUN #1 73%,  22 secs]  2 threads:        7644 ops,     287 (avg:     347) ops/sec, 12.01MB/sec (avg: 15.81MB/sec), 18.09 (avg: 17.11) msec latency[RUN #1 77%,  23 secs]  2 threads:        7979 ops,     334 (avg:     346) ops/sec, 15.51MB/sec (avg: 15.79MB/sec), 19.10 (avg: 17.19) msec latency[RUN #1 80%,  24 secs]  2 threads:        8349 ops,     369 (avg:     347) ops/sec, 16.51MB/sec (avg: 15.82MB/sec), 16.27 (avg: 17.15) msec latency[RUN #1 83%,  25 secs]  2 threads:        8717 ops,     367 (avg:     348) ops/sec, 17.01MB/sec (avg: 15.87MB/sec), 16.88 (avg: 17.14) msec latency[RUN #1 87%,  26 secs]  2 threads:        9076 ops,     358 (avg:     349) ops/sec, 16.51MB/sec (avg: 15.90MB/sec), 16.56 (avg: 17.12) msec latency[RUN #1 90%,  27 secs]  2 threads:        9438 ops,     361 (avg:     349) ops/sec, 16.01MB/sec (avg: 15.90MB/sec), 16.18 (avg: 17.08) msec latency[RUN #1 93%,  28 secs]  2 threads:        9767 ops,     328 (avg:     348) ops/sec, 15.01MB/sec (avg: 15.87MB/sec), 18.47 (avg: 17.13) msec latency[RUN #1 97%,  29 secs]  2 threads:       10104 ops,     336 (avg:     348) ops/sec, 15.51MB/sec (avg: 15.86MB/sec), 18.00 (avg: 17.16) msec latency[RUN #1 100%,  30 secs]  2 threads:       10440 ops,     336 (avg:     347) ops/sec, 15.51MB/sec (avg: 15.84MB/sec), 18.00 (avg: 17.17) msec latency[RUN #1 100%,  30 secs]  0 threads:       10444 ops,     336 (avg:     347) ops/sec, 15.51MB/sec (avg: 15.90MB/sec), 18.00 (avg: 17.22) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets          31.76          ---          ---    148.19900     16260.59
Gets         315.90         2.23       313.67      4.05000        11.07
Totals       347.66         2.23       313.67     17.21700     16271.66


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET      68.000      0.10482
SET      73.000      0.20964
SET      74.000      0.41929
SET      78.000      0.62893
SET      79.000      0.73375
SET      80.000      0.83857
SET      83.000      1.04822
SET      84.000      1.36268
SET      85.000      1.57233
SET      86.000      1.78197
SET      87.000      2.30608
SET      88.000      2.51572
SET      89.000      3.14465
SET      90.000      3.45912
SET      91.000      3.98323
SET      92.000      4.29769
SET      93.000      4.61216
SET      94.000      4.92662
SET      95.000      5.24109
SET      96.000      5.55556
SET      97.000      6.07966
SET      98.000      7.23270
SET      99.000      7.65199
SET     100.000     10.16771
SET     110.000     19.18239
SET     120.000     29.24528
SET     130.000     37.94549
SET     140.000     51.15304
SET     150.000     60.16771
SET     160.000     70.85954
SET     170.000     79.24528
SET     180.000     86.79245
SET     190.000     91.29979
SET     200.000     93.92034
SET     210.000     96.01677
SET     220.000     97.37945
SET     230.000     98.21803
SET     240.000     98.53249
SET     250.000     98.74214
SET     260.000     99.16143
SET     270.000     99.37107
SET     290.000     99.58071
SET     320.000     99.68553
SET     340.000     99.79036
SET     370.000     99.89518
SET     800.000    100.00000
---
GET       1.500      0.01054
GET       1.900      0.02107
GET       2.000      0.07376
GET       2.100      0.08430
GET       2.200      0.10537
GET       2.300      0.12645
GET       2.400      0.15806
GET       2.500      0.22129
GET       2.600      0.31612
GET       2.700      0.44257
GET       2.800      0.66386
GET       2.900      0.90622
GET       3.000      1.41201
GET       3.100      2.29715
GET       3.200      3.58272
GET       3.300      5.73235
GET       3.400      8.75659
GET       3.500     13.26660
GET       3.600     18.69336
GET       3.700     25.59536
GET       3.800     34.95258
GET       3.900     45.83772
GET       4.000     57.67123
GET       4.100     69.69442
GET       4.200     83.45627
GET       4.300     93.80400
GET       4.400     97.80822
GET       4.500     98.64067
GET       4.600     98.74605
GET       4.700     98.85142
GET       4.800     98.91465
GET       4.900     98.99895
GET       5.000     99.08325
GET       5.100     99.09378
GET       5.200     99.13593
GET       5.300     99.14647
GET       5.400     99.17808
GET       5.500     99.19916
GET       5.600     99.20969
GET       5.800     99.22023
GET       6.000     99.24131
GET       6.200     99.25184
GET       6.300     99.26238
GET       6.500     99.27292
GET       7.600     99.28346
GET       9.400     99.29399
GET       9.500     99.30453
GET       9.700     99.31507
GET       9.800     99.32561
GET       9.900     99.33614
GET      10.000     99.34668
GET      11.000     99.38883
GET      12.000     99.40991
GET      13.000     99.42044
GET      14.000     99.46259
GET      15.000     99.50474
GET      16.000     99.54689
GET      17.000     99.61012
GET      18.000     99.66280
GET      19.000     99.70495
GET      20.000     99.71549
GET      21.000     99.73656
GET      22.000     99.77871
GET      24.000     99.78925
GET      25.000     99.81033
GET      26.000     99.85248
GET      27.000     99.88409
GET      28.000     99.89463
GET      30.000     99.90516
GET      31.000     99.91570
GET      33.000     99.93678
GET      35.000     99.95785
GET      37.000     99.96839
GET      38.000     99.97893
GET      40.000     99.98946
GET      42.000    100.00000
