[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       46278 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       92543 ops,   46258 (avg:   46270) ops/sec, 1.68MB/sec (avg: 1.68MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 10%,   3 secs]  2 threads:      138607 ops,   46058 (avg:   46199) ops/sec, 1.67MB/sec (avg: 1.68MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 13%,   4 secs]  2 threads:      184753 ops,   46140 (avg:   46184) ops/sec, 1.68MB/sec (avg: 1.68MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 17%,   5 secs]  2 threads:      230796 ops,   46036 (avg:   46155) ops/sec, 1.67MB/sec (avg: 1.68MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 20%,   6 secs]  2 threads:      276797 ops,   45995 (avg:   46128) ops/sec, 1.67MB/sec (avg: 1.67MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 23%,   7 secs]  2 threads:      322820 ops,   46016 (avg:   46112) ops/sec, 1.67MB/sec (avg: 1.67MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 27%,   8 secs]  2 threads:      368816 ops,   45989 (avg:   46097) ops/sec, 1.67MB/sec (avg: 1.67MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 30%,   9 secs]  2 threads:      414796 ops,   45974 (avg:   46083) ops/sec, 1.67MB/sec (avg: 1.67MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 33%,  10 secs]  2 threads:      460777 ops,   45975 (avg:   46072) ops/sec, 1.67MB/sec (avg: 1.67MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 37%,  11 secs]  2 threads:      506827 ops,   46043 (avg:   46070) ops/sec, 1.67MB/sec (avg: 1.67MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 40%,  12 secs]  2 threads:      552807 ops,   45975 (avg:   46062) ops/sec, 1.67MB/sec (avg: 1.67MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 43%,  13 secs]  2 threads:      598745 ops,   45932 (avg:   46052) ops/sec, 1.67MB/sec (avg: 1.67MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 47%,  14 secs]  2 threads:      644710 ops,   45960 (avg:   46045) ops/sec, 1.67MB/sec (avg: 1.67MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 50%,  15 secs]  2 threads:      690692 ops,   45977 (avg:   46041) ops/sec, 1.67MB/sec (avg: 1.67MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 53%,  16 secs]  2 threads:      736678 ops,   45981 (avg:   46037) ops/sec, 1.67MB/sec (avg: 1.67MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 57%,  17 secs]  2 threads:      782640 ops,   45957 (avg:   46032) ops/sec, 1.67MB/sec (avg: 1.67MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 60%,  18 secs]  2 threads:      828384 ops,   45739 (avg:   46016) ops/sec, 1.66MB/sec (avg: 1.67MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 63%,  19 secs]  2 threads:      874272 ops,   45883 (avg:   46009) ops/sec, 1.67MB/sec (avg: 1.67MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 67%,  20 secs]  2 threads:      920133 ops,   45856 (avg:   46001) ops/sec, 1.66MB/sec (avg: 1.67MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 70%,  21 secs]  2 threads:      966323 ops,   46185 (avg:   46010) ops/sec, 1.68MB/sec (avg: 1.67MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 73%,  22 secs]  2 threads:     1012097 ops,   45768 (avg:   45999) ops/sec, 1.66MB/sec (avg: 1.67MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 77%,  23 secs]  2 threads:     1057910 ops,   45806 (avg:   45991) ops/sec, 1.66MB/sec (avg: 1.67MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 80%,  24 secs]  2 threads:     1103724 ops,   45808 (avg:   45983) ops/sec, 1.66MB/sec (avg: 1.67MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 83%,  25 secs]  2 threads:     1149485 ops,   45755 (avg:   45974) ops/sec, 1.66MB/sec (avg: 1.67MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 87%,  26 secs]  2 threads:     1195268 ops,   45777 (avg:   45966) ops/sec, 1.66MB/sec (avg: 1.67MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 90%,  27 secs]  2 threads:     1241044 ops,   45770 (avg:   45959) ops/sec, 1.66MB/sec (avg: 1.67MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 93%,  28 secs]  2 threads:     1286889 ops,   45839 (avg:   45955) ops/sec, 1.66MB/sec (avg: 1.67MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 97%,  29 secs]  2 threads:     1332651 ops,   45756 (avg:   45948) ops/sec, 1.66MB/sec (avg: 1.67MB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 100%,  30 secs]  0 threads:     1378140 ops,   45756 (avg:   45937) ops/sec, 1.66MB/sec (avg: 1.67MB/sec),  0.13 (avg:  0.13) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        4176.26          ---          ---      0.13000       244.26
Gets       41761.65     25431.28     16330.37      0.12700      1463.73
Totals     45937.91     25431.28     16330.37      0.12700      1708.00


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.055      0.00008
GET       0.056      0.00056
GET       0.057      0.00080
GET       0.058      0.00104
GET       0.059      0.00152
GET       0.060      0.00263
GET       0.061      0.00575
GET       0.062      0.01022
GET       0.063      0.01844
GET       0.064      0.03001
GET       0.065      0.04470
GET       0.066      0.06401
GET       0.067      0.08117
GET       0.068      0.10448
GET       0.069      0.13385
GET       0.070      0.16786
GET       0.071      0.21359
GET       0.072      0.27457
GET       0.073      0.34314
GET       0.074      0.42998
GET       0.075      0.53007
GET       0.076      0.64182
GET       0.077      0.77495
GET       0.078      0.92948
GET       0.079      1.10436
GET       0.080      1.29784
GET       0.081      1.53681
GET       0.082      1.79550
GET       0.083      2.07870
GET       0.084      2.39637
GET       0.085      2.76832
GET       0.086      3.21067
GET       0.087      3.74122
GET       0.088      4.39741
GET       0.089      5.16565
GET       0.090      6.04253
GET       0.091      7.10475
GET       0.092      8.46852
GET       0.093     10.29747
GET       0.094     12.71850
GET       0.095     15.27148
GET       0.096     17.46830
GET       0.097     19.42847
GET       0.098     21.31337
GET       0.099     23.14583
GET       0.100     31.84079
GET       0.110     45.88659
GET       0.120     57.68359
GET       0.130     68.86256
GET       0.140     79.43197
GET       0.150     87.42014
GET       0.160     91.83958
GET       0.170     94.24609
GET       0.180     95.66621
GET       0.190     96.57054
GET       0.200     97.10668
GET       0.210     97.41925
GET       0.220     97.65599
GET       0.230     97.84667
GET       0.240     98.02315
GET       0.250     98.17935
GET       0.260     98.31552
GET       0.270     98.43325
GET       0.280     98.53822
GET       0.290     98.62905
GET       0.300     98.70839
GET       0.310     98.77839
GET       0.320     98.83993
GET       0.330     98.88973
GET       0.340     98.93834
GET       0.350     98.98232
GET       0.360     99.02415
GET       0.370     99.06597
GET       0.380     99.10580
GET       0.390     99.14411
GET       0.400     99.17963
GET       0.410     99.21802
GET       0.420     99.25259
GET       0.430     99.28715
GET       0.440     99.31692
GET       0.450     99.34462
GET       0.460     99.37295
GET       0.470     99.40320
GET       0.480     99.43130
GET       0.490     99.45868
GET       0.500     99.48837
GET       0.510     99.51622
GET       0.520     99.54129
GET       0.530     99.56954
GET       0.540     99.59636
GET       0.550     99.62326
GET       0.560     99.64832
GET       0.570     99.67347
GET       0.580     99.69741
GET       0.590     99.72112
GET       0.600     99.74099
GET       0.610     99.76270
GET       0.620     99.78529
GET       0.630     99.80437
GET       0.640     99.82408
GET       0.650     99.84204
GET       0.660     99.85848
GET       0.670     99.87405
GET       0.680     99.88762
GET       0.690     99.90103
GET       0.700     99.91483
GET       0.710     99.92585
GET       0.720     99.93511
GET       0.730     99.94261
GET       0.740     99.94979
GET       0.750     99.95626
GET       0.760     99.96265
GET       0.770     99.96887
GET       0.780     99.97582
GET       0.790     99.98108
GET       0.800     99.98595
GET       0.810     99.99066
GET       0.820     99.99290
GET       0.830     99.99481
GET       0.840     99.99625
GET       0.850     99.99721
GET       0.860     99.99745
GET       0.870     99.99792
GET       0.880     99.99808
GET       0.890     99.99832
GET       0.900     99.99840
GET       0.910     99.99848
GET       0.930     99.99872
GET       0.950     99.99888
GET       0.960     99.99896
GET       0.970     99.99904
GET       1.000     99.99920
GET       1.800     99.99928
GET       2.300     99.99936
GET       3.300     99.99944
GET       4.300     99.99952
GET       5.100     99.99960
GET       5.200     99.99976
GET       5.300     99.99984
GET       6.000     99.99992
GET       6.100    100.00000
