[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       34388 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       68287 ops,   33895 (avg:   34142) ops/sec, 1.28MB/sec (avg: 1.28MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 10%,   3 secs]  1 threads:      102273 ops,   33982 (avg:   34088) ops/sec, 1.28MB/sec (avg: 1.28MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 13%,   4 secs]  1 threads:      136484 ops,   34207 (avg:   34118) ops/sec, 1.29MB/sec (avg: 1.28MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 17%,   5 secs]  1 threads:      170960 ops,   34472 (avg:   34189) ops/sec, 1.30MB/sec (avg: 1.29MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 20%,   6 secs]  1 threads:      203615 ops,   32651 (avg:   33933) ops/sec, 1.23MB/sec (avg: 1.28MB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 23%,   7 secs]  1 threads:      237467 ops,   33848 (avg:   33921) ops/sec, 1.27MB/sec (avg: 1.28MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 27%,   8 secs]  1 threads:      271159 ops,   33688 (avg:   33892) ops/sec, 1.27MB/sec (avg: 1.28MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 30%,   9 secs]  1 threads:      304122 ops,   32959 (avg:   33788) ops/sec, 1.24MB/sec (avg: 1.27MB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 33%,  10 secs]  1 threads:      337890 ops,   33765 (avg:   33786) ops/sec, 1.27MB/sec (avg: 1.27MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 37%,  11 secs]  1 threads:      371426 ops,   33533 (avg:   33763) ops/sec, 1.26MB/sec (avg: 1.27MB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 40%,  12 secs]  1 threads:      404310 ops,   32881 (avg:   33689) ops/sec, 1.24MB/sec (avg: 1.27MB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 43%,  13 secs]  1 threads:      437153 ops,   32839 (avg:   33624) ops/sec, 1.24MB/sec (avg: 1.27MB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 47%,  14 secs]  1 threads:      470431 ops,   33273 (avg:   33599) ops/sec, 1.25MB/sec (avg: 1.26MB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 50%,  15 secs]  1 threads:      504592 ops,   34156 (avg:   33636) ops/sec, 1.29MB/sec (avg: 1.27MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 53%,  16 secs]  1 threads:      538224 ops,   33627 (avg:   33635) ops/sec, 1.27MB/sec (avg: 1.27MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 57%,  17 secs]  1 threads:      571893 ops,   33664 (avg:   33637) ops/sec, 1.27MB/sec (avg: 1.27MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 60%,  18 secs]  1 threads:      604770 ops,   32872 (avg:   33594) ops/sec, 1.24MB/sec (avg: 1.26MB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 63%,  19 secs]  1 threads:      638563 ops,   33788 (avg:   33605) ops/sec, 1.27MB/sec (avg: 1.26MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 67%,  20 secs]  1 threads:      672015 ops,   33447 (avg:   33597) ops/sec, 1.26MB/sec (avg: 1.26MB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 70%,  21 secs]  1 threads:      705213 ops,   33193 (avg:   33578) ops/sec, 1.25MB/sec (avg: 1.26MB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 73%,  22 secs]  1 threads:      738624 ops,   33406 (avg:   33570) ops/sec, 1.26MB/sec (avg: 1.26MB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 77%,  23 secs]  1 threads:      771372 ops,   32743 (avg:   33534) ops/sec, 1.23MB/sec (avg: 1.26MB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 80%,  24 secs]  1 threads:      804463 ops,   33086 (avg:   33515) ops/sec, 1.24MB/sec (avg: 1.26MB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 83%,  25 secs]  1 threads:      838237 ops,   33769 (avg:   33525) ops/sec, 1.27MB/sec (avg: 1.26MB/sec),  0.23 (avg:  0.24) msec latency[RUN #1 87%,  26 secs]  1 threads:      870218 ops,   31976 (avg:   33466) ops/sec, 1.20MB/sec (avg: 1.26MB/sec),  0.25 (avg:  0.24) msec latency[RUN #1 90%,  27 secs]  1 threads:      902861 ops,   32638 (avg:   33435) ops/sec, 1.23MB/sec (avg: 1.26MB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 93%,  28 secs]  1 threads:      935684 ops,   32818 (avg:   33413) ops/sec, 1.23MB/sec (avg: 1.26MB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 97%,  29 secs]  1 threads:      971976 ops,   36287 (avg:   33512) ops/sec, 1.37MB/sec (avg: 1.26MB/sec),  0.22 (avg:  0.24) msec latency[RUN #1 100%,  30 secs]  0 threads:     1019113 ops,   36287 (avg:   33970) ops/sec, 1.37MB/sec (avg: 1.28MB/sec),  0.22 (avg:  0.23) msec latency

1         Threads
8         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        3088.33          ---          ---      0.23600       228.67
Gets       30882.05     19840.77     11041.28      0.23200      1080.12
Totals     33970.38     19840.77     11041.28      0.23200      1308.79


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.058      0.00032
GET       0.059      0.00043
GET       0.060      0.00065
GET       0.061      0.00151
GET       0.062      0.00194
GET       0.063      0.00356
GET       0.064      0.00475
GET       0.065      0.00723
GET       0.066      0.00907
GET       0.067      0.01144
GET       0.068      0.01403
GET       0.069      0.01749
GET       0.070      0.02159
GET       0.071      0.02547
GET       0.072      0.03109
GET       0.073      0.03929
GET       0.074      0.05019
GET       0.075      0.05785
GET       0.076      0.07124
GET       0.077      0.08300
GET       0.078      0.09693
GET       0.079      0.11398
GET       0.080      0.13686
GET       0.081      0.16039
GET       0.082      0.19040
GET       0.083      0.22203
GET       0.084      0.26768
GET       0.085      0.31971
GET       0.086      0.38264
GET       0.087      0.45539
GET       0.088      0.53710
GET       0.089      0.63510
GET       0.090      0.75351
GET       0.091      0.88843
GET       0.092      1.05023
GET       0.093      1.23880
GET       0.094      1.45025
GET       0.095      1.68048
GET       0.096      1.92334
GET       0.097      2.17613
GET       0.098      2.44068
GET       0.099      2.70880
GET       0.100      4.18646
GET       0.110      7.47078
GET       0.120     10.86541
GET       0.130     15.22133
GET       0.140     22.08669
GET       0.150     29.70988
GET       0.160     36.05789
GET       0.170     41.51779
GET       0.180     47.09600
GET       0.190     53.53932
GET       0.200     59.92619
GET       0.210     65.35836
GET       0.220     70.03118
GET       0.230     74.36055
GET       0.240     78.49293
GET       0.250     82.01785
GET       0.260     84.72654
GET       0.270     86.78231
GET       0.280     88.46592
GET       0.290     89.86511
GET       0.300     91.00385
GET       0.310     91.90459
GET       0.320     92.63133
GET       0.330     93.26525
GET       0.340     93.83375
GET       0.350     94.31451
GET       0.360     94.71981
GET       0.370     95.07654
GET       0.380     95.40759
GET       0.390     95.69729
GET       0.400     95.96508
GET       0.410     96.19650
GET       0.420     96.39252
GET       0.430     96.57925
GET       0.440     96.74634
GET       0.450     96.89993
GET       0.460     97.03939
GET       0.470     97.16049
GET       0.480     97.27275
GET       0.490     97.37658
GET       0.500     97.46757
GET       0.510     97.55241
GET       0.520     97.62883
GET       0.530     97.69802
GET       0.540     97.76429
GET       0.550     97.82679
GET       0.560     97.88324
GET       0.570     97.93408
GET       0.580     97.98319
GET       0.590     98.02755
GET       0.600     98.07094
GET       0.610     98.11369
GET       0.620     98.15298
GET       0.630     98.18870
GET       0.640     98.22432
GET       0.650     98.25282
GET       0.660     98.28142
GET       0.670     98.30959
GET       0.680     98.33874
GET       0.690     98.36561
GET       0.700     98.39076
GET       0.710     98.41418
GET       0.720     98.43674
GET       0.730     98.45639
GET       0.740     98.48003
GET       0.750     98.49859
GET       0.760     98.51845
GET       0.770     98.53756
GET       0.780     98.55472
GET       0.790     98.57210
GET       0.800     98.58883
GET       0.810     98.60253
GET       0.820     98.61797
GET       0.830     98.63610
GET       0.840     98.65121
GET       0.850     98.66557
GET       0.860     98.67917
GET       0.870     98.69277
GET       0.880     98.70669
GET       0.890     98.71965
GET       0.900     98.73195
GET       0.910     98.74296
GET       0.920     98.75473
GET       0.930     98.76595
GET       0.940     98.77858
GET       0.950     98.79143
GET       0.960     98.80265
GET       0.970     98.81398
GET       0.980     98.82456
GET       0.990     98.83330
GET       1.000     98.88641
GET       1.100     98.97384
GET       1.200     99.05253
GET       1.300     99.12085
GET       1.400     99.18097
GET       1.500     99.22544
GET       1.600     99.26678
GET       1.700     99.30996
GET       1.800     99.34709
GET       1.900     99.38357
GET       2.000     99.41466
GET       2.100     99.44617
GET       2.200     99.47521
GET       2.300     99.50381
GET       2.400     99.52702
GET       2.500     99.55001
GET       2.600     99.57483
GET       2.700     99.59631
GET       2.800     99.61563
GET       2.900     99.63657
GET       3.000     99.65590
GET       3.100     99.67219
GET       3.200     99.69270
GET       3.300     99.70922
GET       3.400     99.72530
GET       3.500     99.73782
GET       3.600     99.75034
GET       3.700     99.76297
GET       3.800     99.77473
GET       3.900     99.78456
GET       4.000     99.79470
GET       4.100     99.80334
GET       4.200     99.81424
GET       4.300     99.82978
GET       4.400     99.84392
GET       4.500     99.85547
GET       4.600     99.86411
GET       4.700     99.86994
GET       4.800     99.87566
GET       4.900     99.88051
GET       5.000     99.88623
GET       5.100     99.89195
GET       5.200     99.89746
GET       5.300     99.90296
GET       5.400     99.90858
GET       5.500     99.91279
GET       5.600     99.91592
GET       5.700     99.91937
GET       5.800     99.92175
GET       5.900     99.92595
GET       6.000     99.92833
GET       6.100     99.93081
GET       6.200     99.93308
GET       6.300     99.93513
GET       6.400     99.93686
GET       6.500     99.93902
GET       6.600     99.94193
GET       6.700     99.94387
GET       6.800     99.94495
GET       6.900     99.94603
GET       7.000     99.94862
GET       7.100     99.95078
GET       7.200     99.95294
GET       7.300     99.95488
GET       7.400     99.95639
GET       7.500     99.95726
GET       7.600     99.95823
GET       7.700     99.96028
GET       7.800     99.96082
GET       7.900     99.96211
GET       8.000     99.96330
GET       8.100     99.96460
GET       8.200     99.96686
GET       8.300     99.96989
GET       8.400     99.97356
GET       8.500     99.97690
GET       8.600     99.97895
GET       8.700     99.97982
GET       8.800     99.98068
GET       8.900     99.98165
GET       9.000     99.98208
GET       9.100     99.98305
GET       9.200     99.98403
GET       9.300     99.98456
GET       9.400     99.98478
GET       9.500     99.98532
GET       9.600     99.98586
GET       9.700     99.98608
GET       9.800     99.98672
GET       9.900     99.98683
GET      10.000     99.98823
GET      11.000     99.98996
GET      12.000     99.99417
GET      13.000     99.99644
GET      14.000     99.99741
GET      15.000     99.99817
GET      16.000     99.99903
GET      17.000     99.99968
GET      20.000     99.99989
GET      23.000    100.00000
