[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       13149 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       23740 ops,   10589 (avg:   11869) ops/sec, 401.75KB/sec (avg: 450.39KB/sec),  0.19 (avg:  0.17) msec latency[RUN #1 10%,   3 secs]  1 threads:       33046 ops,    9304 (avg:   11014) ops/sec, 353.08KB/sec (avg: 417.95KB/sec),  0.21 (avg:  0.18) msec latency[RUN #1 13%,   4 secs]  1 threads:       41122 ops,    8075 (avg:   10279) ops/sec, 306.40KB/sec (avg: 390.06KB/sec),  0.24 (avg:  0.19) msec latency[RUN #1 17%,   5 secs]  1 threads:       49091 ops,    7968 (avg:    9817) ops/sec, 302.30KB/sec (avg: 372.51KB/sec),  0.25 (avg:  0.20) msec latency[RUN #1 20%,   6 secs]  1 threads:       55902 ops,    6810 (avg:    9316) ops/sec, 258.38KB/sec (avg: 353.48KB/sec),  0.29 (avg:  0.21) msec latency[RUN #1 23%,   7 secs]  1 threads:       63402 ops,    7499 (avg:    9056) ops/sec, 284.51KB/sec (avg: 343.63KB/sec),  0.26 (avg:  0.22) msec latency[RUN #1 27%,   8 secs]  1 threads:       70509 ops,    7106 (avg:    8812) ops/sec, 269.59KB/sec (avg: 334.38KB/sec),  0.28 (avg:  0.22) msec latency[RUN #1 30%,   9 secs]  1 threads:       77715 ops,    7205 (avg:    8634) ops/sec, 273.37KB/sec (avg: 327.60KB/sec),  0.27 (avg:  0.23) msec latency[RUN #1 33%,  10 secs]  1 threads:       85292 ops,    7576 (avg:    8528) ops/sec, 287.45KB/sec (avg: 323.58KB/sec),  0.26 (avg:  0.23) msec latency[RUN #1 37%,  11 secs]  1 threads:       93137 ops,    7844 (avg:    8466) ops/sec, 297.59KB/sec (avg: 321.22KB/sec),  0.25 (avg:  0.23) msec latency[RUN #1 40%,  12 secs]  1 threads:      100446 ops,    7308 (avg:    8369) ops/sec, 277.25KB/sec (avg: 317.55KB/sec),  0.27 (avg:  0.23) msec latency[RUN #1 43%,  13 secs]  1 threads:      107622 ops,    7175 (avg:    8277) ops/sec, 272.27KB/sec (avg: 314.07KB/sec),  0.27 (avg:  0.24) msec latency[RUN #1 47%,  14 secs]  1 threads:      115625 ops,    8002 (avg:    8258) ops/sec, 303.69KB/sec (avg: 313.33KB/sec),  0.25 (avg:  0.24) msec latency[RUN #1 50%,  15 secs]  1 threads:      123837 ops,    8211 (avg:    8255) ops/sec, 311.63KB/sec (avg: 313.22KB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 53%,  16 secs]  1 threads:      130834 ops,    6996 (avg:    8176) ops/sec, 265.50KB/sec (avg: 310.23KB/sec),  0.28 (avg:  0.24) msec latency[RUN #1 57%,  17 secs]  1 threads:      137543 ops,    6708 (avg:    8090) ops/sec, 254.54KB/sec (avg: 306.96KB/sec),  0.29 (avg:  0.24) msec latency[RUN #1 60%,  18 secs]  1 threads:      144836 ops,    7292 (avg:    8045) ops/sec, 276.70KB/sec (avg: 305.28KB/sec),  0.27 (avg:  0.24) msec latency[RUN #1 63%,  19 secs]  1 threads:      151863 ops,    7026 (avg:    7992) ops/sec, 266.55KB/sec (avg: 303.24KB/sec),  0.28 (avg:  0.25) msec latency[RUN #1 67%,  20 secs]  1 threads:      160744 ops,    8880 (avg:    8036) ops/sec, 336.97KB/sec (avg: 304.93KB/sec),  0.22 (avg:  0.24) msec latency[RUN #1 70%,  21 secs]  1 threads:      168758 ops,    8013 (avg:    8035) ops/sec, 304.05KB/sec (avg: 304.88KB/sec),  0.25 (avg:  0.24) msec latency[RUN #1 73%,  22 secs]  1 threads:      177425 ops,    8666 (avg:    8064) ops/sec, 328.86KB/sec (avg: 305.97KB/sec),  0.23 (avg:  0.24) msec latency[RUN #1 77%,  23 secs]  1 threads:      184830 ops,    7404 (avg:    8035) ops/sec, 280.93KB/sec (avg: 304.88KB/sec),  0.27 (avg:  0.24) msec latency[RUN #1 80%,  24 secs]  1 threads:      192974 ops,    8143 (avg:    8039) ops/sec, 308.98KB/sec (avg: 305.06KB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 83%,  25 secs]  1 threads:      200518 ops,    7543 (avg:    8020) ops/sec, 286.26KB/sec (avg: 304.30KB/sec),  0.26 (avg:  0.25) msec latency[RUN #1 87%,  26 secs]  1 threads:      208538 ops,    8019 (avg:    8019) ops/sec, 304.35KB/sec (avg: 304.31KB/sec),  0.25 (avg:  0.25) msec latency[RUN #1 90%,  27 secs]  1 threads:      217819 ops,    9280 (avg:    8066) ops/sec, 352.11KB/sec (avg: 306.08KB/sec),  0.21 (avg:  0.24) msec latency[RUN #1 93%,  28 secs]  1 threads:      227899 ops,   10079 (avg:    8138) ops/sec, 382.50KB/sec (avg: 308.81KB/sec),  0.19 (avg:  0.24) msec latency[RUN #1 97%,  29 secs]  1 threads:      239335 ops,   11434 (avg:    8252) ops/sec, 433.91KB/sec (avg: 313.12KB/sec),  0.17 (avg:  0.24) msec latency[RUN #1 100%,  30 secs]  0 threads:      253293 ops,   11434 (avg:    8443) ops/sec, 433.91KB/sec (avg: 320.36KB/sec),  0.17 (avg:  0.23) msec latency

1         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         767.57          ---          ---      0.23800        56.38
Gets        7675.52      7005.53       670.00      0.23200       263.98
Totals      8443.09      7005.53       670.00      0.23200       320.36


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     99.80023
SET       2.000     99.93920
SET       3.000     99.98263
SET       4.000     99.99131
SET       5.000    100.00000
---
GET       0.057      0.00087
GET       0.058      0.00174
GET       0.059      0.00261
GET       0.060      0.00347
GET       0.061      0.00825
GET       0.062      0.01694
GET       0.063      0.02910
GET       0.064      0.04299
GET       0.065      0.06080
GET       0.066      0.08425
GET       0.067      0.11335
GET       0.068      0.15851
GET       0.069      0.20281
GET       0.070      0.25753
GET       0.071      0.31920
GET       0.072      0.41170
GET       0.073      0.49769
GET       0.074      0.59323
GET       0.075      0.70223
GET       0.076      0.81645
GET       0.077      0.94413
GET       0.078      1.08223
GET       0.079      1.23249
GET       0.080      1.39882
GET       0.081      1.58860
GET       0.082      1.80053
GET       0.083      2.02027
GET       0.084      2.26173
GET       0.085      2.50927
GET       0.086      2.76723
GET       0.087      3.05647
GET       0.088      3.36350
GET       0.089      3.68878
GET       0.090      4.05661
GET       0.091      4.43140
GET       0.092      4.80401
GET       0.093      5.23872
GET       0.094      5.71556
GET       0.095      6.24321
GET       0.096      6.76739
GET       0.097      7.24988
GET       0.098      7.76059
GET       0.099      8.28781
GET       0.100     10.90695
GET       0.110     15.59501
GET       0.120     20.02206
GET       0.130     25.12182
GET       0.140     32.13153
GET       0.150     39.16297
GET       0.160     44.09031
GET       0.170     47.90894
GET       0.180     51.57731
GET       0.190     55.79634
GET       0.200     59.60324
GET       0.210     62.45169
GET       0.220     64.83111
GET       0.230     67.15538
GET       0.240     69.69201
GET       0.250     71.98153
GET       0.260     73.82201
GET       0.270     75.42277
GET       0.280     77.02570
GET       0.290     78.74024
GET       0.300     80.26543
GET       0.310     81.55742
GET       0.320     82.71260
GET       0.330     83.90036
GET       0.340     85.06119
GET       0.350     86.10086
GET       0.360     86.97550
GET       0.370     87.78456
GET       0.380     88.58928
GET       0.390     89.38271
GET       0.400     90.05976
GET       0.410     90.66080
GET       0.420     91.21060
GET       0.430     91.76865
GET       0.440     92.29891
GET       0.450     92.78052
GET       0.460     93.21784
GET       0.470     93.63345
GET       0.480     94.02300
GET       0.490     94.40994
GET       0.500     94.73826
GET       0.510     94.99709
GET       0.520     95.27416
GET       0.530     95.54993
GET       0.540     95.81701
GET       0.550     96.06021
GET       0.560     96.24782
GET       0.570     96.43716
GET       0.580     96.62086
GET       0.590     96.79241
GET       0.600     96.93876
GET       0.610     97.06513
GET       0.620     97.20845
GET       0.630     97.34307
GET       0.640     97.46597
GET       0.650     97.58366
GET       0.660     97.68051
GET       0.670     97.78951
GET       0.680     97.87420
GET       0.690     97.96062
GET       0.700     98.03054
GET       0.710     98.09090
GET       0.720     98.15735
GET       0.730     98.21988
GET       0.740     98.28590
GET       0.750     98.34669
GET       0.760     98.40359
GET       0.770     98.45396
GET       0.780     98.50608
GET       0.790     98.55081
GET       0.800     98.59337
GET       0.810     98.63115
GET       0.820     98.67544
GET       0.830     98.71540
GET       0.840     98.75101
GET       0.850     98.77967
GET       0.860     98.81441
GET       0.870     98.84785
GET       0.880     98.88477
GET       0.890     98.91169
GET       0.900     98.93905
GET       0.910     98.96468
GET       0.920     98.99638
GET       0.930     99.02157
GET       0.940     99.04241
GET       0.950     99.06282
GET       0.960     99.08627
GET       0.970     99.11190
GET       0.980     99.13665
GET       0.990     99.15619
GET       1.000     99.25608
GET       1.100     99.36552
GET       1.200     99.47192
GET       1.300     99.56051
GET       1.400     99.63564
GET       1.500     99.69514
GET       1.600     99.74464
GET       1.700     99.78069
GET       1.800     99.81456
GET       1.900     99.84322
GET       2.000     99.86581
GET       2.100     99.88492
GET       2.200     99.90272
GET       2.300     99.90967
GET       2.400     99.91792
GET       2.500     99.93138
GET       2.600     99.94224
GET       2.700     99.94919
GET       2.800     99.95397
GET       2.900     99.96048
GET       3.000     99.96482
GET       3.100     99.97047
GET       3.200     99.97221
GET       3.300     99.97785
GET       3.400     99.98133
GET       3.500     99.98350
GET       3.600     99.98393
GET       3.700     99.98610
GET       3.800     99.98654
GET       3.900     99.98958
GET       4.000     99.99001
GET       4.100     99.99175
GET       4.200     99.99392
GET       4.300     99.99435
GET       4.400     99.99479
GET       4.500     99.99522
GET       4.600     99.99653
GET       4.700     99.99739
GET       4.800     99.99783
GET       4.900     99.99826
GET       5.000     99.99870
GET       6.200     99.99913
GET       8.500    100.00000
