[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       17778 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       34867 ops,   17087 (avg:   17432) ops/sec, 659.91KB/sec (avg: 673.24KB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 10%,   3 secs]  2 threads:       51400 ops,   16531 (avg:   17132) ops/sec, 638.40KB/sec (avg: 661.62KB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 13%,   4 secs]  2 threads:       67806 ops,   16404 (avg:   16950) ops/sec, 633.41KB/sec (avg: 654.57KB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 17%,   5 secs]  2 threads:       84377 ops,   16569 (avg:   16874) ops/sec, 639.83KB/sec (avg: 651.62KB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 20%,   6 secs]  2 threads:      100881 ops,   16502 (avg:   16812) ops/sec, 637.33KB/sec (avg: 649.24KB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 23%,   7 secs]  2 threads:      117315 ops,   16432 (avg:   16757) ops/sec, 634.47KB/sec (avg: 647.13KB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 27%,   8 secs]  2 threads:      133859 ops,   16542 (avg:   16730) ops/sec, 638.80KB/sec (avg: 646.09KB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 30%,   9 secs]  2 threads:      150482 ops,   16621 (avg:   16718) ops/sec, 641.85KB/sec (avg: 645.62KB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 33%,  10 secs]  2 threads:      167020 ops,   16536 (avg:   16700) ops/sec, 638.53KB/sec (avg: 644.91KB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 37%,  11 secs]  2 threads:      183317 ops,   16295 (avg:   16663) ops/sec, 629.29KB/sec (avg: 643.49KB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 40%,  12 secs]  2 threads:      199574 ops,   16255 (avg:   16629) ops/sec, 627.76KB/sec (avg: 642.18KB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 43%,  13 secs]  2 threads:      216155 ops,   16579 (avg:   16625) ops/sec, 640.33KB/sec (avg: 642.04KB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 47%,  14 secs]  2 threads:      232346 ops,   16189 (avg:   16594) ops/sec, 625.20KB/sec (avg: 640.83KB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 50%,  15 secs]  2 threads:      248846 ops,   16498 (avg:   16588) ops/sec, 637.20KB/sec (avg: 640.59KB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 53%,  16 secs]  2 threads:      265133 ops,   16285 (avg:   16569) ops/sec, 628.91KB/sec (avg: 639.86KB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 57%,  17 secs]  2 threads:      281381 ops,   16246 (avg:   16550) ops/sec, 627.40KB/sec (avg: 639.13KB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 60%,  18 secs]  2 threads:      297600 ops,   16217 (avg:   16531) ops/sec, 626.38KB/sec (avg: 638.42KB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 63%,  19 secs]  2 threads:      314094 ops,   16492 (avg:   16529) ops/sec, 637.01KB/sec (avg: 638.35KB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 67%,  20 secs]  2 threads:      330483 ops,   16387 (avg:   16522) ops/sec, 632.78KB/sec (avg: 638.07KB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 70%,  21 secs]  2 threads:      346976 ops,   16491 (avg:   16521) ops/sec, 636.91KB/sec (avg: 638.01KB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 73%,  22 secs]  2 threads:      363195 ops,   16217 (avg:   16507) ops/sec, 626.33KB/sec (avg: 637.48KB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 77%,  23 secs]  2 threads:      379322 ops,   16125 (avg:   16490) ops/sec, 622.76KB/sec (avg: 636.84KB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 80%,  24 secs]  2 threads:      395733 ops,   16409 (avg:   16487) ops/sec, 633.69KB/sec (avg: 636.71KB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 83%,  25 secs]  2 threads:      411958 ops,   16223 (avg:   16476) ops/sec, 626.55KB/sec (avg: 636.30KB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 87%,  26 secs]  2 threads:      428243 ops,   16283 (avg:   16469) ops/sec, 628.84KB/sec (avg: 636.02KB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 90%,  27 secs]  2 threads:      444626 ops,   16381 (avg:   16466) ops/sec, 632.60KB/sec (avg: 635.89KB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 93%,  28 secs]  2 threads:      460698 ops,   16070 (avg:   16451) ops/sec, 620.67KB/sec (avg: 635.35KB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 97%,  29 secs]  2 threads:      478083 ops,   17383 (avg:   16484) ops/sec, 671.38KB/sec (avg: 636.59KB/sec),  0.23 (avg:  0.24) msec latency[RUN #1 100%,  30 secs]  0 threads:      496521 ops,   17383 (avg:   16550) ops/sec, 671.38KB/sec (avg: 639.16KB/sec),  0.23 (avg:  0.24) msec latency

2         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1504.67          ---          ---      0.23900       111.54
Gets       15046.02      7423.33      7622.69      0.23700       527.63
Totals     16550.69      7423.33      7622.69      0.23700       639.16


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.062      0.00022
GET       0.063      0.00044
GET       0.064      0.00089
GET       0.065      0.00111
GET       0.067      0.00177
GET       0.068      0.00222
GET       0.069      0.00310
GET       0.070      0.00354
GET       0.071      0.00443
GET       0.072      0.00576
GET       0.073      0.00731
GET       0.074      0.00842
GET       0.075      0.01086
GET       0.076      0.01374
GET       0.077      0.01617
GET       0.078      0.02082
GET       0.079      0.02548
GET       0.080      0.03212
GET       0.081      0.03633
GET       0.082      0.04542
GET       0.083      0.05871
GET       0.084      0.06979
GET       0.085      0.08219
GET       0.086      0.09615
GET       0.087      0.11830
GET       0.088      0.14112
GET       0.089      0.16571
GET       0.090      0.19961
GET       0.091      0.23151
GET       0.092      0.27471
GET       0.093      0.32567
GET       0.094      0.38659
GET       0.095      0.45217
GET       0.096      0.52971
GET       0.097      0.61057
GET       0.098      0.70495
GET       0.099      0.79755
GET       0.100      1.35961
GET       0.110      3.02738
GET       0.120      5.42513
GET       0.130      9.14039
GET       0.140     15.59060
GET       0.150     22.70166
GET       0.160     27.68349
GET       0.170     31.36951
GET       0.180     34.23560
GET       0.190     36.69295
GET       0.200     38.36936
GET       0.210     39.44229
GET       0.220     40.50857
GET       0.230     42.06181
GET       0.240     44.87251
GET       0.250     48.71384
GET       0.260     53.25900
GET       0.270     58.52905
GET       0.280     64.82417
GET       0.290     72.44944
GET       0.300     79.40808
GET       0.310     84.90455
GET       0.320     89.21886
GET       0.330     92.63682
GET       0.340     95.33210
GET       0.350     97.13745
GET       0.360     98.23586
GET       0.370     98.89251
GET       0.380     99.29705
GET       0.390     99.53432
GET       0.400     99.66348
GET       0.410     99.73703
GET       0.420     99.77757
GET       0.430     99.80438
GET       0.440     99.82321
GET       0.450     99.84115
GET       0.460     99.85799
GET       0.470     99.87882
GET       0.480     99.89920
GET       0.490     99.92024
GET       0.500     99.93730
GET       0.510     99.94927
GET       0.520     99.96189
GET       0.530     99.97275
GET       0.540     99.98095
GET       0.550     99.98649
GET       0.560     99.99003
GET       0.570     99.99380
GET       0.580     99.99513
GET       0.590     99.99668
GET       0.600     99.99734
GET       0.610     99.99801
GET       0.620     99.99845
GET       0.630     99.99867
GET       0.640     99.99911
GET       0.660     99.99956
GET       0.890     99.99978
GET       0.980    100.00000
