[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       18824 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       33558 ops,   14732 (avg:   16778) ops/sec, 568.94KB/sec (avg: 647.99KB/sec),  0.27 (avg:  0.24) msec latency[RUN #1 10%,   3 secs]  2 threads:       46947 ops,   13387 (avg:   15648) ops/sec, 516.99KB/sec (avg: 604.32KB/sec),  0.30 (avg:  0.25) msec latency[RUN #1 13%,   4 secs]  2 threads:       57943 ops,   10994 (avg:   14484) ops/sec, 424.51KB/sec (avg: 559.37KB/sec),  0.36 (avg:  0.27) msec latency[RUN #1 17%,   5 secs]  2 threads:       66498 ops,    8552 (avg:   13298) ops/sec, 330.32KB/sec (avg: 513.55KB/sec),  0.46 (avg:  0.30) msec latency[RUN #1 20%,   6 secs]  2 threads:       73592 ops,    7093 (avg:   12264) ops/sec, 273.93KB/sec (avg: 473.61KB/sec),  0.56 (avg:  0.32) msec latency[RUN #1 23%,   7 secs]  2 threads:       82028 ops,    8435 (avg:   11717) ops/sec, 325.72KB/sec (avg: 452.48KB/sec),  0.47 (avg:  0.34) msec latency[RUN #1 27%,   8 secs]  2 threads:       89837 ops,    7808 (avg:   11228) ops/sec, 301.49KB/sec (avg: 433.61KB/sec),  0.51 (avg:  0.35) msec latency[RUN #1 30%,   9 secs]  2 threads:       97219 ops,    7381 (avg:   10801) ops/sec, 285.04KB/sec (avg: 417.10KB/sec),  0.54 (avg:  0.37) msec latency[RUN #1 33%,  10 secs]  2 threads:      105603 ops,    8383 (avg:   10559) ops/sec, 323.73KB/sec (avg: 407.76KB/sec),  0.47 (avg:  0.37) msec latency[RUN #1 37%,  11 secs]  2 threads:      114607 ops,    9003 (avg:   10417) ops/sec, 347.70KB/sec (avg: 402.30KB/sec),  0.44 (avg:  0.38) msec latency[RUN #1 40%,  12 secs]  2 threads:      123132 ops,    8524 (avg:   10260) ops/sec, 329.19KB/sec (avg: 396.21KB/sec),  0.46 (avg:  0.39) msec latency[RUN #1 43%,  13 secs]  2 threads:      130662 ops,    7529 (avg:   10049) ops/sec, 290.67KB/sec (avg: 388.09KB/sec),  0.53 (avg:  0.39) msec latency[RUN #1 47%,  14 secs]  2 threads:      139533 ops,    8870 (avg:    9965) ops/sec, 342.50KB/sec (avg: 384.84KB/sec),  0.45 (avg:  0.40) msec latency[RUN #1 50%,  15 secs]  2 threads:      147178 ops,    7644 (avg:    9810) ops/sec, 295.24KB/sec (avg: 378.86KB/sec),  0.52 (avg:  0.40) msec latency[RUN #1 53%,  16 secs]  2 threads:      155429 ops,    8250 (avg:    9713) ops/sec, 318.58KB/sec (avg: 375.10KB/sec),  0.48 (avg:  0.41) msec latency[RUN #1 57%,  17 secs]  2 threads:      163311 ops,    7881 (avg:    9605) ops/sec, 304.33KB/sec (avg: 370.93KB/sec),  0.50 (avg:  0.41) msec latency[RUN #1 60%,  18 secs]  2 threads:      171251 ops,    7939 (avg:    9513) ops/sec, 306.59KB/sec (avg: 367.36KB/sec),  0.50 (avg:  0.42) msec latency[RUN #1 63%,  19 secs]  2 threads:      178993 ops,    7741 (avg:    9419) ops/sec, 298.94KB/sec (avg: 363.76KB/sec),  0.51 (avg:  0.42) msec latency[RUN #1 67%,  20 secs]  2 threads:      186914 ops,    7920 (avg:    9344) ops/sec, 305.90KB/sec (avg: 360.87KB/sec),  0.50 (avg:  0.42) msec latency[RUN #1 70%,  21 secs]  2 threads:      194090 ops,    7175 (avg:    9241) ops/sec, 277.09KB/sec (avg: 356.88KB/sec),  0.55 (avg:  0.43) msec latency[RUN #1 73%,  22 secs]  2 threads:      201404 ops,    7313 (avg:    9153) ops/sec, 282.48KB/sec (avg: 353.49KB/sec),  0.54 (avg:  0.43) msec latency[RUN #1 77%,  23 secs]  2 threads:      209119 ops,    7714 (avg:    9091) ops/sec, 297.85KB/sec (avg: 351.08KB/sec),  0.51 (avg:  0.43) msec latency[RUN #1 80%,  24 secs]  2 threads:      216669 ops,    7549 (avg:    9027) ops/sec, 291.53KB/sec (avg: 348.59KB/sec),  0.52 (avg:  0.44) msec latency[RUN #1 83%,  25 secs]  2 threads:      224358 ops,    7688 (avg:    8973) ops/sec, 296.90KB/sec (avg: 346.53KB/sec),  0.51 (avg:  0.44) msec latency[RUN #1 87%,  26 secs]  2 threads:      231914 ops,    7555 (avg:    8918) ops/sec, 291.78KB/sec (avg: 344.42KB/sec),  0.52 (avg:  0.44) msec latency[RUN #1 90%,  27 secs]  2 threads:      239309 ops,    7394 (avg:    8862) ops/sec, 285.62KB/sec (avg: 342.24KB/sec),  0.54 (avg:  0.45) msec latency[RUN #1 93%,  28 secs]  2 threads:      246868 ops,    7558 (avg:    8815) ops/sec, 291.85KB/sec (avg: 340.44KB/sec),  0.52 (avg:  0.45) msec latency[RUN #1 97%,  29 secs]  2 threads:      254725 ops,    7856 (avg:    8782) ops/sec, 303.40KB/sec (avg: 339.17KB/sec),  0.50 (avg:  0.45) msec latency[RUN #1 100%,  30 secs]  0 threads:      262927 ops,    7856 (avg:    8764) ops/sec, 303.40KB/sec (avg: 338.45KB/sec),  0.50 (avg:  0.45) msec latency

2         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         796.80          ---          ---      0.45400        59.06
Gets        7967.40      2254.93      5712.48      0.45000       279.39
Totals      8764.20      2254.93      5712.48      0.45100       338.45


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.063      0.00042
GET       0.065      0.00084
GET       0.068      0.00167
GET       0.070      0.00209
GET       0.072      0.00251
GET       0.073      0.00335
GET       0.074      0.00377
GET       0.075      0.00418
GET       0.076      0.00628
GET       0.077      0.00837
GET       0.078      0.00962
GET       0.079      0.01088
GET       0.080      0.01422
GET       0.081      0.01673
GET       0.082      0.01966
GET       0.083      0.02217
GET       0.084      0.02636
GET       0.085      0.03180
GET       0.086      0.03849
GET       0.087      0.04058
GET       0.088      0.04811
GET       0.089      0.05690
GET       0.090      0.06568
GET       0.091      0.07614
GET       0.092      0.08535
GET       0.093      0.09706
GET       0.094      0.11003
GET       0.095      0.12718
GET       0.096      0.14308
GET       0.097      0.16358
GET       0.098      0.18576
GET       0.099      0.21128
GET       0.100      0.33930
GET       0.110      0.70663
GET       0.120      1.21034
GET       0.130      1.70528
GET       0.140      2.30982
GET       0.150      2.85161
GET       0.160      3.27165
GET       0.170      3.67036
GET       0.180      4.17491
GET       0.190      4.84849
GET       0.200      5.63460
GET       0.210      6.39729
GET       0.220      7.24658
GET       0.230      8.33853
GET       0.240      9.66351
GET       0.250     10.88891
GET       0.260     11.96245
GET       0.270     13.03264
GET       0.280     14.27394
GET       0.290     15.92525
GET       0.300     17.60500
GET       0.310     19.22995
GET       0.320     21.05864
GET       0.330     23.34336
GET       0.340     26.28492
GET       0.350     29.43357
GET       0.360     32.58222
GET       0.370     36.01202
GET       0.380     40.06811
GET       0.390     44.88313
GET       0.400     49.39190
GET       0.410     53.44716
GET       0.420     57.17609
GET       0.430     61.01798
GET       0.440     64.83769
GET       0.450     68.00977
GET       0.460     70.55095
GET       0.470     72.62356
GET       0.480     74.42589
GET       0.490     75.96717
GET       0.500     77.09676
GET       0.510     77.92388
GET       0.520     78.51629
GET       0.530     78.99993
GET       0.540     79.38232
GET       0.550     79.67601
GET       0.560     79.89231
GET       0.570     80.06552
GET       0.580     80.21906
GET       0.590     80.36674
GET       0.600     80.50020
GET       0.610     80.63575
GET       0.620     80.78051
GET       0.630     80.93363
GET       0.640     81.13069
GET       0.650     81.35284
GET       0.660     81.61139
GET       0.670     81.92141
GET       0.680     82.30170
GET       0.690     82.76777
GET       0.700     83.29366
GET       0.710     83.89569
GET       0.720     84.57345
GET       0.730     85.37086
GET       0.740     86.27956
GET       0.750     87.13973
GET       0.760     88.06768
GET       0.770     88.98223
GET       0.780     90.00222
GET       0.790     90.98246
GET       0.800     91.94303
GET       0.810     92.86889
GET       0.820     93.76127
GET       0.830     94.59926
GET       0.840     95.38831
GET       0.850     96.08113
GET       0.860     96.69739
GET       0.870     97.23918
GET       0.880     97.72532
GET       0.890     98.14830
GET       0.900     98.50224
GET       0.910     98.78380
GET       0.920     99.02143
GET       0.930     99.23104
GET       0.940     99.39587
GET       0.950     99.52892
GET       0.960     99.62598
GET       0.970     99.70798
GET       0.980     99.77157
GET       0.990     99.82261
GET       1.000     99.95105
GET       1.100     99.98912
GET       1.200     99.99623
GET       1.300     99.99833
GET       1.600     99.99916
GET       1.700     99.99958
GET       1.900    100.00000
