[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       19912 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       35624 ops,   15710 (avg:   17811) ops/sec, 606.69KB/sec (avg: 687.87KB/sec),  0.25 (avg:  0.22) msec latency[RUN #1 10%,   3 secs]  2 threads:       48016 ops,   12390 (avg:   16004) ops/sec, 478.52KB/sec (avg: 618.08KB/sec),  0.32 (avg:  0.25) msec latency[RUN #1 13%,   4 secs]  2 threads:       58397 ops,   10379 (avg:   14598) ops/sec, 400.78KB/sec (avg: 563.75KB/sec),  0.38 (avg:  0.27) msec latency[RUN #1 17%,   5 secs]  2 threads:       66027 ops,    7629 (avg:   13204) ops/sec, 294.65KB/sec (avg: 509.93KB/sec),  0.52 (avg:  0.30) msec latency[RUN #1 20%,   6 secs]  2 threads:       72907 ops,    6879 (avg:   12150) ops/sec, 265.63KB/sec (avg: 469.21KB/sec),  0.58 (avg:  0.33) msec latency[RUN #1 23%,   7 secs]  2 threads:       79733 ops,    6825 (avg:   11389) ops/sec, 263.54KB/sec (avg: 439.83KB/sec),  0.58 (avg:  0.35) msec latency[RUN #1 27%,   8 secs]  2 threads:       86711 ops,    6977 (avg:   10838) ops/sec, 269.45KB/sec (avg: 418.53KB/sec),  0.57 (avg:  0.36) msec latency[RUN #1 30%,   9 secs]  2 threads:       93323 ops,    6611 (avg:   10368) ops/sec, 255.32KB/sec (avg: 400.40KB/sec),  0.60 (avg:  0.38) msec latency[RUN #1 33%,  10 secs]  2 threads:      100039 ops,    6715 (avg:   10003) ops/sec, 259.29KB/sec (avg: 386.29KB/sec),  0.59 (avg:  0.40) msec latency[RUN #1 37%,  11 secs]  2 threads:      106641 ops,    6601 (avg:    9693) ops/sec, 254.98KB/sec (avg: 374.35KB/sec),  0.60 (avg:  0.41) msec latency[RUN #1 40%,  12 secs]  2 threads:      113257 ops,    6615 (avg:    9437) ops/sec, 255.37KB/sec (avg: 364.43KB/sec),  0.60 (avg:  0.42) msec latency[RUN #1 43%,  13 secs]  2 threads:      120037 ops,    6779 (avg:    9232) ops/sec, 261.88KB/sec (avg: 356.54KB/sec),  0.58 (avg:  0.43) msec latency[RUN #1 47%,  14 secs]  2 threads:      126524 ops,    6486 (avg:    9036) ops/sec, 250.38KB/sec (avg: 348.96KB/sec),  0.61 (avg:  0.44) msec latency[RUN #1 50%,  15 secs]  2 threads:      133502 ops,    6977 (avg:    8899) ops/sec, 269.42KB/sec (avg: 343.66KB/sec),  0.57 (avg:  0.44) msec latency[RUN #1 53%,  16 secs]  2 threads:      141092 ops,    7589 (avg:    8817) ops/sec, 293.13KB/sec (avg: 340.50KB/sec),  0.52 (avg:  0.45) msec latency[RUN #1 57%,  17 secs]  2 threads:      149074 ops,    7981 (avg:    8768) ops/sec, 308.13KB/sec (avg: 338.60KB/sec),  0.50 (avg:  0.45) msec latency[RUN #1 60%,  18 secs]  2 threads:      156165 ops,    7090 (avg:    8675) ops/sec, 273.84KB/sec (avg: 335.00KB/sec),  0.56 (avg:  0.46) msec latency[RUN #1 63%,  19 secs]  2 threads:      162461 ops,    6295 (avg:    8549) ops/sec, 243.09KB/sec (avg: 330.16KB/sec),  0.63 (avg:  0.46) msec latency[RUN #1 67%,  20 secs]  2 threads:      169437 ops,    6975 (avg:    8471) ops/sec, 269.38KB/sec (avg: 327.12KB/sec),  0.57 (avg:  0.47) msec latency[RUN #1 70%,  21 secs]  2 threads:      176161 ops,    6723 (avg:    8387) ops/sec, 259.55KB/sec (avg: 323.91KB/sec),  0.59 (avg:  0.47) msec latency[RUN #1 73%,  22 secs]  2 threads:      182589 ops,    6427 (avg:    8298) ops/sec, 248.25KB/sec (avg: 320.47KB/sec),  0.62 (avg:  0.48) msec latency[RUN #1 77%,  23 secs]  2 threads:      189235 ops,    6645 (avg:    8226) ops/sec, 256.65KB/sec (avg: 317.69KB/sec),  0.60 (avg:  0.48) msec latency[RUN #1 80%,  24 secs]  2 threads:      195934 ops,    6698 (avg:    8163) ops/sec, 258.70KB/sec (avg: 315.23KB/sec),  0.59 (avg:  0.48) msec latency[RUN #1 83%,  25 secs]  2 threads:      202714 ops,    6779 (avg:    8107) ops/sec, 261.81KB/sec (avg: 313.10KB/sec),  0.58 (avg:  0.49) msec latency[RUN #1 87%,  26 secs]  2 threads:      209215 ops,    6500 (avg:    8045) ops/sec, 251.01KB/sec (avg: 310.71KB/sec),  0.61 (avg:  0.49) msec latency[RUN #1 90%,  27 secs]  2 threads:      215399 ops,    6183 (avg:    7977) ops/sec, 238.76KB/sec (avg: 308.04KB/sec),  0.64 (avg:  0.50) msec latency[RUN #1 93%,  28 secs]  2 threads:      222625 ops,    7225 (avg:    7950) ops/sec, 279.07KB/sec (avg: 307.01KB/sec),  0.55 (avg:  0.50) msec latency[RUN #1 97%,  29 secs]  2 threads:      229027 ops,    6401 (avg:    7896) ops/sec, 247.19KB/sec (avg: 304.95KB/sec),  0.62 (avg:  0.50) msec latency[RUN #1 100%,  30 secs]  0 threads:      235807 ops,    6401 (avg:    7860) ops/sec, 247.19KB/sec (avg: 303.54KB/sec),  0.62 (avg:  0.50) msec latency

2         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         714.63          ---          ---      0.50900        52.97
Gets        7145.57      1977.52      5168.04      0.50300       250.56
Totals      7860.20      1977.52      5168.04      0.50300       303.54


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.061      0.00047
GET       0.072      0.00093
GET       0.075      0.00140
GET       0.076      0.00187
GET       0.077      0.00280
GET       0.078      0.00327
GET       0.079      0.00420
GET       0.080      0.00606
GET       0.081      0.00793
GET       0.082      0.00886
GET       0.083      0.01073
GET       0.084      0.01306
GET       0.085      0.01586
GET       0.086      0.01819
GET       0.087      0.02426
GET       0.088      0.03219
GET       0.089      0.04245
GET       0.090      0.05318
GET       0.091      0.06158
GET       0.092      0.07464
GET       0.093      0.08677
GET       0.094      0.10449
GET       0.095      0.12922
GET       0.096      0.14974
GET       0.097      0.17680
GET       0.098      0.20152
GET       0.099      0.24211
GET       0.100      0.43710
GET       0.110      1.04447
GET       0.120      1.86735
GET       0.130      2.71589
GET       0.140      3.66706
GET       0.150      4.49367
GET       0.160      5.08845
GET       0.170      5.60438
GET       0.180      6.08113
GET       0.190      6.69736
GET       0.200      7.36117
GET       0.210      8.07910
GET       0.220      8.96123
GET       0.230     10.00802
GET       0.240     11.32072
GET       0.250     12.46128
GET       0.260     13.29583
GET       0.270     14.17422
GET       0.280     15.13939
GET       0.290     16.42643
GET       0.300     17.74472
GET       0.310     18.98371
GET       0.320     20.26375
GET       0.330     21.90299
GET       0.340     24.12627
GET       0.350     26.42699
GET       0.360     28.70531
GET       0.370     31.17116
GET       0.380     34.12636
GET       0.390     37.77523
GET       0.400     41.15260
GET       0.410     44.22488
GET       0.420     47.00142
GET       0.430     49.92629
GET       0.440     52.92488
GET       0.450     55.49616
GET       0.460     57.52864
GET       0.470     59.18421
GET       0.480     60.74088
GET       0.490     62.06150
GET       0.500     63.10643
GET       0.510     63.87894
GET       0.520     64.46718
GET       0.530     64.98498
GET       0.540     65.38849
GET       0.550     65.73696
GET       0.560     66.01872
GET       0.570     66.26129
GET       0.580     66.49080
GET       0.590     66.69092
GET       0.600     66.88592
GET       0.610     67.07204
GET       0.620     67.29223
GET       0.630     67.53480
GET       0.640     67.84875
GET       0.650     68.20747
GET       0.660     68.64084
GET       0.670     69.16098
GET       0.680     69.78047
GET       0.690     70.52219
GET       0.700     71.35020
GET       0.710     72.33682
GET       0.720     73.48345
GET       0.730     74.85259
GET       0.740     76.30990
GET       0.750     77.82412
GET       0.760     79.37612
GET       0.770     80.98970
GET       0.780     82.75909
GET       0.790     84.52568
GET       0.800     86.15138
GET       0.810     87.72531
GET       0.820     89.19102
GET       0.830     90.64366
GET       0.840     91.99507
GET       0.850     93.17342
GET       0.860     94.24168
GET       0.870     95.15599
GET       0.880     96.04885
GET       0.890     96.78963
GET       0.900     97.42172
GET       0.910     97.91107
GET       0.920     98.32391
GET       0.930     98.68264
GET       0.940     98.96813
GET       0.950     99.20091
GET       0.960     99.36651
GET       0.970     99.50132
GET       0.980     99.60628
GET       0.990     99.69119
GET       1.000     99.92956
GET       1.100     99.98601
GET       1.200     99.99534
GET       1.300     99.99907
GET       1.400    100.00000
