[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       20243 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       38282 ops,   18036 (avg:   19140) ops/sec, 696.49KB/sec (avg: 739.18KB/sec),  0.22 (avg:  0.21) msec latency[RUN #1 10%,   3 secs]  2 threads:       54458 ops,   16174 (avg:   18151) ops/sec, 624.58KB/sec (avg: 700.98KB/sec),  0.24 (avg:  0.22) msec latency[RUN #1 13%,   4 secs]  2 threads:       69827 ops,   15367 (avg:   17455) ops/sec, 593.50KB/sec (avg: 674.11KB/sec),  0.26 (avg:  0.23) msec latency[RUN #1 17%,   5 secs]  2 threads:       84267 ops,   14438 (avg:   16852) ops/sec, 557.49KB/sec (avg: 650.78KB/sec),  0.27 (avg:  0.23) msec latency[RUN #1 20%,   6 secs]  2 threads:       97590 ops,   13321 (avg:   16263) ops/sec, 514.41KB/sec (avg: 628.06KB/sec),  0.30 (avg:  0.24) msec latency[RUN #1 23%,   7 secs]  2 threads:      109957 ops,   12365 (avg:   15706) ops/sec, 477.53KB/sec (avg: 606.55KB/sec),  0.32 (avg:  0.25) msec latency[RUN #1 27%,   8 secs]  2 threads:      122346 ops,   12387 (avg:   15292) ops/sec, 478.37KB/sec (avg: 590.53KB/sec),  0.32 (avg:  0.26) msec latency[RUN #1 30%,   9 secs]  2 threads:      134513 ops,   12165 (avg:   14944) ops/sec, 469.74KB/sec (avg: 577.11KB/sec),  0.32 (avg:  0.26) msec latency[RUN #1 33%,  10 secs]  2 threads:      146911 ops,   12396 (avg:   14689) ops/sec, 478.71KB/sec (avg: 567.27KB/sec),  0.32 (avg:  0.27) msec latency[RUN #1 37%,  11 secs]  2 threads:      159303 ops,   12390 (avg:   14480) ops/sec, 478.50KB/sec (avg: 559.20KB/sec),  0.32 (avg:  0.27) msec latency[RUN #1 40%,  12 secs]  2 threads:      171437 ops,   12132 (avg:   14285) ops/sec, 468.50KB/sec (avg: 551.64KB/sec),  0.32 (avg:  0.28) msec latency[RUN #1 43%,  13 secs]  2 threads:      183754 ops,   12315 (avg:   14133) ops/sec, 475.57KB/sec (avg: 545.79KB/sec),  0.32 (avg:  0.28) msec latency[RUN #1 47%,  14 secs]  2 threads:      196018 ops,   12262 (avg:   14000) ops/sec, 473.68KB/sec (avg: 540.64KB/sec),  0.32 (avg:  0.28) msec latency[RUN #1 50%,  15 secs]  2 threads:      208428 ops,   12408 (avg:   13893) ops/sec, 479.16KB/sec (avg: 536.54KB/sec),  0.32 (avg:  0.28) msec latency[RUN #1 53%,  16 secs]  2 threads:      220845 ops,   12415 (avg:   13801) ops/sec, 479.46KB/sec (avg: 532.97KB/sec),  0.32 (avg:  0.29) msec latency[RUN #1 57%,  17 secs]  2 threads:      233423 ops,   12576 (avg:   13729) ops/sec, 485.70KB/sec (avg: 530.19KB/sec),  0.31 (avg:  0.29) msec latency[RUN #1 60%,  18 secs]  2 threads:      245631 ops,   12206 (avg:   13644) ops/sec, 471.45KB/sec (avg: 526.93KB/sec),  0.32 (avg:  0.29) msec latency[RUN #1 63%,  19 secs]  2 threads:      258056 ops,   12423 (avg:   13580) ops/sec, 479.85KB/sec (avg: 524.45KB/sec),  0.32 (avg:  0.29) msec latency[RUN #1 67%,  20 secs]  2 threads:      270244 ops,   12186 (avg:   13510) ops/sec, 470.70KB/sec (avg: 521.76KB/sec),  0.32 (avg:  0.29) msec latency[RUN #1 70%,  21 secs]  2 threads:      282306 ops,   12060 (avg:   13441) ops/sec, 465.73KB/sec (avg: 519.09KB/sec),  0.33 (avg:  0.29) msec latency[RUN #1 73%,  22 secs]  2 threads:      294527 ops,   12219 (avg:   13386) ops/sec, 471.98KB/sec (avg: 516.95KB/sec),  0.32 (avg:  0.29) msec latency[RUN #1 77%,  23 secs]  2 threads:      306868 ops,   12339 (avg:   13340) ops/sec, 476.51KB/sec (avg: 515.19KB/sec),  0.32 (avg:  0.29) msec latency[RUN #1 80%,  24 secs]  2 threads:      319157 ops,   12287 (avg:   13296) ops/sec, 474.63KB/sec (avg: 513.50KB/sec),  0.32 (avg:  0.30) msec latency[RUN #1 83%,  25 secs]  2 threads:      331719 ops,   12560 (avg:   13267) ops/sec, 485.04KB/sec (avg: 512.36KB/sec),  0.31 (avg:  0.30) msec latency[RUN #1 87%,  26 secs]  2 threads:      344148 ops,   12427 (avg:   13235) ops/sec, 479.93KB/sec (avg: 511.12KB/sec),  0.32 (avg:  0.30) msec latency[RUN #1 90%,  27 secs]  2 threads:      356257 ops,   12107 (avg:   13193) ops/sec, 467.59KB/sec (avg: 509.50KB/sec),  0.33 (avg:  0.30) msec latency[RUN #1 93%,  28 secs]  2 threads:      368488 ops,   12229 (avg:   13159) ops/sec, 472.32KB/sec (avg: 508.18KB/sec),  0.32 (avg:  0.30) msec latency[RUN #1 97%,  29 secs]  2 threads:      380784 ops,   12294 (avg:   13129) ops/sec, 474.76KB/sec (avg: 507.02KB/sec),  0.32 (avg:  0.30) msec latency[RUN #1 100%,  30 secs]  0 threads:      393239 ops,   12294 (avg:   13107) ops/sec, 474.76KB/sec (avg: 506.20KB/sec),  0.32 (avg:  0.30) msec latency

2         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1191.69          ---          ---      0.30200        88.34
Gets       11916.21      4870.68      7045.53      0.30000       417.87
Totals     13107.90      4870.68      7045.53      0.30000       506.20


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.063      0.00056
GET       0.065      0.00168
GET       0.066      0.00252
GET       0.067      0.00280
GET       0.068      0.00308
GET       0.069      0.00364
GET       0.070      0.00504
GET       0.071      0.00615
GET       0.072      0.00755
GET       0.073      0.00867
GET       0.074      0.01035
GET       0.075      0.01203
GET       0.076      0.01371
GET       0.077      0.01566
GET       0.078      0.01706
GET       0.079      0.01846
GET       0.080      0.02182
GET       0.081      0.02462
GET       0.082      0.02797
GET       0.083      0.03497
GET       0.084      0.04056
GET       0.085      0.04560
GET       0.086      0.05315
GET       0.087      0.06070
GET       0.088      0.07301
GET       0.089      0.08420
GET       0.090      0.10070
GET       0.091      0.11553
GET       0.092      0.13931
GET       0.093      0.16392
GET       0.094      0.19889
GET       0.095      0.24197
GET       0.096      0.28113
GET       0.097      0.32001
GET       0.098      0.36001
GET       0.099      0.40141
GET       0.100      0.63219
GET       0.110      1.14521
GET       0.120      1.69097
GET       0.130      2.46973
GET       0.140      4.13133
GET       0.150      6.14482
GET       0.160      7.87915
GET       0.170      9.69375
GET       0.180     12.41608
GET       0.190     17.20981
GET       0.200     22.11850
GET       0.210     25.71219
GET       0.220     28.72432
GET       0.230     31.64889
GET       0.240     34.88649
GET       0.250     37.57161
GET       0.260     39.64357
GET       0.270     41.50573
GET       0.280     43.40901
GET       0.290     45.79734
GET       0.300     48.21281
GET       0.310     50.62212
GET       0.320     53.27563
GET       0.330     56.57533
GET       0.340     60.93659
GET       0.350     65.38122
GET       0.360     69.45548
GET       0.370     73.49561
GET       0.380     77.84233
GET       0.390     82.38067
GET       0.400     86.15842
GET       0.410     89.23824
GET       0.420     91.63944
GET       0.430     93.76427
GET       0.440     95.49523
GET       0.450     96.78255
GET       0.460     97.65195
GET       0.470     98.26959
GET       0.480     98.72667
GET       0.490     99.06990
GET       0.500     99.29005
GET       0.510     99.44278
GET       0.520     99.55271
GET       0.530     99.63495
GET       0.540     99.70153
GET       0.550     99.75943
GET       0.560     99.80307
GET       0.570     99.84447
GET       0.580     99.87496
GET       0.590     99.89622
GET       0.600     99.91105
GET       0.610     99.92671
GET       0.620     99.93846
GET       0.630     99.95133
GET       0.640     99.95888
GET       0.650     99.96727
GET       0.660     99.96951
GET       0.670     99.97482
GET       0.680     99.97930
GET       0.690     99.97986
GET       0.700     99.98182
GET       0.710     99.98406
GET       0.720     99.98517
GET       0.730     99.98601
GET       0.750     99.98657
GET       0.760     99.98713
GET       0.790     99.98741
GET       0.800     99.98769
GET       0.880     99.98797
GET       0.940     99.98825
GET       0.950     99.98853
GET       0.960     99.98881
GET       0.970     99.98909
GET       1.000     99.99049
GET       1.100     99.99133
GET       1.200     99.99245
GET       1.300     99.99385
GET       1.400     99.99496
GET       1.500     99.99552
GET       1.600     99.99608
GET       1.700     99.99692
GET       1.800     99.99720
GET       1.900     99.99776
GET       2.100     99.99832
GET       2.200     99.99860
GET       2.300     99.99888
GET       2.700     99.99944
GET       4.400    100.00000
