[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       15983 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       30694 ops,   14709 (avg:   15346) ops/sec, 568.02KB/sec (avg: 592.67KB/sec),  0.27 (avg:  0.26) msec latency[RUN #1 10%,   3 secs]  2 threads:       44373 ops,   13675 (avg:   14789) ops/sec, 528.16KB/sec (avg: 571.17KB/sec),  0.29 (avg:  0.27) msec latency[RUN #1 13%,   4 secs]  2 threads:       57469 ops,   13094 (avg:   14366) ops/sec, 505.60KB/sec (avg: 554.77KB/sec),  0.30 (avg:  0.27) msec latency[RUN #1 17%,   5 secs]  2 threads:       70747 ops,   13276 (avg:   14148) ops/sec, 512.74KB/sec (avg: 546.37KB/sec),  0.30 (avg:  0.28) msec latency[RUN #1 20%,   6 secs]  2 threads:       83812 ops,   13063 (avg:   13967) ops/sec, 504.44KB/sec (avg: 539.38KB/sec),  0.30 (avg:  0.28) msec latency[RUN #1 23%,   7 secs]  2 threads:       96894 ops,   13080 (avg:   13840) ops/sec, 505.14KB/sec (avg: 534.49KB/sec),  0.30 (avg:  0.28) msec latency[RUN #1 27%,   8 secs]  2 threads:      109903 ops,   13007 (avg:   13736) ops/sec, 502.31KB/sec (avg: 530.47KB/sec),  0.30 (avg:  0.29) msec latency[RUN #1 30%,   9 secs]  2 threads:      122914 ops,   13009 (avg:   13655) ops/sec, 502.38KB/sec (avg: 527.34KB/sec),  0.30 (avg:  0.29) msec latency[RUN #1 33%,  10 secs]  2 threads:      135824 ops,   12908 (avg:   13581) ops/sec, 498.48KB/sec (avg: 524.46KB/sec),  0.30 (avg:  0.29) msec latency[RUN #1 37%,  11 secs]  2 threads:      148781 ops,   12955 (avg:   13524) ops/sec, 500.25KB/sec (avg: 522.26KB/sec),  0.30 (avg:  0.29) msec latency[RUN #1 40%,  12 secs]  2 threads:      161882 ops,   13099 (avg:   13488) ops/sec, 505.90KB/sec (avg: 520.89KB/sec),  0.30 (avg:  0.29) msec latency[RUN #1 43%,  13 secs]  2 threads:      174802 ops,   12918 (avg:   13445) ops/sec, 498.79KB/sec (avg: 519.19KB/sec),  0.30 (avg:  0.29) msec latency[RUN #1 47%,  14 secs]  2 threads:      187982 ops,   13178 (avg:   13426) ops/sec, 509.01KB/sec (avg: 518.47KB/sec),  0.30 (avg:  0.29) msec latency[RUN #1 50%,  15 secs]  2 threads:      200819 ops,   12835 (avg:   13386) ops/sec, 495.73KB/sec (avg: 516.95KB/sec),  0.31 (avg:  0.29) msec latency[RUN #1 53%,  16 secs]  2 threads:      213740 ops,   12919 (avg:   13357) ops/sec, 498.86KB/sec (avg: 515.82KB/sec),  0.30 (avg:  0.29) msec latency[RUN #1 57%,  17 secs]  2 threads:      226633 ops,   12891 (avg:   13330) ops/sec, 497.89KB/sec (avg: 514.77KB/sec),  0.30 (avg:  0.29) msec latency[RUN #1 60%,  18 secs]  2 threads:      239405 ops,   12770 (avg:   13299) ops/sec, 493.16KB/sec (avg: 513.57KB/sec),  0.31 (avg:  0.30) msec latency[RUN #1 63%,  19 secs]  2 threads:      252254 ops,   12847 (avg:   13275) ops/sec, 496.31KB/sec (avg: 512.66KB/sec),  0.31 (avg:  0.30) msec latency[RUN #1 67%,  20 secs]  2 threads:      265262 ops,   13006 (avg:   13261) ops/sec, 502.36KB/sec (avg: 512.14KB/sec),  0.30 (avg:  0.30) msec latency[RUN #1 70%,  21 secs]  2 threads:      277895 ops,   12631 (avg:   13231) ops/sec, 487.82KB/sec (avg: 510.98KB/sec),  0.31 (avg:  0.30) msec latency[RUN #1 73%,  22 secs]  2 threads:      290844 ops,   12947 (avg:   13218) ops/sec, 500.02KB/sec (avg: 510.49KB/sec),  0.30 (avg:  0.30) msec latency[RUN #1 77%,  23 secs]  2 threads:      303691 ops,   12845 (avg:   13202) ops/sec, 496.15KB/sec (avg: 509.86KB/sec),  0.31 (avg:  0.30) msec latency[RUN #1 80%,  24 secs]  2 threads:      316652 ops,   12959 (avg:   13192) ops/sec, 500.49KB/sec (avg: 509.47KB/sec),  0.30 (avg:  0.30) msec latency[RUN #1 83%,  25 secs]  2 threads:      329531 ops,   12877 (avg:   13180) ops/sec, 497.31KB/sec (avg: 508.98KB/sec),  0.31 (avg:  0.30) msec latency[RUN #1 87%,  26 secs]  2 threads:      342506 ops,   12973 (avg:   13172) ops/sec, 501.03KB/sec (avg: 508.68KB/sec),  0.30 (avg:  0.30) msec latency[RUN #1 90%,  27 secs]  2 threads:      355762 ops,   13254 (avg:   13175) ops/sec, 511.90KB/sec (avg: 508.80KB/sec),  0.30 (avg:  0.30) msec latency[RUN #1 93%,  28 secs]  2 threads:      369187 ops,   13423 (avg:   13184) ops/sec, 518.36KB/sec (avg: 509.14KB/sec),  0.29 (avg:  0.30) msec latency[RUN #1 97%,  29 secs]  2 threads:      383195 ops,   14006 (avg:   13212) ops/sec, 540.94KB/sec (avg: 510.24KB/sec),  0.28 (avg:  0.30) msec latency[RUN #1 100%,  30 secs]  0 threads:      397646 ops,   14006 (avg:   13254) ops/sec, 540.94KB/sec (avg: 511.88KB/sec),  0.28 (avg:  0.30) msec latency

2         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1205.03          ---          ---      0.29900        89.33
Gets       12049.81      4997.92      7051.88      0.29600       422.55
Totals     13254.84      4997.92      7051.88      0.29600       511.88


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.072      0.00055
GET       0.075      0.00083
GET       0.076      0.00221
GET       0.077      0.00249
GET       0.078      0.00304
GET       0.079      0.00443
GET       0.080      0.00470
GET       0.081      0.00581
GET       0.082      0.00775
GET       0.083      0.00802
GET       0.084      0.00913
GET       0.085      0.01134
GET       0.086      0.01604
GET       0.087      0.02019
GET       0.088      0.02517
GET       0.089      0.03403
GET       0.090      0.03983
GET       0.091      0.04703
GET       0.092      0.05754
GET       0.093      0.06943
GET       0.094      0.08603
GET       0.095      0.10291
GET       0.096      0.12144
GET       0.097      0.13914
GET       0.098      0.15491
GET       0.099      0.17317
GET       0.100      0.27801
GET       0.110      0.51481
GET       0.120      0.87415
GET       0.130      1.69352
GET       0.140      3.89660
GET       0.150      6.60341
GET       0.160      8.47259
GET       0.170     10.10360
GET       0.180     12.25826
GET       0.190     15.61709
GET       0.200     18.45060
GET       0.210     20.08575
GET       0.220     21.21385
GET       0.230     22.42078
GET       0.240     24.16963
GET       0.250     26.18155
GET       0.260     28.27204
GET       0.270     30.79628
GET       0.280     34.60103
GET       0.290     40.53777
GET       0.300     46.74892
GET       0.310     52.45384
GET       0.320     58.00302
GET       0.330     64.50407
GET       0.340     71.94097
GET       0.350     78.11837
GET       0.360     82.82604
GET       0.370     86.59622
GET       0.380     90.03555
GET       0.390     93.04389
GET       0.400     95.19883
GET       0.410     96.57699
GET       0.420     97.53136
GET       0.430     98.21962
GET       0.440     98.71893
GET       0.450     99.04480
GET       0.460     99.25393
GET       0.470     99.38948
GET       0.480     99.50317
GET       0.490     99.58727
GET       0.500     99.64730
GET       0.510     99.69930
GET       0.520     99.74522
GET       0.530     99.78976
GET       0.540     99.82600
GET       0.550     99.85505
GET       0.560     99.87939
GET       0.570     99.89709
GET       0.580     99.91314
GET       0.590     99.92531
GET       0.600     99.93721
GET       0.610     99.94550
GET       0.620     99.95131
GET       0.630     99.95878
GET       0.640     99.96321
GET       0.650     99.96957
GET       0.660     99.97372
GET       0.670     99.97815
GET       0.680     99.98147
GET       0.690     99.98396
GET       0.700     99.98534
GET       0.710     99.98617
GET       0.720     99.98866
GET       0.730     99.99032
GET       0.740     99.99115
GET       0.750     99.99170
GET       0.760     99.99198
GET       0.770     99.99253
GET       0.780     99.99281
GET       0.790     99.99336
GET       0.820     99.99391
GET       0.850     99.99419
GET       0.860     99.99447
GET       0.880     99.99474
GET       0.890     99.99502
GET       0.920     99.99530
GET       0.930     99.99557
GET       0.980     99.99585
GET       1.100     99.99613
GET       1.300     99.99696
GET       1.400     99.99834
GET       1.500     99.99889
GET       1.600     99.99945
GET       2.100    100.00000
