[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       19197 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       36047 ops,   16848 (avg:   18022) ops/sec, 650.56KB/sec (avg: 696.00KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 10%,   3 secs]  2 threads:       51719 ops,   15670 (avg:   17238) ops/sec, 605.21KB/sec (avg: 665.74KB/sec),  0.25 (avg:  0.23) msec latency[RUN #1 13%,   4 secs]  2 threads:       66454 ops,   14733 (avg:   16612) ops/sec, 568.90KB/sec (avg: 641.53KB/sec),  0.27 (avg:  0.24) msec latency[RUN #1 17%,   5 secs]  2 threads:       78874 ops,   12418 (avg:   15773) ops/sec, 479.56KB/sec (avg: 609.13KB/sec),  0.32 (avg:  0.25) msec latency[RUN #1 20%,   6 secs]  2 threads:       88044 ops,    9169 (avg:   14672) ops/sec, 354.06KB/sec (avg: 566.62KB/sec),  0.43 (avg:  0.27) msec latency[RUN #1 23%,   7 secs]  2 threads:      104196 ops,   16150 (avg:   14883) ops/sec, 623.65KB/sec (avg: 574.77KB/sec),  0.24 (avg:  0.26) msec latency[RUN #1 27%,   8 secs]  2 threads:      120350 ops,   16151 (avg:   15042) ops/sec, 623.73KB/sec (avg: 580.89KB/sec),  0.24 (avg:  0.26) msec latency[RUN #1 30%,   9 secs]  2 threads:      133698 ops,   13346 (avg:   14853) ops/sec, 515.35KB/sec (avg: 573.61KB/sec),  0.30 (avg:  0.26) msec latency[RUN #1 33%,  10 secs]  2 threads:      143775 ops,   10075 (avg:   14376) ops/sec, 389.11KB/sec (avg: 555.16KB/sec),  0.39 (avg:  0.27) msec latency[RUN #1 37%,  11 secs]  2 threads:      153545 ops,    9768 (avg:   13957) ops/sec, 377.18KB/sec (avg: 538.97KB/sec),  0.40 (avg:  0.28) msec latency[RUN #1 40%,  12 secs]  2 threads:      163223 ops,    9677 (avg:   13600) ops/sec, 373.74KB/sec (avg: 525.21KB/sec),  0.41 (avg:  0.29) msec latency[RUN #1 43%,  13 secs]  2 threads:      169603 ops,    6379 (avg:   13045) ops/sec, 246.35KB/sec (avg: 503.75KB/sec),  0.62 (avg:  0.30) msec latency[RUN #1 47%,  14 secs]  2 threads:      184410 ops,   14803 (avg:   13170) ops/sec, 571.62KB/sec (avg: 508.60KB/sec),  0.27 (avg:  0.30) msec latency[RUN #1 50%,  15 secs]  2 threads:      194403 ops,    9991 (avg:   12958) ops/sec, 385.86KB/sec (avg: 500.42KB/sec),  0.39 (avg:  0.30) msec latency[RUN #1 53%,  16 secs]  2 threads:      204189 ops,    9785 (avg:   12760) ops/sec, 377.91KB/sec (avg: 492.76KB/sec),  0.40 (avg:  0.31) msec latency[RUN #1 57%,  17 secs]  2 threads:      213997 ops,    9807 (avg:   12586) ops/sec, 378.73KB/sec (avg: 486.06KB/sec),  0.40 (avg:  0.31) msec latency[RUN #1 60%,  18 secs]  2 threads:      222509 ops,    8511 (avg:   12360) ops/sec, 328.69KB/sec (avg: 477.31KB/sec),  0.47 (avg:  0.32) msec latency[RUN #1 63%,  19 secs]  2 threads:      228182 ops,    5672 (avg:   12008) ops/sec, 219.07KB/sec (avg: 463.72KB/sec),  0.70 (avg:  0.33) msec latency[RUN #1 67%,  20 secs]  2 threads:      236224 ops,    8041 (avg:   11809) ops/sec, 310.52KB/sec (avg: 456.06KB/sec),  0.49 (avg:  0.33) msec latency[RUN #1 70%,  21 secs]  2 threads:      245013 ops,    8788 (avg:   11666) ops/sec, 339.38KB/sec (avg: 450.51KB/sec),  0.45 (avg:  0.34) msec latency[RUN #1 73%,  22 secs]  2 threads:      252140 ops,    7126 (avg:   11459) ops/sec, 275.32KB/sec (avg: 442.54KB/sec),  0.55 (avg:  0.34) msec latency[RUN #1 77%,  23 secs]  2 threads:      262020 ops,    9879 (avg:   11390) ops/sec, 381.57KB/sec (avg: 439.89KB/sec),  0.40 (avg:  0.35) msec latency[RUN #1 80%,  24 secs]  2 threads:      269042 ops,    7021 (avg:   11208) ops/sec, 271.17KB/sec (avg: 432.86KB/sec),  0.57 (avg:  0.35) msec latency[RUN #1 83%,  25 secs]  2 threads:      274425 ops,    5382 (avg:   10975) ops/sec, 207.91KB/sec (avg: 423.86KB/sec),  0.73 (avg:  0.36) msec latency[RUN #1 87%,  26 secs]  2 threads:      283686 ops,    9260 (avg:   10909) ops/sec, 357.59KB/sec (avg: 421.31KB/sec),  0.43 (avg:  0.36) msec latency[RUN #1 90%,  27 secs]  2 threads:      290246 ops,    6559 (avg:   10748) ops/sec, 253.33KB/sec (avg: 415.09KB/sec),  0.61 (avg:  0.37) msec latency[RUN #1 93%,  28 secs]  2 threads:      295574 ops,    5327 (avg:   10555) ops/sec, 205.76KB/sec (avg: 407.62KB/sec),  0.75 (avg:  0.37) msec latency[RUN #1 97%,  29 secs]  2 threads:      303980 ops,    8404 (avg:   10480) ops/sec, 324.60KB/sec (avg: 404.75KB/sec),  0.47 (avg:  0.38) msec latency[RUN #1 100%,  30 secs]  0 threads:      317790 ops,    8404 (avg:   10592) ops/sec, 324.60KB/sec (avg: 409.08KB/sec),  0.47 (avg:  0.37) msec latency

2         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         963.03          ---          ---      0.37700        71.39
Gets        9629.90      2834.28      6795.62      0.37100       337.69
Totals     10592.93      2834.28      6795.62      0.37200       409.08


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.061      0.00035
GET       0.064      0.00069
GET       0.070      0.00138
GET       0.071      0.00312
GET       0.072      0.00415
GET       0.073      0.00519
GET       0.074      0.00623
GET       0.075      0.00727
GET       0.076      0.00900
GET       0.077      0.01108
GET       0.078      0.01419
GET       0.079      0.01765
GET       0.080      0.02008
GET       0.081      0.02458
GET       0.082      0.02942
GET       0.083      0.03565
GET       0.084      0.04638
GET       0.085      0.05538
GET       0.086      0.07061
GET       0.087      0.09311
GET       0.088      0.10973
GET       0.089      0.13430
GET       0.090      0.15819
GET       0.091      0.18865
GET       0.092      0.22776
GET       0.093      0.27691
GET       0.094      0.32364
GET       0.095      0.37868
GET       0.096      0.42749
GET       0.097      0.49083
GET       0.098      0.55244
GET       0.099      0.60090
GET       0.100      0.89893
GET       0.110      1.45449
GET       0.120      2.19592
GET       0.130      3.88890
GET       0.140      8.54382
GET       0.150     14.78544
GET       0.160     19.72627
GET       0.170     23.93259
GET       0.180     28.60515
GET       0.190     34.68548
GET       0.200     39.81288
GET       0.210     43.21303
GET       0.220     45.94720
GET       0.230     48.80287
GET       0.240     52.28159
GET       0.250     55.59971
GET       0.260     58.39169
GET       0.270     61.00194
GET       0.280     63.87838
GET       0.290     67.17157
GET       0.300     70.18024
GET       0.310     72.69772
GET       0.320     74.97015
GET       0.330     77.33014
GET       0.340     79.73756
GET       0.350     81.81302
GET       0.360     83.51812
GET       0.370     85.00860
GET       0.380     86.40078
GET       0.390     87.63686
GET       0.400     88.62821
GET       0.410     89.39976
GET       0.420     90.04635
GET       0.430     90.61956
GET       0.440     91.11177
GET       0.450     91.53753
GET       0.460     91.90513
GET       0.470     92.21320
GET       0.480     92.50326
GET       0.490     92.77325
GET       0.500     93.03286
GET       0.510     93.27481
GET       0.520     93.49738
GET       0.530     93.73207
GET       0.540     93.95187
GET       0.550     94.17720
GET       0.560     94.39873
GET       0.570     94.60850
GET       0.580     94.84249
GET       0.590     95.07717
GET       0.600     95.28728
GET       0.610     95.49185
GET       0.620     95.69296
GET       0.630     95.90064
GET       0.640     96.10071
GET       0.650     96.29282
GET       0.660     96.46312
GET       0.670     96.63135
GET       0.680     96.79507
GET       0.690     96.95811
GET       0.700     97.09795
GET       0.710     97.21633
GET       0.720     97.32744
GET       0.730     97.43994
GET       0.740     97.53893
GET       0.750     97.61889
GET       0.760     97.69435
GET       0.770     97.76808
GET       0.780     97.83281
GET       0.790     97.89823
GET       0.800     97.94288
GET       0.810     97.98269
GET       0.820     98.02872
GET       0.830     98.06818
GET       0.840     98.09968
GET       0.850     98.13257
GET       0.860     98.15922
GET       0.870     98.18656
GET       0.880     98.21045
GET       0.890     98.22879
GET       0.900     98.24575
GET       0.910     98.26064
GET       0.920     98.27621
GET       0.930     98.28937
GET       0.940     98.30183
GET       0.950     98.31567
GET       0.960     98.32467
GET       0.970     98.33540
GET       0.980     98.34648
GET       0.990     98.35513
GET       1.000     98.40429
GET       1.100     98.49844
GET       1.200     98.59016
GET       1.300     98.66216
GET       1.400     98.71131
GET       1.500     98.73208
GET       1.600     98.74074
GET       1.700     98.74627
GET       1.800     98.75043
GET       1.900     98.75216
GET       2.000     98.75251
GET       2.100     98.75354
GET       2.200     98.75527
GET       2.300     98.75666
GET       2.400     98.75839
GET       2.500     98.75943
GET       2.700     98.76116
GET       3.100     98.76220
GET       3.200     98.76254
GET       3.300     98.76289
GET       3.800     98.76358
GET       3.900     98.76635
GET       4.000     98.76774
GET       4.100     98.77362
GET       4.200     98.82935
GET       4.300     98.88785
GET       4.400     98.96538
GET       4.500     99.01557
GET       4.600     99.05019
GET       4.700     99.08480
GET       4.800     99.11422
GET       4.900     99.12530
GET       5.000     99.13257
GET       5.100     99.13845
GET       5.200     99.14330
GET       5.300     99.15576
GET       5.400     99.16061
GET       5.500     99.16441
GET       5.600     99.16511
GET       5.700     99.16753
GET       5.800     99.16822
GET       5.900     99.16995
GET       6.000     99.17099
GET       6.100     99.17307
GET       6.200     99.17341
GET       6.400     99.17549
GET       6.600     99.17618
GET       6.700     99.17653
GET       6.800     99.17757
GET       7.800     99.17826
GET       7.900     99.17861
GET       8.000     99.18207
GET       8.100     99.19245
GET       8.200     99.27483
GET       8.300     99.34822
GET       8.400     99.43752
GET       8.500     99.49290
GET       8.600     99.52302
GET       8.700     99.54759
GET       8.800     99.56248
GET       8.900     99.57078
GET       9.000     99.57598
GET       9.100     99.58290
GET       9.200     99.58982
GET       9.300     99.59501
GET       9.400     99.60090
GET       9.500     99.60436
GET       9.600     99.60471
GET       9.700     99.60540
GET       9.800     99.60644
GET       9.900     99.60782
GET      10.000     99.60921
GET      12.000     99.89997
GET      13.000     99.94393
GET      16.000     99.98615
GET      17.000     99.99308
GET      19.000     99.99446
GET      20.000     99.99585
GET      21.000     99.99723
GET      24.000     99.99965
GET      25.000    100.00000
