[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   1 secs]  2 threads:       11523 ops,   11522 (avg:   11522) ops/sec, 445.02KB/sec (avg: 445.02KB/sec),  0.34 (avg:  0.34) msec latency[RUN #1 7%,   2 secs]  2 threads:       15223 ops,    3699 (avg:    7610) ops/sec, 142.81KB/sec (avg: 293.91KB/sec),  1.08 (avg:  0.52) msec latency[RUN #1 10%,   3 secs]  2 threads:       18093 ops,    2869 (avg:    6030) ops/sec, 110.86KB/sec (avg: 232.89KB/sec),  1.38 (avg:  0.66) msec latency[RUN #1 13%,   4 secs]  2 threads:       30487 ops,   12392 (avg:    7620) ops/sec, 478.53KB/sec (avg: 294.30KB/sec),  0.32 (avg:  0.52) msec latency[RUN #1 17%,   5 secs]  2 threads:       45780 ops,   15291 (avg:    9154) ops/sec, 590.51KB/sec (avg: 353.54KB/sec),  0.26 (avg:  0.43) msec latency[RUN #1 20%,   6 secs]  2 threads:       57021 ops,   11239 (avg:    9502) ops/sec, 434.02KB/sec (avg: 366.96KB/sec),  0.35 (avg:  0.42) msec latency[RUN #1 23%,   7 secs]  2 threads:       65714 ops,    8692 (avg:    9386) ops/sec, 335.64KB/sec (avg: 362.48KB/sec),  0.45 (avg:  0.42) msec latency[RUN #1 27%,   8 secs]  2 threads:       76302 ops,   10587 (avg:    9536) ops/sec, 408.89KB/sec (avg: 368.28KB/sec),  0.37 (avg:  0.41) msec latency[RUN #1 30%,   9 secs]  2 threads:       85641 ops,    9338 (avg:    9514) ops/sec, 360.60KB/sec (avg: 367.43KB/sec),  0.42 (avg:  0.42) msec latency[RUN #1 33%,  10 secs]  2 threads:       93508 ops,    7866 (avg:    9349) ops/sec, 303.77KB/sec (avg: 361.06KB/sec),  0.50 (avg:  0.42) msec latency[RUN #1 37%,  11 secs]  2 threads:       98505 ops,    4996 (avg:    8953) ops/sec, 192.92KB/sec (avg: 345.78KB/sec),  0.80 (avg:  0.44) msec latency[RUN #1 40%,  12 secs]  2 threads:      105375 ops,    6869 (avg:    8780) ops/sec, 265.20KB/sec (avg: 339.06KB/sec),  0.57 (avg:  0.45) msec latency[RUN #1 43%,  13 secs]  2 threads:      113129 ops,    7753 (avg:    8701) ops/sec, 299.43KB/sec (avg: 336.01KB/sec),  0.51 (avg:  0.45) msec latency[RUN #1 47%,  14 secs]  2 threads:      124459 ops,   11328 (avg:    8888) ops/sec, 437.50KB/sec (avg: 343.26KB/sec),  0.35 (avg:  0.44) msec latency[RUN #1 50%,  15 secs]  2 threads:      137421 ops,   12960 (avg:    9160) ops/sec, 500.45KB/sec (avg: 353.74KB/sec),  0.30 (avg:  0.43) msec latency[RUN #1 53%,  16 secs]  2 threads:      149410 ops,   11987 (avg:    9337) ops/sec, 462.89KB/sec (avg: 360.56KB/sec),  0.33 (avg:  0.42) msec latency[RUN #1 57%,  17 secs]  2 threads:      161283 ops,   11871 (avg:    9486) ops/sec, 458.46KB/sec (avg: 366.32KB/sec),  0.33 (avg:  0.42) msec latency[RUN #1 60%,  18 secs]  2 threads:      172494 ops,   11209 (avg:    9581) ops/sec, 432.83KB/sec (avg: 370.02KB/sec),  0.35 (avg:  0.41) msec latency[RUN #1 63%,  19 secs]  2 threads:      184906 ops,   12410 (avg:    9730) ops/sec, 479.34KB/sec (avg: 375.77KB/sec),  0.32 (avg:  0.41) msec latency[RUN #1 67%,  20 secs]  2 threads:      194966 ops,   10059 (avg:    9747) ops/sec, 388.45KB/sec (avg: 376.41KB/sec),  0.39 (avg:  0.41) msec latency[RUN #1 70%,  21 secs]  2 threads:      204624 ops,    9657 (avg:    9742) ops/sec, 372.96KB/sec (avg: 376.24KB/sec),  0.41 (avg:  0.41) msec latency[RUN #1 73%,  22 secs]  2 threads:      211674 ops,    7049 (avg:    9620) ops/sec, 272.18KB/sec (avg: 371.51KB/sec),  0.56 (avg:  0.41) msec latency[RUN #1 77%,  23 secs]  2 threads:      223206 ops,   11530 (avg:    9703) ops/sec, 445.36KB/sec (avg: 374.72KB/sec),  0.35 (avg:  0.41) msec latency[RUN #1 80%,  24 secs]  2 threads:      236286 ops,   13078 (avg:    9844) ops/sec, 505.05KB/sec (avg: 380.15KB/sec),  0.30 (avg:  0.40) msec latency[RUN #1 83%,  25 secs]  2 threads:      250428 ops,   14140 (avg:   10016) ops/sec, 546.18KB/sec (avg: 386.79KB/sec),  0.28 (avg:  0.39) msec latency[RUN #1 87%,  26 secs]  2 threads:      265373 ops,   14943 (avg:   10205) ops/sec, 577.15KB/sec (avg: 394.11KB/sec),  0.26 (avg:  0.39) msec latency[RUN #1 90%,  27 secs]  2 threads:      281871 ops,   16496 (avg:   10438) ops/sec, 637.10KB/sec (avg: 403.11KB/sec),  0.24 (avg:  0.38) msec latency[RUN #1 93%,  28 secs]  2 threads:      299191 ops,   17318 (avg:   10684) ops/sec, 668.87KB/sec (avg: 412.61KB/sec),  0.23 (avg:  0.37) msec latency[RUN #1 97%,  29 secs]  2 threads:      317375 ops,   18182 (avg:   10942) ops/sec, 702.10KB/sec (avg: 422.59KB/sec),  0.22 (avg:  0.36) msec latency[RUN #1 100%,  30 secs]  0 threads:      336423 ops,   18182 (avg:   11214) ops/sec, 702.10KB/sec (avg: 433.07KB/sec),  0.22 (avg:  0.35) msec latency

2         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1019.53          ---          ---      0.35200        75.58
Gets       10194.53      3314.75      6879.78      0.35100       357.49
Totals     11214.06      3314.75      6879.78      0.35100       433.07


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.059      0.00033
GET       0.065      0.00065
GET       0.066      0.00098
GET       0.068      0.00163
GET       0.070      0.00229
GET       0.071      0.00327
GET       0.072      0.00360
GET       0.073      0.00556
GET       0.074      0.00687
GET       0.075      0.00817
GET       0.076      0.00916
GET       0.077      0.01079
GET       0.078      0.01144
GET       0.079      0.01471
GET       0.080      0.01798
GET       0.081      0.02125
GET       0.082      0.02518
GET       0.083      0.03204
GET       0.084      0.04022
GET       0.085      0.04970
GET       0.086      0.06016
GET       0.087      0.07422
GET       0.088      0.09384
GET       0.089      0.11411
GET       0.090      0.13766
GET       0.091      0.16218
GET       0.092      0.19978
GET       0.093      0.24784
GET       0.094      0.29558
GET       0.095      0.34822
GET       0.096      0.39564
GET       0.097      0.44435
GET       0.098      0.49929
GET       0.099      0.55160
GET       0.100      0.87432
GET       0.110      1.74243
GET       0.120      3.10885
GET       0.130      5.69192
GET       0.140     11.64477
GET       0.150     18.14398
GET       0.160     22.48976
GET       0.170     25.93865
GET       0.180     29.55757
GET       0.190     34.46738
GET       0.200     38.27758
GET       0.210     40.63831
GET       0.220     42.47132
GET       0.230     44.57211
GET       0.240     47.54591
GET       0.250     50.83231
GET       0.260     54.05396
GET       0.270     57.46917
GET       0.280     61.34215
GET       0.290     66.00640
GET       0.300     70.21976
GET       0.310     73.67944
GET       0.320     76.73728
GET       0.330     79.61921
GET       0.340     82.43901
GET       0.350     84.76868
GET       0.360     86.60234
GET       0.370     88.06456
GET       0.380     89.36590
GET       0.390     90.56295
GET       0.400     91.53111
GET       0.410     92.24587
GET       0.420     92.80564
GET       0.430     93.27158
GET       0.440     93.69762
GET       0.450     94.02754
GET       0.460     94.31429
GET       0.470     94.52552
GET       0.480     94.73870
GET       0.490     94.92998
GET       0.500     95.08660
GET       0.510     95.23079
GET       0.520     95.35570
GET       0.530     95.48223
GET       0.540     95.62185
GET       0.550     95.74545
GET       0.560     95.86839
GET       0.570     95.99493
GET       0.580     96.10806
GET       0.590     96.22708
GET       0.600     96.34642
GET       0.610     96.47427
GET       0.620     96.58576
GET       0.630     96.71459
GET       0.640     96.83720
GET       0.650     96.95295
GET       0.660     97.05791
GET       0.670     97.17039
GET       0.680     97.26848
GET       0.690     97.36624
GET       0.700     97.45453
GET       0.710     97.55229
GET       0.720     97.62488
GET       0.730     97.70499
GET       0.740     97.77332
GET       0.750     97.83970
GET       0.760     97.89921
GET       0.770     97.95152
GET       0.780     97.99893
GET       0.790     98.03981
GET       0.800     98.07904
GET       0.810     98.11076
GET       0.820     98.13855
GET       0.830     98.16994
GET       0.840     98.19381
GET       0.850     98.21702
GET       0.860     98.23697
GET       0.870     98.25855
GET       0.880     98.27392
GET       0.890     98.28732
GET       0.900     98.29811
GET       0.910     98.30531
GET       0.920     98.31610
GET       0.930     98.32689
GET       0.940     98.33571
GET       0.950     98.34324
GET       0.960     98.35370
GET       0.970     98.36285
GET       0.980     98.37266
GET       0.990     98.38313
GET       1.000     98.44165
GET       1.100     98.56002
GET       1.200     98.66563
GET       1.300     98.75162
GET       1.400     98.80165
GET       1.500     98.82323
GET       1.600     98.83402
GET       1.700     98.83762
GET       1.800     98.83794
GET       1.900     98.83827
GET       2.000     98.83892
GET       2.700     98.83925
GET       2.800     98.84023
GET       2.900     98.84089
GET       3.000     98.84154
GET       3.200     98.84285
GET       3.600     98.84383
GET       3.700     98.84448
GET       3.900     98.84677
GET       4.000     98.85331
GET       4.100     98.86672
GET       4.200     98.93407
GET       4.300     98.99783
GET       4.400     99.07696
GET       4.500     99.12175
GET       4.600     99.17047
GET       4.700     99.22312
GET       4.800     99.25483
GET       4.900     99.26660
GET       5.000     99.27314
GET       5.100     99.28197
GET       5.200     99.28851
GET       5.300     99.29995
GET       5.400     99.30780
GET       5.500     99.31107
GET       5.600     99.31238
GET       5.700     99.31401
GET       5.800     99.31467
GET       6.100     99.31532
GET       6.200     99.31598
GET       6.300     99.31794
GET       6.400     99.31892
GET       6.500     99.31925
GET       6.900     99.31957
GET       7.100     99.32055
GET       7.200     99.32121
GET       7.300     99.32284
GET       7.600     99.32317
GET       7.700     99.32382
GET       7.800     99.32415
GET       7.900     99.32611
GET       8.000     99.33069
GET       8.100     99.34508
GET       8.200     99.41799
GET       8.300     99.48698
GET       8.400     99.57984
GET       8.500     99.62398
GET       8.600     99.65374
GET       8.700     99.67957
GET       8.800     99.69461
GET       8.900     99.70213
GET       9.000     99.70507
GET       9.100     99.70965
GET       9.200     99.71553
GET       9.300     99.71815
GET       9.400     99.72306
GET       9.500     99.72502
GET       9.600     99.72534
GET       9.700     99.72600
GET       9.800     99.72731
GET      10.000     99.72763
GET      12.000     99.91760
GET      13.000     99.96698
GET      14.000     99.96796
GET      15.000     99.96861
GET      16.000     99.99673
GET      17.000     99.99738
GET      20.000    100.00000
