[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       14307 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       25792 ops,   11483 (avg:   12895) ops/sec, 443.54KB/sec (avg: 498.03KB/sec),  0.34 (avg:  0.31) msec latency[RUN #1 10%,   3 secs]  2 threads:       36508 ops,   10714 (avg:   12168) ops/sec, 413.70KB/sec (avg: 469.92KB/sec),  0.37 (avg:  0.32) msec latency[RUN #1 13%,   4 secs]  2 threads:       45774 ops,    9265 (avg:   11442) ops/sec, 357.84KB/sec (avg: 441.90KB/sec),  0.43 (avg:  0.35) msec latency[RUN #1 17%,   5 secs]  2 threads:       52222 ops,    6447 (avg:   10443) ops/sec, 249.02KB/sec (avg: 403.32KB/sec),  0.61 (avg:  0.38) msec latency[RUN #1 20%,   6 secs]  2 threads:       58990 ops,    6767 (avg:    9830) ops/sec, 261.26KB/sec (avg: 379.65KB/sec),  0.59 (avg:  0.40) msec latency[RUN #1 23%,   7 secs]  2 threads:       74058 ops,   15066 (avg:   10578) ops/sec, 581.81KB/sec (avg: 408.53KB/sec),  0.26 (avg:  0.37) msec latency[RUN #1 27%,   8 secs]  2 threads:       88241 ops,   14181 (avg:   11029) ops/sec, 547.62KB/sec (avg: 425.92KB/sec),  0.28 (avg:  0.36) msec latency[RUN #1 30%,   9 secs]  2 threads:      101359 ops,   13116 (avg:   11261) ops/sec, 506.53KB/sec (avg: 434.87KB/sec),  0.30 (avg:  0.35) msec latency[RUN #1 33%,  10 secs]  2 threads:      111243 ops,    9882 (avg:   11123) ops/sec, 381.59KB/sec (avg: 429.54KB/sec),  0.40 (avg:  0.35) msec latency[RUN #1 37%,  11 secs]  2 threads:      119331 ops,    8087 (avg:   10847) ops/sec, 312.30KB/sec (avg: 418.88KB/sec),  0.49 (avg:  0.36) msec latency[RUN #1 40%,  12 secs]  2 threads:      123829 ops,    4497 (avg:   10318) ops/sec, 173.65KB/sec (avg: 398.45KB/sec),  0.88 (avg:  0.38) msec latency[RUN #1 43%,  13 secs]  2 threads:      128801 ops,    4971 (avg:    9906) ops/sec, 191.98KB/sec (avg: 382.56KB/sec),  0.80 (avg:  0.40) msec latency[RUN #1 47%,  14 secs]  2 threads:      135706 ops,    6904 (avg:    9692) ops/sec, 266.62KB/sec (avg: 374.28KB/sec),  0.57 (avg:  0.41) msec latency[RUN #1 50%,  15 secs]  2 threads:      142265 ops,    6558 (avg:    9483) ops/sec, 253.26KB/sec (avg: 366.21KB/sec),  0.60 (avg:  0.42) msec latency[RUN #1 53%,  16 secs]  2 threads:      149939 ops,    7673 (avg:    9370) ops/sec, 296.30KB/sec (avg: 361.85KB/sec),  0.52 (avg:  0.42) msec latency[RUN #1 57%,  17 secs]  2 threads:      159764 ops,    9823 (avg:    9396) ops/sec, 379.34KB/sec (avg: 362.87KB/sec),  0.40 (avg:  0.42) msec latency[RUN #1 60%,  18 secs]  2 threads:      169541 ops,    9775 (avg:    9417) ops/sec, 377.52KB/sec (avg: 363.69KB/sec),  0.40 (avg:  0.42) msec latency[RUN #1 63%,  19 secs]  2 threads:      174767 ops,    5225 (avg:    9197) ops/sec, 201.77KB/sec (avg: 355.17KB/sec),  0.76 (avg:  0.43) msec latency[RUN #1 67%,  20 secs]  2 threads:      179183 ops,    4415 (avg:    8958) ops/sec, 170.49KB/sec (avg: 345.93KB/sec),  0.90 (avg:  0.44) msec latency[RUN #1 70%,  21 secs]  2 threads:      182549 ops,    3365 (avg:    8691) ops/sec, 130.03KB/sec (avg: 335.65KB/sec),  1.18 (avg:  0.46) msec latency[RUN #1 73%,  22 secs]  2 threads:      186692 ops,    4142 (avg:    8485) ops/sec, 159.98KB/sec (avg: 327.67KB/sec),  0.96 (avg:  0.47) msec latency[RUN #1 77%,  23 secs]  2 threads:      192393 ops,    5700 (avg:    8364) ops/sec, 220.15KB/sec (avg: 322.99KB/sec),  0.70 (avg:  0.47) msec latency[RUN #1 80%,  24 secs]  2 threads:      206354 ops,   13958 (avg:    8597) ops/sec, 539.05KB/sec (avg: 331.99KB/sec),  0.28 (avg:  0.46) msec latency[RUN #1 83%,  25 secs]  2 threads:      220719 ops,   14363 (avg:    8827) ops/sec, 554.69KB/sec (avg: 340.90KB/sec),  0.27 (avg:  0.45) msec latency[RUN #1 87%,  26 secs]  2 threads:      234032 ops,   13311 (avg:    9000) ops/sec, 514.09KB/sec (avg: 347.56KB/sec),  0.30 (avg:  0.44) msec latency[RUN #1 90%,  27 secs]  2 threads:      246382 ops,   12348 (avg:    9124) ops/sec, 476.91KB/sec (avg: 352.35KB/sec),  0.32 (avg:  0.43) msec latency[RUN #1 93%,  28 secs]  2 threads:      255292 ops,    8909 (avg:    9116) ops/sec, 344.05KB/sec (avg: 352.06KB/sec),  0.44 (avg:  0.43) msec latency[RUN #1 97%,  29 secs]  2 threads:      264415 ops,    9122 (avg:    9116) ops/sec, 352.41KB/sec (avg: 352.07KB/sec),  0.43 (avg:  0.43) msec latency[RUN #1 100%,  30 secs]  0 threads:      277991 ops,    9122 (avg:    9266) ops/sec, 352.41KB/sec (avg: 357.85KB/sec),  0.43 (avg:  0.43) msec latency

2         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         842.46          ---          ---      0.42800        62.45
Gets        8423.87      2398.53      6025.35      0.42600       295.40
Totals      9266.34      2398.53      6025.35      0.42600       357.85


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.067      0.00040
GET       0.068      0.00079
GET       0.071      0.00119
GET       0.072      0.00158
GET       0.073      0.00277
GET       0.074      0.00317
GET       0.078      0.00356
GET       0.079      0.00435
GET       0.080      0.00633
GET       0.081      0.00791
GET       0.082      0.00871
GET       0.083      0.01068
GET       0.084      0.01266
GET       0.085      0.01583
GET       0.086      0.01978
GET       0.087      0.02295
GET       0.088      0.02928
GET       0.089      0.03324
GET       0.090      0.03917
GET       0.091      0.04828
GET       0.092      0.05659
GET       0.093      0.06529
GET       0.094      0.07400
GET       0.095      0.08428
GET       0.096      0.09615
GET       0.097      0.10961
GET       0.098      0.12623
GET       0.099      0.14206
GET       0.100      0.25285
GET       0.110      0.51639
GET       0.120      1.03475
GET       0.130      2.50359
GET       0.140      6.61530
GET       0.150     12.73559
GET       0.160     18.31179
GET       0.170     23.20184
GET       0.180     28.55051
GET       0.190     34.75271
GET       0.200     39.56481
GET       0.210     42.46410
GET       0.220     44.42796
GET       0.230     46.12986
GET       0.240     48.04465
GET       0.250     49.86803
GET       0.260     51.49080
GET       0.270     53.16025
GET       0.280     55.11738
GET       0.290     57.49356
GET       0.300     59.82106
GET       0.310     61.96338
GET       0.320     64.07919
GET       0.330     66.25000
GET       0.340     68.51933
GET       0.350     70.51959
GET       0.360     72.27333
GET       0.370     73.80390
GET       0.380     75.27669
GET       0.390     76.63513
GET       0.400     77.76169
GET       0.410     78.75489
GET       0.420     79.64482
GET       0.430     80.51457
GET       0.440     81.32496
GET       0.450     82.05898
GET       0.460     82.70516
GET       0.470     83.28644
GET       0.480     83.92550
GET       0.490     84.51232
GET       0.500     85.06472
GET       0.510     85.58664
GET       0.520     86.08641
GET       0.530     86.57866
GET       0.540     87.08081
GET       0.550     87.55604
GET       0.560     88.03207
GET       0.570     88.54687
GET       0.580     89.03121
GET       0.590     89.55037
GET       0.600     90.06240
GET       0.610     90.52854
GET       0.620     90.98794
GET       0.630     91.44062
GET       0.640     91.87471
GET       0.650     92.30285
GET       0.660     92.67441
GET       0.670     93.02975
GET       0.680     93.36372
GET       0.690     93.65891
GET       0.700     93.93076
GET       0.710     94.16383
GET       0.720     94.37078
GET       0.730     94.55913
GET       0.740     94.72889
GET       0.750     94.88004
GET       0.760     95.00627
GET       0.770     95.12656
GET       0.780     95.21995
GET       0.790     95.31294
GET       0.800     95.40553
GET       0.810     95.47795
GET       0.820     95.54363
GET       0.830     95.60022
GET       0.840     95.65522
GET       0.850     95.69835
GET       0.860     95.73792
GET       0.870     95.77314
GET       0.880     95.80638
GET       0.890     95.83447
GET       0.900     95.86177
GET       0.910     95.88670
GET       0.920     95.91005
GET       0.930     95.93933
GET       0.940     95.96743
GET       0.950     95.99869
GET       0.960     96.02757
GET       0.970     96.06675
GET       0.980     96.10315
GET       0.990     96.14035
GET       1.000     96.44068
GET       1.100     97.17273
GET       1.200     97.91862
GET       1.300     98.36418
GET       1.400     98.55491
GET       1.500     98.60793
GET       1.600     98.61822
GET       1.700     98.61980
GET       1.800     98.62059
GET       2.100     98.62138
GET       2.200     98.62257
GET       2.300     98.62297
GET       2.400     98.62336
GET       2.500     98.62376
GET       3.200     98.62534
GET       3.700     98.62613
GET       3.800     98.62771
GET       3.900     98.63048
GET       4.000     98.63128
GET       4.100     98.63800
GET       4.200     98.69261
GET       4.300     98.73574
GET       4.400     98.77966
GET       4.500     98.83546
GET       4.600     98.91895
GET       4.700     99.00205
GET       4.800     99.04993
GET       4.900     99.05705
GET       5.000     99.06615
GET       5.100     99.08910
GET       5.200     99.11799
GET       5.300     99.14014
GET       5.400     99.15479
GET       5.500     99.16310
GET       5.600     99.16507
GET       5.700     99.16705
GET       5.900     99.16745
GET       6.000     99.16784
GET       6.100     99.16943
GET       6.200     99.17101
GET       6.300     99.17259
GET       6.400     99.17299
GET       6.500     99.17418
GET       7.300     99.17457
GET       7.400     99.17536
GET       7.500     99.17615
GET       7.600     99.17655
GET       7.700     99.17694
GET       8.000     99.17734
GET       8.100     99.18644
GET       8.200     99.25331
GET       8.300     99.32256
GET       8.400     99.40170
GET       8.500     99.44365
GET       8.600     99.48440
GET       8.700     99.52714
GET       8.800     99.54732
GET       8.900     99.55246
GET       9.000     99.55919
GET       9.100     99.56948
GET       9.200     99.58412
GET       9.300     99.59995
GET       9.400     99.60786
GET       9.500     99.61142
GET       9.600     99.61261
GET       9.700     99.61380
GET       9.800     99.61419
GET      10.000     99.62211
GET      11.000     99.62329
GET      12.000     99.86744
GET      13.000     99.92996
GET      14.000     99.93234
GET      16.000     99.99565
GET      17.000    100.00000
