[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       12849 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       23384 ops,   10532 (avg:   11690) ops/sec, 407.98KB/sec (avg: 452.81KB/sec),  0.37 (avg:  0.34) msec latency[RUN #1 10%,   3 secs]  2 threads:       28688 ops,    5303 (avg:    9561) ops/sec, 205.44KB/sec (avg: 370.36KB/sec),  0.75 (avg:  0.41) msec latency[RUN #1 13%,   4 secs]  2 threads:       35728 ops,    7039 (avg:    8930) ops/sec, 272.70KB/sec (avg: 345.94KB/sec),  0.56 (avg:  0.44) msec latency[RUN #1 17%,   5 secs]  2 threads:       42982 ops,    7253 (avg:    8595) ops/sec, 280.77KB/sec (avg: 332.91KB/sec),  0.55 (avg:  0.46) msec latency[RUN #1 20%,   6 secs]  2 threads:       51730 ops,    8747 (avg:    8620) ops/sec, 338.97KB/sec (avg: 333.92KB/sec),  0.45 (avg:  0.46) msec latency[RUN #1 23%,   7 secs]  2 threads:       57821 ops,    6090 (avg:    8259) ops/sec, 235.95KB/sec (avg: 319.92KB/sec),  0.65 (avg:  0.48) msec latency[RUN #1 27%,   8 secs]  2 threads:       63885 ops,    6063 (avg:    7984) ops/sec, 234.76KB/sec (avg: 309.28KB/sec),  0.65 (avg:  0.50) msec latency[RUN #1 30%,   9 secs]  2 threads:       69975 ops,    6089 (avg:    7774) ops/sec, 235.96KB/sec (avg: 301.13KB/sec),  0.65 (avg:  0.51) msec latency[RUN #1 33%,  10 secs]  2 threads:       75979 ops,    6003 (avg:    7597) ops/sec, 232.53KB/sec (avg: 294.27KB/sec),  0.66 (avg:  0.52) msec latency[RUN #1 37%,  11 secs]  2 threads:       82300 ops,    6320 (avg:    7481) ops/sec, 244.73KB/sec (avg: 289.77KB/sec),  0.63 (avg:  0.53) msec latency[RUN #1 40%,  12 secs]  2 threads:       89758 ops,    7457 (avg:    7479) ops/sec, 288.85KB/sec (avg: 289.69KB/sec),  0.53 (avg:  0.53) msec latency[RUN #1 43%,  13 secs]  2 threads:       97171 ops,    7412 (avg:    7473) ops/sec, 286.95KB/sec (avg: 289.48KB/sec),  0.54 (avg:  0.53) msec latency[RUN #1 47%,  14 secs]  2 threads:      109284 ops,   12111 (avg:    7805) ops/sec, 469.12KB/sec (avg: 302.31KB/sec),  0.32 (avg:  0.51) msec latency[RUN #1 50%,  15 secs]  2 threads:      121301 ops,   12015 (avg:    8085) ops/sec, 465.43KB/sec (avg: 313.19KB/sec),  0.33 (avg:  0.49) msec latency[RUN #1 53%,  16 secs]  2 threads:      129052 ops,    7750 (avg:    8064) ops/sec, 300.15KB/sec (avg: 312.37KB/sec),  0.51 (avg:  0.49) msec latency[RUN #1 57%,  17 secs]  2 threads:      131885 ops,    2832 (avg:    7757) ops/sec, 109.66KB/sec (avg: 300.45KB/sec),  1.41 (avg:  0.51) msec latency[RUN #1 60%,  18 secs]  2 threads:      136036 ops,    4150 (avg:    7556) ops/sec, 160.70KB/sec (avg: 292.68KB/sec),  0.95 (avg:  0.52) msec latency[RUN #1 63%,  19 secs]  2 threads:      142797 ops,    6760 (avg:    7514) ops/sec, 261.83KB/sec (avg: 291.06KB/sec),  0.59 (avg:  0.53) msec latency[RUN #1 67%,  20 secs]  2 threads:      157403 ops,   14602 (avg:    7869) ops/sec, 565.59KB/sec (avg: 304.79KB/sec),  0.27 (avg:  0.50) msec latency[RUN #1 70%,  21 secs]  2 threads:      164633 ops,    7229 (avg:    7838) ops/sec, 279.93KB/sec (avg: 303.60KB/sec),  0.55 (avg:  0.50) msec latency[RUN #1 73%,  22 secs]  2 threads:      172076 ops,    7442 (avg:    7820) ops/sec, 288.41KB/sec (avg: 302.91KB/sec),  0.53 (avg:  0.51) msec latency[RUN #1 77%,  23 secs]  2 threads:      178178 ops,    6101 (avg:    7746) ops/sec, 236.43KB/sec (avg: 300.02KB/sec),  0.65 (avg:  0.51) msec latency[RUN #1 80%,  24 secs]  2 threads:      187341 ops,    9162 (avg:    7805) ops/sec, 354.89KB/sec (avg: 302.31KB/sec),  0.43 (avg:  0.51) msec latency[RUN #1 83%,  25 secs]  2 threads:      192355 ops,    5013 (avg:    7693) ops/sec, 194.15KB/sec (avg: 297.98KB/sec),  0.80 (avg:  0.51) msec latency[RUN #1 87%,  26 secs]  2 threads:      197615 ops,    5259 (avg:    7599) ops/sec, 203.76KB/sec (avg: 294.36KB/sec),  0.75 (avg:  0.52) msec latency[RUN #1 90%,  27 secs]  2 threads:      203069 ops,    5453 (avg:    7520) ops/sec, 211.17KB/sec (avg: 291.28KB/sec),  0.73 (avg:  0.53) msec latency[RUN #1 93%,  28 secs]  2 threads:      210771 ops,    7701 (avg:    7526) ops/sec, 298.35KB/sec (avg: 291.53KB/sec),  0.51 (avg:  0.53) msec latency[RUN #1 97%,  29 secs]  2 threads:      220854 ops,   10081 (avg:    7614) ops/sec, 390.56KB/sec (avg: 294.94KB/sec),  0.39 (avg:  0.52) msec latency[RUN #1 100%,  30 secs]  0 threads:      230436 ops,   10081 (avg:    7681) ops/sec, 390.56KB/sec (avg: 297.51KB/sec),  0.39 (avg:  0.51) msec latency

2         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         698.37          ---          ---      0.53100        51.85
Gets        6982.82      1529.90      5452.92      0.51300       245.67
Totals      7681.19      1529.90      5452.92      0.51400       297.52


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.078      0.00048
GET       0.079      0.00095
GET       0.081      0.00143
GET       0.082      0.00239
GET       0.083      0.00286
GET       0.085      0.00334
GET       0.086      0.00716
GET       0.087      0.00907
GET       0.088      0.01193
GET       0.089      0.01575
GET       0.090      0.02005
GET       0.091      0.02435
GET       0.092      0.03055
GET       0.093      0.03771
GET       0.094      0.04821
GET       0.095      0.06110
GET       0.096      0.06779
GET       0.097      0.08020
GET       0.098      0.09261
GET       0.099      0.10741
GET       0.100      0.17758
GET       0.110      0.39000
GET       0.120      0.75280
GET       0.130      1.92711
GET       0.140      5.76461
GET       0.150     11.03898
GET       0.160     15.03258
GET       0.170     18.36122
GET       0.180     22.55579
GET       0.190     28.13089
GET       0.200     32.34217
GET       0.210     34.77480
GET       0.220     36.48185
GET       0.230     38.13065
GET       0.240     40.08927
GET       0.250     41.97102
GET       0.260     43.71053
GET       0.270     45.40373
GET       0.280     47.55901
GET       0.290     50.47139
GET       0.300     53.28066
GET       0.310     55.78347
GET       0.320     58.14784
GET       0.330     60.79290
GET       0.340     63.80361
GET       0.350     66.48686
GET       0.360     68.73189
GET       0.370     70.66473
GET       0.380     72.67012
GET       0.390     74.60821
GET       0.400     76.24030
GET       0.410     77.63420
GET       0.420     78.84479
GET       0.430     79.93699
GET       0.440     80.96570
GET       0.450     81.83402
GET       0.460     82.63360
GET       0.470     83.34773
GET       0.480     84.01938
GET       0.490     84.66191
GET       0.500     85.31064
GET       0.510     85.86343
GET       0.520     86.36513
GET       0.530     86.89644
GET       0.540     87.40244
GET       0.550     87.87694
GET       0.560     88.32995
GET       0.570     88.73428
GET       0.580     89.14528
GET       0.590     89.54436
GET       0.600     89.93389
GET       0.610     90.29191
GET       0.620     90.63895
GET       0.630     90.99076
GET       0.640     91.31871
GET       0.650     91.63806
GET       0.660     91.94453
GET       0.670     92.22808
GET       0.680     92.50066
GET       0.690     92.75986
GET       0.700     92.97229
GET       0.710     93.17565
GET       0.720     93.36802
GET       0.730     93.55372
GET       0.740     93.71984
GET       0.750     93.87975
GET       0.760     94.02821
GET       0.770     94.14946
GET       0.780     94.29124
GET       0.790     94.42347
GET       0.800     94.53231
GET       0.810     94.64305
GET       0.820     94.75189
GET       0.830     94.85452
GET       0.840     94.97816
GET       0.850     95.07793
GET       0.860     95.17865
GET       0.870     95.28033
GET       0.880     95.37294
GET       0.890     95.45600
GET       0.900     95.53620
GET       0.910     95.61782
GET       0.920     95.69373
GET       0.930     95.76485
GET       0.940     95.83073
GET       0.950     95.89040
GET       0.960     95.94482
GET       0.970     96.00067
GET       0.980     96.04888
GET       0.990     96.09328
GET       1.000     96.30284
GET       1.100     96.63985
GET       1.200     97.02079
GET       1.300     97.37404
GET       1.400     97.56689
GET       1.500     97.68193
GET       1.600     97.74972
GET       1.700     97.78743
GET       1.800     97.81941
GET       1.900     97.84185
GET       2.000     97.85331
GET       2.100     97.86142
GET       2.200     97.86476
GET       2.300     97.86954
GET       2.400     97.87192
GET       2.500     97.87288
GET       2.600     97.87479
GET       2.800     97.87670
GET       2.900     97.87717
GET       3.000     97.87765
GET       3.100     97.87956
GET       3.200     97.88338
GET       3.300     97.88434
GET       3.400     97.88529
GET       4.100     97.89388
GET       4.200     97.99222
GET       4.300     98.07289
GET       4.400     98.22517
GET       4.500     98.30489
GET       4.600     98.33067
GET       4.700     98.34929
GET       4.800     98.37745
GET       4.900     98.39750
GET       5.000     98.41564
GET       5.100     98.43378
GET       5.200     98.44571
GET       5.300     98.45001
GET       5.400     98.46385
GET       5.500     98.47674
GET       5.600     98.48581
GET       5.700     98.49058
GET       5.800     98.49536
GET       5.900     98.50300
GET       6.000     98.50681
GET       6.100     98.50920
GET       6.200     98.51254
GET       6.300     98.51445
GET       6.400     98.51541
GET       6.500     98.51588
GET       6.800     98.51970
GET       6.900     98.52304
GET       7.000     98.52400
GET       7.100     98.52543
GET       7.300     98.52686
GET       7.400     98.52782
GET       7.600     98.52877
GET       7.800     98.52925
GET       7.900     98.52973
GET       8.100     98.55169
GET       8.200     98.69060
GET       8.300     98.80421
GET       8.400     98.99945
GET       8.500     99.08824
GET       8.600     99.11020
GET       8.700     99.13263
GET       8.800     99.14887
GET       8.900     99.16319
GET       9.000     99.17130
GET       9.100     99.17894
GET       9.200     99.18610
GET       9.300     99.19135
GET       9.400     99.19612
GET       9.500     99.20137
GET       9.600     99.20567
GET       9.700     99.20949
GET       9.800     99.21379
GET       9.900     99.21808
GET      10.000     99.22667
GET      11.000     99.22715
GET      12.000     99.80715
GET      13.000     99.87780
GET      14.000     99.88496
GET      15.000     99.89450
GET      16.000     99.97375
GET      17.000     99.98568
GET      18.000     99.98616
GET      20.000     99.99141
GET      21.000     99.99236
GET      24.000     99.99427
GET      25.000     99.99523
GET      26.000     99.99618
GET      28.000     99.99809
GET      32.000    100.00000
