[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       16338 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:       30797 ops,   14457 (avg:   15399) ops/sec, 556.81KB/sec (avg: 593.14KB/sec),  0.27 (avg:  0.26) msec latency[RUN #1 10%,   2 secs]  2 threads:       44169 ops,   13370 (avg:   14723) ops/sec, 514.95KB/sec (avg: 567.07KB/sec),  0.29 (avg:  0.27) msec latency[RUN #1 13%,   4 secs]  2 threads:       56875 ops,   12704 (avg:   14218) ops/sec, 489.44KB/sec (avg: 547.66KB/sec),  0.31 (avg:  0.28) msec latency[RUN #1 17%,   5 secs]  2 threads:       68142 ops,   11265 (avg:   13627) ops/sec, 434.04KB/sec (avg: 524.94KB/sec),  0.35 (avg:  0.29) msec latency[RUN #1 20%,   6 secs]  2 threads:       78617 ops,   10473 (avg:   13102) ops/sec, 403.37KB/sec (avg: 504.67KB/sec),  0.38 (avg:  0.30) msec latency[RUN #1 23%,   7 secs]  2 threads:       90065 ops,   11446 (avg:   12865) ops/sec, 440.73KB/sec (avg: 495.54KB/sec),  0.34 (avg:  0.31) msec latency[RUN #1 27%,   8 secs]  2 threads:      100219 ops,   10153 (avg:   12526) ops/sec, 390.99KB/sec (avg: 482.47KB/sec),  0.39 (avg:  0.31) msec latency[RUN #1 30%,   9 secs]  2 threads:      115200 ops,   14979 (avg:   12799) ops/sec, 576.74KB/sec (avg: 492.94KB/sec),  0.26 (avg:  0.31) msec latency[RUN #1 33%,  10 secs]  2 threads:      126489 ops,   11287 (avg:   12647) ops/sec, 434.63KB/sec (avg: 487.11KB/sec),  0.35 (avg:  0.31) msec latency[RUN #1 37%,  11 secs]  2 threads:      141007 ops,   14516 (avg:   12817) ops/sec, 559.07KB/sec (avg: 493.65KB/sec),  0.27 (avg:  0.31) msec latency[RUN #1 40%,  12 secs]  2 threads:      156637 ops,   15628 (avg:   13052) ops/sec, 601.84KB/sec (avg: 502.67KB/sec),  0.25 (avg:  0.30) msec latency[RUN #1 43%,  13 secs]  2 threads:      163924 ops,    7286 (avg:   12608) ops/sec, 280.62KB/sec (avg: 485.59KB/sec),  0.54 (avg:  0.31) msec latency[RUN #1 47%,  14 secs]  2 threads:      174416 ops,   10490 (avg:   12457) ops/sec, 404.25KB/sec (avg: 479.78KB/sec),  0.38 (avg:  0.32) msec latency[RUN #1 50%,  15 secs]  2 threads:      183634 ops,    9217 (avg:   12241) ops/sec, 355.09KB/sec (avg: 471.47KB/sec),  0.43 (avg:  0.32) msec latency[RUN #1 53%,  16 secs]  2 threads:      187371 ops,    3736 (avg:   11709) ops/sec, 143.81KB/sec (avg: 450.99KB/sec),  1.06 (avg:  0.34) msec latency[RUN #1 57%,  17 secs]  2 threads:      191250 ops,    3878 (avg:   11249) ops/sec, 149.39KB/sec (avg: 433.25KB/sec),  1.03 (avg:  0.35) msec latency[RUN #1 60%,  18 secs]  2 threads:      199994 ops,    8743 (avg:   11109) ops/sec, 336.74KB/sec (avg: 427.89KB/sec),  0.45 (avg:  0.36) msec latency[RUN #1 63%,  19 secs]  2 threads:      207153 ops,    7157 (avg:   10901) ops/sec, 275.73KB/sec (avg: 419.88KB/sec),  0.55 (avg:  0.36) msec latency[RUN #1 67%,  20 secs]  2 threads:      210255 ops,    3101 (avg:   10511) ops/sec, 119.55KB/sec (avg: 404.86KB/sec),  1.29 (avg:  0.38) msec latency[RUN #1 70%,  21 secs]  2 threads:      221745 ops,   11488 (avg:   10558) ops/sec, 442.54KB/sec (avg: 406.65KB/sec),  0.34 (avg:  0.37) msec latency[RUN #1 73%,  22 secs]  2 threads:      224911 ops,    3165 (avg:   10222) ops/sec, 121.86KB/sec (avg: 393.71KB/sec),  1.26 (avg:  0.39) msec latency[RUN #1 77%,  23 secs]  2 threads:      231462 ops,    6550 (avg:   10062) ops/sec, 252.37KB/sec (avg: 387.56KB/sec),  0.60 (avg:  0.39) msec latency[RUN #1 80%,  24 secs]  2 threads:      235246 ops,    3783 (avg:    9801) ops/sec, 145.69KB/sec (avg: 377.49KB/sec),  1.06 (avg:  0.40) msec latency[RUN #1 83%,  25 secs]  2 threads:      246343 ops,   11095 (avg:    9852) ops/sec, 427.36KB/sec (avg: 379.48KB/sec),  0.36 (avg:  0.40) msec latency[RUN #1 87%,  26 secs]  2 threads:      256705 ops,   10361 (avg:    9872) ops/sec, 398.95KB/sec (avg: 380.23KB/sec),  0.38 (avg:  0.40) msec latency[RUN #1 90%,  27 secs]  2 threads:      264817 ops,    8111 (avg:    9807) ops/sec, 312.39KB/sec (avg: 377.72KB/sec),  0.49 (avg:  0.40) msec latency[RUN #1 93%,  28 secs]  2 threads:      272230 ops,    7412 (avg:    9721) ops/sec, 285.52KB/sec (avg: 374.42KB/sec),  0.53 (avg:  0.41) msec latency[RUN #1 97%,  29 secs]  2 threads:      292291 ops,   20059 (avg:   10078) ops/sec, 772.72KB/sec (avg: 388.16KB/sec),  0.19 (avg:  0.39) msec latency[RUN #1 100%,  30 secs]  0 threads:      309955 ops,   20059 (avg:   10331) ops/sec, 772.72KB/sec (avg: 397.93KB/sec),  0.19 (avg:  0.38) msec latency

2         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         939.30          ---          ---      0.38100        69.53
Gets        9392.50      4229.79      5162.72      0.38200       328.40
Totals     10331.80      4229.79      5162.72      0.38200       397.93


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.062      0.00035
GET       0.069      0.00071
GET       0.073      0.00142
GET       0.075      0.00177
GET       0.076      0.00248
GET       0.077      0.00284
GET       0.078      0.00497
GET       0.079      0.00568
GET       0.080      0.00781
GET       0.081      0.00923
GET       0.082      0.01100
GET       0.083      0.01455
GET       0.084      0.01987
GET       0.085      0.02591
GET       0.086      0.03265
GET       0.087      0.04010
GET       0.088      0.05110
GET       0.089      0.06317
GET       0.090      0.07737
GET       0.091      0.09440
GET       0.092      0.11428
GET       0.093      0.13308
GET       0.094      0.16325
GET       0.095      0.18206
GET       0.096      0.21116
GET       0.097      0.24488
GET       0.098      0.27504
GET       0.099      0.30805
GET       0.100      0.48940
GET       0.110      0.90143
GET       0.120      1.60056
GET       0.130      3.51698
GET       0.140      9.52175
GET       0.150     17.81096
GET       0.160     24.27070
GET       0.170     29.63950
GET       0.180     35.89837
GET       0.190     43.87350
GET       0.200     49.68450
GET       0.210     52.72628
GET       0.220     54.70054
GET       0.230     56.43880
GET       0.240     58.58341
GET       0.250     60.67408
GET       0.260     62.55394
GET       0.270     64.41677
GET       0.280     66.68595
GET       0.290     69.61807
GET       0.300     72.32305
GET       0.310     74.61991
GET       0.320     76.63641
GET       0.330     78.79699
GET       0.340     81.07646
GET       0.350     83.03120
GET       0.360     84.55049
GET       0.370     85.84940
GET       0.380     87.07271
GET       0.390     88.26692
GET       0.400     89.21164
GET       0.410     89.91823
GET       0.420     90.46938
GET       0.430     90.97971
GET       0.440     91.42688
GET       0.450     91.78319
GET       0.460     92.09195
GET       0.470     92.33221
GET       0.480     92.55401
GET       0.490     92.77831
GET       0.500     92.98450
GET       0.510     93.17685
GET       0.520     93.34755
GET       0.530     93.52819
GET       0.540     93.70032
GET       0.550     93.85363
GET       0.560     94.00588
GET       0.570     94.14854
GET       0.580     94.30470
GET       0.590     94.45978
GET       0.600     94.59784
GET       0.610     94.72240
GET       0.620     94.84200
GET       0.630     94.97722
GET       0.640     95.11101
GET       0.650     95.23132
GET       0.660     95.33317
GET       0.670     95.44887
GET       0.680     95.55427
GET       0.690     95.65009
GET       0.700     95.75620
GET       0.710     95.85983
GET       0.720     95.95565
GET       0.730     96.05147
GET       0.740     96.14375
GET       0.750     96.23211
GET       0.760     96.32084
GET       0.770     96.40104
GET       0.780     96.48125
GET       0.790     96.55187
GET       0.800     96.62214
GET       0.810     96.69241
GET       0.820     96.75487
GET       0.830     96.82194
GET       0.840     96.88937
GET       0.850     96.95574
GET       0.860     97.01784
GET       0.870     97.07569
GET       0.880     97.12822
GET       0.890     97.17684
GET       0.900     97.23184
GET       0.910     97.28437
GET       0.920     97.33405
GET       0.930     97.37770
GET       0.940     97.42703
GET       0.950     97.47246
GET       0.960     97.51327
GET       0.970     97.55905
GET       0.980     97.60519
GET       0.990     97.64316
GET       1.000     97.83622
GET       1.100     98.08465
GET       1.200     98.23370
GET       1.300     98.32775
GET       1.400     98.39518
GET       1.500     98.44061
GET       1.600     98.47219
GET       1.700     98.49952
GET       1.800     98.51584
GET       1.900     98.52471
GET       2.000     98.53891
GET       2.100     98.54246
GET       2.200     98.54778
GET       2.300     98.54849
GET       2.400     98.55062
GET       2.500     98.55204
GET       2.600     98.55311
GET       2.700     98.55701
GET       2.800     98.56020
GET       2.900     98.56127
GET       3.000     98.56375
GET       3.100     98.56588
GET       3.200     98.56872
GET       3.300     98.57050
GET       3.400     98.57156
GET       3.500     98.57298
GET       3.600     98.57404
GET       4.000     98.57546
GET       4.100     98.58292
GET       4.200     98.61912
GET       4.300     98.66170
GET       4.400     98.70890
GET       4.500     98.74404
GET       4.600     98.78804
GET       4.700     98.84199
GET       4.800     98.90409
GET       4.900     98.94633
GET       5.000     98.98288
GET       5.100     98.99991
GET       5.200     99.01447
GET       5.300     99.02795
GET       5.400     99.04002
GET       5.500     99.04747
GET       5.600     99.05350
GET       5.700     99.05918
GET       5.800     99.06060
GET       5.900     99.06273
GET       6.000     99.06380
GET       6.100     99.06699
GET       6.200     99.06770
GET       6.300     99.06841
GET       6.500     99.06983
GET       6.600     99.07089
GET       6.700     99.07231
GET       6.800     99.07586
GET       6.900     99.07799
GET       7.000     99.07870
GET       7.100     99.08012
GET       7.200     99.08119
GET       8.000     99.08189
GET       8.100     99.09680
GET       8.200     99.19582
GET       8.300     99.26360
GET       8.400     99.33529
GET       8.500     99.37433
GET       8.600     99.40343
GET       8.700     99.43466
GET       8.800     99.46163
GET       8.900     99.48718
GET       9.000     99.49889
GET       9.100     99.50883
GET       9.200     99.51557
GET       9.300     99.52232
GET       9.400     99.52515
GET       9.500     99.52835
GET       9.600     99.53332
GET       9.700     99.53438
GET       9.800     99.53509
GET       9.900     99.53722
GET      10.000     99.54361
GET      11.000     99.54396
GET      12.000     99.88856
GET      13.000     99.93115
GET      14.000     99.93896
GET      15.000     99.94038
GET      16.000     99.99290
GET      17.000     99.99681
GET      18.000     99.99894
GET      20.000    100.00000
