[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       18048 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       35320 ops,   17270 (avg:   17659) ops/sec, 665.17KB/sec (avg: 680.16KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 10%,   3 secs]  2 threads:       52636 ops,   17312 (avg:   17543) ops/sec, 667.00KB/sec (avg: 675.77KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 13%,   4 secs]  2 threads:       70053 ops,   17415 (avg:   17511) ops/sec, 670.79KB/sec (avg: 674.53KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 17%,   5 secs]  2 threads:       87290 ops,   17235 (avg:   17456) ops/sec, 663.71KB/sec (avg: 672.36KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 20%,   6 secs]  2 threads:      104444 ops,   17151 (avg:   17405) ops/sec, 660.48KB/sec (avg: 670.38KB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 23%,   7 secs]  2 threads:      121597 ops,   17151 (avg:   17369) ops/sec, 660.39KB/sec (avg: 668.96KB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 27%,   8 secs]  2 threads:      138720 ops,   17121 (avg:   17338) ops/sec, 659.32KB/sec (avg: 667.75KB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 30%,   9 secs]  2 threads:      155768 ops,   17046 (avg:   17305) ops/sec, 656.59KB/sec (avg: 666.51KB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 33%,  10 secs]  2 threads:      173068 ops,   17298 (avg:   17305) ops/sec, 666.19KB/sec (avg: 666.48KB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 37%,  11 secs]  2 threads:      190014 ops,   16944 (avg:   17272) ops/sec, 652.78KB/sec (avg: 665.23KB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 40%,  12 secs]  2 threads:      206935 ops,   16919 (avg:   17242) ops/sec, 651.64KB/sec (avg: 664.10KB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 43%,  13 secs]  2 threads:      223867 ops,   16930 (avg:   17218) ops/sec, 652.11KB/sec (avg: 663.18KB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 47%,  14 secs]  2 threads:      240733 ops,   16863 (avg:   17193) ops/sec, 649.55KB/sec (avg: 662.20KB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 50%,  15 secs]  2 threads:      257645 ops,   16910 (avg:   17174) ops/sec, 651.24KB/sec (avg: 661.47KB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 53%,  16 secs]  2 threads:      274123 ops,   16476 (avg:   17130) ops/sec, 634.61KB/sec (avg: 659.79KB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 57%,  17 secs]  2 threads:      290838 ops,   16713 (avg:   17106) ops/sec, 643.74KB/sec (avg: 658.85KB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 60%,  18 secs]  2 threads:      307442 ops,   16602 (avg:   17078) ops/sec, 639.56KB/sec (avg: 657.78KB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 63%,  19 secs]  2 threads:      324068 ops,   16623 (avg:   17054) ops/sec, 640.37KB/sec (avg: 656.86KB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 67%,  20 secs]  2 threads:      340980 ops,   16910 (avg:   17047) ops/sec, 651.46KB/sec (avg: 656.59KB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 70%,  21 secs]  2 threads:      357763 ops,   16781 (avg:   17034) ops/sec, 646.55KB/sec (avg: 656.11KB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 73%,  22 secs]  2 threads:      374487 ops,   16722 (avg:   17020) ops/sec, 644.12KB/sec (avg: 655.57KB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 77%,  23 secs]  2 threads:      391404 ops,   16915 (avg:   17015) ops/sec, 651.67KB/sec (avg: 655.40KB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 80%,  24 secs]  2 threads:      408047 ops,   16641 (avg:   17000) ops/sec, 641.13KB/sec (avg: 654.80KB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 83%,  25 secs]  2 threads:      424807 ops,   16758 (avg:   16990) ops/sec, 645.55KB/sec (avg: 654.43KB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 87%,  26 secs]  2 threads:      441505 ops,   16696 (avg:   16979) ops/sec, 643.20KB/sec (avg: 654.00KB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 90%,  27 secs]  2 threads:      458507 ops,   16999 (avg:   16980) ops/sec, 655.00KB/sec (avg: 654.04KB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 93%,  28 secs]  2 threads:      477465 ops,   18955 (avg:   17050) ops/sec, 730.19KB/sec (avg: 656.76KB/sec),  0.21 (avg:  0.23) msec latency[RUN #1 97%,  29 secs]  2 threads:      496849 ops,   19381 (avg:   17130) ops/sec, 746.63KB/sec (avg: 659.86KB/sec),  0.20 (avg:  0.23) msec latency[RUN #1 100%,  30 secs]  0 threads:      517322 ops,   19381 (avg:   17244) ops/sec, 746.63KB/sec (avg: 664.22KB/sec),  0.20 (avg:  0.23) msec latency

2         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1567.66          ---          ---      0.23000       116.05
Gets       15676.33      9620.59      6055.74      0.22700       548.17
Totals     17243.99      9620.59      6055.74      0.22700       664.22


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.062      0.00043
GET       0.064      0.00106
GET       0.065      0.00149
GET       0.066      0.00213
GET       0.067      0.00276
GET       0.068      0.00298
GET       0.069      0.00404
GET       0.070      0.00617
GET       0.071      0.00808
GET       0.072      0.01042
GET       0.073      0.01255
GET       0.074      0.01616
GET       0.075      0.01892
GET       0.076      0.02360
GET       0.077      0.02998
GET       0.078      0.03657
GET       0.079      0.04529
GET       0.080      0.05784
GET       0.081      0.07038
GET       0.082      0.08718
GET       0.083      0.10547
GET       0.084      0.12907
GET       0.085      0.15565
GET       0.086      0.18350
GET       0.087      0.22454
GET       0.088      0.26877
GET       0.089      0.32703
GET       0.090      0.38742
GET       0.091      0.45993
GET       0.092      0.54264
GET       0.093      0.65598
GET       0.094      0.78930
GET       0.095      0.93410
GET       0.096      1.10485
GET       0.097      1.27602
GET       0.098      1.44570
GET       0.099      1.62240
GET       0.100      2.64389
GET       0.110      5.12533
GET       0.120      8.01545
GET       0.130     11.32403
GET       0.140     15.97114
GET       0.150     19.94059
GET       0.160     21.85259
GET       0.170     22.99571
GET       0.180     23.90770
GET       0.190     25.30598
GET       0.200     27.65601
GET       0.210     31.16851
GET       0.220     36.11820
GET       0.230     43.06473
GET       0.240     52.54672
GET       0.250     62.34999
GET       0.260     70.91509
GET       0.270     78.36280
GET       0.280     84.80327
GET       0.290     90.38555
GET       0.300     94.24506
GET       0.310     96.60764
GET       0.320     98.01166
GET       0.330     98.83455
GET       0.340     99.29597
GET       0.350     99.54114
GET       0.360     99.65404
GET       0.370     99.71188
GET       0.380     99.75037
GET       0.390     99.78077
GET       0.400     99.80204
GET       0.410     99.82181
GET       0.420     99.84138
GET       0.430     99.86094
GET       0.440     99.88263
GET       0.450     99.90368
GET       0.460     99.92069
GET       0.470     99.93706
GET       0.480     99.95237
GET       0.490     99.96598
GET       0.500     99.97533
GET       0.510     99.98448
GET       0.520     99.98979
GET       0.530     99.99235
GET       0.540     99.99532
GET       0.550     99.99596
GET       0.560     99.99724
GET       0.570     99.99809
GET       0.580     99.99872
GET       0.590     99.99915
GET       0.600     99.99957
GET       1.100     99.99979
GET       1.300    100.00000
