[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       18409 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       35384 ops,   16973 (avg:   17691) ops/sec, 650.60KB/sec (avg: 678.17KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 10%,   3 secs]  2 threads:       51331 ops,   15945 (avg:   17109) ops/sec, 611.28KB/sec (avg: 655.87KB/sec),  0.25 (avg:  0.23) msec latency[RUN #1 13%,   4 secs]  2 threads:       66104 ops,   14770 (avg:   16524) ops/sec, 566.29KB/sec (avg: 633.47KB/sec),  0.27 (avg:  0.24) msec latency[RUN #1 17%,   5 secs]  2 threads:       80572 ops,   14466 (avg:   16113) ops/sec, 554.41KB/sec (avg: 617.66KB/sec),  0.27 (avg:  0.24) msec latency[RUN #1 20%,   6 secs]  2 threads:       95025 ops,   14451 (avg:   15836) ops/sec, 553.86KB/sec (avg: 607.03KB/sec),  0.27 (avg:  0.25) msec latency[RUN #1 23%,   7 secs]  2 threads:      109369 ops,   14342 (avg:   15622) ops/sec, 549.77KB/sec (avg: 598.85KB/sec),  0.27 (avg:  0.25) msec latency[RUN #1 27%,   8 secs]  2 threads:      123743 ops,   14372 (avg:   15466) ops/sec, 550.69KB/sec (avg: 592.83KB/sec),  0.27 (avg:  0.25) msec latency[RUN #1 30%,   9 secs]  2 threads:      137941 ops,   14196 (avg:   15325) ops/sec, 543.89KB/sec (avg: 587.39KB/sec),  0.28 (avg:  0.26) msec latency[RUN #1 33%,  10 secs]  2 threads:      152208 ops,   14265 (avg:   15219) ops/sec, 546.69KB/sec (avg: 583.32KB/sec),  0.28 (avg:  0.26) msec latency[RUN #1 37%,  11 secs]  2 threads:      166470 ops,   14260 (avg:   15132) ops/sec, 546.66KB/sec (avg: 579.99KB/sec),  0.28 (avg:  0.26) msec latency[RUN #1 40%,  12 secs]  2 threads:      180684 ops,   14212 (avg:   15055) ops/sec, 545.03KB/sec (avg: 577.07KB/sec),  0.28 (avg:  0.26) msec latency[RUN #1 43%,  13 secs]  2 threads:      194734 ops,   14048 (avg:   14978) ops/sec, 538.28KB/sec (avg: 574.09KB/sec),  0.28 (avg:  0.26) msec latency[RUN #1 47%,  14 secs]  2 threads:      208917 ops,   14181 (avg:   14921) ops/sec, 543.80KB/sec (avg: 571.93KB/sec),  0.28 (avg:  0.26) msec latency[RUN #1 50%,  15 secs]  2 threads:      223149 ops,   14230 (avg:   14875) ops/sec, 545.28KB/sec (avg: 570.15KB/sec),  0.28 (avg:  0.26) msec latency[RUN #1 53%,  16 secs]  2 threads:      237254 ops,   14103 (avg:   14827) ops/sec, 540.61KB/sec (avg: 568.30KB/sec),  0.28 (avg:  0.26) msec latency[RUN #1 57%,  17 secs]  2 threads:      251321 ops,   14065 (avg:   14782) ops/sec, 539.08KB/sec (avg: 566.58KB/sec),  0.28 (avg:  0.27) msec latency[RUN #1 60%,  18 secs]  2 threads:      265450 ops,   14127 (avg:   14745) ops/sec, 541.37KB/sec (avg: 565.18KB/sec),  0.28 (avg:  0.27) msec latency[RUN #1 63%,  19 secs]  2 threads:      279690 ops,   14238 (avg:   14719) ops/sec, 545.85KB/sec (avg: 564.17KB/sec),  0.28 (avg:  0.27) msec latency[RUN #1 67%,  20 secs]  2 threads:      293784 ops,   14092 (avg:   14687) ops/sec, 540.11KB/sec (avg: 562.96KB/sec),  0.28 (avg:  0.27) msec latency[RUN #1 70%,  21 secs]  2 threads:      307914 ops,   14128 (avg:   14661) ops/sec, 541.49KB/sec (avg: 561.94KB/sec),  0.28 (avg:  0.27) msec latency[RUN #1 73%,  22 secs]  2 threads:      321954 ops,   14038 (avg:   14632) ops/sec, 538.19KB/sec (avg: 560.86KB/sec),  0.28 (avg:  0.27) msec latency[RUN #1 77%,  23 secs]  2 threads:      336229 ops,   14273 (avg:   14617) ops/sec, 547.16KB/sec (avg: 560.27KB/sec),  0.27 (avg:  0.27) msec latency[RUN #1 80%,  24 secs]  2 threads:      350295 ops,   14064 (avg:   14594) ops/sec, 539.07KB/sec (avg: 559.38KB/sec),  0.28 (avg:  0.27) msec latency[RUN #1 83%,  25 secs]  2 threads:      364350 ops,   14053 (avg:   14572) ops/sec, 538.61KB/sec (avg: 558.55KB/sec),  0.28 (avg:  0.27) msec latency[RUN #1 87%,  26 secs]  2 threads:      378440 ops,   14088 (avg:   14554) ops/sec, 540.15KB/sec (avg: 557.84KB/sec),  0.28 (avg:  0.27) msec latency[RUN #1 90%,  27 secs]  2 threads:      392647 ops,   14205 (avg:   14541) ops/sec, 544.55KB/sec (avg: 557.35KB/sec),  0.28 (avg:  0.27) msec latency[RUN #1 93%,  28 secs]  2 threads:      406810 ops,   14161 (avg:   14527) ops/sec, 542.83KB/sec (avg: 556.83KB/sec),  0.28 (avg:  0.27) msec latency[RUN #1 97%,  29 secs]  2 threads:      420866 ops,   14054 (avg:   14511) ops/sec, 538.78KB/sec (avg: 556.21KB/sec),  0.28 (avg:  0.27) msec latency[RUN #1 100%,  30 secs]  0 threads:      435505 ops,   14054 (avg:   14516) ops/sec, 538.78KB/sec (avg: 556.42KB/sec),  0.28 (avg:  0.27) msec latency

2         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1319.76          ---          ---      0.27200        97.44
Gets       13197.03     10035.71      3161.33      0.27000       458.98
Totals     14516.80     10035.71      3161.33      0.27000       556.42


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.060      0.00025
GET       0.069      0.00076
GET       0.072      0.00101
GET       0.073      0.00126
GET       0.074      0.00202
GET       0.075      0.00227
GET       0.076      0.00328
GET       0.077      0.00354
GET       0.079      0.00455
GET       0.080      0.00682
GET       0.081      0.00808
GET       0.082      0.01137
GET       0.083      0.01490
GET       0.084      0.01995
GET       0.085      0.02677
GET       0.086      0.03359
GET       0.087      0.04294
GET       0.088      0.05506
GET       0.089      0.06820
GET       0.090      0.08310
GET       0.091      0.10432
GET       0.092      0.12983
GET       0.093      0.16342
GET       0.094      0.19600
GET       0.095      0.23541
GET       0.096      0.27658
GET       0.097      0.31598
GET       0.098      0.35690
GET       0.099      0.39933
GET       0.100      0.64257
GET       0.110      1.15834
GET       0.120      1.76782
GET       0.130      2.91580
GET       0.140      5.70379
GET       0.150      8.54432
GET       0.160     10.15352
GET       0.170     11.24164
GET       0.180     12.37598
GET       0.190     14.11854
GET       0.200     15.71789
GET       0.210     17.16366
GET       0.220     18.83853
GET       0.230     21.38202
GET       0.240     26.13838
GET       0.250     31.61132
GET       0.260     37.19008
GET       0.270     43.40156
GET       0.280     51.73448
GET       0.290     62.92383
GET       0.300     71.93972
GET       0.310     78.56771
GET       0.320     83.75548
GET       0.330     88.39616
GET       0.340     92.50086
GET       0.350     95.18252
GET       0.360     96.79525
GET       0.370     97.83715
GET       0.380     98.56003
GET       0.390     99.02882
GET       0.400     99.30793
GET       0.410     99.47438
GET       0.420     99.57390
GET       0.430     99.64664
GET       0.440     99.70372
GET       0.450     99.73984
GET       0.460     99.77924
GET       0.470     99.81309
GET       0.480     99.84163
GET       0.490     99.86638
GET       0.500     99.89139
GET       0.510     99.90907
GET       0.520     99.92347
GET       0.530     99.93837
GET       0.540     99.95226
GET       0.550     99.96186
GET       0.560     99.96919
GET       0.570     99.97727
GET       0.580     99.98156
GET       0.590     99.98636
GET       0.600     99.98990
GET       0.610     99.99192
GET       0.620     99.99318
GET       0.630     99.99444
GET       0.640     99.99470
GET       0.650     99.99545
GET       0.660     99.99596
GET       0.670     99.99646
GET       0.690     99.99672
GET       0.750     99.99697
GET       0.780     99.99747
GET       0.900     99.99773
GET       0.910     99.99798
GET       1.000     99.99874
GET       1.200     99.99899
GET       3.500     99.99949
GET       4.100     99.99975
GET       4.300    100.00000
