[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       17460 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       33487 ops,   16025 (avg:   16742) ops/sec, 616.35KB/sec (avg: 643.88KB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 10%,   3 secs]  2 threads:       48414 ops,   14925 (avg:   16137) ops/sec, 573.89KB/sec (avg: 620.55KB/sec),  0.26 (avg:  0.24) msec latency[RUN #1 13%,   4 secs]  2 threads:       62690 ops,   14274 (avg:   15671) ops/sec, 548.96KB/sec (avg: 602.65KB/sec),  0.27 (avg:  0.25) msec latency[RUN #1 17%,   5 secs]  2 threads:       76700 ops,   14008 (avg:   15338) ops/sec, 538.61KB/sec (avg: 589.84KB/sec),  0.28 (avg:  0.26) msec latency[RUN #1 20%,   6 secs]  2 threads:       90745 ops,   14043 (avg:   15122) ops/sec, 539.88KB/sec (avg: 581.51KB/sec),  0.28 (avg:  0.26) msec latency[RUN #1 23%,   7 secs]  2 threads:      104728 ops,   13981 (avg:   14959) ops/sec, 537.78KB/sec (avg: 575.26KB/sec),  0.28 (avg:  0.26) msec latency[RUN #1 27%,   8 secs]  2 threads:      118621 ops,   13891 (avg:   14826) ops/sec, 534.10KB/sec (avg: 570.12KB/sec),  0.28 (avg:  0.26) msec latency[RUN #1 30%,   9 secs]  2 threads:      132636 ops,   14013 (avg:   14736) ops/sec, 538.78KB/sec (avg: 566.64KB/sec),  0.28 (avg:  0.27) msec latency[RUN #1 33%,  10 secs]  2 threads:      146760 ops,   14122 (avg:   14674) ops/sec, 543.15KB/sec (avg: 564.29KB/sec),  0.28 (avg:  0.27) msec latency[RUN #1 37%,  11 secs]  2 threads:      160560 ops,   13798 (avg:   14595) ops/sec, 530.83KB/sec (avg: 561.25KB/sec),  0.28 (avg:  0.27) msec latency[RUN #1 40%,  12 secs]  2 threads:      174482 ops,   13920 (avg:   14538) ops/sec, 535.41KB/sec (avg: 559.09KB/sec),  0.28 (avg:  0.27) msec latency[RUN #1 43%,  13 secs]  2 threads:      188388 ops,   13904 (avg:   14490) ops/sec, 534.66KB/sec (avg: 557.21KB/sec),  0.28 (avg:  0.27) msec latency[RUN #1 47%,  14 secs]  2 threads:      202346 ops,   13956 (avg:   14451) ops/sec, 536.71KB/sec (avg: 555.75KB/sec),  0.28 (avg:  0.27) msec latency[RUN #1 50%,  15 secs]  2 threads:      216327 ops,   13979 (avg:   14420) ops/sec, 537.72KB/sec (avg: 554.55KB/sec),  0.28 (avg:  0.27) msec latency[RUN #1 53%,  16 secs]  2 threads:      230139 ops,   13809 (avg:   14382) ops/sec, 531.03KB/sec (avg: 553.08KB/sec),  0.28 (avg:  0.27) msec latency[RUN #1 57%,  17 secs]  2 threads:      244058 ops,   13917 (avg:   14354) ops/sec, 535.17KB/sec (avg: 552.02KB/sec),  0.28 (avg:  0.27) msec latency[RUN #1 60%,  18 secs]  2 threads:      257812 ops,   13752 (avg:   14321) ops/sec, 528.67KB/sec (avg: 550.73KB/sec),  0.29 (avg:  0.27) msec latency[RUN #1 63%,  19 secs]  2 threads:      271491 ops,   13677 (avg:   14287) ops/sec, 525.86KB/sec (avg: 549.42KB/sec),  0.29 (avg:  0.27) msec latency[RUN #1 67%,  20 secs]  2 threads:      285272 ops,   13779 (avg:   14262) ops/sec, 529.79KB/sec (avg: 548.44KB/sec),  0.28 (avg:  0.28) msec latency[RUN #1 70%,  21 secs]  2 threads:      299051 ops,   13777 (avg:   14239) ops/sec, 529.75KB/sec (avg: 547.55KB/sec),  0.28 (avg:  0.28) msec latency[RUN #1 73%,  22 secs]  2 threads:      312738 ops,   13685 (avg:   14213) ops/sec, 526.26KB/sec (avg: 546.58KB/sec),  0.29 (avg:  0.28) msec latency[RUN #1 77%,  23 secs]  2 threads:      326552 ops,   13812 (avg:   14196) ops/sec, 531.11KB/sec (avg: 545.91KB/sec),  0.28 (avg:  0.28) msec latency[RUN #1 80%,  24 secs]  2 threads:      340358 ops,   13804 (avg:   14180) ops/sec, 530.79KB/sec (avg: 545.28KB/sec),  0.28 (avg:  0.28) msec latency[RUN #1 83%,  25 secs]  2 threads:      354156 ops,   13796 (avg:   14164) ops/sec, 530.39KB/sec (avg: 544.68KB/sec),  0.28 (avg:  0.28) msec latency[RUN #1 87%,  26 secs]  2 threads:      367916 ops,   13758 (avg:   14149) ops/sec, 529.10KB/sec (avg: 544.08KB/sec),  0.29 (avg:  0.28) msec latency[RUN #1 90%,  27 secs]  2 threads:      381579 ops,   13661 (avg:   14131) ops/sec, 525.45KB/sec (avg: 543.39KB/sec),  0.29 (avg:  0.28) msec latency[RUN #1 93%,  28 secs]  2 threads:      395350 ops,   13769 (avg:   14118) ops/sec, 529.62KB/sec (avg: 542.90KB/sec),  0.28 (avg:  0.28) msec latency[RUN #1 97%,  29 secs]  2 threads:      410381 ops,   15029 (avg:   14149) ops/sec, 578.06KB/sec (avg: 544.11KB/sec),  0.26 (avg:  0.28) msec latency[RUN #1 100%,  30 secs]  0 threads:      426585 ops,   15029 (avg:   14219) ops/sec, 578.06KB/sec (avg: 546.80KB/sec),  0.26 (avg:  0.28) msec latency

2         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1292.73          ---          ---      0.27800        95.62
Gets       12926.70      8317.36      4609.34      0.27500       451.18
Totals     14219.43      8317.36      4609.34      0.27500       546.80


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.062      0.00026
GET       0.066      0.00052
GET       0.068      0.00077
GET       0.069      0.00129
GET       0.071      0.00181
GET       0.072      0.00284
GET       0.073      0.00361
GET       0.074      0.00490
GET       0.076      0.00567
GET       0.077      0.00722
GET       0.078      0.00825
GET       0.079      0.00928
GET       0.080      0.01160
GET       0.081      0.01341
GET       0.082      0.01805
GET       0.083      0.02192
GET       0.084      0.02682
GET       0.085      0.03249
GET       0.086      0.04152
GET       0.087      0.05106
GET       0.088      0.06163
GET       0.089      0.07504
GET       0.090      0.08999
GET       0.091      0.10804
GET       0.092      0.13203
GET       0.093      0.16374
GET       0.094      0.19004
GET       0.095      0.22382
GET       0.096      0.25657
GET       0.097      0.29010
GET       0.098      0.32826
GET       0.099      0.36462
GET       0.100      0.58406
GET       0.110      1.11397
GET       0.120      1.83985
GET       0.130      3.15598
GET       0.140      6.49892
GET       0.150     10.12989
GET       0.160     12.86117
GET       0.170     15.01123
GET       0.180     17.52565
GET       0.190     21.23810
GET       0.200     24.07098
GET       0.210     25.88402
GET       0.220     27.35332
GET       0.230     29.01628
GET       0.240     31.45540
GET       0.250     34.32078
GET       0.260     37.57011
GET       0.270     41.34445
GET       0.280     46.22992
GET       0.290     52.87865
GET       0.300     59.36648
GET       0.310     65.18722
GET       0.320     70.61756
GET       0.330     76.12138
GET       0.340     81.84620
GET       0.350     86.35570
GET       0.360     89.62747
GET       0.370     92.16123
GET       0.380     94.25017
GET       0.390     95.98559
GET       0.400     97.12999
GET       0.410     97.89610
GET       0.420     98.42575
GET       0.430     98.79939
GET       0.440     99.08175
GET       0.450     99.26973
GET       0.460     99.40279
GET       0.470     99.52089
GET       0.480     99.60289
GET       0.490     99.66684
GET       0.500     99.71790
GET       0.510     99.76947
GET       0.520     99.81202
GET       0.530     99.84967
GET       0.540     99.87597
GET       0.550     99.90046
GET       0.560     99.92393
GET       0.570     99.93811
GET       0.580     99.94997
GET       0.590     99.96390
GET       0.600     99.97060
GET       0.610     99.97860
GET       0.620     99.98350
GET       0.630     99.98659
GET       0.640     99.99175
GET       0.650     99.99330
GET       0.660     99.99458
GET       0.670     99.99587
GET       0.680     99.99691
GET       0.690     99.99742
GET       0.710     99.99768
GET       0.750     99.99819
GET       0.780     99.99845
GET       0.950     99.99871
GET       1.000     99.99897
GET       1.300     99.99923
GET       1.400     99.99948
GET       3.200     99.99974
GET       3.300    100.00000
