[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       18140 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       34601 ops,   16459 (avg:   17300) ops/sec, 633.03KB/sec (avg: 665.32KB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 10%,   3 secs]  2 threads:       49927 ops,   15324 (avg:   16641) ops/sec, 589.24KB/sec (avg: 639.96KB/sec),  0.26 (avg:  0.24) msec latency[RUN #1 13%,   4 secs]  2 threads:       63468 ops,   13539 (avg:   15865) ops/sec, 520.68KB/sec (avg: 610.14KB/sec),  0.29 (avg:  0.25) msec latency[RUN #1 17%,   5 secs]  2 threads:       75944 ops,   12474 (avg:   15187) ops/sec, 479.61KB/sec (avg: 584.03KB/sec),  0.32 (avg:  0.26) msec latency[RUN #1 20%,   6 secs]  2 threads:       82119 ops,    6174 (avg:   13685) ops/sec, 237.29KB/sec (avg: 526.24KB/sec),  0.64 (avg:  0.29) msec latency[RUN #1 23%,   7 secs]  2 threads:       90408 ops,    8288 (avg:   12914) ops/sec, 318.67KB/sec (avg: 496.59KB/sec),  0.48 (avg:  0.30) msec latency[RUN #1 27%,   8 secs]  2 threads:       96785 ops,    6376 (avg:   12097) ops/sec, 245.28KB/sec (avg: 465.17KB/sec),  0.62 (avg:  0.33) msec latency[RUN #1 30%,   9 secs]  2 threads:      102203 ops,    5417 (avg:   11354) ops/sec, 208.39KB/sec (avg: 436.64KB/sec),  0.73 (avg:  0.35) msec latency[RUN #1 33%,  10 secs]  2 threads:      109198 ops,    6994 (avg:   10918) ops/sec, 268.94KB/sec (avg: 419.87KB/sec),  0.56 (avg:  0.36) msec latency[RUN #1 37%,  11 secs]  2 threads:      122082 ops,   12882 (avg:   11097) ops/sec, 495.20KB/sec (avg: 426.72KB/sec),  0.31 (avg:  0.36) msec latency[RUN #1 40%,  12 secs]  2 threads:      131941 ops,    9858 (avg:   10994) ops/sec, 379.11KB/sec (avg: 422.75KB/sec),  0.40 (avg:  0.36) msec latency[RUN #1 43%,  13 secs]  2 threads:      141972 ops,   10030 (avg:   10919) ops/sec, 385.72KB/sec (avg: 419.90KB/sec),  0.39 (avg:  0.36) msec latency[RUN #1 47%,  14 secs]  2 threads:      146853 ops,    4880 (avg:   10488) ops/sec, 187.74KB/sec (avg: 403.32KB/sec),  0.81 (avg:  0.38) msec latency[RUN #1 50%,  15 secs]  2 threads:      153825 ops,    6971 (avg:   10254) ops/sec, 268.21KB/sec (avg: 394.31KB/sec),  0.57 (avg:  0.38) msec latency[RUN #1 53%,  16 secs]  2 threads:      172535 ops,   18708 (avg:   10782) ops/sec, 719.60KB/sec (avg: 414.64KB/sec),  0.21 (avg:  0.37) msec latency[RUN #1 57%,  17 secs]  2 threads:      189134 ops,   16596 (avg:   11124) ops/sec, 638.17KB/sec (avg: 427.79KB/sec),  0.24 (avg:  0.35) msec latency[RUN #1 60%,  18 secs]  2 threads:      199018 ops,    9882 (avg:   11055) ops/sec, 379.98KB/sec (avg: 425.14KB/sec),  0.40 (avg:  0.36) msec latency[RUN #1 63%,  19 secs]  2 threads:      209232 ops,   10212 (avg:   11011) ops/sec, 392.95KB/sec (avg: 423.44KB/sec),  0.39 (avg:  0.36) msec latency[RUN #1 67%,  20 secs]  2 threads:      220540 ops,   11306 (avg:   11025) ops/sec, 434.78KB/sec (avg: 424.01KB/sec),  0.35 (avg:  0.36) msec latency[RUN #1 70%,  21 secs]  2 threads:      229485 ops,    8944 (avg:   10926) ops/sec, 343.93KB/sec (avg: 420.20KB/sec),  0.44 (avg:  0.36) msec latency[RUN #1 73%,  22 secs]  2 threads:      240914 ops,   11427 (avg:   10949) ops/sec, 439.50KB/sec (avg: 421.07KB/sec),  0.34 (avg:  0.36) msec latency[RUN #1 77%,  23 secs]  2 threads:      247676 ops,    6761 (avg:   10767) ops/sec, 259.93KB/sec (avg: 414.07KB/sec),  0.58 (avg:  0.37) msec latency[RUN #1 80%,  24 secs]  2 threads:      252225 ops,    4548 (avg:   10508) ops/sec, 174.88KB/sec (avg: 404.10KB/sec),  0.87 (avg:  0.38) msec latency[RUN #1 83%,  25 secs]  2 threads:      266189 ops,   13962 (avg:   10646) ops/sec, 536.72KB/sec (avg: 409.41KB/sec),  0.28 (avg:  0.37) msec latency[RUN #1 87%,  26 secs]  2 threads:      275351 ops,    9160 (avg:   10589) ops/sec, 352.18KB/sec (avg: 407.20KB/sec),  0.43 (avg:  0.37) msec latency[RUN #1 90%,  27 secs]  2 threads:      286944 ops,   11592 (avg:   10626) ops/sec, 445.69KB/sec (avg: 408.63KB/sec),  0.34 (avg:  0.37) msec latency[RUN #1 93%,  28 secs]  2 threads:      300511 ops,   13565 (avg:   10731) ops/sec, 521.61KB/sec (avg: 412.67KB/sec),  0.29 (avg:  0.37) msec latency[RUN #1 97%,  29 secs]  2 threads:      320980 ops,   20466 (avg:   11067) ops/sec, 787.01KB/sec (avg: 425.57KB/sec),  0.19 (avg:  0.36) msec latency[RUN #1 100%,  30 secs]  0 threads:      342562 ops,   20466 (avg:   11418) ops/sec, 787.01KB/sec (avg: 439.09KB/sec),  0.19 (avg:  0.35) msec latency

2         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1038.13          ---          ---      0.34800        76.78
Gets       10380.56      6054.58      4325.98      0.34400       362.30
Totals     11418.69      6054.58      4325.98      0.34500       439.09


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.068      0.00064
GET       0.070      0.00128
GET       0.071      0.00161
GET       0.072      0.00193
GET       0.074      0.00225
GET       0.075      0.00353
GET       0.076      0.00482
GET       0.077      0.00610
GET       0.078      0.00642
GET       0.079      0.00771
GET       0.080      0.00995
GET       0.081      0.01188
GET       0.082      0.01413
GET       0.083      0.01959
GET       0.084      0.02376
GET       0.085      0.02762
GET       0.086      0.03211
GET       0.087      0.03885
GET       0.088      0.04913
GET       0.089      0.05876
GET       0.090      0.07321
GET       0.091      0.08991
GET       0.092      0.10661
GET       0.093      0.12620
GET       0.094      0.15156
GET       0.095      0.17565
GET       0.096      0.19877
GET       0.097      0.22574
GET       0.098      0.25207
GET       0.099      0.28097
GET       0.100      0.43992
GET       0.110      0.88820
GET       0.120      1.57923
GET       0.130      3.19121
GET       0.140      7.55640
GET       0.150     13.75771
GET       0.160     19.48796
GET       0.170     24.61804
GET       0.180     30.53838
GET       0.190     38.01257
GET       0.200     43.89277
GET       0.210     47.41280
GET       0.220     49.69077
GET       0.230     51.73272
GET       0.240     53.85752
GET       0.250     56.00993
GET       0.260     58.06826
GET       0.270     60.20686
GET       0.280     62.68777
GET       0.290     65.62402
GET       0.300     68.43953
GET       0.310     71.01099
GET       0.320     73.38433
GET       0.330     75.89927
GET       0.340     78.58281
GET       0.350     80.93495
GET       0.360     82.94511
GET       0.370     84.67044
GET       0.380     86.30233
GET       0.390     87.83821
GET       0.400     89.08541
GET       0.410     90.06480
GET       0.420     90.85602
GET       0.430     91.56632
GET       0.440     92.19441
GET       0.450     92.69824
GET       0.460     93.10830
GET       0.470     93.46730
GET       0.480     93.78777
GET       0.490     94.08255
GET       0.500     94.34843
GET       0.510     94.57257
GET       0.520     94.79349
GET       0.530     94.99965
GET       0.540     95.23117
GET       0.550     95.45274
GET       0.560     95.63705
GET       0.570     95.80692
GET       0.580     95.97904
GET       0.590     96.14794
GET       0.600     96.28313
GET       0.610     96.40162
GET       0.620     96.51947
GET       0.630     96.62865
GET       0.640     96.73012
GET       0.650     96.81618
GET       0.660     96.89967
GET       0.670     96.97256
GET       0.680     97.03742
GET       0.690     97.10967
GET       0.700     97.16555
GET       0.710     97.22174
GET       0.720     97.27472
GET       0.730     97.32610
GET       0.740     97.37202
GET       0.750     97.41409
GET       0.760     97.46033
GET       0.770     97.50014
GET       0.780     97.54157
GET       0.790     97.58042
GET       0.800     97.61928
GET       0.810     97.66198
GET       0.820     97.70244
GET       0.830     97.74451
GET       0.840     97.78240
GET       0.850     97.82029
GET       0.860     97.85529
GET       0.870     97.89030
GET       0.880     97.93011
GET       0.890     97.96736
GET       0.900     98.00108
GET       0.910     98.03672
GET       0.920     98.07301
GET       0.930     98.11026
GET       0.940     98.14975
GET       0.950     98.18026
GET       0.960     98.20852
GET       0.970     98.24031
GET       0.980     98.27210
GET       0.990     98.30678
GET       1.000     98.47408
GET       1.100     98.73225
GET       1.200     98.89538
GET       1.300     98.97437
GET       1.400     99.01836
GET       1.500     99.03731
GET       1.600     99.04341
GET       1.700     99.04694
GET       1.800     99.04726
GET       1.900     99.04758
GET       2.000     99.04790
GET       2.400     99.04822
GET       2.500     99.04855
GET       2.700     99.04887
GET       2.800     99.05111
GET       2.900     99.05176
GET       3.000     99.05240
GET       3.100     99.05336
GET       3.200     99.05433
GET       3.300     99.05786
GET       3.400     99.05914
GET       3.500     99.05978
GET       4.100     99.06653
GET       4.200     99.10185
GET       4.300     99.13300
GET       4.400     99.20075
GET       4.500     99.25598
GET       4.600     99.29709
GET       4.700     99.31603
GET       4.800     99.32631
GET       4.900     99.33787
GET       5.000     99.35328
GET       5.100     99.36677
GET       5.200     99.37769
GET       5.300     99.38539
GET       5.400     99.38989
GET       5.500     99.39214
GET       5.600     99.39503
GET       5.800     99.39631
GET       6.000     99.39695
GET       6.300     99.39759
GET       6.400     99.39792
GET       7.100     99.39952
GET       7.200     99.40113
GET       7.300     99.40209
GET       8.000     99.40337
GET       8.100     99.41204
GET       8.200     99.47948
GET       8.300     99.52411
GET       8.400     99.59765
GET       8.500     99.64228
GET       8.600     99.66572
GET       8.700     99.68724
GET       8.800     99.69880
GET       8.900     99.70458
GET       9.000     99.71004
GET       9.100     99.71806
GET       9.200     99.72898
GET       9.300     99.73605
GET       9.400     99.73829
GET       9.500     99.73958
GET       9.600     99.74086
GET       9.700     99.74150
GET       9.800     99.74247
GET       9.900     99.74343
GET      10.000     99.74407
GET      11.000     99.74664
GET      12.000     99.91587
GET      13.000     99.94894
GET      15.000     99.94959
GET      16.000     99.99326
GET      17.000     99.99743
GET      20.000    100.00000
