[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       35071 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       69728 ops,   34652 (avg:   34863) ops/sec, 1.30MB/sec (avg: 1.31MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 10%,   3 secs]  1 threads:      105275 ops,   35542 (avg:   35089) ops/sec, 1.34MB/sec (avg: 1.32MB/sec),  0.22 (avg:  0.23) msec latency[RUN #1 13%,   4 secs]  1 threads:      139999 ops,   34719 (avg:   34997) ops/sec, 1.31MB/sec (avg: 1.32MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 17%,   5 secs]  1 threads:      175730 ops,   35726 (avg:   35143) ops/sec, 1.34MB/sec (avg: 1.32MB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 20%,   6 secs]  1 threads:      210121 ops,   34386 (avg:   35017) ops/sec, 1.29MB/sec (avg: 1.32MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 23%,   7 secs]  1 threads:      245298 ops,   35172 (avg:   35039) ops/sec, 1.32MB/sec (avg: 1.32MB/sec),  0.22 (avg:  0.23) msec latency[RUN #1 27%,   8 secs]  1 threads:      280438 ops,   35135 (avg:   35051) ops/sec, 1.32MB/sec (avg: 1.32MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 30%,   9 secs]  1 threads:      315298 ops,   34855 (avg:   35029) ops/sec, 1.31MB/sec (avg: 1.32MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 33%,  10 secs]  1 threads:      350312 ops,   35009 (avg:   35027) ops/sec, 1.32MB/sec (avg: 1.32MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 37%,  11 secs]  1 threads:      385423 ops,   35106 (avg:   35034) ops/sec, 1.32MB/sec (avg: 1.32MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 40%,  12 secs]  1 threads:      420513 ops,   35085 (avg:   35039) ops/sec, 1.32MB/sec (avg: 1.32MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 43%,  13 secs]  1 threads:      455737 ops,   35219 (avg:   35052) ops/sec, 1.33MB/sec (avg: 1.32MB/sec),  0.22 (avg:  0.23) msec latency[RUN #1 47%,  14 secs]  1 threads:      490386 ops,   34644 (avg:   35023) ops/sec, 1.30MB/sec (avg: 1.32MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 50%,  15 secs]  1 threads:      526103 ops,   35712 (avg:   35069) ops/sec, 1.34MB/sec (avg: 1.32MB/sec),  0.22 (avg:  0.23) msec latency[RUN #1 53%,  16 secs]  1 threads:      560125 ops,   34017 (avg:   35003) ops/sec, 1.28MB/sec (avg: 1.32MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 57%,  17 secs]  1 threads:      594279 ops,   34149 (avg:   34953) ops/sec, 1.28MB/sec (avg: 1.32MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 60%,  18 secs]  1 threads:      629938 ops,   35655 (avg:   34992) ops/sec, 1.34MB/sec (avg: 1.32MB/sec),  0.22 (avg:  0.23) msec latency[RUN #1 63%,  19 secs]  1 threads:      665009 ops,   35066 (avg:   34996) ops/sec, 1.32MB/sec (avg: 1.32MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 67%,  20 secs]  1 threads:      700891 ops,   35877 (avg:   35040) ops/sec, 1.35MB/sec (avg: 1.32MB/sec),  0.22 (avg:  0.23) msec latency[RUN #1 70%,  21 secs]  1 threads:      735628 ops,   34732 (avg:   35025) ops/sec, 1.31MB/sec (avg: 1.32MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 73%,  22 secs]  1 threads:      770146 ops,   34513 (avg:   35002) ops/sec, 1.30MB/sec (avg: 1.32MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 77%,  23 secs]  1 threads:      805311 ops,   35161 (avg:   35009) ops/sec, 1.32MB/sec (avg: 1.32MB/sec),  0.22 (avg:  0.23) msec latency[RUN #1 80%,  24 secs]  1 threads:      839660 ops,   34334 (avg:   34981) ops/sec, 1.29MB/sec (avg: 1.32MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 83%,  25 secs]  1 threads:      873320 ops,   33655 (avg:   34928) ops/sec, 1.27MB/sec (avg: 1.31MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 87%,  26 secs]  1 threads:      907309 ops,   33985 (avg:   34892) ops/sec, 1.28MB/sec (avg: 1.31MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 90%,  27 secs]  1 threads:      941859 ops,   34546 (avg:   34879) ops/sec, 1.30MB/sec (avg: 1.31MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 93%,  28 secs]  1 threads:      975919 ops,   34056 (avg:   34849) ops/sec, 1.28MB/sec (avg: 1.31MB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 97%,  29 secs]  1 threads:     1011114 ops,   35191 (avg:   34861) ops/sec, 1.32MB/sec (avg: 1.31MB/sec),  0.22 (avg:  0.23) msec latency[RUN #1 100%,  30 secs]  0 threads:     1057599 ops,   35191 (avg:   35253) ops/sec, 1.32MB/sec (avg: 1.33MB/sec),  0.22 (avg:  0.22) msec latency

1         Threads
8         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        3101.57          ---          ---      0.23000       229.65
Gets       31014.45     20388.15     10626.30      0.22300      1084.75
Totals     34116.02     20388.15     10626.30      0.22400      1314.39


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     99.69318
SET       2.000     99.83983
SET       3.000     99.92720
SET       4.000     99.96672
SET       5.000     99.98440
SET       6.000     99.98960
SET       7.000     99.99272
SET       8.000     99.99792
SET       9.000    100.00000
---
GET       0.051      0.00010
GET       0.052      0.00021
GET       0.053      0.00031
GET       0.055      0.00052
GET       0.056      0.00073
GET       0.057      0.00135
GET       0.058      0.00177
GET       0.059      0.00291
GET       0.060      0.00354
GET       0.061      0.00603
GET       0.062      0.00801
GET       0.063      0.00957
GET       0.064      0.01165
GET       0.065      0.01477
GET       0.066      0.02007
GET       0.067      0.02465
GET       0.068      0.03183
GET       0.069      0.03880
GET       0.070      0.04566
GET       0.071      0.05554
GET       0.072      0.06449
GET       0.073      0.07457
GET       0.074      0.08778
GET       0.075      0.10224
GET       0.076      0.12107
GET       0.077      0.14062
GET       0.078      0.16600
GET       0.079      0.19356
GET       0.080      0.22570
GET       0.081      0.26065
GET       0.082      0.30267
GET       0.083      0.35082
GET       0.084      0.41021
GET       0.085      0.47636
GET       0.086      0.55718
GET       0.087      0.65256
GET       0.088      0.76218
GET       0.089      0.88907
GET       0.090      1.03822
GET       0.091      1.21338
GET       0.092      1.40319
GET       0.093      1.62349
GET       0.094      1.87228
GET       0.095      2.16049
GET       0.096      2.46836
GET       0.097      2.78319
GET       0.098      3.10229
GET       0.099      3.42254
GET       0.100      5.09512
GET       0.110      8.28467
GET       0.120     11.32789
GET       0.130     15.46133
GET       0.140     22.37579
GET       0.150     29.97795
GET       0.160     35.46206
GET       0.170     40.07967
GET       0.180     45.41172
GET       0.190     52.93234
GET       0.200     60.49207
GET       0.210     66.13459
GET       0.220     70.61490
GET       0.230     74.95959
GET       0.240     79.65770
GET       0.250     83.49108
GET       0.260     86.02299
GET       0.270     87.81268
GET       0.280     89.30386
GET       0.290     90.68449
GET       0.300     91.77773
GET       0.310     92.58693
GET       0.320     93.22066
GET       0.330     93.77492
GET       0.340     94.32337
GET       0.350     94.78184
GET       0.360     95.15711
GET       0.370     95.47340
GET       0.380     95.76993
GET       0.390     96.05065
GET       0.400     96.29934
GET       0.410     96.50829
GET       0.420     96.68750
GET       0.430     96.86193
GET       0.440     97.02605
GET       0.450     97.17718
GET       0.460     97.30220
GET       0.470     97.41900
GET       0.480     97.52790
GET       0.490     97.63014
GET       0.500     97.72032
GET       0.510     97.80197
GET       0.520     97.87072
GET       0.530     97.93510
GET       0.540     98.00104
GET       0.550     98.05877
GET       0.560     98.11191
GET       0.570     98.15778
GET       0.580     98.20032
GET       0.590     98.24505
GET       0.600     98.28311
GET       0.610     98.31754
GET       0.620     98.35134
GET       0.630     98.38515
GET       0.640     98.41905
GET       0.650     98.45057
GET       0.660     98.47553
GET       0.670     98.49800
GET       0.680     98.52202
GET       0.690     98.55115
GET       0.700     98.57538
GET       0.710     98.59577
GET       0.720     98.61407
GET       0.730     98.63363
GET       0.740     98.65318
GET       0.750     98.67180
GET       0.760     98.68948
GET       0.770     98.70758
GET       0.780     98.72692
GET       0.790     98.74575
GET       0.800     98.76208
GET       0.810     98.77924
GET       0.820     98.79328
GET       0.830     98.80971
GET       0.840     98.82563
GET       0.850     98.83665
GET       0.860     98.85309
GET       0.870     98.86734
GET       0.880     98.88086
GET       0.890     98.89251
GET       0.900     98.90509
GET       0.910     98.91736
GET       0.920     98.92901
GET       0.930     98.94337
GET       0.940     98.95408
GET       0.950     98.96386
GET       0.960     98.97499
GET       0.970     98.98611
GET       0.980     98.99631
GET       0.990     99.00712
GET       1.000     99.05975
GET       1.100     99.14296
GET       1.200     99.21504
GET       1.300     99.26871
GET       1.400     99.31739
GET       1.500     99.36117
GET       1.600     99.40028
GET       1.700     99.43887
GET       1.800     99.47205
GET       1.900     99.50543
GET       2.000     99.53955
GET       2.100     99.56857
GET       2.200     99.59509
GET       2.300     99.61839
GET       2.400     99.63940
GET       2.500     99.66051
GET       2.600     99.68069
GET       2.700     99.70180
GET       2.800     99.71782
GET       2.900     99.73342
GET       3.000     99.74819
GET       3.100     99.76213
GET       3.200     99.77648
GET       3.300     99.79156
GET       3.400     99.80654
GET       3.500     99.81861
GET       3.600     99.83369
GET       3.700     99.84815
GET       3.800     99.86115
GET       3.900     99.87217
GET       4.000     99.88278
GET       4.100     99.89058
GET       4.200     99.90057
GET       4.300     99.91128
GET       4.400     99.92074
GET       4.500     99.92719
GET       4.600     99.93281
GET       4.700     99.93687
GET       4.800     99.94082
GET       4.900     99.94352
GET       5.000     99.94696
GET       5.100     99.95080
GET       5.200     99.95372
GET       5.300     99.95632
GET       5.400     99.95840
GET       5.500     99.95985
GET       5.600     99.96141
GET       5.700     99.96370
GET       5.800     99.96672
GET       5.900     99.96890
GET       6.000     99.97098
GET       6.100     99.97254
GET       6.200     99.97369
GET       6.300     99.97462
GET       6.400     99.97587
GET       6.500     99.97712
GET       6.600     99.97774
GET       6.700     99.97889
GET       6.800     99.98013
GET       6.900     99.98138
GET       7.000     99.98221
GET       7.100     99.98284
GET       7.200     99.98336
GET       7.300     99.98419
GET       7.400     99.98492
GET       7.500     99.98544
GET       7.600     99.98627
GET       7.700     99.98731
GET       7.800     99.98825
GET       7.900     99.98866
GET       8.000     99.98897
GET       8.100     99.98960
GET       8.200     99.99064
GET       8.300     99.99116
GET       8.400     99.99189
GET       8.500     99.99314
GET       8.600     99.99355
GET       8.700     99.99418
GET       8.800     99.99438
GET       8.900     99.99480
GET       9.000     99.99501
GET       9.100     99.99532
GET       9.200     99.99553
GET       9.300     99.99584
GET       9.400     99.99615
GET       9.500     99.99626
GET       9.600     99.99657
GET       9.700     99.99667
GET       9.900     99.99678
