[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:        8770 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       14933 ops,    6162 (avg:    7466) ops/sec, 233.82KB/sec (avg: 283.31KB/sec),  0.32 (avg:  0.26) msec latency[RUN #1 10%,   3 secs]  1 threads:       20121 ops,    5187 (avg:    6706) ops/sec, 196.76KB/sec (avg: 254.46KB/sec),  0.38 (avg:  0.29) msec latency[RUN #1 13%,   4 secs]  1 threads:       27822 ops,    7700 (avg:    6955) ops/sec, 292.18KB/sec (avg: 263.89KB/sec),  0.25 (avg:  0.28) msec latency[RUN #1 17%,   5 secs]  1 threads:       32802 ops,    4979 (avg:    6559) ops/sec, 188.95KB/sec (avg: 248.90KB/sec),  0.40 (avg:  0.30) msec latency[RUN #1 20%,   6 secs]  1 threads:       38139 ops,    5336 (avg:    6356) ops/sec, 202.53KB/sec (avg: 241.17KB/sec),  0.37 (avg:  0.31) msec latency[RUN #1 23%,   7 secs]  1 threads:       43674 ops,    5534 (avg:    6238) ops/sec, 209.97KB/sec (avg: 236.72KB/sec),  0.36 (avg:  0.32) msec latency[RUN #1 27%,   8 secs]  1 threads:       49154 ops,    5479 (avg:    6143) ops/sec, 207.85KB/sec (avg: 233.11KB/sec),  0.36 (avg:  0.32) msec latency[RUN #1 30%,   9 secs]  1 threads:       54829 ops,    5674 (avg:    6091) ops/sec, 215.32KB/sec (avg: 231.13KB/sec),  0.35 (avg:  0.32) msec latency[RUN #1 33%,  10 secs]  1 threads:       59758 ops,    4928 (avg:    5975) ops/sec, 186.95KB/sec (avg: 226.71KB/sec),  0.40 (avg:  0.33) msec latency[RUN #1 37%,  11 secs]  1 threads:       64537 ops,    4778 (avg:    5866) ops/sec, 181.30KB/sec (avg: 222.58KB/sec),  0.41 (avg:  0.34) msec latency[RUN #1 40%,  12 secs]  1 threads:       69437 ops,    4899 (avg:    5785) ops/sec, 185.85KB/sec (avg: 219.52KB/sec),  0.40 (avg:  0.34) msec latency[RUN #1 43%,  13 secs]  1 threads:       74595 ops,    5157 (avg:    5737) ops/sec, 195.67KB/sec (avg: 217.69KB/sec),  0.38 (avg:  0.34) msec latency[RUN #1 47%,  14 secs]  1 threads:       79695 ops,    5099 (avg:    5692) ops/sec, 193.51KB/sec (avg: 215.96KB/sec),  0.39 (avg:  0.35) msec latency[RUN #1 50%,  15 secs]  1 threads:       84684 ops,    4988 (avg:    5645) ops/sec, 189.23KB/sec (avg: 214.18KB/sec),  0.40 (avg:  0.35) msec latency[RUN #1 53%,  16 secs]  1 threads:       89817 ops,    5132 (avg:    5613) ops/sec, 194.74KB/sec (avg: 212.96KB/sec),  0.38 (avg:  0.35) msec latency[RUN #1 57%,  17 secs]  1 threads:       95066 ops,    5248 (avg:    5591) ops/sec, 199.08KB/sec (avg: 212.15KB/sec),  0.38 (avg:  0.35) msec latency[RUN #1 60%,  18 secs]  1 threads:       99722 ops,    4655 (avg:    5539) ops/sec, 176.64KB/sec (avg: 210.17KB/sec),  0.42 (avg:  0.36) msec latency[RUN #1 63%,  19 secs]  1 threads:      104502 ops,    4779 (avg:    5499) ops/sec, 181.36KB/sec (avg: 208.66KB/sec),  0.41 (avg:  0.36) msec latency[RUN #1 67%,  20 secs]  1 threads:      110007 ops,    5504 (avg:    5499) ops/sec, 208.86KB/sec (avg: 208.67KB/sec),  0.36 (avg:  0.36) msec latency[RUN #1 70%,  21 secs]  1 threads:      114846 ops,    4838 (avg:    5468) ops/sec, 183.70KB/sec (avg: 207.48KB/sec),  0.41 (avg:  0.36) msec latency[RUN #1 73%,  22 secs]  1 threads:      119999 ops,    5152 (avg:    5454) ops/sec, 195.50KB/sec (avg: 206.93KB/sec),  0.38 (avg:  0.36) msec latency[RUN #1 77%,  23 secs]  1 threads:      124986 ops,    4986 (avg:    5433) ops/sec, 189.28KB/sec (avg: 206.17KB/sec),  0.40 (avg:  0.36) msec latency[RUN #1 80%,  24 secs]  1 threads:      130477 ops,    5490 (avg:    5436) ops/sec, 208.32KB/sec (avg: 206.26KB/sec),  0.36 (avg:  0.36) msec latency[RUN #1 83%,  25 secs]  1 threads:      135736 ops,    5258 (avg:    5428) ops/sec, 199.49KB/sec (avg: 205.99KB/sec),  0.37 (avg:  0.36) msec latency[RUN #1 87%,  26 secs]  1 threads:      142289 ops,    6552 (avg:    5472) ops/sec, 248.63KB/sec (avg: 207.63KB/sec),  0.30 (avg:  0.36) msec latency[RUN #1 90%,  27 secs]  1 threads:      150428 ops,    8138 (avg:    5570) ops/sec, 308.79KB/sec (avg: 211.37KB/sec),  0.24 (avg:  0.35) msec latency[RUN #1 93%,  28 secs]  1 threads:      160691 ops,   10261 (avg:    5738) ops/sec, 389.34KB/sec (avg: 217.73KB/sec),  0.19 (avg:  0.34) msec latency[RUN #1 97%,  29 secs]  1 threads:      172514 ops,   11821 (avg:    5948) ops/sec, 448.60KB/sec (avg: 225.69KB/sec),  0.16 (avg:  0.33) msec latency[RUN #1 100%,  30 secs]  0 threads:      185825 ops,   11821 (avg:    6194) ops/sec, 448.60KB/sec (avg: 235.02KB/sec),  0.16 (avg:  0.32) msec latency

1         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         563.13          ---          ---      0.32000        41.36
Gets        5631.03      5096.79       534.23      0.31700       193.66
Totals      6194.16      5096.79       534.23      0.31700       235.02


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.051      0.00059
GET       0.062      0.00178
GET       0.063      0.00592
GET       0.064      0.00710
GET       0.065      0.01066
GET       0.066      0.01894
GET       0.067      0.02427
GET       0.068      0.03670
GET       0.069      0.04972
GET       0.070      0.05920
GET       0.071      0.07103
GET       0.072      0.08761
GET       0.073      0.10714
GET       0.074      0.13141
GET       0.075      0.15628
GET       0.076      0.18055
GET       0.077      0.21074
GET       0.078      0.25454
GET       0.079      0.29598
GET       0.080      0.34570
GET       0.081      0.40963
GET       0.082      0.46587
GET       0.083      0.54934
GET       0.084      0.64168
GET       0.085      0.73758
GET       0.086      0.86011
GET       0.087      0.98383
GET       0.088      1.11939
GET       0.089      1.28100
GET       0.090      1.47220
GET       0.091      1.70839
GET       0.092      1.93925
GET       0.093      2.20267
GET       0.094      2.48149
GET       0.095      2.78102
GET       0.096      3.09653
GET       0.097      3.39251
GET       0.098      3.70565
GET       0.099      4.01880
GET       0.100      5.66444
GET       0.110      8.83970
GET       0.120     11.98951
GET       0.130     15.60874
GET       0.140     20.36512
GET       0.150     24.86814
GET       0.160     28.45481
GET       0.170     31.53773
GET       0.180     34.38564
GET       0.190     37.56149
GET       0.200     40.39815
GET       0.210     42.85004
GET       0.220     45.23267
GET       0.230     47.59872
GET       0.240     49.94643
GET       0.250     52.23434
GET       0.260     54.22332
GET       0.270     56.13890
GET       0.280     58.03849
GET       0.290     60.00320
GET       0.300     61.87141
GET       0.310     63.59046
GET       0.320     65.16329
GET       0.330     66.74441
GET       0.340     68.35572
GET       0.350     69.79062
GET       0.360     71.15450
GET       0.370     72.47752
GET       0.380     73.77213
GET       0.390     75.04602
GET       0.400     76.26664
GET       0.410     77.38663
GET       0.420     78.44682
GET       0.430     79.51767
GET       0.440     80.56485
GET       0.450     81.49836
GET       0.460     82.36854
GET       0.470     83.21563
GET       0.480     84.08522
GET       0.490     84.92165
GET       0.500     85.64917
GET       0.510     86.33525
GET       0.520     86.99765
GET       0.530     87.65295
GET       0.540     88.28279
GET       0.550     88.86528
GET       0.560     89.38916
GET       0.570     89.91541
GET       0.580     90.41029
GET       0.590     90.84241
GET       0.600     91.28579
GET       0.610     91.71318
GET       0.620     92.09677
GET       0.630     92.47977
GET       0.640     92.82962
GET       0.650     93.15342
GET       0.660     93.47130
GET       0.670     93.76254
GET       0.680     94.04787
GET       0.690     94.33319
GET       0.700     94.57826
GET       0.710     94.79077
GET       0.720     95.01039
GET       0.730     95.21994
GET       0.740     95.42949
GET       0.750     95.62839
GET       0.760     95.79947
GET       0.770     95.95930
GET       0.780     96.11794
GET       0.790     96.25824
GET       0.800     96.38847
GET       0.810     96.52698
GET       0.820     96.65366
GET       0.830     96.75074
GET       0.840     96.86558
GET       0.850     96.98338
GET       0.860     97.08224
GET       0.870     97.18524
GET       0.880     97.27818
GET       0.890     97.35513
GET       0.900     97.43564
GET       0.910     97.51023
GET       0.920     97.58481
GET       0.930     97.65407
GET       0.940     97.72688
GET       0.950     97.79733
GET       0.960     97.86422
GET       0.970     97.92282
GET       0.980     97.97610
GET       0.990     98.02701
GET       1.000     98.27504
GET       1.100     98.64678
GET       1.200     98.90606
GET       1.300     99.09134
GET       1.400     99.24170
GET       1.500     99.36069
GET       1.600     99.44534
GET       1.700     99.51459
GET       1.800     99.57379
GET       1.900     99.62056
GET       2.000     99.65430
GET       2.100     99.69396
GET       2.200     99.72770
GET       2.300     99.76322
GET       2.400     99.78334
GET       2.500     99.80584
GET       2.600     99.82833
GET       2.700     99.84609
GET       2.800     99.86326
GET       2.900     99.87746
GET       3.000     99.88753
GET       3.100     99.89582
GET       3.200     99.90825
GET       3.300     99.91653
GET       3.400     99.92364
GET       3.500     99.93074
GET       3.600     99.94140
GET       3.700     99.94613
GET       3.800     99.95087
GET       3.900     99.95620
GET       4.000     99.96034
GET       4.100     99.96389
GET       4.200     99.96685
GET       4.300     99.96863
GET       4.400     99.97099
GET       4.500     99.97277
GET       4.600     99.97395
GET       4.700     99.97691
GET       4.800     99.97810
GET       4.900     99.97987
GET       5.000     99.98165
GET       5.100     99.98579
GET       5.200     99.98638
GET       5.400     99.98757
GET       5.500     99.98994
GET       5.600     99.99053
GET       5.700     99.99230
GET       5.900     99.99349
GET       6.000     99.99526
GET       6.200     99.99645
GET       6.300     99.99763
GET       6.400     99.99822
GET       7.500     99.99941
GET       9.400    100.00000
