[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       13374 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       25694 ops,   12318 (avg:   12846) ops/sec, 467.35KB/sec (avg: 487.41KB/sec),  0.16 (avg:  0.15) msec latency[RUN #1 10%,   3 secs]  1 threads:       36481 ops,   10785 (avg:   12159) ops/sec, 409.31KB/sec (avg: 461.37KB/sec),  0.18 (avg:  0.16) msec latency[RUN #1 13%,   4 secs]  1 threads:       45017 ops,    8535 (avg:   11253) ops/sec, 323.85KB/sec (avg: 426.99KB/sec),  0.23 (avg:  0.17) msec latency[RUN #1 17%,   5 secs]  1 threads:       52821 ops,    7802 (avg:   10563) ops/sec, 296.05KB/sec (avg: 400.80KB/sec),  0.25 (avg:  0.18) msec latency[RUN #1 20%,   6 secs]  1 threads:       61128 ops,    8306 (avg:   10187) ops/sec, 315.09KB/sec (avg: 386.52KB/sec),  0.24 (avg:  0.19) msec latency[RUN #1 23%,   7 secs]  1 threads:       67938 ops,    6809 (avg:    9704) ops/sec, 258.28KB/sec (avg: 368.20KB/sec),  0.29 (avg:  0.20) msec latency[RUN #1 27%,   8 secs]  1 threads:       75147 ops,    7208 (avg:    9392) ops/sec, 273.50KB/sec (avg: 356.36KB/sec),  0.27 (avg:  0.21) msec latency[RUN #1 30%,   9 secs]  1 threads:       82636 ops,    7488 (avg:    9180) ops/sec, 284.09KB/sec (avg: 348.33KB/sec),  0.26 (avg:  0.21) msec latency[RUN #1 33%,  10 secs]  1 threads:       89397 ops,    6760 (avg:    8938) ops/sec, 256.48KB/sec (avg: 339.15KB/sec),  0.29 (avg:  0.22) msec latency[RUN #1 37%,  11 secs]  1 threads:       96166 ops,    6768 (avg:    8741) ops/sec, 256.79KB/sec (avg: 331.66KB/sec),  0.29 (avg:  0.22) msec latency[RUN #1 40%,  12 secs]  1 threads:      102719 ops,    6552 (avg:    8559) ops/sec, 248.63KB/sec (avg: 324.74KB/sec),  0.30 (avg:  0.23) msec latency[RUN #1 43%,  13 secs]  1 threads:      110577 ops,    7857 (avg:    8505) ops/sec, 298.12KB/sec (avg: 322.69KB/sec),  0.25 (avg:  0.23) msec latency[RUN #1 47%,  14 secs]  1 threads:      118894 ops,    8316 (avg:    8491) ops/sec, 315.62KB/sec (avg: 322.19KB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 50%,  15 secs]  1 threads:      125537 ops,    6642 (avg:    8368) ops/sec, 252.02KB/sec (avg: 317.51KB/sec),  0.30 (avg:  0.23) msec latency[RUN #1 53%,  16 secs]  1 threads:      134885 ops,    9347 (avg:    8429) ops/sec, 354.72KB/sec (avg: 319.83KB/sec),  0.21 (avg:  0.23) msec latency[RUN #1 57%,  17 secs]  1 threads:      141805 ops,    6919 (avg:    8340) ops/sec, 262.52KB/sec (avg: 316.46KB/sec),  0.28 (avg:  0.24) msec latency[RUN #1 60%,  18 secs]  1 threads:      148769 ops,    6963 (avg:    8264) ops/sec, 264.24KB/sec (avg: 313.56KB/sec),  0.28 (avg:  0.24) msec latency[RUN #1 63%,  19 secs]  1 threads:      155387 ops,    6617 (avg:    8177) ops/sec, 251.05KB/sec (avg: 310.27KB/sec),  0.30 (avg:  0.24) msec latency[RUN #1 67%,  20 secs]  1 threads:      163204 ops,    7816 (avg:    8159) ops/sec, 296.58KB/sec (avg: 309.59KB/sec),  0.25 (avg:  0.24) msec latency[RUN #1 70%,  21 secs]  1 threads:      169483 ops,    6278 (avg:    8069) ops/sec, 238.24KB/sec (avg: 306.19KB/sec),  0.31 (avg:  0.24) msec latency[RUN #1 73%,  22 secs]  1 threads:      178518 ops,    9034 (avg:    8113) ops/sec, 342.81KB/sec (avg: 307.85KB/sec),  0.22 (avg:  0.24) msec latency[RUN #1 77%,  23 secs]  1 threads:      187871 ops,    9352 (avg:    8167) ops/sec, 354.83KB/sec (avg: 309.90KB/sec),  0.21 (avg:  0.24) msec latency[RUN #1 80%,  24 secs]  1 threads:      196146 ops,    8274 (avg:    8171) ops/sec, 314.05KB/sec (avg: 310.07KB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 83%,  25 secs]  1 threads:      203752 ops,    7605 (avg:    8149) ops/sec, 288.54KB/sec (avg: 309.21KB/sec),  0.26 (avg:  0.24) msec latency[RUN #1 87%,  26 secs]  1 threads:      211196 ops,    7443 (avg:    8122) ops/sec, 282.47KB/sec (avg: 308.18KB/sec),  0.26 (avg:  0.24) msec latency[RUN #1 90%,  27 secs]  1 threads:      220455 ops,    9258 (avg:    8164) ops/sec, 351.24KB/sec (avg: 309.78KB/sec),  0.21 (avg:  0.24) msec latency[RUN #1 93%,  28 secs]  1 threads:      231170 ops,   10714 (avg:    8255) ops/sec, 406.61KB/sec (avg: 313.23KB/sec),  0.18 (avg:  0.24) msec latency[RUN #1 97%,  29 secs]  1 threads:      242741 ops,   11569 (avg:    8369) ops/sec, 439.04KB/sec (avg: 317.57KB/sec),  0.17 (avg:  0.23) msec latency[RUN #1 100%,  30 secs]  0 threads:      254919 ops,   11569 (avg:    8497) ops/sec, 439.04KB/sec (avg: 322.42KB/sec),  0.17 (avg:  0.23) msec latency

1         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         772.50          ---          ---      0.23600        56.74
Gets        7724.78      7011.58       713.20      0.23000       265.67
Totals      8497.28      7011.58       713.20      0.23000       322.42


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.057      0.00043
GET       0.059      0.00086
GET       0.060      0.00129
GET       0.061      0.00216
GET       0.062      0.00561
GET       0.063      0.00863
GET       0.064      0.01381
GET       0.065      0.02244
GET       0.066      0.02805
GET       0.067      0.03927
GET       0.068      0.05610
GET       0.069      0.07379
GET       0.070      0.09838
GET       0.071      0.12039
GET       0.072      0.15189
GET       0.073      0.18426
GET       0.074      0.22482
GET       0.075      0.27401
GET       0.076      0.32234
GET       0.077      0.38102
GET       0.078      0.44446
GET       0.079      0.51522
GET       0.080      0.60196
GET       0.081      0.70552
GET       0.082      0.81901
GET       0.083      0.95493
GET       0.084      1.09388
GET       0.085      1.25181
GET       0.086      1.44556
GET       0.087      1.65657
GET       0.088      1.90469
GET       0.089      2.17654
GET       0.090      2.48378
GET       0.091      2.82294
GET       0.092      3.20008
GET       0.093      3.64368
GET       0.094      4.13085
GET       0.095      4.68534
GET       0.096      5.24631
GET       0.097      5.77361
GET       0.098      6.29790
GET       0.099      6.79198
GET       0.100      9.43627
GET       0.110     14.60318
GET       0.120     19.98714
GET       0.130     26.41794
GET       0.140     35.71829
GET       0.150     44.61000
GET       0.160     51.11243
GET       0.170     56.35184
GET       0.180     61.00740
GET       0.190     65.83040
GET       0.200     69.92802
GET       0.210     72.99995
GET       0.220     75.43712
GET       0.230     77.64128
GET       0.240     79.74273
GET       0.250     81.49510
GET       0.260     82.94756
GET       0.270     84.25504
GET       0.280     85.42357
GET       0.290     86.58520
GET       0.300     87.57767
GET       0.310     88.44932
GET       0.320     89.26445
GET       0.330     89.98248
GET       0.340     90.65219
GET       0.350     91.28219
GET       0.360     91.84272
GET       0.370     92.34112
GET       0.380     92.78342
GET       0.390     93.22183
GET       0.400     93.60717
GET       0.410     93.93857
GET       0.420     94.23976
GET       0.430     94.54182
GET       0.440     94.82317
GET       0.450     95.07258
GET       0.460     95.30085
GET       0.470     95.49503
GET       0.480     95.69439
GET       0.490     95.86742
GET       0.500     96.02190
GET       0.510     96.17897
GET       0.520     96.32051
GET       0.530     96.45859
GET       0.540     96.57510
GET       0.550     96.67651
GET       0.560     96.76367
GET       0.570     96.85213
GET       0.580     96.94404
GET       0.590     97.01912
GET       0.600     97.09334
GET       0.610     97.16670
GET       0.620     97.23488
GET       0.630     97.29659
GET       0.640     97.35959
GET       0.650     97.41439
GET       0.660     97.46056
GET       0.670     97.51191
GET       0.680     97.54945
GET       0.690     97.59131
GET       0.700     97.63058
GET       0.710     97.66466
GET       0.720     97.70264
GET       0.730     97.73716
GET       0.740     97.77125
GET       0.750     97.80447
GET       0.760     97.83123
GET       0.770     97.86100
GET       0.780     97.88905
GET       0.790     97.91882
GET       0.800     97.94687
GET       0.810     97.97233
GET       0.820     97.99779
GET       0.830     98.02152
GET       0.840     98.04267
GET       0.850     98.05777
GET       0.860     98.08107
GET       0.870     98.10135
GET       0.880     98.12034
GET       0.890     98.14192
GET       0.900     98.16133
GET       0.910     98.17773
GET       0.920     98.19283
GET       0.930     98.21182
GET       0.940     98.22908
GET       0.950     98.24418
GET       0.960     98.26058
GET       0.970     98.27525
GET       0.980     98.28777
GET       0.990     98.30459
GET       1.000     98.38184
GET       1.100     98.52164
GET       1.200     98.63643
GET       1.300     98.75811
GET       1.400     98.83924
GET       1.500     98.91691
GET       1.600     98.99027
GET       1.700     99.06276
GET       1.800     99.12576
GET       1.900     99.19092
GET       2.000     99.25219
GET       2.100     99.30354
GET       2.200     99.35187
GET       2.300     99.39761
GET       2.400     99.43645
GET       2.500     99.46665
GET       2.600     99.50031
GET       2.700     99.53526
GET       2.800     99.57410
GET       2.900     99.59870
GET       3.000     99.62459
GET       3.100     99.64918
GET       3.200     99.67637
GET       3.300     99.69406
GET       3.400     99.71779
GET       3.500     99.73505
GET       3.600     99.75533
GET       3.700     99.77475
GET       3.800     99.78727
GET       3.900     99.80151
GET       4.000     99.81790
GET       4.100     99.83128
GET       4.200     99.84120
GET       4.300     99.85285
GET       4.400     99.85933
GET       4.500     99.86666
GET       4.600     99.87616
GET       4.700     99.88392
GET       4.800     99.89040
GET       4.900     99.89687
GET       5.000     99.90334
GET       5.100     99.90852
GET       5.200     99.91499
GET       5.300     99.92017
GET       5.400     99.92449
GET       5.500     99.93096
GET       5.600     99.93614
GET       5.700     99.93959
GET       5.800     99.94131
GET       5.900     99.94649
GET       6.000     99.95081
GET       6.100     99.95469
GET       6.200     99.95771
GET       6.300     99.96030
GET       6.400     99.96246
GET       6.500     99.96505
GET       6.600     99.96807
GET       6.700     99.96979
GET       6.800     99.97023
GET       6.900     99.97195
GET       7.000     99.97281
GET       7.100     99.97497
GET       7.200     99.97584
GET       7.300     99.97627
GET       7.400     99.97670
GET       7.500     99.97799
GET       7.600     99.98058
GET       7.700     99.98101
GET       7.800     99.98231
GET       7.900     99.98317
GET       8.000     99.98447
GET       8.100     99.98619
GET       8.200     99.98662
GET       8.300     99.98705
GET       8.400     99.98749
GET       8.500     99.98878
GET       8.700     99.98921
GET       8.800     99.98964
GET       8.900     99.99008
GET       9.000     99.99137
GET       9.200     99.99223
GET       9.400     99.99266
GET       9.500     99.99310
GET       9.700     99.99353
GET       9.800     99.99396
GET       9.900     99.99439
GET      10.000     99.99612
GET      11.000     99.99741
GET      12.000     99.99827
GET      13.000     99.99914
GET      16.000     99.99957
GET      17.000    100.00000
