[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   1 secs]  1 threads:        6309 ops,    6308 (avg:    6308) ops/sec, 238.04KB/sec (avg: 238.04KB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 7%,   2 secs]  1 threads:       11353 ops,    5043 (avg:    5676) ops/sec, 190.31KB/sec (avg: 214.18KB/sec),  0.19 (avg:  0.17) msec latency[RUN #1 10%,   3 secs]  1 threads:       15176 ops,    3822 (avg:    5058) ops/sec, 144.21KB/sec (avg: 190.85KB/sec),  0.26 (avg:  0.19) msec latency[RUN #1 13%,   4 secs]  1 threads:       17756 ops,    2579 (avg:    4438) ops/sec, 97.35KB/sec (avg: 167.48KB/sec),  0.38 (avg:  0.22) msec latency[RUN #1 17%,   5 secs]  1 threads:       21227 ops,    3470 (avg:    4244) ops/sec, 130.93KB/sec (avg: 160.17KB/sec),  0.28 (avg:  0.23) msec latency[RUN #1 20%,   6 secs]  1 threads:       23558 ops,    2330 (avg:    3925) ops/sec, 87.94KB/sec (avg: 148.13KB/sec),  0.42 (avg:  0.25) msec latency[RUN #1 23%,   7 secs]  1 threads:       26170 ops,    2611 (avg:    3738) ops/sec, 98.56KB/sec (avg: 141.05KB/sec),  0.38 (avg:  0.26) msec latency[RUN #1 27%,   8 secs]  1 threads:       31460 ops,    5289 (avg:    3932) ops/sec, 199.54KB/sec (avg: 148.36KB/sec),  0.18 (avg:  0.25) msec latency[RUN #1 30%,   9 secs]  1 threads:       33455 ops,    1994 (avg:    3716) ops/sec, 75.29KB/sec (avg: 140.24KB/sec),  0.49 (avg:  0.26) msec latency[RUN #1 33%,  10 secs]  1 threads:       36043 ops,    2587 (avg:    3603) ops/sec, 97.62KB/sec (avg: 135.98KB/sec),  0.38 (avg:  0.27) msec latency[RUN #1 37%,  11 secs]  1 threads:       40548 ops,    4504 (avg:    3685) ops/sec, 169.98KB/sec (avg: 139.07KB/sec),  0.22 (avg:  0.27) msec latency[RUN #1 40%,  12 secs]  1 threads:       42589 ops,    2040 (avg:    3548) ops/sec, 76.98KB/sec (avg: 133.90KB/sec),  0.48 (avg:  0.28) msec latency[RUN #1 43%,  13 secs]  1 threads:       47807 ops,    5217 (avg:    3677) ops/sec, 196.88KB/sec (avg: 138.74KB/sec),  0.19 (avg:  0.27) msec latency[RUN #1 47%,  14 secs]  1 threads:       53648 ops,    5840 (avg:    3831) ops/sec, 220.37KB/sec (avg: 144.57KB/sec),  0.17 (avg:  0.26) msec latency[RUN #1 50%,  15 secs]  1 threads:       59864 ops,    6215 (avg:    3990) ops/sec, 234.51KB/sec (avg: 150.57KB/sec),  0.16 (avg:  0.24) msec latency[RUN #1 53%,  16 secs]  1 threads:       65630 ops,    5765 (avg:    4101) ops/sec, 217.53KB/sec (avg: 154.75KB/sec),  0.17 (avg:  0.24) msec latency[RUN #1 57%,  17 secs]  1 threads:       71733 ops,    6102 (avg:    4219) ops/sec, 230.26KB/sec (avg: 159.19KB/sec),  0.16 (avg:  0.23) msec latency[RUN #1 60%,  18 secs]  1 threads:       78192 ops,    6458 (avg:    4343) ops/sec, 243.67KB/sec (avg: 163.89KB/sec),  0.15 (avg:  0.22) msec latency[RUN #1 63%,  19 secs]  1 threads:       81775 ops,    3582 (avg:    4303) ops/sec, 135.19KB/sec (avg: 162.38KB/sec),  0.27 (avg:  0.23) msec latency[RUN #1 67%,  20 secs]  1 threads:       87989 ops,    6213 (avg:    4399) ops/sec, 234.39KB/sec (avg: 165.98KB/sec),  0.16 (avg:  0.22) msec latency[RUN #1 70%,  21 secs]  1 threads:       94049 ops,    6059 (avg:    4478) ops/sec, 228.63KB/sec (avg: 168.96KB/sec),  0.16 (avg:  0.22) msec latency[RUN #1 73%,  22 secs]  1 threads:      100471 ops,    6421 (avg:    4566) ops/sec, 242.29KB/sec (avg: 172.29KB/sec),  0.15 (avg:  0.21) msec latency[RUN #1 77%,  23 secs]  1 threads:      107146 ops,    6674 (avg:    4658) ops/sec, 251.83KB/sec (avg: 175.75KB/sec),  0.14 (avg:  0.21) msec latency[RUN #1 80%,  24 secs]  1 threads:      113930 ops,    6783 (avg:    4746) ops/sec, 255.95KB/sec (avg: 179.09KB/sec),  0.14 (avg:  0.21) msec latency[RUN #1 83%,  25 secs]  1 threads:      120868 ops,    6937 (avg:    4834) ops/sec, 261.72KB/sec (avg: 182.40KB/sec),  0.14 (avg:  0.20) msec latency[RUN #1 87%,  26 secs]  1 threads:      128064 ops,    7195 (avg:    4925) ops/sec, 271.52KB/sec (avg: 185.83KB/sec),  0.14 (avg:  0.20) msec latency[RUN #1 90%,  27 secs]  1 threads:      135473 ops,    7408 (avg:    5017) ops/sec, 279.50KB/sec (avg: 189.30KB/sec),  0.13 (avg:  0.19) msec latency[RUN #1 93%,  28 secs]  1 threads:      143041 ops,    7567 (avg:    5108) ops/sec, 285.51KB/sec (avg: 192.73KB/sec),  0.13 (avg:  0.19) msec latency[RUN #1 97%,  29 secs]  1 threads:      151087 ops,    8045 (avg:    5209) ops/sec, 303.58KB/sec (avg: 196.55KB/sec),  0.12 (avg:  0.19) msec latency[RUN #1 100%,  30 secs]  0 threads:      159964 ops,    8045 (avg:    5332) ops/sec, 303.58KB/sec (avg: 201.19KB/sec),  0.12 (avg:  0.18) msec latency

1         Threads
1         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         484.77          ---          ---      0.18500        35.51
Gets        4847.36      4703.03       144.33      0.18200       165.68
Totals      5332.13      4703.03       144.33      0.18200       201.19


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.058      0.00069
GET       0.059      0.00344
GET       0.060      0.00413
GET       0.061      0.00619
GET       0.062      0.00894
GET       0.063      0.01100
GET       0.064      0.01925
GET       0.065      0.02957
GET       0.066      0.03713
GET       0.067      0.05501
GET       0.068      0.07220
GET       0.069      0.09834
GET       0.070      0.13409
GET       0.071      0.17535
GET       0.072      0.22280
GET       0.073      0.27506
GET       0.074      0.33695
GET       0.075      0.39815
GET       0.076      0.47242
GET       0.077      0.54187
GET       0.078      0.62646
GET       0.079      0.72204
GET       0.080      0.82932
GET       0.081      0.97166
GET       0.082      1.12157
GET       0.083      1.28455
GET       0.084      1.48122
GET       0.085      1.69645
GET       0.086      1.99765
GET       0.087      2.37380
GET       0.088      2.80015
GET       0.089      3.23887
GET       0.090      3.71542
GET       0.091      4.31093
GET       0.092      5.00340
GET       0.093      5.96888
GET       0.094      7.58350
GET       0.095     10.29219
GET       0.096     11.91369
GET       0.097     13.13565
GET       0.098     14.14651
GET       0.099     15.17525
GET       0.100     20.51629
GET       0.110     28.08742
GET       0.120     34.23164
GET       0.130     40.85999
GET       0.140     52.57219
GET       0.150     61.88790
GET       0.160     67.08591
GET       0.170     70.76832
GET       0.180     74.25200
GET       0.190     78.29681
GET       0.200     81.30050
GET       0.210     83.19637
GET       0.220     84.59163
GET       0.230     85.81016
GET       0.240     86.95718
GET       0.250     87.89446
GET       0.260     88.55805
GET       0.270     89.12537
GET       0.280     89.65349
GET       0.290     90.17061
GET       0.300     90.61071
GET       0.310     91.01024
GET       0.320     91.35613
GET       0.330     91.72265
GET       0.340     92.07817
GET       0.350     92.38212
GET       0.360     92.68950
GET       0.370     92.95563
GET       0.380     93.22725
GET       0.390     93.48994
GET       0.400     93.75193
GET       0.410     93.97886
GET       0.420     94.21542
GET       0.430     94.43822
GET       0.440     94.65483
GET       0.450     94.85563
GET       0.460     95.05230
GET       0.470     95.24209
GET       0.480     95.43670
GET       0.490     95.61205
GET       0.500     95.77984
GET       0.510     95.92837
GET       0.520     96.08722
GET       0.530     96.24263
GET       0.540     96.39048
GET       0.550     96.51838
GET       0.560     96.65592
GET       0.570     96.79689
GET       0.580     96.94611
GET       0.590     97.06989
GET       0.600     97.19298
GET       0.610     97.30988
GET       0.620     97.43091
GET       0.630     97.52856
GET       0.640     97.63170
GET       0.650     97.73623
GET       0.660     97.82906
GET       0.670     97.90952
GET       0.680     97.99410
GET       0.690     98.07387
GET       0.700     98.14951
GET       0.710     98.21484
GET       0.720     98.27673
GET       0.730     98.34687
GET       0.740     98.42664
GET       0.750     98.48371
GET       0.760     98.54835
GET       0.770     98.61712
GET       0.780     98.68107
GET       0.790     98.74158
GET       0.800     98.79935
GET       0.810     98.84061
GET       0.820     98.89631
GET       0.830     98.94857
GET       0.840     98.98433
GET       0.850     99.02077
GET       0.860     99.05860
GET       0.870     99.10604
GET       0.880     99.14799
GET       0.890     99.18856
GET       0.900     99.22638
GET       0.910     99.26283
GET       0.920     99.29721
GET       0.930     99.32266
GET       0.940     99.35154
GET       0.950     99.38523
GET       0.960     99.41962
GET       0.970     99.44850
GET       0.980     99.47394
GET       0.990     99.50145
GET       1.000     99.61904
GET       1.100     99.75657
GET       1.200     99.84734
GET       1.300     99.90442
GET       1.400     99.93261
GET       1.500     99.96080
GET       1.600     99.97318
GET       1.700     99.98418
GET       1.800     99.98900
GET       1.900     99.99037
GET       2.000     99.99175
GET       2.100     99.99519
GET       2.200     99.99725
GET       2.300     99.99794
GET       2.800     99.99862
GET       3.000     99.99931
GET       5.200    100.00000
