[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   1 secs]  1 threads:        5794 ops,    5793 (avg:    5793) ops/sec, 218.61KB/sec (avg: 218.61KB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 7%,   2 secs]  1 threads:        9413 ops,    3618 (avg:    4706) ops/sec, 136.53KB/sec (avg: 177.57KB/sec),  0.27 (avg:  0.21) msec latency[RUN #1 10%,   3 secs]  1 threads:       14061 ops,    4647 (avg:    4686) ops/sec, 175.37KB/sec (avg: 176.84KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 13%,   4 secs]  1 threads:       16939 ops,    2877 (avg:    4234) ops/sec, 108.55KB/sec (avg: 159.77KB/sec),  0.34 (avg:  0.23) msec latency[RUN #1 17%,   5 secs]  1 threads:       19848 ops,    2908 (avg:    3969) ops/sec, 109.77KB/sec (avg: 149.77KB/sec),  0.34 (avg:  0.25) msec latency[RUN #1 20%,   6 secs]  1 threads:       22186 ops,    2337 (avg:    3697) ops/sec, 88.18KB/sec (avg: 139.50KB/sec),  0.42 (avg:  0.26) msec latency[RUN #1 23%,   7 secs]  1 threads:       24448 ops,    2261 (avg:    3492) ops/sec, 85.35KB/sec (avg: 131.77KB/sec),  0.44 (avg:  0.28) msec latency[RUN #1 27%,   8 secs]  1 threads:       26801 ops,    2352 (avg:    3349) ops/sec, 88.77KB/sec (avg: 126.39KB/sec),  0.42 (avg:  0.29) msec latency[RUN #1 30%,   9 secs]  1 threads:       30374 ops,    3572 (avg:    3374) ops/sec, 134.81KB/sec (avg: 127.33KB/sec),  0.27 (avg:  0.29) msec latency[RUN #1 33%,  10 secs]  1 threads:       33091 ops,    2716 (avg:    3308) ops/sec, 102.50KB/sec (avg: 124.85KB/sec),  0.36 (avg:  0.30) msec latency[RUN #1 37%,  11 secs]  1 threads:       35386 ops,    2294 (avg:    3216) ops/sec, 86.56KB/sec (avg: 121.37KB/sec),  0.43 (avg:  0.30) msec latency[RUN #1 40%,  12 secs]  1 threads:       37856 ops,    2469 (avg:    3154) ops/sec, 93.20KB/sec (avg: 119.02KB/sec),  0.40 (avg:  0.31) msec latency[RUN #1 43%,  13 secs]  1 threads:       40425 ops,    2568 (avg:    3109) ops/sec, 96.90KB/sec (avg: 117.32KB/sec),  0.38 (avg:  0.32) msec latency[RUN #1 47%,  14 secs]  1 threads:       44821 ops,    4395 (avg:    3201) ops/sec, 165.86KB/sec (avg: 120.78KB/sec),  0.22 (avg:  0.31) msec latency[RUN #1 50%,  15 secs]  1 threads:       48985 ops,    4163 (avg:    3265) ops/sec, 157.11KB/sec (avg: 123.21KB/sec),  0.23 (avg:  0.30) msec latency[RUN #1 53%,  16 secs]  1 threads:       52215 ops,    3229 (avg:    3263) ops/sec, 121.83KB/sec (avg: 123.12KB/sec),  0.30 (avg:  0.30) msec latency[RUN #1 57%,  17 secs]  1 threads:       56710 ops,    4494 (avg:    3335) ops/sec, 169.60KB/sec (avg: 125.85KB/sec),  0.22 (avg:  0.29) msec latency[RUN #1 60%,  18 secs]  1 threads:       63375 ops,    6664 (avg:    3520) ops/sec, 251.46KB/sec (avg: 132.83KB/sec),  0.14 (avg:  0.28) msec latency[RUN #1 63%,  19 secs]  1 threads:       69744 ops,    6368 (avg:    3670) ops/sec, 240.28KB/sec (avg: 138.49KB/sec),  0.15 (avg:  0.27) msec latency[RUN #1 67%,  20 secs]  1 threads:       73143 ops,    3398 (avg:    3656) ops/sec, 128.23KB/sec (avg: 137.97KB/sec),  0.29 (avg:  0.27) msec latency[RUN #1 70%,  21 secs]  1 threads:       75548 ops,    2404 (avg:    3597) ops/sec, 90.71KB/sec (avg: 135.72KB/sec),  0.41 (avg:  0.27) msec latency[RUN #1 73%,  22 secs]  1 threads:       78112 ops,    2563 (avg:    3550) ops/sec, 96.77KB/sec (avg: 133.95KB/sec),  0.38 (avg:  0.28) msec latency[RUN #1 77%,  23 secs]  1 threads:       81461 ops,    3348 (avg:    3541) ops/sec, 126.33KB/sec (avg: 133.62KB/sec),  0.29 (avg:  0.28) msec latency[RUN #1 80%,  24 secs]  1 threads:       87854 ops,    6392 (avg:    3660) ops/sec, 241.18KB/sec (avg: 138.10KB/sec),  0.15 (avg:  0.27) msec latency[RUN #1 83%,  25 secs]  1 threads:       91933 ops,    4078 (avg:    3676) ops/sec, 153.89KB/sec (avg: 138.74KB/sec),  0.24 (avg:  0.27) msec latency[RUN #1 87%,  26 secs]  1 threads:       94908 ops,    2974 (avg:    3649) ops/sec, 112.22KB/sec (avg: 137.72KB/sec),  0.33 (avg:  0.27) msec latency[RUN #1 90%,  27 secs]  1 threads:       97948 ops,    3039 (avg:    3627) ops/sec, 114.72KB/sec (avg: 136.86KB/sec),  0.32 (avg:  0.27) msec latency[RUN #1 93%,  28 secs]  1 threads:      101239 ops,    3290 (avg:    3615) ops/sec, 124.15KB/sec (avg: 136.41KB/sec),  0.30 (avg:  0.27) msec latency[RUN #1 97%,  29 secs]  1 threads:      105194 ops,    3954 (avg:    3627) ops/sec, 149.23KB/sec (avg: 136.85KB/sec),  0.25 (avg:  0.27) msec latency[RUN #1 100%,  30 secs]  0 threads:      111117 ops,    3954 (avg:    3703) ops/sec, 149.23KB/sec (avg: 139.75KB/sec),  0.25 (avg:  0.26) msec latency

1         Threads
1         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         336.73          ---          ---      0.26700        24.66
Gets        3367.15      3195.49       171.67      0.26300       115.09
Totals      3703.88      3195.49       171.67      0.26300       139.75


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.063      0.00099
GET       0.065      0.00198
GET       0.066      0.00594
GET       0.067      0.00990
GET       0.068      0.01980
GET       0.069      0.02970
GET       0.070      0.04455
GET       0.071      0.06336
GET       0.072      0.09108
GET       0.073      0.12077
GET       0.074      0.16136
GET       0.075      0.20096
GET       0.076      0.24650
GET       0.077      0.31876
GET       0.078      0.39301
GET       0.079      0.46132
GET       0.080      0.53457
GET       0.081      0.62367
GET       0.082      0.74246
GET       0.083      0.85334
GET       0.084      0.98896
GET       0.085      1.16319
GET       0.086      1.34534
GET       0.087      1.54235
GET       0.088      1.77597
GET       0.089      2.02742
GET       0.090      2.28580
GET       0.091      2.61050
GET       0.092      2.95600
GET       0.093      3.32228
GET       0.094      3.73311
GET       0.095      4.15483
GET       0.096      4.55576
GET       0.097      5.01213
GET       0.098      5.41603
GET       0.099      5.85755
GET       0.100      7.97703
GET       0.110     12.10117
GET       0.120     16.28570
GET       0.130     21.19883
GET       0.140     27.58699
GET       0.150     33.73261
GET       0.160     38.29827
GET       0.170     42.23234
GET       0.180     46.00802
GET       0.190     50.05593
GET       0.200     53.72271
GET       0.210     56.73118
GET       0.220     59.35455
GET       0.230     61.92249
GET       0.240     64.34193
GET       0.250     66.49507
GET       0.260     68.40568
GET       0.270     69.97080
GET       0.280     71.54977
GET       0.290     73.01985
GET       0.300     74.30778
GET       0.310     75.37098
GET       0.320     76.39360
GET       0.330     77.43701
GET       0.340     78.40816
GET       0.350     79.33277
GET       0.360     80.12869
GET       0.370     80.85334
GET       0.380     81.64035
GET       0.390     82.44419
GET       0.400     83.12627
GET       0.410     83.75885
GET       0.420     84.40925
GET       0.430     85.07350
GET       0.440     85.75162
GET       0.450     86.32876
GET       0.460     86.90492
GET       0.470     87.43652
GET       0.480     87.98990
GET       0.490     88.56308
GET       0.500     89.08182
GET       0.510     89.52928
GET       0.520     90.00841
GET       0.530     90.45686
GET       0.540     90.88353
GET       0.550     91.27060
GET       0.560     91.65371
GET       0.570     92.04673
GET       0.580     92.44667
GET       0.590     92.82978
GET       0.600     93.17032
GET       0.610     93.47721
GET       0.620     93.79795
GET       0.630     94.10187
GET       0.640     94.38103
GET       0.650     94.64436
GET       0.660     94.90670
GET       0.670     95.16903
GET       0.680     95.43137
GET       0.690     95.64223
GET       0.700     95.85804
GET       0.710     96.06890
GET       0.720     96.28372
GET       0.730     96.48666
GET       0.740     96.67970
GET       0.750     96.83314
GET       0.760     97.02123
GET       0.770     97.17666
GET       0.780     97.35089
GET       0.790     97.48750
GET       0.800     97.62313
GET       0.810     97.76766
GET       0.820     97.88150
GET       0.830     98.00921
GET       0.840     98.10919
GET       0.850     98.19433
GET       0.860     98.25471
GET       0.870     98.36955
GET       0.880     98.45864
GET       0.890     98.53586
GET       0.900     98.60516
GET       0.910     98.66356
GET       0.920     98.73979
GET       0.930     98.80315
GET       0.940     98.86255
GET       0.950     98.90808
GET       0.960     98.96847
GET       0.970     99.02094
GET       0.980     99.05361
GET       0.990     99.09122
GET       1.000     99.32782
GET       1.100     99.58026
GET       1.200     99.71390
GET       1.300     99.79706
GET       1.400     99.85052
GET       1.500     99.89012
GET       1.600     99.90595
GET       1.700     99.92179
GET       1.800     99.93763
GET       1.900     99.95446
GET       2.000     99.96238
GET       2.100     99.97129
GET       2.200     99.97624
GET       2.300     99.98119
GET       2.400     99.98515
GET       2.500     99.98812
GET       2.600     99.99109
GET       2.700     99.99505
GET       3.000     99.99604
GET       3.300     99.99703
GET       3.900     99.99901
GET       4.100    100.00000
